순번_정류장ID,22-2801647,23-2801634,24-2801671,25-2807290,26-2801661,27-2801656,28-2801664,29-2801678,30-2801183,31-2801685,32-2801169,33-2805307,34-2801700,35-2801706,36-2801713,37-2801728
22-2801647,0,0.9996541243056281,0.9957508438465037,0.9984835762419538,0.9961445378956701,0.9984694619540532,1.0629321509317997,1.423378578523237,1.7421069364272554,2.4113237283511064,2.39270607203873,2.2195270563680967,2.112386938620708,1.9673931327151222,2.207456930786234,2.2659162724151436
23-2801634,,0,0.9939836624908933,0.9980603165966365,0.9951033433737746,0.9982026579636921,1.0754670103035704,1.525318791086037,1.9506311787072241,2.9416019118687307,2.851744487245315,2.5574386379868645,2.3872666293826037,2.1683539399778575,2.0278954739093655,2.0209452082656334
24-2801671,,,0,1.0140661549820993,0.9972310981909039,1.0023618011382136,0.9959645074771818,1.4115452469780985,2.0300360007767804,3.9110681523811373,3.5614219341063382,2.945614235266926,2.6417178733140743,2.2940438219319645,2.093853683257085,2.0780559365250535
25-2807290,,,,0,0.9814338427871352,0.9984356700511943,0.9921625132068685,1.021086695964842,1.4393659018753981,2.526870788632971,2.477137685581236,2.1901735985747512,2.034393863179074,1.845947740433507,1.7300190018507913,1.750725142204064
26-2801661,,,,,0,1.0078925474022253,0.9952565985481094,1.003173976448413,1.024432021101062,1.7180456373965804,1.7795943472968416,1.654125294368777,1.5806380428053144,1.4891789134775753,1.4291684021891797,1.4736557245361883
27-2801656,,,,,,0,0.9816506086253293,1.0004851646608273,1.004042447806681,0.9992039891280586,1.0378270671574736,1.0337507667028043,1.0295204223701802,1.0274479122394713,1.023872847556616,1.0909895086602477
28-2801664,,,,,,,0,1.0216568446130216,1.0191282047669037,1.0065772519620475,1.0109748698370142,1.0100644114912625,1.007432243736369,1.0084086355084223,1.0064943778343791,1.0017785242668586
29-2801678,,,,,,,,0,1.015339616890577,0.9975803736744656,1.0068295233621989,1.0064676919336213,1.0036015355580428,1.0055129473328108,1.003636785129196,0.9986944193721908
30-2801183,,,,,,,,,0,0.985794228248992,1.0038499820429942,1.0041445086793865,1.0010253111632843,1.0038304453707678,1.0019503517643968,0.9967687050610963
31-2801685,,,,,,,,,,0,1.0240215185527992,1.0160968393963496,1.008552857969499,1.0100991670079462,1.0064322178472735,0.9990858263661477
32-2801169,,,,,,,,,,,0,0.9870342096474067,0.986080873571063,0.9979385142870517,0.996330833859814,0.9902652150821011
33-2805307,,,,,,,,,,,,0,0.9847980921844967,1.003237071276426,0.9992593191375767,0.9909225168501086
34-2801700,,,,,,,,,,,,,0,1.013755934579652,1.0037189716748163,0.9920237023100001
35-2801706,,,,,,,,,,,,,,0,0.9919145110713943,0.9820258358980802
36-2801713,,,,,,,,,,,,,,,0,0.9756699867928682
37-2801728,,,,,,,,,,,,,,,,0
