순번_정류장ID,1-2804988,2-2804989,3-2801267,4-2805951,5-2805952,6-2801278,7-2801295,8-2801313,9-2801175,10-2801333,11-2801340,12-2801361,13-2801373,14-2801382,15-2801402,16-2801437,17-2801457,18-2801477,19-2801517,20-2801541,21-2801577,22-2801607,23-2801626,24-2801663,25-2801672,26-2801691,27-2801718,28-2801744,29-2801725,30-2801708,31-2801694,32-2801196,33-2801657,34-2801618,35-2801596,36-2801554,37-2801187,38-2801581,39-2801606,40-2800694,41-2800708,42-2800710
1-2804988,0,1.2995768955500357,1.1305141971550339,1.091050389421795,1.0898101647748808,1.3533595178965099,1.3020250137594656,1.4421214444453072,1.4083027361336011,1.3565049498123154,1.317134777573307,1.2697375789821734,1.248689945015708,1.3380699727493057,1.3663032882383055,1.3434275953607848,1.3272677420043608,1.3143706272303957,1.2850466765700803,1.264555734419273,1.335475981650332,1.4514563511897913,1.4343840882627388,1.3988976970202334,1.3757532235728238,1.3394057762566338,1.3222442909773953,1.3053264164653977,1.4264284202408455,1.4751090811935936,1.4576725409970452,1.5010400320605521,1.648343653795274,1.736561937567093,1.827823857217291,1.9165218166129525,1.8913487072867952,1.862243842779793,1.810607741624499,1.7169924770546592,1.677781610318062,1.6867053577968014
2-2804989,,0,0.9834386799485457,0.9809313304309772,0.9980142409811238,1.3730920565853753,1.2988342274419973,1.4886443772375357,1.4392970030221002,1.368572990131467,1.318624612934791,1.2620688721328996,1.2380869125240719,1.342835405168412,1.3754042668935165,1.3483137649370966,1.3295963074139612,1.3148696420306858,1.2819572150977896,1.2595039290272094,1.3382382629794476,1.467707267557997,1.4480448503391494,1.4077098818353222,1.3818678504830078,1.3418194839398152,1.323167105641428,1.3051427497051218,1.4352346484852878,1.4874778412432272,1.4685123652048324,1.5149456458552235,1.674562974951094,1.7708199090374837,1.870920324315069,1.9671807678415651,1.938447801857244,1.905424151512523,1.847219484654734,1.7430059743014261,1.6999220667568378,1.7089812730719989
3-2801267,,,0,0.9769405454028711,1.013129177588172,1.8797979160373148,1.5621485648782705,1.3902892454385651,1.3405832934068833,1.275317411003762,1.2308606064210907,1.1841472256598078,1.1647568402339137,1.2820708945430548,1.322598101965621,1.2904848434299776,1.2738308720112517,1.2608174718924805,1.23044631916664,1.2108220473953133,1.2947859447470782,1.432561233606052,1.4130746361394109,1.3736112869389085,1.3483093771969206,1.3098211056786857,1.2919991286581602,1.2757360776189977,1.4110467935851536,1.4659768149642651,1.4467156005630293,1.5304035766488404,1.703424454678205,1.808542264178509,1.9184767171345651,2.022982991101478,1.9901110314852903,1.9525686134002147,1.8868695535889661,1.7707935807261161,1.723457521894016,1.7325996269654917
4-2805951,,,,0,0.9957364488468923,1.0097123543672974,1.003811727775648,1.0110177584041262,1.010932288171324,1.0139932618163408,1.010119219494876,1.008502691696437,1.0064478186007757,1.1198325290384976,1.1703622340626012,1.1542046009957503,1.1467666308961009,1.1407900390357173,1.1222699705223302,1.1134907725713743,1.1954471645322815,1.3279833621246866,1.3134925015848053,1.2843999362529768,1.264876917025479,1.235971736266158,1.2223999698244263,1.2120551123515761,1.3438353307310595,1.397652413483056,1.3814651123426687,1.463611882123273,1.6311199199787305,1.7328146378905114,1.8391295213304453,1.942694023248149,1.9126060442125248,1.878175254114726,1.8179549935255845,1.7115947746396578,1.6680865974666927,1.678225163734889
5-2805952,,,,,0,1.020813426945287,1.0071292023924128,1.0148488709875447,1.0141537295409968,1.016950235826355,1.0120463199444987,1.0098329352297628,1.0074451740306662,1.1315842897571389,1.185735853983297,1.1666132559156595,1.15775107321063,1.1507266488713612,1.130049382586165,1.1199754986970594,1.2066056135445724,1.3473574159293702,1.3311160666856654,1.2987074300743366,1.277338930506752,1.2457967045463822,1.2311289887105705,1.2194586841447288,1.3566372640536448,1.412563337601983,1.395182393239049,1.480728958376812,1.6559326637089644,1.7627262034521527,1.8747099418018018,1.9827717248058114,1.9501158359442632,1.9128829534783265,1.8479975938815845,1.7341799535840128,1.6879722502810124,1.6980200232473526
6-2801278,,,,,,0,0.9924759136246207,0.998187718053592,1.000722129670554,1.0081595709146476,1.0041114775574869,1.0035962891518662,1.0016505730795726,1.1419047260349273,1.2017610153710265,1.1786596728155054,1.167992315460659,1.1596774778091006,1.1363314527026707,1.1248293775873992,1.2178748499437397,1.3699421206359212,1.3513376868172233,1.3145527191719437,1.2907991290761573,1.255946263419976,1.2399331962556868,1.2269400231310936,1.3709252481652419,1.429899311308787,1.4107254398989562,1.4642161401662774,1.6421354825333137,1.7508368280051543,1.8650324206182165,1.975675515742649,1.9424986861476112,1.9047307349791518,1.8390871832300533,1.7244740280204447,1.6781122707094207,1.6885183004420272
7-2801295,,,,,,,0,1.0024074074074074,1.0049017799690976,1.013040807747204,1.0068113651634991,1.005412098798045,1.0029434715522365,1.163424917478778,1.229212970696874,1.1997579957170463,1.1861669770991665,1.1757872590231089,1.1485258256832782,1.1347009697577204,1.2349690081852733,1.4000219088398949,1.3783232091063315,1.335849326966802,1.3090650244590867,1.26999031693347,1.2522756806069666,1.2375239384627514,1.3888691969517266,1.45056257564089,1.4298403613322463,1.4855466052808186,1.6737228395270443,1.7893039113649531,1.91122059272021,2.0279348565617714,1.9911737770363667,1.9495257473422614,1.877492420283909,1.75286044813596,1.7029375042361583,1.7132096476496952
8-2801313,,,,,,,,0,1.0103468309974084,1.0207850234715228,1.008829019174243,1.0062650500254366,1.003069898301694,1.2024137916070585,1.2781765951890434,1.2355155248981764,1.2161224810753515,1.2017907067275364,1.1674656930971936,1.1495576070192528,1.261573882658943,1.4480980292310859,1.4209237934699457,1.3686276041215535,1.336777421093645,1.2907989972264156,1.2703667436825228,1.2530691554711488,1.415373988484657,1.481615138446026,1.4577388363885988,1.5170449632932839,1.7210181920412244,1.8473156257741326,1.9813658081137004,2.1074396986774766,2.064858625220444,2.0169600596135964,1.9347414462533286,1.7944353342787314,1.7390409051592828,1.7490627190661137
9-2801175,,,,,,,,,0,1.025998303536474,1.0084247194357205,1.0056547659649937,1.0021888732277588,1.2263449295661233,1.307530717655148,1.2558691624080913,1.232707063022166,1.2158954979445602,1.1773709959341478,1.1570976981011987,1.2754504555666972,1.4737333051964536,1.4433765512356693,1.3855009673748861,1.350856525351692,1.301145716850354,1.2792754145073666,1.2605199385110761,1.4284955357690454,1.4970447968740015,1.4719534133525158,1.532624611284409,1.7446893913070711,1.876532893182131,2.0169122572402842,2.147786178246574,2.102083514327978,2.050856466678992,1.9632656144404308,1.8148274662515538,1.7566387648912165,1.7665139146238684
10-2801333,,,,,,,,,,0,0.9885526034249963,0.9969903875813888,0.9945858097584607,1.2928818157784105,1.3866188140907263,1.3066292053886608,1.272453136507291,1.2487320870270642,1.199223917909938,1.1730339707643622,1.3064458983963287,1.533163380193863,1.4946605393817292,1.4229041260677684,1.381541019716508,1.3230770711000475,1.2979173005037157,1.275868142923666,1.456395417863818,1.5304184662391849,1.501231685752004,1.5658374101771884,1.7960100939270105,1.9404052606911535,2.0952344483098204,2.236893006632018,2.1838706725909,2.1249004732499914,2.024943772655176,1.8581310565720635,1.7937386576637542,1.8032553422755024
