순번_정류장ID,1-2805255,2-2804916,3-2801044,4-2801054,5-2801050,6-2801053,7-2801061,8-2801067,9-2801074,10-2801101,11-2801112,12-2801115,13-2801098,14-2800857,15-2800855,16-2800853,17-2800851,18-2801143,19-2805962,20-2805963
1-2805255,0,0.9944130135853895,0.9973484115121029,1.0037632539613097,1.0029436559896348,1.00376461515559,1.0034118373036274,1.0033556910948114,1.0041861006700912,1.1997711320007745,1.1701706269162921,1.1393386156707555,1.1560508251155945,1.1828707824672742,1.183909603574992,1.1629583956045855,1.1454565995718542,1.2000425412462516,1.2851194214904555,1.3337656116609518
2-2804916,,0,1.0016865165090896,1.0097656123601977,1.0060348619214827,1.0067508478003557,1.0058976529691557,1.0056061251826596,1.0064870074683911,1.252643425528568,1.2072850992373692,1.1634067203535972,1.1811447697623674,1.20998713909319,1.2095462990265544,1.1831777369218108,1.1615478928124805,1.2207913907055723,1.31390112955723,1.3678498250110471
3-2801044,,,0,1.015967707611091,1.0074464336877318,1.0081471264065642,1.0068657409595596,1.0064105347289785,1.007396898351808,1.3047669904132482,1.240943762229353,1.1834344138255337,1.2022095625294233,1.233176728076188,1.2308615307171222,1.1995276619768154,1.1742388582010534,1.2368477193527967,1.336319359367652,1.3945500011624312
4-2801054,,,,0,1.0011994531164812,1.0037668283279846,1.00297599552623,1.0029242133040024,1.0045883323335334,1.4152832357116731,1.3041103938704475,1.2170265240487117,1.235811556195585,1.2692724377853672,1.2628919210351695,1.22303289082865,1.1917491730475838,1.2601483692991613,1.369361616757634,1.4342682699639122
5-2801050,,,,,0,1.0120786196483949,1.0007673540977642,1.0013059324755118,1.0046031413329366,1.045855881227736,1.0322668538808972,1.1698914487591514,1.3116829875309728,1.3465270074699525,1.3302160041943407,1.270388261080781,1.2255618796610466,1.3033053129063568,1.4292484149191191,1.5061724314772578
6-2801053,,,,,,0,0.9922573154878218,0.9965836505657806,1.002124717304562,1.0535682624937854,1.035292585871573,1.1879535716661105,1.3452613702765877,1.3790423186027494,1.3572807024179183,1.288306595986398,1.2382226946242794,1.3192482972607513,1.4514636126401714,1.533039255988452
7-2801061,,,,,,,0,1.002622277961464,1.0098921962992757,0.9968780946030943,0.9992856116755899,1.2221499464157914,1.4060128882317164,1.4378867288977948,1.4057672568676858,1.3192701360969743,1.259259699547076,1.3448954176400687,1.485961994695125,1.574646005843632
8-2801067,,,,,,,,0,1.0193232788241988,0.9945536709088519,0.9986008946787207,1.25451955081868,1.4638331286498818,1.4922323843694811,1.4475102542898615,1.3455678945776641,1.2765042691665343,1.3648311265756792,1.5138659068440636,1.6084650396256333
9-2801074,,,,,,,,,0,0.9833150553537711,0.9933240990309533,1.2000629008823842,1.421946871605951,1.4568915986630657,1.4162099217419557,1.3183314260492203,1.253100390211998,1.3458452766780942,1.4985320609179607,1.5941899122346876
10-2801101,,,,,,,,,,0,0.998027538864571,1.0002996983225376,1.0066741259403644,1.0922314174536851,1.1083087582923628,1.0814272200997939,1.0644844461333327,1.1678317034320866,1.3163128310992196,1.4024249566245204
11-2801112,,,,,,,,,,,0,1.0018079524820538,1.0009114106694812,1.0037601017512963,1.0727036417242262,1.04976015970632,1.037196098119629,1.191822435713495,1.3619455331283241,1.4632014767499255
12-2801115,,,,,,,,,,,,0,0.9956705919965897,1.0041364546324079,1.1244142455482662,1.0721008399547,1.048878189477248,1.2500192993256125,1.4692484994338155,1.6050403801962834
13-2801098,,,,,,,,,,,,,0,1.0115966366817766,1.194276822649816,1.094564725828271,1.059233054255808,1.083772239949351,1.3728563020954516,1.596445999151718
14-2800857,,,,,,,,,,,,,,0,1.0244531328450697,0.9956961015225815,0.9934031990325104,1.00834909468003,1.3680019631923641,1.6247633556173462
15-2800855,,,,,,,,,,,,,,,0,0.9767350477728091,0.9837148923741754,1.0051578844010098,1.4390647237134457,1.7658024195266886
16-2800853,,,,,,,,,,,,,,,,0,0.9899853233186566,1.0173688619271355,1.650443575237898,2.2026940422221117
17-2800851,,,,,,,,,,,,,,,,,0,1.0174205085257695,2.2716875941834975,3.9790565552775172
18-2801143,,,,,,,,,,,,,,,,,,0,1.8419855549923971,3.0873184533680558
19-2805962,,,,,,,,,,,,,,,,,,,0,0.9666591953378909
20-2805963,,,,,,,,,,,,,,,,,,,,0
