순번_정류장ID,28-2801135,29-2801131,30-2801122,31-2801119,32-2800848,33-2801098,34-2800857,35-2801090,36-2800884,37-2800883,38-2800881,39-2801085,40-2801100,41-2801108,42-2800852,43-2800845,44-2800854,45-2800833,46-2801087,47-2801055,48-2801035,49-2801027,50-2801017,51-2801015,52-2801008,53-2801000,54-2800986,55-2800974,56-2800963,57-2800960
28-2801135,0,0.9824660870050144,0.9988525889129308,1.0008053047106815,1.0014096028396164,0.9970920526071855,1.3070093156516924,1.7396892814883547,1.6183217519335864,1.8830120034992848,2.2111562620885294,2.778499560163858,3.5829813409883124,3.9648885533719076,4.7845070024629965,4.085515867816242,3.3981181204214375,2.8690451480115016,2.74061742402036,2.241825137231506,2.076203599633978,2.0169351017309594,1.931884327128727,1.88918534470996,1.832504763510643,1.8045693657320745,1.777905088184569,1.7534540195068833,1.7203740741826605,1.7915383240197693
29-2801131,,0,1.0068468770758847,1.006979560417553,1.0053316805765142,0.9993561489216752,1.3618660476880597,1.8826771667362847,1.714889250244197,2.032405487207873,2.4426756054333127,3.190732134495407,4.343462910012068,4.934706885947479,6.236276557423301,4.989320404119156,3.8996467713005787,3.1612856781888374,2.988749195738677,2.362962996075206,2.1644631198412965,2.0947344920187834,1.9972976408468626,1.9482619078546373,1.8836594841175227,1.8527913399102143,1.82289240415503,1.7953547036630884,1.7590530278293148,1.8329065875573647
30-2801122,,,0,1.0072801074345952,1.0042157613621543,0.9958756368579392,1.5500788472910667,2.4357546698431287,2.0349340547852552,1.858496036624136,2.0058042479535043,2.640092740476948,3.606028125311207,4.094526778354405,5.196284443030326,4.23169989923197,6.042802602118715,4.163643766461576,3.795467758814486,2.69601271281521,2.3938903624435133,2.296111699582777,2.160178142663266,2.092637242558852,2.009112279109225,1.968402413065504,1.9293269069305943,1.8936670181501287,1.8485152935923197,1.9318944309887893
31-2801119,,,,0,1.0026980396079215,0.9928674254681918,1.7196827960890595,3.0011930527161432,2.2966572204449838,2.030281942706699,1.8879853247815872,2.018853452138029,2.6553929284427986,2.955430834887019,3.638798085027904,4.562704518528516,8.553345566303452,4.997271879962717,4.41911827811279,2.9053468660273305,2.52935620399722,2.4124072777433327,2.2530163569327173,2.1741367911122156,2.0775453112089286,2.0312452547670197,1.9876304102937021,1.947115241266213,1.8959805864458914,1.9856203032630118
32-2800848,,,,,0,0.9816667188982366,0.9964069709102003,1.4621294332199446,1.3445796277637678,1.289905717105935,1.2561580326547068,1.2456577365393833,1.5806086172658287,1.7255446141510329,2.25649388915232,2.873398746845358,4.612699824703697,6.97883281237293,7.2326242741238005,3.4996039564748167,2.904487695840161,2.7264488686845163,2.4918572542433877,2.381099849310899,2.249499960796926,2.187680552027127,2.1300533036165614,2.076444977100544,2.0108264694753486,2.112527301228722
33-2801098,,,,,,0,1.0115966366817766,1.1467028367977,1.1108148353730458,1.0934220620662747,1.0807670667884037,1.0680139878226484,1.3732603210311911,1.5111217419807403,2.1228162351244286,2.781114653421949,5.511909783622826,23.352343616309643,23.53115830603406,4.526093278884259,3.2523023469468026,3.002874189056303,2.6876053488533223,2.5435024483250412,2.3780231849402855,2.3017448876006363,2.2313738048474736,2.166144644660189,2.0880066388376246,2.200664211119915
34-2800857,,,,,,,0,0.9922793231451572,1.0055793123374746,1.0073699213897376,1.0044697138355623,1.00165824270875,1.3651899277781512,1.5362744734221219,2.3537499851293355,3.358701748228891,7.40335075108019,7.076331975397397,7.3977532977312865,3.6850253372683466,2.783805397281711,2.5987979362471165,2.36177149772538,2.252808385667073,2.1242266374664145,2.064568295600875,2.0094789878829813,1.9592123733451534,1.897236660185491,2.0040088445886797
35-2801090,,,,,,,,0,1.0108978847582455,1.0119691844008916,1.0060948465588795,1.0015212753614953,1.4792083166733307,1.5375968130290227,2.1974250649271436,3.4408596627188412,10.639636657427877,4.230442218513733,3.442635541609683,2.2777514677032755,1.944016446830581,1.8660198310245997,1.762518130984086,1.7146215742116229,1.6519589095987066,1.6222835962169315,1.5948641150272032,1.5715105338699615,1.5392404443324208,1.629563871533672
36-2800884,,,,,,,,,0,1.0134485128104447,1.0023295084068504,0.9968385382366463,1.00028588809374,0.9958957296043739,1.2046537716097716,1.7325485177135165,3.538269388220988,2.4269578956094193,2.1753491930057085,1.7246071414339141,1.5596690226788537,1.5189279684143602,1.4650492761406686,1.4411457866631256,1.4056719546535503,1.3887660344166368,1.3733611064375573,1.3618668865615458,1.3430652847643143,1.4248536360722346
37-2800883,,,,,,,,,,0,0.9877267394639474,0.9874279421702025,0.9955165802942945,0.9902657750315947,0.9968305718138845,1.1302145911657169,2.131703758305994,1.734316344085384,1.6254992319508448,1.4246763594837235,1.3362516002666114,1.3137120369619066,1.2849007392249427,1.2734706276212913,1.2525467961165047,1.2425981392201186,1.2338079533675486,1.228890012419903,1.2176942904451502,1.2944894501398243
