순번_정류장ID,1-2804988,2-2804989,3-2801243,4-2801242,5-2801247,6-2801249,7-2801253,8-2801256,9-2801265,10-2801273,11-2801294,12-2801318,13-2801325,14-2801351,15-2801363,16-2801379,17-2801433,18-2801465,19-2805642,20-2801563,21-2801598,22-2801623,23-2801653,24-2801676,25-2801186,26-2801710,27-2801727,28-2801745,29-2806034,30-2801174,31-2801722,32-2801714,33-2801712,34-2801701,35-2805300,36-2801168,37-2801686,38-2801182,39-2801662,40-2801640,41-2801579,42-2801521,43-2800236,44-2801472,45-2801453,46-2801416,47-2801198,48-2801378,49-2801197,50-2801346,51-2801327,52-2801308,53-2801284,54-2801274,55-2801269,56-2805502,57-2801259
1-2804988,0,1.2995768955500357,1.1564350569158375,1.1304023512756822,1.1033237601946737,1.0809217254561077,1.0706463704680562,1.060098882925058,1.056536532737148,1.0647035543884307,1.2795274333709195,1.2544131944373673,1.242020385356022,1.1925638771451943,1.173911029723353,1.1628563383332433,1.1464820885152804,1.1379843529359592,1.1577964918755281,1.1536422644690723,1.1497210860507876,1.1442592153084676,1.1400092936661474,1.132455230501633,1.206660407738655,1.2849470372169682,1.3115730928425617,1.327159311764649,1.3375133271714839,1.5893380728183342,1.7464484438642112,1.8115244575388592,1.8664047364214005,2.012201493487155,2.080579696004191,2.1638194100017816,2.241118957376679,2.368174956739443,2.74065477853002,2.9331115295615975,3.5259180150842266,3.7532419663460557,4.14886066947457,4.195772427889132,4.645933148539211,5.3983940284507685,5.924068575875081,6.175849476247081,6.64292448449116,7.9805018589582675,8.401612456286738,9.339829629006118,10.819999618097105,12.78066236525951,15.269202065785603,19.675284851035684,26.358052588937177
2-2804989,,0,0.9876053037769885,0.9901959165067338,0.9971858236819078,0.9910509672912605,0.9941525770684386,0.9959420425378761,1.0001192595724662,1.0128198007739715,1.2724407169956147,1.243707147496326,1.2293510499914095,1.1761469687677206,1.157265564820894,1.145790703961303,1.1301186390611995,1.1216750597214198,1.1440326849710203,1.1402160225664324,1.1363634120488995,1.131033478245166,1.1268280329494522,1.119467637865488,1.1987841392762857,1.282767603473191,1.311646230077456,1.3283601361481296,1.3394037736941187,1.6109258853029866,1.7825543037333893,1.8540332410591105,1.9145866075799345,2.0760139033618437,2.1523682005569564,2.245751645775462,2.3322975513581583,2.476284855601516,2.9047723112200616,3.1299912906548797,3.8411002429849237,4.1206371577657395,4.617463844081358,4.664674329872046,5.243066574792361,6.247898507183502,6.980026248134766,7.309498700055006,7.974156439319864,10.025334588120138,10.678791262655496,12.25130515642633,14.892177512974756,18.943505144761655,25.074527131413035,39.9329713072047,83.14020818996013
3-2801243,,,0,0.9965483600431313,1.0055981804892586,0.9929653917435436,0.9968402824844733,0.9984863387280136,1.003301719448452,1.018837065183802,1.0152131811953806,1.010273130648135,1.0116983516381408,1.0096380315378133,1.0081450915492467,1.0069547192638113,1.0062463441781837,1.006037124069207,1.0184980744991199,1.0209017353216434,1.0205649972938342,1.0201588824268093,1.0191178661003053,1.0178848922605588,1.0930570126924244,1.1701704126787815,1.1989242141740208,1.2201287953028825,1.2339611508601447,1.4837873688845178,1.640981614296105,1.707515378989599,1.762606795032671,1.9091073656801096,1.9782066300339585,2.0625062298063708,2.142532488812885,2.2719256322821515,2.6541622211562745,2.853341587320591,3.4740786503263066,3.715121550734104,4.138570762193727,4.189286967626606,4.677197028079604,5.507705834383097,6.09938119737848,6.381265350475478,6.915242782043613,8.491591307975929,8.994251465905707,10.14729697773242,12.020121852005861,14.655971519858582,18.249849679315883,25.40462283796234,38.71259617306444
4-2801242,,,,0,1.0106415111136546,0.9919160120775248,0.9968989422010975,0.9987616370056576,1.0040825588521076,1.0212379960889342,1.0168517287350631,1.0112557305911454,1.012710773943123,1.0103057693673925,1.0086738530829715,1.0073970652929016,1.0066134503797932,1.0063721315985452,1.0069640688536443,1.0099837601863355,1.009954607500988,1.009982090599717,1.0092039903485892,1.0085001170500945,1.0389805336514166,1.1122717049734516,1.140542274160402,1.1637599452178806,1.1791160214152507,1.4164270430255483,1.5644491040288082,1.6276325794979896,1.6794587013718503,1.8173465155589736,1.8821140324009216,1.960990022865411,2.036926816413309,2.1575940295576492,2.5121967074325484,2.695853816553741,3.2630728321675977,3.4814743666638757,3.862125372400873,3.913943069359418,4.349405155473052,5.080636285616783,5.593953565109546,5.847866312158835,6.309569304640985,7.63402664692057,8.057608940412054,8.999555189417624,10.501914105155013,12.511707426492029,15.106922287883185,19.82797308305978,27.31301376930398
5-2801247,,,,,0,0.9711738934437777,0.9856152636844363,0.9925382367880665,1.000699662134651,1.0222195176681335,1.0168039423240274,1.0103992010267162,1.0121158082904467,1.0096247198475572,1.0079274021328128,1.0066001418854593,1.0058535534717188,1.005650362802807,1.0063342460485207,1.0095644953881435,1.009546426972134,1.009593302283105,1.0087853161966485,1.0080707236057256,1.0351090541410937,1.111555454271453,1.1410945421868341,1.1652763838478417,1.1565924333594042,1.391090480490203,1.5405836627534382,1.6049101322561865,1.6573019662516482,1.7965733445614358,1.8622302238158495,1.9422710911271035,2.016043434223957,1.9896317108141697,2.306941315039653,2.4699247062258753,2.9671517071381146,3.1564622823215496,3.482899250499554,3.5357106586310283,3.9057412076990237,4.5162089201998015,4.9366843534628035,5.590640571533911,6.376131159437297,6.577292669206474,7.609872054344653,8.884589820933934,12.602981493615514,13.763890034123111,11.81849412579854,14.100433876443528,17.68314120663638
6-2801249,,,,,,0,1.0004822055283231,1.0020551598631986,1.0098173560675763,1.0362817511407172,1.026061606396433,1.0164137861763465,1.017852613418896,1.0134720875428467,1.0111407044304792,1.0094542580333816,1.0082948577633062,1.0078932230534805,1.0084359974063815,1.011732784125922,1.0116441983959314,1.0115967649901665,1.010686630140157,1.0098221087468175,1.0382008944676708,1.1182285504884006,1.1491015356489824,1.173987258855257,1.1642932272141364,1.4109154236399868,1.5692306220329681,1.637292405123201,1.693115542204798,1.8420500845816195,1.912536022882857,1.9987158853963032,2.0775650271936805,2.047583243522498,2.391476965630374,2.5697254853770124,3.1206176592043007,3.3330457150809205,3.703346006429279,3.757683713812792,4.182275200932431,4.896227829052706,5.398129683679752,6.188174416289814,7.1705232711017635,7.406978156320253,8.749606689602219,10.484824961471302,16.122171849640857,18.02819731336093,14.720966852781121,12.16506356416476,13.30210607024315
7-2801253,,,,,,,0,1.0032521674202515,1.0138158927042826,1.0493604417032278,1.0323400794152249,1.0192013614368691,1.0205888115635053,1.014870027761288,1.0121295528304142,1.0102156206966815,1.0088679742318654,1.008392833824287,1.0089260790223287,1.0123856399731372,1.0122701831458933,1.012189806735501,1.01121339946191,1.0102735722859253,1.039779599221655,1.1237310626732644,1.1562304181751686,1.1820909731754667,1.1715235873326808,1.4306421654160286,1.5984533392845601,1.670551083950108,1.730109123103533,1.889636427338873,1.9654554228708778,2.0584497040957968,2.142904556320738,2.0948045681535645,2.2658445693829634,2.4325704022075607,2.944643370424492,3.1410091298879763,3.4814046354421038,3.5366675734917146,3.9252766716854817,4.572829209860311,5.02361453855608,5.7309476982465615,6.594257824300867,6.812277170801867,7.970788234210724,9.43504964630721,13.949084908996014,15.416046181982598,12.91544215116353,10.892478108679365,10.659707292203363
8-2801256,,,,,,,,0,1.0237287776341168,1.0889850389686804,1.0447707994532889,1.0231080561833898,1.024364643030318,1.016317253483382,1.0129712672949593,1.010737651821582,1.009168733121905,1.0086209277882985,1.0091795707027738,1.0129072414008282,1.0127633655052326,1.0126512046147005,1.0115883831057295,1.0105595518616437,1.0105801572434352,1.0963543462621514,1.13000490982798,1.1578389695014044,1.1485403130361889,1.413636863961215,1.5863088441753406,1.6608542959817054,1.7224297987452173,1.8878691242506433,1.9667547008571342,2.0637368502588957,2.1519027967454236,2.1014298745453903,2.0282441974798466,2.171159100257854,2.603245629264854,2.7665971102090094,3.045914011730532,3.3028217728057516,3.668839044783334,4.257163769947315,4.661480658561415,5.683375875763812,6.559495579820613,6.043279245037703,6.456173334198369,7.440828219481336,10.169879595548407,10.997205338064788,9.667808132995994,8.492475065669518,8.37318373844099
9-2801265,,,,,,,,,0,1.002650538368159,0.9989134606867635,0.9930938464213899,0.999251056450959,1.0006200803278873,0.9996413771795355,0.9985937620453984,0.9988652169914504,0.9992595669733476,1.0007891410051144,1.0053091585039384,1.005450881979759,1.005735733302237,1.0048670692683908,1.0042686081968124,1.004366079781576,1.0890380907962849,1.12441656702109,1.1536863152042598,1.1442790686031135,1.405770204495729,1.5838994382670089,1.6198873265240692,1.62535774935692,1.7809273570067465,1.8549764052877429,1.9458646729143216,2.030040531939839,1.9860427805314311,1.8904241828079873,1.9919614981342744,2.3738140834064434,2.5168231270384163,2.759093238632095,2.982377215603206,3.2949394317533605,3.7869939304044036,4.1227167102781594,4.943894835534028,5.627653668381534,5.254309492275828,5.585541112221505,6.3424995022551425,8.325800816463799,8.910841252452014,8.016543224021806,7.197970287054171,7.12624228670101
10-2801273,,,,,,,,,,0,0.9975028333758114,0.9914734875518518,0.9987757541063456,1.0004636738126658,0.999452417863807,0.9983673142078144,0.9986897457873745,0.9991179891231653,1.0007194691414685,1.0054017672278441,1.0055445250607347,1.005833032420234,1.0049343532595731,1.004313901957545,1.004410706778157,1.0915893922505775,1.1276809329455049,1.1573024466139556,1.1474518172459942,1.4164872100264272,1.6005284220537401,1.6374089913841305,1.6428493315416308,1.8041290471233695,1.881079632736737,1.9756989135420884,2.063006412240624,2.016211312286195,1.9149201123069504,1.9904770089829777,2.377900439909908,2.5227350833308453,2.770145569641139,3.0051174220556014,3.324387640723092,3.832744835724146,4.178960789749798,5.035670315132848,5.753183425711218,5.356687246488335,5.683555543870556,6.472883048889351,8.571456494554994,9.194712032992918,8.238727197384156,7.362704335615884,6.738225459225828
