순번_정류장ID,1-2802961,2-2802973,3-2802967,4-2802963,5-2802956,6-2802984,7-2804818,8-2802964,9-2802971,10-2802975,11-2802981,12-2802624,13-2802636,14-2802955,15-2802945,16-2802936,17-2802918,18-2802892,19-2802866,20-2802839,21-2802845,22-2802861,23-2802872,24-2802881,25-2802885,26-2802851,27-2802823,28-2802783,29-2802757,30-2802733,31-2802706
1-2802961,0,1.0207712021046185,1.0072444316671085,1.000322099199455,1.0101406324438367,1.0175296699114078,2.349447519335024,2.832017695293675,6.25582280210515,11.059220023349841,11.688937648770915,10.695159246799774,6.576608706706397,3.98492323502509,3.750903144654088,3.534153994391669,3.066154967989776,2.708941866931025,2.960256467587003,3.7190992652001786,4.005365820117985,4.891006680129512,5.90556329740423,6.984847821627603,7.3024766989016765,6.048494534717344,5.476390409482959,4.532246722907965,3.8745661630935713,3.6142264450803574,3.271313702666728
2-2802973,,0,0.9900050570726773,0.9910053033062358,1.0067374840615486,1.016806403764837,2.8715443749213274,3.689683130969401,14.446682900648916,18.261420548605436,12.45165907184102,7.152203539025258,4.99975045625107,3.3473865720972635,3.181223591742014,3.0245322707383435,2.676268505758337,2.4049452483095735,2.440301066127765,2.9995847249351373,3.204696104402835,3.811572905349061,4.468696814047502,5.124360612968258,5.335549322806716,4.648014858096641,4.308888681727946,3.7133644502321226,3.269829029068203,3.296096696412011,3.010157658835102
3-2802967,,,0,0.9915600277445492,1.0123506768025445,1.0224951039256012,3.710508259457788,5.286277039815769,9.427770912412335,11.39585713576077,6.0443855957739165,4.4770148637293685,3.55334317260774,2.6812716072942235,2.5801639798210716,2.4822907427085985,2.255029910943662,2.073001710831357,2.1206640880858085,2.5738949108241083,2.737450470169751,3.2083020326299656,3.702535737556749,4.178865623433759,4.347995783981499,3.8874921845282087,3.782305537352707,3.320033784630693,3.0369895622287753,3.1039269743917584,2.849101359071607
4-2802963,,,,0,1.0439112375290314,1.0415687898144441,14.66379415075849,9.871611421396935,4.528672325889763,3.4887645207821083,2.798471297171408,2.4471071647923894,2.178125233830204,1.8869991526186431,1.8456271918617584,1.803894462546344,1.6995074789783275,1.6150851050854567,1.6758099772203798,2.002278247705371,2.117740197685858,2.4375437661646115,2.7605316499072994,3.0586843297002653,3.179735745706793,2.9391137195222194,2.890067227023377,2.6260648676985014,2.4625861592022837,2.5220261517257145,2.361483646789126
5-2802956,,,,,0,1.0399666005636157,5.250009831646461,4.592484682771585,2.447716202324484,2.1470029966871116,1.9029157152714056,1.761187039919791,1.6426216419931807,1.5215276699516838,1.500872274982731,1.4792946092444956,1.4215975553880582,1.376806271038292,1.4414640451237632,1.7109128879256996,1.8053534106839642,2.0615349574329787,2.3156938754172023,2.5455597947136277,2.646902371045546,2.485525561935308,2.4588071632035686,2.2742435453287655,2.161509765426418,2.216827404551161,2.0986502351288427
6-2802984,,,,,,0,1.2787726785088263,1.364947368421053,1.2160285501130859,1.1843444167776944,1.1549706904262818,1.1360897268078265,1.118207849645648,1.1265530361919918,1.1234864666015774,1.1194389977433958,1.1040583090598828,1.0968497708970453,1.1635651136992213,1.3730687870515599,1.4462108439115735,1.6381154817802566,1.8257947117449023,1.9912666334280473,2.072781569799457,1.9957150697984547,1.9875404410570146,1.8769496904024767,1.8133072042592637,1.863710752641764,1.7883452800559254
7-2804818,,,,,,,0,1.1182196677097107,1.008917935388043,1.0058956659875906,1.00421425105918,1.0034890109139214,1.0014909842136743,1.043792126660051,1.0437618874344776,1.0425119922710235,1.0327991924362505,1.0328723276370235,1.1148688500224335,1.363517953328052,1.4519411487415526,1.6913342505383249,1.9324811477908506,2.152818204286123,2.2581788563552068,2.1276180505331594,2.1117719723494033,1.9618085742610365,1.877663134882688,1.9365403553287588,1.8413101253606654
8-2802964,,,,,,,,0,0.9768392213521054,0.9830159519640931,0.9876105823455327,0.990117449229187,0.9904467613195411,1.0387852049797048,1.0390015221923254,1.0379185546241985,1.028264614394471,1.0289209471682939,1.1147203435587236,1.3757287273528322,1.469167783769829,1.7240397586270149,1.9833471418768556,2.2226621383636687,2.3369150781443198,2.1886722076971785,2.169436685217889,2.003907546553414,1.9106576298037246,1.972549968528865,1.8697172757203384
9-2802971,,,,,,,,,0,0.9927011416941857,0.9963335020816491,0.9976011182984875,0.9960092781998832,1.0566025561228978,1.0557496022355033,1.0533089449610153,1.039179000042407,1.0383016317348361,1.1388560272337056,1.4560621187084695,1.5729513163517357,1.902629864684423,2.253170581076418,2.5933461174212553,2.7469269564883896,2.500761074442797,2.462249940828403,2.213458225015139,2.0760530089421287,2.1481742791459277,2.0071115411901252
10-2802975,,,,,,,,,,0,0.9991336083039797,0.9996148050396341,0.9968910227124206,1.0662855512135396,1.0646123102786547,1.0612097820251807,1.0442130366182831,1.0424233557517655,1.151345219978582,1.5020926670652703,1.6341864039772749,2.011395211925837,2.4243979042777446,2.837164031711996,3.016144529681113,2.697895452988989,2.5383376560001194,2.2598916024339415,2.054685684853473,2.094478459052559,1.959899739598959
