순번_정류장ID,14-2802694,15-2802689,16-2802708,17-2802731,18-2802755,19-2802776,20-2802813,21-2802853,22-2802878,23-2802904,24-2802924
14-2802694,0,6.8543219391159695,2.5606249603190907,1.9337578045786865,1.721044162500054,1.5296388801168752,1.4072136179712573,1.3690890767692498,1.3334642655589486,1.2901303252550802,1.2654478171537085
15-2802689,,0,1.0000903539381854,1.0041735015459254,1.0000079025582953,0.9967202008742545,0.9968073985433931,1.0026001812323801,1.00411274105369,1.0038761315982023,1.002918752413654
16-2802708,,,0,1.0086039183449789,0.9983218386755335,0.9936609539741503,0.9954023816143269,1.0023741799330184,1.0049016544333624,1.004053071952918,1.0032259979214184
17-2802731,,,,0,0.9838639454733898,0.9854972882264269,0.9902848435284084,1.0007252630891854,1.0034616985425295,1.0037281553398059,1.0019258058421225
18-2802755,,,,,0,0.9817282627232197,0.9899284277441252,1.0028432121876412,1.005695434947862,1.0055129967026337,1.0037481830137744
19-2802776,,,,,,0,0.997119313422119,1.015035213942639,1.0158555391100197,1.0127268240130871,1.0093548207008205
20-2802813,,,,,,,0,1.0495565236726592,1.0333823103141524,1.019822454166709,1.013472270856565
21-2802853,,,,,,,,0,0.9987194194701597,1.002371962660119,0.9993302534554839
22-2802878,,,,,,,,,0,1.0048600149538922,0.9995791481088067
23-2802904,,,,,,,,,,0,0.9917139776385612
24-2802924,,,,,,,,,,,0
