순번_정류장ID,23-2801383,24-2801347,25-2801319,26-2801291,27-2801272,28-2801263,29-2801257,30-2800834,31-2801059,32-2801051,33-2801032,34-2801010,35-2800977,36-2800972,37-2800963,38-2800938,39-2800932,40-2806921,41-2806896,42-2800875,43-2800826,44-2800919,45-2800914,46-2800911,47-2800904,48-2800889,49-2800888,50-2800905,51-2800910,52-2800915,53-2800918,54-2800874,55-2806571,56-2806920,57-2800928,58-2800933,59-2800939,60-2800956,61-2800966,62-2800979
23-2801383,0,1.048232873396272,1.0049260105880216,1.0016817794584794,1.0022765958603888,1.001933196569633,0.9971408538610507,0.9984557455750399,1.0009065336030607,1.0003528975961318,0.9983666384708962,1.0019037587964144,0.9999377027021926,1.057769891893787,1.0915478960118674,1.130375941573226,1.1231580014149054,1.135529624232369,1.1205557060477798,1.21196380854465,1.2434543199421462,1.2267055413399794,1.2129864510869224,1.207924538322561,1.1941593827161625,1.185896339915201,1.2190658263471523,1.3296767207775562,1.4995442807765316,1.5671072785886426,1.7142770956352298,1.9620879721205573,2.005865273060992,2.4612199303399063,2.732040124942426,2.8884360303870737,3.086998232592877,3.302819861502725,3.4510297434171417,3.6872385095050775
24-2801347,,0,0.9688915372112605,0.9851294582336105,0.9906290339759294,0.9916138473423495,0.9874761266048361,0.9916968728600777,0.9955208353659262,0.9954356314929342,0.9937999112073888,0.9980587844815486,0.996291918941465,1.0584723190725611,1.0946151143057945,1.1360563975579843,1.1280216935280116,1.140791460596577,1.124384561064434,1.220615194953413,1.2537270518552597,1.235218179193996,1.220349756366061,1.215245421300222,1.2000632235495208,1.1910370301986046,1.2254984723554316,1.3412827947355097,1.519264920981077,1.5906567801154758,1.7459744111480777,2.009537939180494,2.0547972874305516,2.5444181986847996,2.8388939156917457,3.010395413153338,3.2295502280435042,3.4637063524109837,3.6284329154772252,3.8896217244784568
25-2801319,,,0,0.9972465017629485,1.0001494793951229,0.9999273375559423,0.9929442636336546,0.9961441124339281,0.9997398277988014,0.9991731891108335,0.9968805331012213,1.0012903013844006,0.9990256371038283,1.0671718043003713,1.1063098172113273,1.1502031811031679,1.140532783712432,1.1533718283827283,1.1341891050332866,1.2370142941101807,1.2722916525904489,1.2514136456807403,1.234623262100784,1.2286860420306835,1.2118778730817048,1.2018020211463105,1.2379752155766042,1.3601865567903346,1.5497703303818853,1.6258876509114317,1.793115913251913,2.0778850210853546,2.1249305232137834,2.6643997717055976,2.9916950122553496,3.18530226719348,3.4349227272692477,3.6977354293745996,3.887399514197744,4.186145936969513
26-2801291,,,,0,1.0042742014421353,1.002503538481615,0.9901436528956841,0.9957541059398204,1.0004118905834047,0.9996212935931131,0.9968074236626345,1.00199537663735,0.9993002187299743,1.0776333945277339,1.1218410226926125,1.1701974612553134,1.15808104762676,1.1709767313765587,1.1473402628442422,1.260295061378556,1.298973796814078,1.2739637658370275,1.254382088141129,1.2474264153315515,1.2278469897708162,1.2161842536445602,1.255119078391237,1.386968074249671,1.5941022786696275,1.6779472638205826,1.8635424123162299,2.1827964725450424,2.2324006597153834,2.854549881440334,3.2389548068513405,3.4713739206530136,3.7743727205761375,4.086021218128909,4.321126097817868,4.688321196198171
27-2801272,,,,,0,0.9987947016575959,0.9781934276821833,0.9929283413120185,0.9995076498300038,0.9987100182582926,0.9955938918035301,1.0016762004022053,0.9986941064550828,1.0862665288967706,1.1349362735769264,1.1873654901397266,1.1723293874545235,1.185110161538067,1.157522053653247,1.2793523791368786,1.3205687392096936,1.291925346819239,1.2695368343928268,1.2617263371952445,1.2398484833524792,1.2270759047912771,1.267868765005634,1.407931262908068,1.6291140784001132,1.7196417586254564,1.9202325215418636,2.269719941228062,2.321192823537718,3.0154561498813193,3.451844814704716,3.7205603909542697,4.076666830008679,4.4344686911109505,4.712819400912685,5.147524091741797
28-2801263,,,,,,0,0.9642480138953727,0.9918251705766894,0.9995973655982913,0.9987012895528735,0.9953246435602533,1.001882399387887,0.9986878926919577,1.0914738338676582,1.1425827676837892,1.1969538201715826,1.180020372007574,1.1929696967790904,1.162850467595989,1.2892451098404716,1.3322339636971525,1.3015519517073548,1.2777276759869782,1.2694429183846616,1.2462966031372864,1.2328183937291406,1.2746637613821732,1.4189184341696386,1.6479518170486407,1.7415898504839187,1.950796815869627,2.315843444871215,2.3682069836094906,3.1019759374820075,3.5687307278764306,3.8572418884254143,4.245118194306543,4.628066579353878,4.934724490704995,5.4100292120988644
29-2801257,,,,,,,0,1.002433093960459,1.007668299241333,1.0048898148623782,0.9997338363785992,1.0063311591464992,1.002145732437596,1.1037414834949817,1.1587184712066987,1.2154382018481946,1.1962171351581712,1.207832419430914,1.174003247692444,1.3076545206309016,1.3530568485783094,1.3187503042345372,1.292138847535086,1.2835191281332141,1.2579008238665563,1.2427804071229067,1.28669271990713,1.4374513622732437,1.679009515381707,1.777848697258862,2.000519827619006,2.3924106183490585,2.4460304475609154,3.249014028299264,3.7659456097605246,4.092595755510433,4.532037321990738,4.965598906083677,5.319102755824885,5.868435100451729
30-2800834,,,,,,,,0,1.015315828404115,1.0070419441377836,0.9981560597550113,1.008060505103934,1.0020442184393417,1.0023483737333088,1.0437216952145871,1.0531779264087051,1.0490725314428333,1.0759185495092614,1.0645840561480056,1.1992159524468609,1.2462682326268046,1.2215360487718678,1.2029346290392147,1.1964438687767263,1.178443543732615,1.1686180858013484,1.2128130275053786,1.3622675923380319,1.6023040572560168,1.7013428461270066,1.9244871162220945,2.3200336354201165,2.377017746441707,3.1959554121639853,3.7303466426277354,4.070309442459871,4.532773665757695,4.988532769645457,5.366463993100475,5.969715839825141
31-2801059,,,,,,,,,0,0.9946437358614806,0.9867094603861208,1.0048959986806572,0.9978110376766847,0.9990705114994334,1.0500459052274083,1.040610248068725,1.0373758626864442,1.0688341389953018,1.0577851073652327,1.1015874457330959,1.1490985788427506,1.1341897331201858,1.1226767644304425,1.1187406894748941,1.1082320185482575,1.102445054207311,1.1469578194004384,1.2927528308192358,1.5273662258659693,1.6238517321437167,1.8421131966727071,2.2308077968999545,2.5019766898704607,3.4599443555815377,4.036360033814924,3.9102758977325016,4.355490016297146,5.007596637745228,5.509425483631789,7.174626455641931
32-2801051,,,,,,,,,,0,0.9803403355613148,1.0091056087758177,0.9986669016188717,0.99996838096908,1.0597163608813094,1.046705891853418,1.0423173205443899,1.0763721124308459,1.0628221650394427,1.109647748915508,1.1607257264139983,1.1438136440563123,1.1307254553036956,1.1262814793195464,1.114460062571746,1.1081631802562661,1.1543212079917358,1.3086196617497092,1.5588171117549368,1.662853039898477,1.8991724109220565,2.3239582816469015,2.6239152337241385,3.719760591194391,4.396255688827175,4.142917165402385,4.035291801529971,5.552323899464763,6.181211154194834,8.372357257242285
