순번_정류장ID,47-2800888,48-2800905,49-2800910,50-2800915,51-2800918,52-2800874,53-2806571,54-2806920,55-2800938,56-2800928,57-2800929,58-2800934,59-2800936,60-2800940,61-2800946,62-2800949,63-2800952,64-2800958,65-2800967,66-2800975,67-2801001,68-2801016,69-2801028,70-2801026,71-2801042,72-2801072,73-2801103,74-2801110,75-2801125,76-2801126,77-2806924,78-2801139,79-2801146,80-2801150,81-2801154,82-2801156,83-2806243,84-2806241,85-2806215,86-2800622,87-2800627,88-2800633,89-2800639,90-2800327
47-2800888,0,1.0003315361966483,0.9911350703803534,0.9953658061051065,0.999961076820017,1.0036433781263598,1.0054080773938416,1.0030440171836448,1.1794765041390687,1.3484465041427565,1.4549873388428005,1.4243565284962538,1.402322702891839,1.370292837020434,1.3358529687630292,1.324306432141788,1.309227838130113,1.2982757555839775,1.2849857442257755,1.2758431931499463,1.2698737676015266,1.2603025556225838,1.2517656754348425,1.3421758584825558,1.3521370756492526,1.3459691864557768,1.3694341113239938,1.376302751475778,1.3519754531500274,1.3421675540436206,1.3279497826312452,1.312292009690684,1.298166322708019,1.285579629630711,1.2754277465613943,1.2998805904921134,1.2761927809247338,1.266698400607424,1.2515475743955942,1.2965043687088806,1.2883506546006718,1.2822652199485018,1.2735048662070327,1.2672383262801614
48-2800905,,0,0.9844309103669926,0.9926962098333956,0.9998312390374541,1.0049303145798967,1.0067401955219748,1.003718884454114,1.2012838176510445,1.39414289431368,1.5164737524445093,1.4772836777933032,1.4498255216019846,1.4102702946236743,1.3682918883591375,1.3544986535335646,1.3366342828527094,1.323677874885362,1.3081330916837046,1.2975197230378868,1.2895160969339958,1.2785068859664837,1.2687583461673533,1.366581564492926,1.3758502795083545,1.3683401890654763,1.3928496566152966,1.40012608496373,1.3723247839301267,1.3615663250142285,1.3459365259063816,1.3287792495506279,1.312651462053113,1.29898542828741,1.2878838420231553,1.3133110226707165,1.2872765916418294,1.2770123158787234,1.2608260816680945,1.3069394443751967,1.2981947975332606,1.2914058828412056,1.2821851862069376,1.2754169543411684
49-2800910,,,0,1.0158915521305334,1.0140986192733241,1.0135763148061578,1.0136617191051078,1.0077542022993782,1.2438818218905467,1.4830462209350708,1.6364559048719933,1.5780660704748595,1.5389142909163525,1.4835640835057307,1.4263033843551858,1.4080990040600843,1.3848432384079157,1.3680466104075377,1.3482510552133244,1.334899396774433,1.3241714136437661,1.3104844154772572,1.2987628279775203,1.4076140076128958,1.415741953337733,1.4053421304868388,1.4313797214398005,1.4386352091605414,1.406015016448745,1.3932827569064241,1.374724366546986,1.3545764324028913,1.3364879616951242,1.3202244976693025,1.3075638742497708,1.3343584283414653,1.3050930852700686,1.2935685858494876,1.2753802766384492,1.3231270788458207,1.313445495247154,1.3058144709435384,1.2955874365037843,1.2882972289456305
50-2800915,,,,0,1.0132150529079482,1.0122033556612997,1.0127071682867583,1.0066621769669737,1.2605318222012045,1.5215081197502003,1.6898861110575818,1.6215631082573339,1.5765811992738359,1.5135887235387202,1.4492188875528165,1.4290243928146071,1.403374256822666,1.3848963376693193,1.3632681044173074,1.3487515030970374,1.3370670596241376,1.3222572556782048,1.3090813045352108,1.4228931169234513,1.4305200194079912,1.4189217324477639,1.4455622127957766,1.4528948129958479,1.4181459572806627,1.4043952652918434,1.3845511826609047,1.3637340523743582,1.3444943377233574,1.3277886730026318,1.3145217807133254,1.3416218685531622,1.3110845458343199,1.299091847444249,1.2802107501336637,1.3285920340095703,1.3185648576116134,1.3104679694514016,1.300032603229746,1.2925152152832506
51-2800918,,,,,0,1.0027184854068762,1.0071355170427472,1.002267571354134,1.3013615541996342,1.6203162587666209,1.8293731558089845,1.7317075616734545,1.6701886270350044,1.586183312745358,1.5030094437425923,1.477706874567667,1.4459990546745973,1.4233188425267922,1.3971733846543122,1.3798190432218598,1.3647565248845757,1.347322788999692,1.3322752586535234,1.4568257981472108,1.4631384595955332,1.4486800891352327,1.4766075507993255,1.4837845208897884,1.44414990602822,1.4290937943433553,1.4065228052967145,1.3832491112691359,1.361841524125218,1.3433617275930057,1.3287735197320756,1.356692544966361,1.323390170157315,1.310388017066159,1.290021520356837,1.339738313362829,1.3289746168226027,1.3202588676933948,1.3090122603946825,1.3010155278787399
52-2800874,,,,,,0,1.0116229990345973,1.001226025473643,1.2658098578932218,1.6902380100803753,1.9829104225034317,1.8301643553711042,1.741000281963127,1.6259103219981947,1.5192749558516085,1.4882841533464102,1.4502898402859077,1.4236612807858409,1.3935340321069276,1.3738541933350001,1.356832233743065,1.3376339316019383,1.3212449899090553,1.461300991878256,1.4680712010415649,1.4516950359457488,1.4825288165992163,1.4910301705858962,1.446925702053393,1.4300948984610862,1.4057535169007886,1.3803807874420697,1.3575016135760063,1.3379215091176773,1.322567244152647,1.3525277030461231,1.3176125721197482,1.3041020155453371,1.283063286337029,1.3356991980820774,1.3245426221733294,1.3156197413870545,1.3040297439576312,1.2958135695267485
53-2806571,,,,,,,0,0.9955181651710787,1.08962308849686,1.3993940027636964,1.3486279271330803,1.3034294226217424,1.273307838253263,1.2350234513274339,1.2003312462580926,1.189135127305615,1.1750714645210316,1.1658264531135976,1.1545633727106348,1.1469773408960033,1.1858147702953874,1.176006101778374,1.1676637879765976,1.2964736449123149,1.3128709286269638,1.3208527081453687,1.3541157656838279,1.3645117102324449,1.3321561808347762,1.3201776436121753,1.3020016144209718,1.2834977448258083,1.2667888357556816,1.2522792044846887,1.240945078556231,1.2726782642128007,1.246037523199579,1.2357299380451743,1.2195673761580408,1.2748232151267156,1.2660132997349927,1.2598577558014503,1.2503898576402936,1.243688020096729
54-2806920,,,,,,,,0,1.2061509586553647,2.0322467280191243,1.7405713347786542,1.5613281987818686,1.4705525664841141,1.369201168378664,1.28924504369848,1.2669515470560297,1.240455792130213,1.2232696769409686,1.203705135063615,1.1910856026464494,1.2387050348870503,1.2228250984468747,1.2101063124605291,1.3740685269333686,1.3884264157165382,1.3930806202212074,1.4316142175308195,1.442184831861945,1.3958416724695792,1.378888476378218,1.3541611945355398,1.3288488975759405,1.3065569807950368,1.2873420093828107,1.272764849024256,1.3078584580963368,1.2743471930851868,1.261592073688723,1.2418817060785414,1.3012217525886152,1.290474741767714,1.2825708309677306,1.2714298895231808,1.2635785757954965
55-2800938,,,,,,,,,0,1.017822251399404,1.0242921947540078,1.0195578831467653,1.00882236949466,1.0040360186254473,1.0066426866115088,1.005120996769098,1.0029750698798436,1.003346093451044,1.0021167384644516,1.0889869397159686,1.192311894844798,1.1772584332075378,1.1655691259167402,1.3603633285849717,1.3792136217212518,1.385424882933794,1.4308186738836266,1.4431748005741083,1.389891013187961,1.3708671475136027,1.3435106137762027,1.316003949017352,1.291977556001195,1.2725153490185857,1.2573372006096981,1.2957630386440302,1.2609076485953346,1.2478330415049015,1.2276391115182048,1.2920275578010316,1.2809487882523969,1.2730601309348586,1.2615179495180513,1.2536520839545604
56-2800928,,,,,,,,,,0,1.0038546808141817,1.0071491250144973,0.9955577390904696,0.993815000944886,1.0000729332270522,0.9989503792103427,0.9972422085400657,0.9982001588126221,0.9973610445723357,0.9964310914450386,1.011984642986535,1.0114862321335814,1.0097917761209998,1.184530101152847,1.217482673879873,1.2177081515230166,1.26601607277676,1.2806898634691652,1.2491718411565145,1.236936426543956,1.2203583878716755,1.203270802451846,1.1885441504495957,1.1768815801031711,1.167148995356382,1.2070275226388232,1.1834711509474414,1.1744507457525197,1.1608508429467035,1.2273566970803271,1.2190918830686082,1.2144522566828126,1.2058115372155926,1.1996643890708096
57-2800929,,,,,,,,,,,0,1.0101822800568627,0.9911382998358315,0.9907472327423624,0.9993445745533266,0.9981156788408669,0.9962741513994138,0.9974594633646258,0.9966099620157456,0.9956393573902504,1.0023612296524604,1.0026093356405243,1.0021528234348747,1.1424296514659211,1.1801373565933384,1.1834137254950563,1.2345894528310692,1.2502544127297601,1.2212348076000594,1.2110048818274506,1.19506422267954,1.1795773783680625,1.1668265220078615,1.155581123616505,1.1470546344493475,1.188312370808955,1.1666261932501005,1.1585008608749798,1.1460005376187379,1.2141226084653705,1.2062955415387286,1.2022788638752642,1.194052825786334,1.1880829636956747
58-2800934,,,,,,,,,,,,0,0.9651161454202729,0.9811109118884502,0.9964816692524768,0.9953829249156376,0.9936488328539526,0.9953544590860477,0.9946624241173725,0.9937370197478633,1.0014755953194117,1.0018289114424792,1.0013887805570723,1.1340984919580912,1.1752418670438471,1.155833117782895,1.1645535572007273,1.1577723272504297,1.1398796938699614,1.1334407385991008,1.1411449658281767,1.1297526041115187,1.1204956408780111,1.1160540193312518,1.1096421530940388,1.1597452605080125,1.1412270343050395,1.1343159893245813,1.1234957044745317,1.1934555999888539,1.186400474495233,1.1835375885178683,1.1759047459813625,1.1705761854711485
59-2800936,,,,,,,,,,,,,0,0.9902171210197752,1.0039949285607108,1.0013934761123273,0.9982221894703877,0.9995202169949277,0.9981280603550552,0.9967669693044605,1.00475908494785,1.004821803622537,1.0041022704360092,1.1468519457469684,1.189956870786655,1.1675870729437523,1.1755199370014644,1.1679319470103624,1.147985444255668,1.1408547499227328,1.148183970821319,1.1358016522676146,1.1257508500830467,1.1210246159459734,1.1141351799692882,1.1656543055257245,1.1459276375551868,1.1385981447059543,1.1271770803806225,1.1984394189521779,1.1910331086164312,1.1878651216126035,1.1799053045589498,1.174354215173863
60-2800940,,,,,,,,,,,,,,0,1.0140024002756753,1.007380080267793,1.0013577445286357,1.0024889392084693,1.0001808376604189,0.9982623630069416,1.0075005936941965,1.0072625469219476,1.0062027536226863,1.1713750999909451,1.2169812698900346,1.1883091540361326,1.1953302025057349,1.1860730139888425,1.1619783459711377,1.1534857791273565,1.1606154299327143,1.146287291687581,1.1349509107251314,1.1290554362813001,1.121292569368367,1.175536913772178,1.1535867601433114,1.1455008314528925,1.1330068065637369,1.2067403355128594,1.1986994265680755,1.1949912255493882,1.1864466886802618,1.1805000094460083
