순번_정류장ID,1-2805935,2-2805937,3-2806688,4-2800680,5-2806689,6-2805948,7-2807328,8-2807329,9-2805903,10-2803067,11-2803040,12-2803077,13-2803101,14-2803115,15-2803134,16-2803133,17-2805713,18-2803122,19-2805890,20-2803091,21-2805891,22-2803081,23-2803052,24-2806035,25-2803069,26-2803073,27-2803072,28-2803088,29-2803090,30-2803089,31-2803076,32-2803083,33-2805887,34-2803092,35-2803098,36-2803103,37-2803116,38-2805712,39-2805896,40-2803234,41-2803237,42-2803241,43-2802763,44-2802772,45-2802788,46-2802805,47-2802836,48-2805690,49-2806493,50-2805688
1-2805935,0,0.9949273823332406,1.0030345238095237,1.0010705231957715,0.9960112192555476,0.9979728750627407,0.9994539472911802,1.0470072156914638,1.043362588150018,1.045222752360212,1.042153046093969,1.1273579366498558,1.11884621148311,1.1129231966851154,1.1033543111803041,1.2248931944290362,1.318002095577713,1.3986279180801695,1.5583420677412345,1.5445168536549974,1.5180016837132952,1.4998204538072446,1.5018962389182333,1.5256762148953942,1.603559152181311,1.563041032172376,1.5411243357960385,1.568101223899965,1.7211283319166708,1.7738993980233004,1.9030532205779467,1.9943803051468487,2.0836302454298097,2.2200718531152592,2.3360940423145187,2.325669639225825,2.266972650819719,2.214935626096485,2.2070169296007247,2.1205269966275084,2.074127797665047,2.0295336244443174,2.1323907617853117,2.066926438401182,2.0217439293314583,1.9869831992614404,1.935158933674457,1.8825438794066638,1.8581974026427728,1.8355541151052106
2-2805937,,0,1.0063697585170948,1.0029194227041351,0.9962430748073701,0.9981820691419704,0.9999682776651097,1.0503670415486943,1.0457963409461426,1.0478244125724878,1.0445192507410428,1.1338701525583947,1.1247108686706404,1.1183948254625815,1.1080085844133984,1.234655289784218,1.3318577744888258,1.4174585698460576,1.5856569879132074,1.5708024469150141,1.5415639307671953,1.5214392816868743,1.5235695512027514,1.5479662092624353,1.6299912976992335,1.5857852751537451,1.5617429093586745,1.58979072007003,1.7503055464391202,1.8058284738165316,1.9420802513277209,2.0383527280829745,2.132612133557773,2.278188955340763,2.402599128891237,2.3907726382395116,2.325922727886149,2.269004144818687,2.258500720110388,2.16515508769697,2.115042550994823,2.0667488169341284,2.1737870569550095,2.1036514022817445,2.0556428285363273,2.01834823961566,1.9627383379932308,1.907765705528429,1.881606024035407,1.8577335620413633
3-2806688,,,0,0.9935153255389011,0.9852729447011904,0.9962054797841053,0.9988806427126302,1.0575223984950763,1.0518928968853092,1.054040310539161,1.0495653038912403,1.151891074561242,1.1400935933176837,1.1318024424714328,1.1191145432493368,1.2618244793123015,1.3717589421611465,1.4685826247129878,1.6630429951853476,1.6437422951393306,1.607038561114345,1.5824110750946934,1.5835480121626981,1.6092335829715323,1.702385050203386,1.6485481035639444,1.6188515956690348,1.6486107539720156,1.8304910102904737,1.894294473748161,2.0497963108466513,2.161934267002876,2.2721289910321136,2.443418189318126,2.5918317941381543,2.575540319101898,2.4923745883147594,2.4204617024909294,2.4017345556325203,2.2876994026804045,2.226242028180101,2.1667695395289437,2.285770481243685,2.2021443451336222,2.1453090115140836,2.101853514342778,2.0365684609227044,1.9729401414697834,1.9431358060373387,1.9162966577185858
4-2800680,,,,0,0.9798360299181963,0.9964189354917834,0.9989332049323979,1.0617649781825083,1.055404062439403,1.0571427551076893,1.0525693771847966,1.1605532047271272,1.1474343552122153,1.1382671915278886,1.1244623167392158,1.2739600754132006,1.3890244151303404,1.4919052770659122,1.6971493861539588,1.6762657378282368,1.6360178509740877,1.608678351770417,1.6094409370699148,1.6360296586954055,1.7340654149754315,1.6752130497774356,1.6429558043126338,1.6738939010345344,1.8650954665574042,1.9324137701148802,2.0965472118066963,2.2156296780659335,2.3330097400700045,2.5162179525797748,2.675723866924537,2.6572463577872534,2.5661385448549394,2.4865714747031387,2.4638197152887105,2.3395087319032974,2.273496501286782,2.2091162258380064,2.333453912012654,2.243441177340413,2.182393063884686,2.1361509696569945,2.067358175244849,2.000078331191066,1.968611153576134,1.939870108302925
5-2806689,,,,,0,0.9986860475682999,1.001072937404764,1.0709169383195989,1.0629857565952578,1.064272880080442,1.0590017691020006,1.1768919140735634,1.161204327976104,1.1503515968288773,1.1344418949408102,1.2956124468117753,1.419998124968559,1.5324606129856806,1.7579299848416357,1.7334078561230966,1.6866289709047682,1.6548947135774605,1.6549109243668148,1.6823807711085237,1.788879985246787,1.7215179611876057,1.6846351764114158,1.7170262618465164,1.9242923064740804,1.9977152383023227,2.1768657126636395,2.3081729150906867,2.4382859193568747,2.642800610267528,2.822333751437314,2.7997378467352867,2.6929867702986834,2.6009859907508877,2.570664610475754,2.4281214888891647,2.353313972039817,2.2802730894874466,2.4125510146141345,2.3120891671549213,2.244660490302963,2.1935902095371067,2.117535768787463,2.0441185228482825,2.0098684014472963,1.9786914412537635
6-2805948,,,,,,0,1.0119010358586644,1.011147979662831,1.0055382616263349,1.0099888924265366,1.0026144418082443,1.0031053248763837,1.0034147051565865,1.004170869127378,1.0010451731237604,1.2367714029631942,1.4406626286325592,1.635715598347395,2.055638935198081,1.995887209478828,1.8906629112974414,1.8232319593842912,1.8185522068935422,1.8565616751548313,2.0371541395187456,1.9014489558234298,1.8312540161910125,1.8769296988608355,2.2154800448310294,2.341795286936094,2.657267755360298,2.9066174065882864,3.1663473288836945,3.6032257242457444,4.019430490577247,3.9409257814729552,3.6395406908396626,3.400329366367437,3.2851564263307647,2.9701367848301086,2.8166355257770417,2.694829345808475,2.8962113904678106,2.7067609637123202,2.5849508616407557,2.4959366258887,2.3686268030613187,2.251854891374811,2.198355891394625,2.1513876250243142
7-2807328,,,,,,,0,1.0092689154620662,0.9993654383929774,1.0087951560534707,0.9977018468505982,0.9996331103147041,1.0007815639303594,1.0021394725293993,0.9987170118917563,1.131845193468705,1.349098663737569,1.5556161671399784,2.0121600599409133,1.9486995510498517,1.8386784223837922,1.7697119451055618,1.7662593667157473,1.809334903203961,2.0029701701837666,1.8620004182540981,1.790626490012094,1.8400360839194934,2.1990493956695505,2.3344343843397395,2.675759407214297,2.9489630129481945,3.236865808815507,3.7289934209629654,4.207346474536952,4.113257589667388,3.7636350269038306,3.4885703760453577,3.3558432794048603,3.2431888975943517,3.0434863219339476,2.957418887812112,3.198485990041291,2.9471145374508056,2.7898498022863665,2.677774277019399,2.5182004449467525,2.3759352652221066,2.311880129905297,2.255360830191581
8-2807329,,,,,,,,0,0.9871921881515171,1.0054990184213228,0.9920934032627889,0.9960730515906466,0.9982504264502625,1.0001990570633912,0.9968481298566985,1.04629399536922,1.2590807163731534,1.4569579235504777,1.8991953000133148,1.8427591070735996,1.7445292529144778,1.6834777937145873,1.6826406908576685,1.728838794344877,1.918246584385498,1.7890873182662272,1.7242743620270513,1.774838859022929,2.1254090144441484,2.257581622895214,2.5920670651245823,2.8588580919180857,3.1400101072070314,3.6205069749663723,4.087398280391126,3.9976041140828182,3.659507071337451,3.3980069605942425,3.433013568165192,3.41907048410793,3.1881389744705317,3.085850936304053,3.3478221347694936,3.062525287000391,2.8874916652694718,2.7626028325430827,2.5876285887469734,2.432282693529679,2.363381477558559,2.3020112151902836
9-2805903,,,,,,,,,0,1.0258164882880578,0.9957069660961517,0.9998179364972477,1.0014474502048916,1.0031700441968872,0.998532990429091,1.0209041269349273,1.2583798622570035,1.4829116333523,1.9987895989974191,1.9270834484939205,1.8058055190322553,1.7319730816743426,1.7294084121930493,1.7786083944613393,1.992286584632926,1.8394867129393233,1.764151873994248,1.8182472749199121,2.2087681415773313,2.3582304765431203,2.739440296262766,3.050533111985407,3.3838872694232403,3.9673904189759304,4.5519430715758205,4.429135518841255,3.9915963357579125,3.6591927855878756,3.809367835810775,3.7703628361340136,3.4714654651270793,3.334041532283729,3.634156392238453,3.281748336178606,3.0685214186384906,2.920400323185511,2.7136486005256946,2.5348590781339837,2.4554952427033037,2.3862669630522406
10-2803067,,,,,,,,,,0,0.9361201862809414,0.983884721356314,0.9928632042860082,0.9973004074904763,0.9934432031015138,1.0196245651394986,1.2961228884445841,1.5663885696491568,2.214144836488875,2.109621312182635,1.940703004157857,1.8409660110959367,1.833802936243735,1.8849808488466413,2.1377225635248442,1.9410466574848855,1.8463573012932246,1.9045825710971478,2.3576907010672787,2.534834513602715,2.9913824135418525,3.3768800119766365,3.800445619983441,4.569828913733617,5.379009399465747,5.187821559641082,4.550178039792748,4.092667947418579,4.257426145335688,4.181039961104591,3.792356953409385,3.6093369142165517,3.9557204873720337,3.519052478727966,3.261270872890103,3.0853343931619337,2.8432098270892423,2.637969389970201,2.5477512741184527,2.4696329869488904
