순번_정류장ID,1-2806577,2-2800269,3-2805488,4-2800272,5-2803603,6-2803602,7-2800274,8-2803847,9-2803852,10-2803855,11-2803857,12-2803610,13-2803612,14-2803613,15-2803860,16-2803861,17-2800256,18-2806225,19-2806899,20-2803870,21-2803874,22-2803973,23-2803979,24-2806018,25-2804334,26-2803989,27-2806004,28-2803991,29-2803993,30-2803995,31-2800298,32-2805077,33-2800301,34-2804454,35-2800294,36-2806305,37-2804057,38-2800292,39-2800259,40-2800007,41-2800058,42-2800055,43-2805220,44-2804455,45-2804456,46-2804526,47-2804457,48-2800045,49-2800035,50-2805398,51-2805723,52-2805418,53-2800053,54-2800024,55-2804994,56-2806654,57-2805643,58-2800426,59-2800439,60-2800456,61-2800452,62-2800451,63-2800454,64-2800461,65-2800463,66-2800466,67-2800470,68-2800353,69-2803672,70-2800309,71-2800480,72-2800491,73-2800494,74-2800496,75-2800499,76-2805303,77-2800512,78-2800521,79-2800524,80-2800548,81-2800553,82-2800566,83-2800584,84-2800596,85-2806246,86-2800622,87-2800627,88-2800336,89-2800658,90-2800669,91-2800670,92-2800682,93-2800695,94-2800714,95-2800701,96-2800704,97-2800726,98-2800751,99-2800765,100-2800790,101-2800792,102-2801771,103-2801773,104-2801774,105-2801787,106-2801806,107-2801954,108-2801977,109-2802024,110-2802051,111-2802098,112-2802129,113-2802152,114-2802163,115-2802174,116-2802831
1-2806577,0,1.2479088876530742,1.1635657191987934,1.0567704333812826,1.0450570824847154,1.0372779401695316,1.0341657939607565,1.0425142645473062,1.0172175373834633,1.0148249986720084,1.0127381029549865,1.0116637158894508,1.0115618854391824,1.0101077058520131,1.0095905308887747,1.0087935424787977,1.009212961056166,1.0088147314475517,1.0085463644026194,1.0072792656941074,1.007525038416222,1.0070634845541528,1.0067586254302325,1.0692258575191644,1.1570754411085384,1.449578041298103,1.5855723554587873,1.6604261529061717,1.7198471009842144,1.7843132416771212,1.7925004284397152,1.756556651851264,1.7265232199295901,1.7031827999958202,1.6829051403001152,1.754039330194273,1.7876455220386165,1.7723284974943405,1.7375530077814305,1.6649498679242252,1.6354693379992198,1.6122563070990692,1.6008585575669052,1.5744033377465967,1.6414787406534204,1.6879984362115614,1.7317331308069417,1.7943574550548242,2.11513513409553,2.132303620205491,2.1019932235528005,2.0735676612016696,2.031140394793952,1.9387189379636,1.9272587133057746,1.9086904638531286,1.8953127966378607,1.8928864138406483,1.8717050631103134,1.840708531996619,1.8313148002706956,1.8256731301894547,1.8169834557966034,1.7992431584226303,1.793563113567801,1.782959259463573,1.7756362718997152,1.7807602021944768,1.786863718293612,1.774331000149868,1.769087364351789,1.7618130835726593,1.7519158570234576,1.741082885690502,1.7335942028014202,1.7089006553853412,1.6976223599426277,1.6873433764212176,1.6813853913564412,1.662905826584437,1.6603920455676857,1.6522422859712256,1.6420231311219078,1.6155383352734607,1.6100099718318608,1.613478183265668,1.6077983523019754,1.6002959085732695,1.59638290600756,1.5935639998907605,1.5920084792891467,1.5853583560471411,1.5781869254743313,1.5730028863939627,1.5832353096924683,1.578250968418245,1.5731380625102074,1.5666803409633385,1.564877042662307,1.5531652240422018,1.5502676753907378,1.5429001909326592,1.5372302174498818,1.5349763478783176,1.528586318904486,1.534145928077246,1.5277916907538684,1.5225821772681363,1.5176724168217262,1.5153357744347662,1.5102686169132573,1.5058943212830833,1.5082255106708768,1.5167825663713628,1.5162226562679673,1.5213279083978581
2-2800269,,0,0.9989815947701196,0.9953788190315306,1.0021364532332933,0.9973755255608202,0.9984173681140096,1.0117515590118349,1.0018368622309626,1.0022541380082577,1.0018974349621792,1.0024044380093475,1.002425966772318,1.001771670689398,1.0014752738628168,1.0015436312532493,1.0021023179730975,1.001771599082842,1.0021617437983559,1.0016333341575787,1.0020493589901305,1.0017382331751254,1.0017619625259289,1.06461482875003,1.1528727116556325,1.4473332470336966,1.584670313694991,1.6600920282619047,1.7202085206696491,1.7851893300531585,1.7933197411431274,1.7572545931477686,1.726681039220983,1.7034769963053566,1.6825780343039631,1.747629209272715,1.7815325361702419,1.7662645401316477,1.7316158283240113,1.6593194017613506,1.6299798166889692,1.6068878859853413,1.595549345351012,1.5692404929848787,1.63644993730538,1.6830409384792946,1.7269338614630994,1.7896745905453897,2.11121174711653,2.1285473057413276,2.098222553343703,2.0696764685098112,2.027258973564588,1.9349761054536476,1.9235254574977803,1.9050567621103154,1.8916083589030799,1.8891845880589069,1.8680266996333803,1.837070854866233,1.8276916008594468,1.8219118174839153,1.8132360548457216,1.7957402055402276,1.7900008997657821,1.7792796280516958,1.7721068234214474,1.7772735672647815,1.7832575398973727,1.7710100801923805,1.7656473306917335,1.7583858710916775,1.7483821404466504,1.7377595954934688,1.730224804556042,1.7056446953451792,1.6942221984559767,1.6841354705366554,1.678191100731852,1.659703391189787,1.6572489977962175,1.649017395472078,1.6389268311911267,1.6124655322193355,1.606953097627293,1.6105473176249288,1.6048838599157682,1.5973136559967116,1.5934137777438515,1.590603634695781,1.589139438770832,1.5825084297001588,1.5753156790501879,1.5701899323655275,1.580407996023263,1.5754796983391428,1.5703420420971776,1.5639026261639515,1.5621490476246211,1.55046915350561,1.5475034565779664,1.540209951913216,1.5345953841744302,1.5323486854493567,1.5258701149491312,1.5314870742921924,1.5252264321402136,1.5199959887322125,1.515173448179822,1.5128093186191813,1.5076572010595892,1.5033318714677706,1.5057211374857733,1.514256935049293,1.5137468249975814,1.5187943107235058
3-2805488,,,0,0.9937551860976042,1.002991739256378,0.9969841459884898,0.9982979191796891,1.0140449185489833,1.0020626852596946,1.0024618876773588,1.002055170801479,1.0023407492275762,1.0025813889241346,1.0018858411712417,1.0015744278474008,1.001463497033235,1.0020448317884585,1.0018672645053406,1.0022625893972774,1.0017054978773363,1.0020672564909385,1.0017476556908522,1.0018287248973403,1.0662767754638909,1.1567889596209164,1.4602472844464818,1.6025418087442227,1.6808801127064306,1.7434397353407964,1.8108530777860523,1.819357817015516,1.7806934972897204,1.7484755599935224,1.7237662533526763,1.7018908923755582,1.7184323348429655,1.7529633246415925,1.7382560982704807,1.7049043726543849,1.635291378900487,1.6070342160788293,1.5848059193542066,1.5738806466997328,1.5485430297120264,1.584473682497241,1.6291531034435098,1.6712879349551,1.7314595559986252,2.0388697201754935,2.05760153487087,2.0298311091805177,2.0036845669190293,1.9647985207782839,1.879653731984433,1.8690932109370404,1.8518529263036831,1.8395085721491458,1.8371900040778562,1.8176914303947456,1.7890279212374587,1.780205719399728,1.7749868265736948,1.7670580825270832,1.7507013012551484,1.7453838545416975,1.73555021088353,1.7287709555981805,1.7342084701219402,1.7402071880003316,1.7286677030619138,1.7236971720684995,1.716926324307679,1.7077219902647505,1.6977292344604609,1.6907021160142095,1.6677979064305348,1.6572409104914172,1.6477708212466444,1.6422151274062187,1.6249328601531108,1.622646641744464,1.6149970867010475,1.6055065977930496,1.5807681183756606,1.575601144135767,1.5798506096746676,1.5744989360161237,1.5675179928950795,1.5637813527004478,1.5611437427555581,1.5597660163499685,1.5535347158466364,1.5468120179571012,1.5420017493009035,1.5521870938669011,1.5475091660602518,1.542683166670587,1.5366458020520977,1.5349983288672453,1.5239633001989514,1.521205416000737,1.5144465939901104,1.5091168565325719,1.5069992995708628,1.5009587872746344,1.5065570183518318,1.5006236904699537,1.4958017156648076,1.4911928665383338,1.4889911261634383,1.4841632742369146,1.4800080136250333,1.482562498763311,1.491010205746691,1.4906930156041842,1.4957411611344822
4-2800272,,,,0,1.0169371328421668,1.0007858750041128,1.0023225364116382,1.0274914823703052,1.0038309574305018,1.0038894555749098,1.0031872390794396,1.003587903447243,1.0033234790354548,1.0026977286889147,1.0021225172132808,1.00213618893913,1.0029146842955021,1.0025352114421398,1.0027433681803293,1.0022169309414568,1.0025174889161728,1.0022948400242875,1.0022831079231562,1.070555806207909,1.1666212489185943,1.4924727059415364,1.6469342116308394,1.7328941234134698,1.8012964937624938,1.8755720760148737,1.884657986517209,1.8394878861343977,1.802065503899723,1.7739116291133579,1.7489580221949972,1.7379823390171178,1.7736995967098346,1.7578886819163204,1.7221228489115845,1.647964723624718,1.6180490886924919,1.5945840874515047,1.5830798740549485,1.5564538812183826,1.535693232787722,1.526816640194476,1.5555607276922725,1.6104800016048484,1.8899314690359448,1.911271846855002,1.8885057632836662,1.8667714030001537,1.8349504096186804,1.7641049563809714,1.755396623129336,1.7409505661959372,1.7307864198551,1.7287000786485993,1.7123595252414427,1.6884299968967944,1.680830909981112,1.6766355380853841,1.6697930402613674,1.6560263115585943,1.6515609166670682,1.6432473444723292,1.6375395807362798,1.6435105066219464,1.6492604865669598,1.6394284758425124,1.6352533765979749,1.6294789400056247,1.6217556259592911,1.6131880590633823,1.607195014980426,1.5877091488239676,1.5786907794747054,1.5706985725801936,1.56584164777176,1.550894291832482,1.5490946782715236,1.5425371157230086,1.5343427729256995,1.5130635349156418,1.508696678487748,1.5143410008310676,1.5097283489096573,1.503691404845242,1.500477090217868,1.498197419227368,1.4969991135004568,1.4916365273736174,1.485802189941901,1.4816102923525178,1.4917187121470799,1.4876861387698097,1.483433819226894,1.4781875775891042,1.476844239602559,1.4671541410911728,1.4647493527627875,1.459072468477634,1.4544170430335002,1.4525696123517147,1.4471932100835556,1.453100253082823,1.4479257012289741,1.4435642825752661,1.439552337659516,1.4376508478398258,1.4333071393927879,1.4298412336276476,1.4326771448061082,1.4409350196571191,1.4409204968696194,1.4459272125289258
5-2803603,,,,,0,0.9435803703831431,0.9815682433600278,1.030515402970821,1.0006140339208514,1.001507873418442,1.0011762049012727,1.0016630685303123,1.0019819841908402,1.001228778580304,1.000663468748778,1.0008296494852829,1.0017163101557427,1.0013294706374718,1.001822777778396,1.0012725832812475,1.0017578341886855,1.0014147732172556,1.0014639963992158,1.0722559329922674,1.1723287981999095,1.514723934892527,1.678446260524685,1.7698250419560324,1.8427956945949022,1.9223025582686686,1.9319898861231575,1.8814089667138851,1.8403229106622343,1.8094332702574234,1.7822682743744431,1.765110814912968,1.801746480040112,1.784593884971175,1.7461586263558164,1.6669386208440935,1.6352490846119774,1.610288254174357,1.5981260840146825,1.5701013533898707,1.5482318012375529,1.5388974597177902,1.5305834445309057,1.5356034028729963,1.7984176997577677,1.8211902957674895,1.8013202067452234,1.7822092186829914,1.7544455218801915,1.6921955458693683,1.6843896964512528,1.6715988775368003,1.6625674358235227,1.6607798787644932,1.646317583959114,1.6250024348072525,1.6186301049970753,1.6146774004861737,1.6086296858628732,1.596415144435793,1.5924610100533463,1.585060814104897,1.5798303782227479,1.58622526779824,1.5917097278745145,1.5830193405581394,1.5793784274876272,1.5740454922199358,1.56719937022409,1.559620644797683,1.5542546494621898,1.5367968460045471,1.5287640978889911,1.521561115306832,1.5172889603251223,1.5038600797232,1.5021758361099569,1.49633149706044,1.4889616060216573,1.469887930290798,1.465835601495468,1.4724395335245108,1.4683216171292661,1.4628280339997284,1.4598980245236794,1.4578776275908158,1.456790274530075,1.4518643686595911,1.4465812742670432,1.4428347663569763,1.4529275471612433,1.4491978590973975,1.4454228786628092,1.440607893945585,1.439488303066203,1.4305999845783133,1.4284149764841592,1.4234674623760921,1.419264631689688,1.4175852291762547,1.41268839370213,1.418621085750254,1.4138574398046506,1.4099122314816277,1.4062730111834765,1.4044457000051185,1.4006109218155938,1.3973612877969246,1.4003835387978523,1.4085800732970637,1.4087452364962008,1.4137040011569806
6-2803602,,,,,,0,1.0069899670698306,1.0550035537868472,1.003381807865444,1.0035694741224377,1.002836701484773,1.0033386387127923,1.0030583356340574,1.0024046332714442,1.0017881794430707,1.0020412566191692,1.0026902580417394,1.0020945500892902,1.002703415408668,1.0020064950424392,1.0023309123125557,1.0021022894146976,1.0021035551224804,1.073771212929815,1.1751842325815773,1.5226511084946133,1.689440236555995,1.7821299016534204,1.8563126884846528,1.9376229238255158,1.9472639807631305,1.8953574306115075,1.8530239227524252,1.8213836970993693,1.7931779369090075,1.7757293808847714,1.8124320804648242,1.7949693410638774,1.7554530068160046,1.6745175205318663,1.6420586077344264,1.6165017306601712,1.6042751318942134,1.5756307161060616,1.5532077359699852,1.5437108064419562,1.5354717433496758,1.5239288364076735,1.7742601137019867,1.7974722075427516,1.7782599903174416,1.7599930426048411,1.7331122784963728,1.6730536600107861,1.6654534475297649,1.653229390351745,1.644444627413162,1.6427819022506573,1.6288073865961894,1.6082062804847526,1.6018723670235266,1.598288838901702,1.5922555007443473,1.5804491985940343,1.576629571673689,1.5694144457278238,1.564575977395391,1.57088408921695,1.576547306771093,1.5680149424671916,1.564392184979582,1.559378285693317,1.5525388031210574,1.5453594804921482,1.5401075700414635,1.523196716966502,1.5154570158707135,1.5083355305455257,1.50419259551112,1.4913001312128245,1.4896268793167515,1.483915138914643,1.4768486221931167,1.4582121326346222,1.454436931984504,1.4611895145911904,1.4571145647223955,1.4517770706037976,1.4489713916031537,1.4469718855464584,1.4459141878335569,1.4411996282272084,1.4360988479129844,1.432387997768507,1.44242827459672,1.438871189525933,1.4351677075780367,1.4304775870189226,1.4293731172888038,1.420743036890258,1.4186166489429968,1.4138540647211144,1.4097305536143208,1.4081285626851237,1.4034236838468452,1.4093390415264002,1.404765068137647,1.4008505753399279,1.397249417720538,1.3955286536708331,1.3917354247647944,1.388598885524877,1.3918262830639287,1.399870322191783,1.4000912212546797,1.4049770838156939
7-2800274,,,,,,,0,1.089891755286435,1.003099712014918,1.0033773600845777,1.002649728264305,1.0029144431265251,1.0029186676105382,1.002260503499524,1.0018642044959853,1.001698926155943,1.0025798607098444,1.0021659203878912,1.00260433015796,1.001685887000562,1.0023158971787394,1.0019441949003214,1.0019568211713545,1.0750529360815455,1.178118546517558,1.5332806775954457,1.7044894541640543,1.8001541975608584,1.8764780069950526,1.960353006414849,1.9701932758898453,1.9158820096430653,1.8716254670856134,1.8380290535839663,1.8089571613017597,1.790411325843221,1.827434114853273,1.8094555187016146,1.7686314638260507,1.684890484935612,1.6514445853540147,1.6253209888332276,1.612484625975218,1.58306639267824,1.5602163098153625,1.5505524423620805,1.5420305609097418,1.5302796506681067,1.7381255764028545,1.7616762539983588,1.7436498186534453,1.726374378853505,1.7011194628849131,1.6442859294264789,1.6371589329285607,1.6255003215980777,1.6172443271726058,1.615603407987694,1.6023525777773489,1.5828117986476657,1.576922549458225,1.573352745203337,1.5676650605850926,1.5565721691587333,1.5528950953292384,1.5460895509038954,1.5413922032743326,1.5478729616416633,1.5534185775744187,1.5453398810711236,1.5419048852298587,1.5371252417847519,1.53065997357608,1.5237403286276467,1.518783644947335,1.5026843570426975,1.4950786733251913,1.4885183991750588,1.4844318194624901,1.4721802554469703,1.4706764545522046,1.4652271449038579,1.4584828504196587,1.440722541896936,1.4370009418825151,1.444098437336087,1.4403569134462766,1.4351371870238003,1.4324964730707728,1.4304739269003117,1.4295339153289326,1.4250223889228533,1.4201394911430092,1.416556150684304,1.4266798549245256,1.4232361326400158,1.419623452370421,1.415222754796653,1.4140907178590232,1.4057946750307522,1.40382211096106,1.399238272446414,1.3954429395444177,1.3938117180254979,1.3893289924614087,1.3951732738706863,1.390789802482802,1.3869257086020463,1.383597028067196,1.3819735418896206,1.3783933158152297,1.3752626832770405,1.3784867496441948,1.3866278787349258,1.3869327674744925,1.3919166398372909
8-2803847,,,,,,,,0,0.9909660383605227,0.994965458719802,0.9959686210566507,0.9974531952060571,0.9977315517900124,0.9974161309598072,0.9974215996744714,0.9977520435231843,0.998666084547341,0.9984895175426898,0.9990941545940056,0.9990408677150608,0.9996341902594392,0.9993433361419356,0.9995471522963235,1.074189746694895,1.1800163469801348,1.5457398474233677,1.7231526535854984,1.8225857828150982,1.901926397968799,1.9894186906105515,1.9995467615971771,1.9415012980334396,1.8946244864474218,1.859457794943849,1.8286549670933128,1.8091142948027423,1.8466331082089986,1.827632112467412,1.7848656682487818,1.6974976410499192,1.662734781951438,1.635627000048158,1.6224189146144499,1.5919702814672851,1.5683547081521114,1.5583011955678083,1.54943484299716,1.5374012288188121,1.6887017576255077,1.713021054579136,1.6964447143326835,1.680404652087189,1.657205261894592,1.6046828814463638,1.5982267827962875,1.5874155241767438,1.5797174223718713,1.5781938437850564,1.5658541301031308,1.547854247519211,1.5423452604711403,1.5389228444208123,1.5336770159630395,1.5233931582113478,1.5199860399632636,1.5137648939657617,1.5094068414245638,1.516048356358292,1.5214581553109934,1.513919334942106,1.5107384988595451,1.5061765908533316,1.5002479774416455,1.4938194940089435,1.4892419435905395,1.4742426057759337,1.4672720175744167,1.461020316521022,1.4573267616923948,1.445833730202896,1.444314386066553,1.4392639980197584,1.4328774061172316,1.4162216063984845,1.4126618075909303,1.4204210830540274,1.4168115055924455,1.4120211379241243,1.4095176172299144,1.407725368211488,1.4067716923133329,1.4025015949544142,1.3979163531262702,1.394659800439913,1.404648391954399,1.4012725160639767,1.3980857742519026,1.3938029452405862,1.3928095760913886,1.3851001457337726,1.3831485668463512,1.379072632769749,1.3753143581814713,1.373870236669398,1.3696173599390757,1.3754963764289583,1.3713730279329408,1.367823999183254,1.3646973634202275,1.3631060271450017,1.3597639582875705,1.3568336545103343,1.3600609612687005,1.3681621525763166,1.3685827523481213,1.373539026115544
9-2803852,,,,,,,,,0,1.0002484052383696,0.9999975553628819,1.001920339638476,1.0020149891567,1.0006842403507867,1.000127085357347,1.0004813229532412,1.0015891269795199,1.000995137416388,1.0017640133454846,1.0010219062106405,1.001690787612394,1.0012340924693672,1.0013150015145904,1.001545864570085,1.0013660958380985,1.3225006807142854,1.4869537501079364,1.579470699591274,1.6545435179065844,1.736019770726751,1.7467383183391898,1.7039309484479206,1.6682830113802496,1.6417094824760516,1.618404181999082,1.6052779349701882,1.6487892717114065,1.6338444356270068,1.6007139308944243,1.5330653469948812,1.5061748166306974,1.4853213395807008,1.47500874953264,1.4516975396249743,1.4334327887536453,1.4257063166059398,1.4189639858935437,1.4096534628551074,1.3734714610701246,1.3755217459354738,1.3680915815567185,1.3603049284652904,1.3499576577219567,1.3248848262632724,1.3218777763503324,1.3164589701928093,1.3128863526630188,1.31198709249309,1.3061088652236519,1.2972512836416432,1.2946645257778937,1.2930542558059195,1.2903324946104715,1.285408518573053,1.283698443015623,1.2805014469469602,1.2784759720515508,1.2860725393850676,1.2908784109947427,1.2870140947267363,1.2855629468859895,1.2832189419120068,1.279959449676391,1.2768180040987047,1.2744565364751141,1.266874384158191,1.2631973585503204,1.2601855005596985,1.2581464322104117,1.2521445353629161,1.2514019974943298,1.2487166514784076,1.245349052234912,1.2367140598696194,1.2348908152298903,1.2454941451324888,1.2435561012081728,1.2409246952362858,1.2396600390607873,1.2386983894023273,1.2381622076302943,1.23591127176319,1.2332527931946735,1.2315906292589536,1.241384829297312,1.239461355979734,1.2377826210736977,1.2352330463518835,1.2351019069742784,1.2303780770775763,1.2294345286138733,1.2279751177928837,1.2257073260976157,1.2250106259367324,1.2226783140408648,1.2286042934050332,1.2263679843936008,1.2242111734782792,1.2223733194087891,1.2215390396898766,1.2196060861240328,1.2180181780383619,1.2221161598068446,1.2296821015845283,1.2308383932828932,1.235570032350572
10-2803855,,,,,,,,,,0,0.9997111707966626,1.0019988170353744,1.002129250645822,1.0002914644551961,0.9995794114550767,1.0001411747908346,1.0015438287863319,1.0008129257505298,1.0017609030278136,1.000795430025305,1.001678256062549,1.0010582698759485,1.001166887468566,1.0015197477463185,1.00124198783417,1.1216401840869525,1.2598978619785748,1.336796699933757,1.4008856496877922,1.4680662092107424,1.4782513834637019,1.4545728191336507,1.4333351821939788,1.4174800324389973,1.4034576060878827,1.3976480279303927,1.4432365379273393,1.4337072337745693,1.412628474376851,1.368701393617037,1.3509917137187775,1.3373658093915155,1.3305644971459298,1.3150909869794492,1.303126118933162,1.2980443630254155,1.2934409258262674,1.2870849463608613,1.2627902318082704,1.2519589110268627,1.2472353544546202,1.2420526493521353,1.2358485127625622,1.2195519073446008,1.2176304609928137,1.2141088844750576,1.2118539309497476,1.2113439062476274,1.207424311176942,1.201750481136723,1.200122569790925,1.1989700056735242,1.1972492105332926,1.1938955180302038,1.1928700244682127,1.1908261120816004,1.1896290171614134,1.1974038216911531,1.2019478543854407,1.1993069223104134,1.1983957776011842,1.1967118287136984,1.194613012677961,1.1927397738359589,1.1910769776637655,1.1860044830959162,1.1836369307363355,1.1815388598016339,1.1802211630289343,1.1760304192382076,1.175713721426252,1.173803483839653,1.1715655766062154,1.1655347130692821,1.164266129465412,1.1760702478712908,1.1748307016717525,1.173018496203467,1.1721063941793635,1.1714722553464194,1.1710873219044202,1.1694498881276008,1.1676613393507693,1.1666053100946405,1.1760832377102115,1.1748208077389561,1.1735635049069297,1.1717510337444168,1.1717968772070115,1.1683317678014333,1.167588402033004,1.1672003737634877,1.1656380648890874,1.164978746240122,1.1633010696717387,1.1694653508652744,1.1678589650310804,1.1662793954826671,1.1649174704608436,1.164252405648238,1.1629237174029043,1.161715889470259,1.166265786766122,1.1734825089145333,1.1749876247500706,1.1795812883326877
