순번_정류장ID,117-2802185,118-2801848,119-2802173,120-2802162,121-2802153,122-2801846,123-2802103,124-2802052,125-2801847,126-2801990,127-2801952,128-2801805,129-2801799,130-2801777,131-2801772,132-2801770,133-2800791,134-2800789,135-2800766,136-2800748,137-2800721,138-2800703,139-2800699,140-2800712,141-2800691,142-2800684,143-2800676,144-2800667,145-2800657,146-2800340,147-2800624,148-2800619,149-2806245,150-2800594,151-2804976,152-2800583,153-2800571,154-2800554,155-2800547,156-2800525,157-2800520,158-2800513,159-2805304,160-2800498,161-2800497,162-2800493,163-2800344,164-2800481,165-2803595,166-2800468,167-2800465,168-2800462,169-2800460,170-2800453,171-2800450,172-2804825,173-2800455,174-2800457,175-2800438,176-2800427,177-2800423,178-2800414,179-2800023,180-2800054,181-2805419,182-2805722,183-2805399,184-2800034,185-2800047,186-2804479,187-2804480,188-2804481,189-2803585,190-2805219,191-2800056,192-2800057,193-2800006,194-2800299,195-2800293,196-2804058,197-2806304,198-2800295,199-2804482,200-2800300,201-2805078,202-2800297,203-2803994,204-2803992,205-2806003,206-2803990,207-2803981,208-2806017,209-2805721,210-2803974,211-2803875,212-2803871,213-2803868,214-2803864,215-2800255,216-2803615,217-2803614,218-2803859,219-2803858,220-2803611,221-2803609,222-2803607,223-2803853,224-2803600,225-2800273,226-2803601,227-2804331,228-2803581,229-2800271,230-2807150
117-2802185,0,0.9365874356595051,0.9919372372139985,0.9963260654712682,1.0022384237060318,1.3171778023656964,1.2662770039433702,1.2087322091325523,1.188720177853936,1.1636361315386636,1.1432957568661728,1.1254349103186283,1.1142361855094203,1.1017138044176928,1.1013185726308807,1.2026143475062598,1.1739255224765286,1.1680531648247352,1.148106822575512,1.1429202115731565,1.1473846614620764,1.1453718407594318,1.1380927902428724,1.18251403471228,1.1860487976601197,1.1822874448587137,1.1764276923364325,1.1701393487770013,1.1668705383348164,1.1617231528839533,1.1532812868238211,1.149225027351422,1.1755369757958642,1.1701937223320573,1.159419723916548,1.151409005809149,1.1477050852087027,1.141992600165273,1.140759669971026,1.1338594367419657,1.1299372942549495,1.1263132678975551,1.1234107436952572,1.1160393628772671,1.113871492925988,1.1101390674468778,1.1089711118788204,1.1075250143055981,1.1042677130407443,1.102532596918586,1.1019329114122285,1.1000302164400744,1.098753181299885,1.0966660419163177,1.095347473099219,1.094285766838471,1.0929533408190188,1.0918645918389753,1.0891550545875388,1.0872125672324808,1.0855841003752804,1.0843146929525853,1.0831786265511363,1.0770571870121535,1.0743510642992877,1.0730666895523069,1.0714468027441197,1.0690279472830568,1.0639039766509804,1.0638945975869805,1.063162878528698,1.062407967645538,1.0613318934029456,1.0590957000936592,1.0585150061299737,1.0572640944476723,1.0565339790042987,1.053213782218935,1.0527541530693705,1.052560378314826,1.0517972696522238,1.0510500974277517,1.0505669202568562,1.0499619742402517,1.0491924484581048,1.04838459341397,1.0478438763527618,1.0474416167988199,1.0467261406819326,1.046145158406023,1.0441773910866001,1.0435701025119055,1.0426414211549409,1.0415640436907654,1.0415408910117945,1.041113906454529,1.1079841140786695,1.105566830412299,1.1053846851063645,1.1041910515972195,1.102185604584857,1.10166442195215,1.099913494138152,1.0992567747148787,1.112397357197847,1.1611436363894216,1.2187801227308375,1.347340035948247,1.369645054956071,1.3799712331032212,1.388772551964385,1.4018171920595954,1.426475172052483,1.4729419106775894
118-2801848,,0,1.0399698522554022,1.0166998915345562,1.018064912084477,1.1623252446745302,1.1373435587419751,1.106978350114786,1.0978235611187637,1.0826408233900564,1.074387042212312,1.0653791379051973,1.0593200083726058,1.0537349065949142,1.110033085511919,1.2173579012918014,1.1854101591807469,1.1784753810672068,1.156510386342482,1.1509867800154714,1.1550632235729252,1.1529000354480823,1.1448370080950079,1.1905270698617976,1.193864394928513,1.1897768097761312,1.1832117155711535,1.1766256705676672,1.1730190591764904,1.16779412932798,1.1586977186782905,1.1543963374134076,1.181122069005725,1.1754932865990801,1.164287171621706,1.1558158897293498,1.1518277771324583,1.1459452965714993,1.1446511921277032,1.1372627277371974,1.1332642067171501,1.1293989340432844,1.1264364531082605,1.1187003022723903,1.11665394232631,1.1127214207759393,1.1114930840093653,1.1099915961060915,1.106610468600575,1.1048231007447915,1.1042397792958487,1.102278376922155,1.1009563817325723,1.0986858604278236,1.0973175360170506,1.096277502887755,1.0947996748996152,1.0936198586125883,1.090877324126012,1.088826403312677,1.0873906173198284,1.0859774186944622,1.0847614815097737,1.0784599098404841,1.0757197672237617,1.0744416205334204,1.0727011868731646,1.070091578565548,1.0650238929591245,1.0648659061436976,1.0640844701057994,1.0633795969144488,1.0623109866933076,1.0599915901183559,1.0595514155433399,1.0581499312882756,1.0574217699891013,1.053917163827436,1.05347447834459,1.0533004463224689,1.05251159882484,1.0517761307996163,1.0513877036840238,1.0506651097894315,1.0499318132874549,1.0490313476952084,1.0485052061308844,1.0482167413162433,1.047319311804105,1.0467487437481475,1.0448345463398903,1.044124851136747,1.0432688047487602,1.042106668874962,1.042015231997763,1.041707060717041,1.1088957364313983,1.1064697489353115,1.1062399303495838,1.1050969356636708,1.102935379686168,1.1025130833872354,1.1007179841536845,1.1000112316322983,1.1132910212821623,1.1622297095650882,1.2202296279552716,1.3495545682563688,1.3719715451435137,1.382363304686341,1.3913091047126975,1.4042893083054018,1.4291061323117662,1.4758801200437979
119-2802173,,,0,1.001633105931316,1.008304108564124,1.0014739321504669,1.0037154914219764,1.0016493548938776,1.0038511358984603,0.9988534026704904,1.0029273208492284,1.0037166107624131,1.0031833365222687,1.0045153846986006,1.0367283300919912,1.1419605176991325,1.1209834099741391,1.116863847768963,1.1019894421761374,1.0986752493421825,1.1052141854031243,1.1044461987270588,1.09910728515964,1.1455940692101132,1.1506218469418679,1.1477299325737498,1.1426878752728753,1.1376355492240044,1.134780264236657,1.1304934002090186,1.1237798057794826,1.1201143579628885,1.1482633807998606,1.1436203295802436,1.13415841872919,1.127740953474376,1.1246328162642338,1.1194906277688046,1.1186199012016735,1.1124806507880607,1.1092713431970949,1.1061836230523332,1.103728048297747,1.0974012533069368,1.0957790352477546,1.0924044095234384,1.091583433648581,1.0902401784761941,1.087617749053596,1.0861260876278123,1.0857036189264433,1.0839043416744216,1.0829273286518273,1.081046533331756,1.079972769494686,1.0792031825847546,1.0779845669016306,1.0769952018314364,1.0747986833324892,1.073052426445269,1.071764423249503,1.0707085043515059,1.0696894304829565,1.0645301537233138,1.062402546216114,1.0611399964956172,1.0598905876054874,1.057859154574831,1.0536362541085265,1.053552717906668,1.0528515464061508,1.0523192307244489,1.051414454698568,1.0494812856498974,1.0491508592772083,1.0480546120016336,1.0474980120968516,1.0445443872460378,1.0443181097300018,1.0441738490295633,1.0436423992086499,1.0429012011953471,1.0425975935231735,1.042116672747083,1.0414796793551744,1.040750870217375,1.0402645105305293,1.040004568362309,1.0392932979444642,1.0387647622105556,1.0372240528279983,1.036716818823035,1.0358870807075973,1.0349670734215506,1.0349788055755031,1.0346788222981413,1.1015585849956084,1.09935115822655,1.0992062076491798,1.098096332227281,1.0961334448007347,1.0956743060233427,1.0940412019743484,1.0934206517249112,1.1066601521941946,1.1554019360647212,1.213117766151183,1.3420114604531093,1.3643342965873333,1.3746822977436568,1.3834741030524569,1.3964876209447774,1.4212611099136798,1.467838796133448
120-2802162,,,,0,1.0180364369179762,1.001398632354677,1.0044656400938075,1.0010717428746525,1.0038469578080782,0.9978756172369537,1.0031348646772082,1.0039998521938611,1.0030993553209788,1.0048184382099128,1.031154397260361,1.1462375781016871,1.1229238586871977,1.1184189241073172,1.102171613180626,1.0986375287802088,1.1057418017652976,1.104751851716746,1.0990986204096533,1.14826521277102,1.1533019632301695,1.1503296017764884,1.144944221783585,1.139697512163775,1.1367975113631248,1.132254463556141,1.124926630479779,1.121414733331734,1.150295933595454,1.1455205551000212,1.1356069434224536,1.1287890578881186,1.12545969132842,1.1204694179546832,1.1191364524332363,1.1129488922693034,1.10955776803944,1.1063751827651112,1.1039933116539482,1.0974896163505028,1.0956263259194132,1.0923037561498397,1.091465069376948,1.090154221552934,1.0874153365741757,1.0858929474010492,1.0855228609386876,1.0836872627471452,1.082748509796754,1.0808321149236808,1.079739800218056,1.0787425218341749,1.0775579570443954,1.0767112966393102,1.0742795210234126,1.0725121219239644,1.0713550852109277,1.0702410756735397,1.0692098897368327,1.0640021937644453,1.061735981353866,1.060707377462111,1.0592885010446986,1.057254799899009,1.0530532728037247,1.0530087837230289,1.0524062582344484,1.0517712598902376,1.050732263029503,1.048926862318452,1.0484742595784668,1.047469208963334,1.046921356848454,1.0440518422143958,1.0438286085898956,1.0435767031142127,1.0430566151684906,1.0423690222589759,1.0420411901453577,1.0415108269395772,1.0409015966359831,1.0402006908573211,1.039715535816276,1.039458270808965,1.0388671569430914,1.0383646895725445,1.0366914346373397,1.0361876580845522,1.0354042739516718,1.0345094796008387,1.0343769760803956,1.0341644585730725,1.1016693334612961,1.0993072760426499,1.0991834910260074,1.0981087658585436,1.096194422326156,1.09564568964665,1.0940002899381518,1.0933335680364766,1.1066963653097681,1.1559793350405527,1.214065474173807,1.3442089044349983,1.3666038219933374,1.3771399061509229,1.3860771185875826,1.39913035015374,1.4242447224921153,1.4713065047227767
121-2802153,,,,,0,0.9918676776784728,0.998951350096827,0.997380184462174,1.0012523113078302,0.994760145562674,1.0012910205698589,1.0025574764184106,1.0017285808843115,1.0037909614726233,1.0031045286243234,1.0537699081196665,1.0454507446068833,1.0437476759496074,1.0370346251403972,1.0360583759031639,1.0461879398157146,1.0472910374560052,1.044829981911593,1.0944862261819879,1.1018839817979167,1.1001168506832812,1.096761179640687,1.093160620207054,1.0911903529618399,1.0882348177892864,1.083413458670469,1.0809774434897699,1.111352431410399,1.1078879342613834,1.1002307314943098,1.0954105732108879,1.0931409711775784,1.0891970264327933,1.0884340206669747,1.0840278422472611,1.0813256637160753,1.0790823825459994,1.0774817918930348,1.0727298173876654,1.0712980682716624,1.0687148221202611,1.0681611526612302,1.067247224935442,1.065325242841416,1.0640273592584935,1.0639285386858208,1.0625900270283393,1.0617567917582844,1.0601960641530719,1.059666369676547,1.058919246024862,1.0578751924423409,1.0572633755816745,1.055624039972078,1.0542267212805547,1.0533641005321088,1.0527063248318722,1.0518141431603494,1.0479876547209708,1.0462945442444376,1.045438753830704,1.044279151977707,1.043006392435764,1.0397400798547853,1.039857771672264,1.039388649833826,1.0389180552567732,1.0381453591389653,1.0367898992112565,1.0365656227137485,1.0357094666102424,1.0354693077993196,1.0332697475763808,1.0330577806384131,1.0330448021933545,1.032718102999806,1.0322836875896901,1.0320016393188456,1.031652627772544,1.031134653236162,1.0305304500822374,1.030199493788439,1.0300808765666882,1.0294719236141108,1.0291311657430118,1.027980935762761,1.027585553375779,1.0269393313409383,1.0262291243757242,1.0262948301147756,1.0260807260336469,1.0932892132092062,1.0912143278395658,1.0910450929162367,1.0899513991906693,1.0881523036745613,1.0877682374232878,1.0862421240765858,1.0857107466630922,1.099074235998776,1.1480119887178484,1.2058562207361647,1.335235644097808,1.357589597519131,1.3680371612480973,1.3769250738836851,1.3899645674477965,1.4148160447148288,1.461605427855725
122-2801846,,,,,,0,1.0142542273071422,1.0019670576161286,1.0070437088664415,0.9961372098644242,1.0045719838028582,1.005476142489406,1.004064815675718,1.0061000583284527,1.0051247916591992,1.0044233504521534,1.003404235907867,1.0031664893767651,1.001745422370612,1.001825099213579,1.014268298784224,1.016536600791663,1.015704408557234,1.0404682215404102,1.0498582433966654,1.049822864306723,1.0481446159044843,1.0464953754781323,1.0452843507543204,1.0437257572396257,1.0415401188412867,1.0400334985809798,1.0890084047405368,1.0860119227361442,1.0793168368472879,1.0757960351783513,1.0742073067798807,1.0707791813926961,1.0701807380752337,1.0665155267382223,1.0642064852660194,1.062552562750444,1.0613180871372483,1.0574864743243688,1.056353293862098,1.054104306424593,1.0538578066846274,1.053069557214174,1.0516373366145522,1.0504878663085495,1.050651086649609,1.0493730826181762,1.0487515931651237,1.0475581005307495,1.0470191624634806,1.046434633688319,1.0454740732411218,1.0450329464920758,1.0436385116122608,1.0426806974387053,1.0420207653894202,1.0413958199923694,1.0407762734991153,1.0376593043787707,1.036393422412006,1.0357281759674206,1.0347422131330462,1.0338900928862902,1.0312494756496549,1.031485106105489,1.0310614228242367,1.030690554045618,1.0300908473179073,1.028976747529357,1.0289192457781242,1.0281582025545783,1.0281143002368056,1.0262767210051549,1.0261427187474153,1.0261398626154932,1.0260881536575288,1.0256917349783263,1.025497283552677,1.0252548121293248,1.0248243603795213,1.0243256899246735,1.0240590213543916,1.0239489281499436,1.0234258746654719,1.0231865198306542,1.0222458022097871,1.0219334351752307,1.0214518179766072,1.0208272264469815,1.020940177013021,1.0207998738067277,1.0884284825488268,1.086371858171111,1.0862803551929507,1.0852965886583723,1.083551943056731,1.083134263623772,1.0816788216487967,1.0811533388196792,1.0946892302807405,1.1438083424467236,1.2020091135206712,1.3321682965317112,1.3546966918393595,1.365155228585731,1.3741026996248626,1.387200090725449,1.412221560345928,1.4593093414419087
123-2802103,,,,,,,0,0.9921793677463584,1.0028111251756953,0.9900749768191285,1.0020638175003973,1.0037175336047137,1.0023942094925022,1.0046313033598055,1.0036829607280082,1.0033682436635185,1.0022488537074503,1.002043138143219,1.0007034647505522,1.0008329407790078,1.014101997082527,1.016482963254719,1.0156172746972014,1.0411261409323886,1.050860911315966,1.0506565717645346,1.049015873958211,1.0475252167908475,1.0462505036079544,1.0444879895077448,1.041852038369872,1.0405074582269447,1.0909330267258632,1.0877882849253684,1.080801886600978,1.0772786198686748,1.075516481136339,1.0719563999725923,1.0714168903254357,1.0675998223055687,1.0652892500496722,1.0634139386487786,1.0620564686287637,1.0581725156498298,1.0570061860383042,1.054825005020722,1.0544352077070644,1.053624697191135,1.0521497235016721,1.0509155244103807,1.0511328990586786,1.0497697992990465,1.0491896141589279,1.0479127586141705,1.0475217027777493,1.046923279404891,1.0459421523649102,1.0454355852994024,1.0440087815657058,1.0429310460800378,1.042257425713316,1.0418076606281905,1.0411279476898223,1.0380308081604335,1.0366953946237305,1.0358558354205825,1.03493533031788,1.0340650559525864,1.0314547701199874,1.0314838402858815,1.031124297263964,1.0307490958631493,1.0301426618870408,1.0290801369818772,1.0288638855259353,1.0281587489521298,1.0280545420856304,1.0262338429985527,1.0261550436009343,1.0261244265846072,1.0261532380867409,1.0257528821630113,1.0254778740454613,1.0252080513505255,1.0248259902011287,1.0243986484406251,1.0240798662623976,1.0239443716820091,1.023393542943861,1.023224351386422,1.0222984280079341,1.0219163023413833,1.0214319666480383,1.020825358897681,1.020875556340873,1.0207978968221691,1.0888222492184796,1.0868119437380515,1.0866520032573823,1.0856142976481886,1.083896445746805,1.0834738662596437,1.0820669895473687,1.081535899769484,1.0951245091262902,1.1444933115472546,1.2031046470090838,1.334063175053374,1.3567811935870995,1.367315546583633,1.3762684696812622,1.3895821635325838,1.414853902163352,1.4622101456531922
124-2802052,,,,,,,,0,1.0216304546080575,0.9883407994038698,1.0064462293660525,1.007189928404489,1.0048998747047515,1.006957970447879,1.005636059065242,1.0050072636898064,1.0034305643267212,1.0036214475699923,1.0015116069965353,1.0016140825618134,1.0159621524728326,1.018464793159846,1.0174047549742475,1.044484833232856,1.0550370567368725,1.054685008071884,1.0527723552543025,1.0506257210825267,1.049470279264494,1.0473670545619995,1.0446481279113125,1.043146707308525,1.0958284613870777,1.0927032910347674,1.0850775517735631,1.0808162307103508,1.0790589768209646,1.0753044369076217,1.0743527182989592,1.070387805180836,1.0678354725064696,1.0658828840562609,1.0644043775246144,1.0601717087642673,1.059001621654896,1.0565594944444179,1.0563861428897303,1.0554587530942303,1.0536942947202375,1.0525271342197322,1.0526650835362406,1.051359082839149,1.0508001432936105,1.0493402497196138,1.0488031788189347,1.0481769423181946,1.0471555992828592,1.046884735289732,1.045275237715518,1.0441936314281064,1.0433816361809076,1.042753882356682,1.042094175581856,1.0389893824102003,1.0375509148044635,1.0367220851808887,1.035767132269146,1.0348038365326508,1.0320247916516776,1.0322238432213735,1.0318508430745632,1.0314602585518875,1.0308647354510794,1.0295982798208305,1.0294033685500787,1.0287407964847277,1.0286498078519706,1.026856587843095,1.0265998779263383,1.0265645547765505,1.0266352559721001,1.0262764179556456,1.0260457442805704,1.025686719856629,1.0252415645601605,1.0247765120279884,1.0244748299692044,1.0243339145674073,1.0238458558158345,1.0236188046710515,1.022619327787425,1.0222959285206532,1.021755228640998,1.021156079769627,1.021161111047055,1.021122027533044,1.089841917540105,1.0877451814792547,1.0876261814526724,1.086589680172376,1.0847928926594987,1.0844460787512025,1.082881641889956,1.0823611674660194,1.0960673072428748,1.1460343285072112,1.2051612676040073,1.3376116532541036,1.3606299770368273,1.3712918402575325,1.3804135955021704,1.3937997132287256,1.4193216574325558,1.467410264312804
125-2801847,,,,,,,,,0,0.9593425549438077,1.0013720338940886,1.0042318666420633,1.0022084202609385,1.0052263583831282,1.0039392331905181,1.0035078186237798,1.0021382577930114,1.0018993591235277,1.0003732723514724,1.0003382596013417,1.0156767589382751,1.0183120845915474,1.0172144945393746,1.0456161374390789,1.0565422606880326,1.0559730417448319,1.054079913163213,1.0517977912986116,1.0503034623365692,1.0484922584548484,1.0454935790961861,1.0439193840423824,1.0981392638481076,1.0944970116219948,1.0866587571756539,1.082478848078491,1.0802412697847015,1.0764445931521198,1.0757311460321493,1.0715128140957277,1.068792849242389,1.066845978916115,1.065385502254825,1.0609378435754098,1.0596629834923808,1.0572250217576786,1.0568380526170222,1.0560184422774133,1.0543313141921626,1.0530753177178016,1.0531458357959804,1.0518122525893274,1.0511210697085656,1.0498044619426876,1.0492512591364613,1.0486115072931312,1.0476248968649136,1.0471809094926021,1.0455925762490308,1.0445402983686756,1.0435612998775727,1.0432635831956176,1.0423479079314162,1.039187317189363,1.0377680629484332,1.0369681635528027,1.0359572961274695,1.0349751967479388,1.0321572328390025,1.0322506304702312,1.0319439834309927,1.0314450738802556,1.030946234249603,1.0297311421402846,1.0295648051254565,1.0287048224632007,1.0287366208267053,1.0268095279102858,1.0267223452583099,1.0266573618015473,1.026671131709796,1.0262552856694802,1.026023250567751,1.0256620437213193,1.0252920116714666,1.0247466128341025,1.0244432888297286,1.024301793279883,1.0238601877887978,1.023631443218386,1.0226022658435774,1.0222772304695138,1.021778230445065,1.021131690943385,1.0212229296038693,1.0210979371420563,1.0901626495847214,1.0880475382753956,1.0879270636934188,1.086881526049867,1.0850912855180983,1.0847187578256043,1.083226387223905,1.0827008561933416,1.0964544352353587,1.1466286394339247,1.2061903129396363,1.3393872453434739,1.3625870992866693,1.3733205431280082,1.3825340864136273,1.3960426971128863,1.4216153729194059,1.4701420293931236
126-2801990,,,,,,,,,,0,1.027531230449436,1.0180325858636414,1.0119171513410654,1.0124170452351189,1.0101250120316323,1.008610351528475,1.006225588643108,1.0054786151823754,1.0032238450085262,1.003247319559359,1.0191324297917304,1.0217733318462243,1.0203686223680528,1.050193468183071,1.0610917376593942,1.0609806036119507,1.0581632512507404,1.0561767658100256,1.054089211780372,1.0522004202412703,1.048971457293701,1.047102209801815,1.102882456085682,1.0993094956902991,1.0905596590999078,1.0862822253120175,1.0838556124522327,1.0797085092385799,1.0788453859983784,1.0744158624513163,1.0713747712448347,1.0693686551470232,1.0677948270473823,1.0630124409647517,1.0618860995028978,1.0590499774773736,1.0587555864567013,1.0580229796204186,1.056168333946996,1.0548637259421123,1.05490603705914,1.0534592399045961,1.0527328702121403,1.0512969718423544,1.0506497694044505,1.0501549541947701,1.0490757478967923,1.0486018394206305,1.0469953172232882,1.0457381283174456,1.0449230975007497,1.0443935032883023,1.0435952839855274,1.0402016051484753,1.0386829232748775,1.0378571602820041,1.0369809080728514,1.0357415013264872,1.0329432983685922,1.0330653860538648,1.0326053621736189,1.0322320943783418,1.0316448596654477,1.0303917156880191,1.0303765351744592,1.0295568911589066,1.0293490569038364,1.0273404911749897,1.0272462821574617,1.0272609180820784,1.0273121768614484,1.0267474202248275,1.0265354664777102,1.0262441204848536,1.0257318363863819,1.0254051251169043,1.0249399353837394,1.0248175543626157,1.0243172529813664,1.0240543491491154,1.023068292447085,1.0227109429304049,1.022200349292137,1.021538966612047,1.0215839090307677,1.0214543230949635,1.0911682087298855,1.088926303915581,1.0887799308082629,1.087740585664945,1.0859221811223418,1.0854756330529962,1.0839819974725393,1.0834055462463388,1.097277944839327,1.1478034531232848,1.207850081061253,1.3419939490197548,1.3652585534235044,1.3761073783031537,1.385363600822344,1.398949492895625,1.4250178243329406,1.4736593393265367
