순번_정류장ID,50-2805980,51-2805340,52-2805841,53-2805450,54-2806913,55-2805580,56-2805332,57-2805742,58-2805229,59-2805231,60-2805400,61-2805038,62-2804895,63-2805911,64-2806175,65-2806603,66-2803657,67-2806659,68-2805674,69-2804974,70-2800541,71-2800530,72-2800523,73-2800519,74-2800517,75-2800515,76-2805304,77-2800498,78-2800497,79-2800493,80-2800344,81-2800481,82-2805944,83-2803595,84-2800468,85-2800465,86-2800462,87-2800460,88-2800453,89-2800445,90-2800437,91-2800416,92-2804855,93-2800343,94-2800303
50-2805980,0,1.0124147331908016,1.006994401629653,1.012545791792256,1.0080640524772562,1.004212395169997,1.2183756660417828,1.5692653947302218,1.5018382163301804,1.4273056041054628,1.3459097437197147,1.323538572882871,1.2964161982120503,1.2724714335700171,1.2343728799976261,1.2606727920296905,1.295220817365016,1.2807701311280226,1.2532574686984637,1.2234996609478983,1.216695495248327,1.2021138104491889,1.1949837026525005,1.1888997274812312,1.1846800056202067,1.18110332244464,1.167870998697113,1.1508987523650716,1.1465386558868114,1.1388822305887631,1.1361101941661569,1.133189118221032,1.1301161461385656,1.1269604745549784,1.1238112925936747,1.1223099103150422,1.118926771255272,1.1166121322169051,1.1126355368173206,1.10911554740435,1.1066088657130586,1.1703003063117798,1.165627753391219,1.1614312393019115,1.1603953025825942
51-2805340,,0,0.9802680985280866,1.0097535600494179,1.0045474439308701,1.0003543243912407,0.9992237583559167,1.0485114876014237,1.0420791975302017,1.0347336286900914,1.0281461830192549,1.0277181033554996,1.0269764413408113,1.024631006838686,1.0212281822899283,1.0530194376813284,1.1227066024812562,1.1168361719613353,1.1065917398091163,1.095188535551783,1.0924873952689556,1.0861103104979772,1.0834799708106924,1.0809267899165202,1.0789443227821853,1.077667491688392,1.0722078951946163,1.0651893831764057,1.0632429373008934,1.059526599696162,1.0590147870621869,1.057731327063755,1.056637453080803,1.0553224804981245,1.0536662334550164,1.0537493276597587,1.052009529546154,1.0509941284388153,1.0492364826295024,1.0475724706540241,1.046351743011693,1.1083654935472265,1.1054497198482585,1.102948924665025,1.1024278499697362
52-2805841,,,0,1.023303567576895,1.0076626414312588,1.00203818087242,1.0005082461183417,1.0524939358016683,1.0453109838607322,1.0372057629264908,1.0299375455272806,1.0293789747439985,1.0284745166684433,1.0256614344345132,1.0222824433733393,1.0545825965339464,1.1253887116105827,1.1194781652683676,1.1086182335013655,1.096960077007408,1.0940094112121272,1.087589953477532,1.0847341299707804,1.0821101916189213,1.0802093846149772,1.07889018737156,1.0732777666296758,1.0660789113698417,1.0639868361890001,1.0603936231265219,1.0596656788943817,1.0585402368061838,1.0573272049746736,1.056070353684645,1.0543002139199338,1.0543698944487403,1.052438990063895,1.0516474967838796,1.04977797366049,1.04808594255228,1.046844452824531,1.1092501056940443,1.1062881998349627,1.1037461289006463,1.1032875157478477
53-2805450,,,,0,1.0016041386777885,0.9972933717446103,0.9965655994383191,1.0026338695139128,1.000484763774137,0.9981464588277624,0.9977178373315911,0.9993135757732626,1.0013148046881892,1.000514345209812,1.0004559106815865,1.034669595336493,1.1112500444326963,1.105884012365477,1.0960997460515594,1.0855382245614917,1.0830503370275337,1.0772140687632732,1.0746822329593255,1.0723177632586232,1.0705765995756444,1.0694382554414326,1.0644358824003513,1.0580274806942545,1.0561266202798538,1.0527559450478208,1.0524145070092639,1.0512476215946926,1.0502885737897423,1.0491971270238907,1.0474500115283847,1.0477588434957545,1.0459521874245803,1.045193003118457,1.0435868091257245,1.0420537955707516,1.0409378978007893,1.103869595980659,1.1010316769005177,1.09876243251392,1.0982685314509917
54-2806913,,,,,0,0.9914365951611767,0.9925007852404454,1.003203829797467,0.9999667489179865,0.9968553851529255,0.9966118749384787,0.9987173648959865,1.001247591380052,0.9999339819257965,0.9999587575171791,1.0399671189691628,1.1256020665165583,1.1187560487990178,1.1066715994804468,1.0935069365679284,1.090676545878614,1.083795798849937,1.080641346806502,1.0778889853451212,1.0760335645986054,1.074543847665736,1.0689073547714412,1.0614976240567042,1.059487797134586,1.0557524205486528,1.0552060434191735,1.0540074905740777,1.0528300835019375,1.0516124908288902,1.0498175057456047,1.0499976199913983,1.048136377473564,1.047212932634034,1.045464626026244,1.043806191837531,1.042599085898799,1.1084270633924012,1.1053305218915763,1.1027615257173184,1.1022879103467758
55-2805580,,,,,,0,0.9940563896300426,1.011293421379152,1.0043731060428374,0.9989090230163449,0.9979831020888397,1.0004427840193169,1.0032710816435944,1.0019050579621367,1.0015685323690968,1.0472020022236173,1.140460987308292,1.1319943159068977,1.1170120680835565,1.1015501162814256,1.098022233447502,1.090118375344707,1.0866518568010453,1.0835135738410577,1.0812645415313296,1.0797055381656997,1.073189729622419,1.0650507204217694,1.062722351046313,1.0586504615113923,1.0579939634491913,1.0567794057104112,1.0554783310803812,1.0541369806593834,1.0521241698008295,1.0523466196765798,1.0503587666829497,1.0493555376834487,1.0474709849869197,1.0456932011043674,1.0443986909577383,1.1124802922005623,1.1091568654009256,1.1063087379984977,1.105787589674143
56-2805332,,,,,,,0,1.0265973275976368,1.0100112445137654,1.0006074833116319,0.9988524173439265,1.0016784793773057,1.004237332000983,1.0025523601852706,1.0020442959694233,1.052926758815168,1.152220002196333,1.142335187130333,1.1248094512608602,1.1073173527932891,1.103567523057703,1.0946596053938333,1.0910007961579922,1.0875606658917687,1.085116450192972,1.0833930927155564,1.0761591878203303,1.067391577466349,1.0649113671982293,1.0608168891514318,1.0600736235641244,1.058665317357416,1.0571713573113068,1.0558425325387997,1.053737298271133,1.0537357980047253,1.0517537207600722,1.050695226239283,1.0487164646452858,1.0467725496626061,1.0455837564720734,1.1151174440680232,1.111634983809672,1.1087280007595453,1.1080916456812129
57-2805742,,,,,,,,0,0.9834563766304222,0.9836942557915686,0.9896361748294797,0.9947346685090809,0.9991644150437378,0.9979326339839418,0.9984420874990055,1.056133247221847,1.1643734401152195,1.1526958088377315,1.1326175226738964,1.112703859606212,1.1082783371589495,1.09864599175698,1.0944179081343275,1.0906613086729806,1.0880122643466406,1.086124537685275,1.0784544528592022,1.0690507930710007,1.0665422274238059,1.061972160635147,1.0611655251016925,1.0596799326030415,1.0582122183708491,1.0567056531371517,1.054613913745906,1.054687316065684,1.052525001958024,1.0514180085029605,1.049355763756029,1.0474229206073171,1.0460169256716878,1.117640898975883,1.1139839038620323,1.1109265535351818,1.1102525661199747
58-2805229,,,,,,,,,0,0.9838571599326763,0.9912540043618832,0.997111280321119,1.0025386348738436,1.0005510092287606,1.0004299248655115,1.0634634745171412,1.176720948602768,1.1633727572129897,1.1406925654477624,1.118554655275585,1.1136861455969929,1.1032175294567852,1.098615705428199,1.094559720765877,1.0917202612086079,1.0896685718433488,1.0814359611414728,1.0714136647441523,1.068635407650675,1.0639567583950196,1.0629517039595653,1.0613860242535083,1.0598363425408035,1.0582484788592283,1.0560791307721131,1.0561149974476465,1.0538734747437983,1.0527155014457918,1.0505672784536173,1.048559935240227,1.047099495477122,1.1199848510967627,1.1162779243382444,1.1130097186176304,1.1123892510235827
59-2805231,,,,,,,,,,0,0.9958316089989264,1.0030024424460071,1.0074443979212335,1.0038972983176235,1.0027346527381686,1.0756338089965647,1.1969590345596948,1.1805920364454772,1.1533431070332214,1.1274443241684802,1.1218441733984494,1.1100150629970071,1.104811602404154,1.1002785337646122,1.0971371623136772,1.0948264628019155,1.0857140087097772,1.0747412434376116,1.0718733289425728,1.0667119148927773,1.0656986530617145,1.0638891959817918,1.0623257395227792,1.0606091049075972,1.0582117884258504,1.0582934684203171,1.0558280697134472,1.054592501343671,1.0524075482782245,1.0501937055821486,1.0486511413612496,1.12345303954525,1.1195359608144397,1.1161670476112402,1.1154128809325339
60-2805400,,,,,,,,,,,0,1.0212748610127345,1.0196907842574943,1.009314259934584,1.0054079163843994,1.1034095005086626,1.2390237110337194,1.2153425407529657,1.1776049493730136,1.143641566799391,1.1365386767380055,1.1219808526931203,1.1155937171780705,1.1101348164526634,1.106414024326501,1.1036076952816034,1.0928419938138632,1.0801311192798164,1.0767331790106007,1.0710817662978733,1.0698525360707691,1.067942145023965,1.0660428115280205,1.0641100322051014,1.0616126524297842,1.0614923743484543,1.058919655214659,1.0575501206447104,1.0550470216628722,1.0527343026111489,1.0510520167350705,1.129088724246788,1.124807025572551,1.1211162468834674,1.120279417017409
61-2805038,,,,,,,,,,,,0,1.018572543715444,1.0050334346947853,1.002564395166996,1.1163981167930033,1.2584876103868774,1.230803645919817,1.1876596177041272,1.1498496666296112,1.142064566251991,1.1262989009241047,1.1194024015063433,1.1135509276492368,1.1095868715281128,1.1065763607757335,1.0951399987792685,1.0817516674950236,1.078201856921943,1.0721809453034659,1.0708824089186182,1.0690238184001148,1.0670466918871595,1.0649203240132878,1.062350300327694,1.0622059248195588,1.0596694007338914,1.0581502109891825,1.055676624376614,1.0532031125525827,1.0515716038331953,1.1310911941632862,1.1265672595060925,1.12275360674017,1.1218858493334365
62-2804895,,,,,,,,,,,,,0,0.9874715052238888,0.9959017294848204,1.1434538439272475,1.2925979328133046,1.257228016793023,1.2041759175847289,1.1596918363533635,1.1507611429158404,1.133001749166175,1.1252748797097802,1.1187897853648898,1.1144359742683576,1.1110981835809095,1.0986006748601072,1.0841578745050602,1.0805262585930682,1.0739910258146885,1.0725788526189128,1.0706060219342466,1.0685109125670642,1.066266226989929,1.0637005982894794,1.0635110987297522,1.0606412468834443,1.0592705295616953,1.0565801292669588,1.0540086202968466,1.052216305130013,1.133764694143184,1.1291321989424228,1.1250390627573086,1.124126126488976
63-2805911,,,,,,,,,,,,,,0,0.9946312923635955,1.1994348007420939,1.3404678706400412,1.2934598105449244,1.2262199921133756,1.172719770247925,1.1622864629549658,1.141961136855986,1.1331664162369335,1.1258754558249071,1.1210311890867113,1.1172724243047998,1.1034304383191116,1.087653049843596,1.0837357608276579,1.0768866673494986,1.0753117070445892,1.0729153200394292,1.0706713612998364,1.0684034351530127,1.0657028759675178,1.065445429362881,1.0625481459672363,1.060978906187023,1.058142981572552,1.055445241285933,1.05356428062277,1.1373036083929933,1.132219083219144,1.1280142985953396,1.1271444402362216
64-2806175,,,,,,,,,,,,,,,0,1.015151140136555,0.9991962601788036,0.9998407241466329,1.001486325448961,1.07818685904792,1.1680998767055057,1.1441962333973605,1.1341202409050002,1.1259022100878608,1.12050110473909,1.1163495728443005,1.1013051154161737,1.0846241771972676,1.0803729209459711,1.0734457139238727,1.0717586678489308,1.0694692832215962,1.0673499167418505,1.0650715325048086,1.0620473890039106,1.0618955388004445,1.0589522259411737,1.0573965365634537,1.0545769602284125,1.0519961717185453,1.0502381274099137,1.1378642418831297,1.132522645359669,1.1281192933343536,1.1271082407715713
