순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2804748,5-2804750,6-2804752,7-2803916,8-2806319,9-2807398,10-2807397,11-2804763,12-2804591,13-2804762,14-2806393,15-2806336,16-2803920,17-2804766,18-2806338,19-2803922,20-2804771,21-2807393,22-2803924,23-2807390,24-2800260,25-2800275,26-2804713,27-2803598,28-2803600,29-2800273,30-2803601,31-2804331,32-2803581,33-2800271,34-2805489,35-2807150,36-2804581,37-2804582,38-2800267,39-2804032
1-2800269,0,0.9989815947701196,1.0016723380552544,1.0036355028961135,1.0010680169406012,0.9997188357937248,1.001901125394746,1.0010489519639065,0.9998054143458273,1.0004007924464866,1.0001979223595117,1.1654535728622941,1.2257045479868969,1.3692996933350419,1.512109638110585,1.4813736559974822,1.4561673858267001,1.426209008315617,1.3994661797288144,1.399378556937504,1.5844109715870522,1.7476294258442906,1.9197989008091447,2.060562657859329,2.2486498213947246,2.548014431994627,2.7416527303669587,3.3937224087293805,4.239124102462214,4.745328738902694,5.245236502944214,6.17049087761046,8.89473713494055,15.570740577063354,31.953309031953836,35.303741656348286,19.596752896169804,15.784737677702786,71.29537614659806
2-2805488,,0,1.0048549440877443,1.0060955315404359,1.001845825553481,0.999909802603616,1.0025741327696118,1.0014332147632203,0.9999330944200376,1.0005911343285587,1.0003384209653168,1.0467827772792087,1.2512717564897637,1.4140837018750563,1.573970456901891,1.535547438099937,1.5044508988067549,1.4680723817946155,1.4360800035410988,1.43458347261128,1.6402238983803135,1.8239794807680847,2.0202500904776883,2.1825879221817788,2.4022623016279034,2.7582878025975504,2.993090423944938,3.80902978700523,4.933536531446039,5.645150221377968,6.3763936292685655,7.817801960370194,12.841353593201992,20.65687305174706,67.6003472060941,32.383258031043276,18.417934994452942,12.251981389472379,21.724341844894866
3-2807373,,,0,1.007095625693778,1.0004609096668986,0.9985231626941564,1.0020213304998284,1.0007952520507193,0.9991904959201505,1.0000458201059346,0.9998485415468896,1.0507644729058971,1.2772411837072282,1.4606900624213066,1.638560180366451,1.5912207453372769,1.5534325714616029,1.5099141724735257,1.472203133330056,1.46909331292627,1.6959265015318774,1.9012707953963779,2.123414555152543,2.30936263055529,2.5643304624815304,2.9856111608501266,3.2693210184038057,4.290827125686015,5.8029139165452985,6.827541218813187,7.93783744333576,10.32880812811006,21.50419944255187,12.129548932465356,21.42854864585212,16.048174862120934,11.677817882081596,8.862844622916107,13.383327156442357
4-2804748,,,,0,0.9916771243091922,0.99396584725271,0.9998508279051262,0.9989046633172975,0.9973767076111566,0.9987196682024647,0.9987248639513242,1.0565802319820474,1.3177615370466227,1.5351154408008263,1.741751213730557,1.6783768672325472,1.6288798521070742,1.5732011804934558,1.526001049844408,1.5200780391997055,1.7797631580918485,2.019499942888331,2.283973464774603,2.509518379358364,2.825315051454552,3.3637395275733235,3.739078514286038,5.177667546343062,7.611767406392306,9.5085605273961,11.832397046919347,18.14718454991416,218.58302833724161,20.680306002044222,12.315847211733374,9.615874415869772,7.866664292601681,6.490564880009289,8.888822840122275
5-2804750,,,,,0,0.9954997540351397,1.0037527046844703,1.0010229270035047,0.9985714339943035,0.9998860850375195,0.9996597287357483,1.0638425924675754,1.3594428287960219,1.6120239435471235,1.8474135040623356,1.7656334149666957,1.703115593360083,1.6343175977421607,1.577171750088402,1.5378940183968997,1.5644665888727245,1.7680611276868428,1.9896862348147795,2.1763405544776537,2.4338824176055027,2.8638142032812075,3.1563134849349574,4.230629549774208,5.882977541464961,7.047640119542404,8.352398095023812,11.326943662285199,29.089194911420346,12.80625836506961,9.015137578107518,7.263422185709582,6.227737161909874,5.340560848366378,7.002300450068022
6-2804752,,,,,,0,1.0241167273580993,1.0053037532805102,0.9999668701697166,1.0013227013089703,1.000684618781608,1.0775178442667446,1.4450746732183362,1.7767877769127518,2.073754686749522,1.9455166002630926,1.8517664820268565,1.7529394472733946,1.673998264517814,1.6210583135246677,1.5574497662848983,1.5186699176736962,1.6046923471761478,1.745229454758273,1.935296863484708,2.2439406645052555,2.4473215239479353,3.1569330664303186,4.134329034160589,4.754188070500316,5.393630743028718,6.6554048505472405,11.087603477974362,7.507690585939411,6.037085216079996,5.2120301538263485,4.66668518768058,4.159835836751199,5.230812760015675
7-2803916,,,,,,,0,0.9966834743638748,0.994514011100582,0.9978322196112988,0.9980840894047263,1.0822306775695683,1.4894469890549864,1.86820962298975,2.2004138545433287,2.041856670634313,1.9287873181507154,1.8122504828250068,1.7210125314297564,1.6606098837615306,1.588924640684626,1.5456335491925295,1.5080822638969196,1.6006469637585026,1.7706279502002444,2.044211934471711,2.2226244024955504,2.8355673621898796,3.6525045724310394,4.155614280377158,4.6639882192991315,5.632648784576696,8.723746284357203,6.358983412424271,5.277355527536913,4.641690525366514,4.2083941936171625,3.7958224028391747,4.715580532327277
8-2806319,,,,,,,,0,0.9924055194566854,0.9984088232759858,0.9985317559891115,1.10263807928434,1.6366720508124772,2.1825663041010506,2.6307377096128572,2.350866520047369,2.166337383314404,1.9883792027767324,1.8568108449312315,1.7728423970365523,1.6764795053787889,1.6197735039498473,1.571870474041392,1.541749502713345,1.5081632699735135,1.6863522058657159,1.824149016068199,2.285068873059528,2.865256456615673,3.205584655049658,3.538672768670475,4.139737907985332,5.820159383687237,4.688479929556049,4.084291701359132,3.7035412014173024,3.4303320768841514,3.1589788166935935,3.8451627866422533
9-2807398,,,,,,,,,0,1.0048207599171277,1.0015336788016593,1.1384959046909904,1.922638754084052,2.8849355027581662,3.584004338613792,2.944788677054268,2.583580541306396,2.2729104705254324,2.0634109616863086,1.9371664259976829,1.799202641897217,1.7210247871219837,1.6571885519790217,1.617756847112095,1.5746782866742857,1.5269684895140554,1.5059663699983712,1.863027330540821,2.2928721819599884,2.536143035423274,2.7692466926505097,3.174273733899113,4.218576685871713,3.6124552107244816,3.2535387227363173,3.0171189213391947,2.840772167569851,2.6596487031523712,3.1895084007504853
10-2807397,,,,,,,,,,0,0.9987472659381206,1.1970378509539998,2.5752881010588067,5.206536599677278,6.670478519234598,4.289216993838564,3.3709699207492796,2.7359398545814817,2.3685887578726748,2.1660944629150714,1.9595680919070952,1.8485106850890887,1.7614985605667468,1.7089747134695312,1.652936025037653,1.5918531900765833,1.5602462204560525,1.5544703455363007,1.89063666461099,2.0761419706026327,2.2515259080892767,2.548433787925097,3.2762664810448427,2.916964781635259,2.6877898127332314,2.532947949764562,2.414072822715946,2.2887441661814925,2.717197990729532
