순번_정류장ID,1-2803703,2-2804580,3-2804213,4-2804211,5-2804209,6-2804207,7-2804205,8-2804204,9-2806290,10-2804202,11-2806292,12-2804578,13-2803609,14-2806232,15-2803608,16-2803607,17-2803606,18-2806297,19-2803616,20-2803853,21-2803850,22-2803617,23-2806299,24-2803618,25-2806300,26-2803600,27-2800273,28-2803601,29-2804331,30-2803581,31-2800271,32-2804749,33-2805489,34-2807150,35-2804581,36-2804582,37-2807389,38-2800267,39-2804032
1-2803703,0,1.0353336107643225,1.0058454689614036,1.007627561175618,1.0065787461002362,1.0142786301237738,1.0040436687468337,1.0051539739274877,1.0025261863041497,1.004249507586936,1.0036470029643128,1.0038024331720785,1.0033120866009015,1.0032958713528046,1.0015540416461974,1.0022545421842952,1.002294021400691,1.0010930670754732,1.0019790139079425,1.0019708359932127,1.0026157034333112,1.0014795973333055,1.002037135924162,1.0024470721459802,1.0023800744155296,1.003700117165932,1.0017355318238126,1.0009215626762893,1.0018419472909679,1.001489843654889,1.0011511874636752,1.002386393689939,1.001699603113311,1.000867728636339,1.0018557648154294,1.0021476370966262,1.0026406608568579,1.0077488975196924,1.084674126605902
2-2804580,,0,0.9953662167624645,1.0018690338789775,0.9998081003701235,1.0097432675003408,1.0001289185879116,1.0016483536845229,0.9992754083689678,1.001474376116203,1.0010327609959344,1.001426317892499,1.000991681682985,1.001164374284379,0.9995027238418414,1.0004176479181992,1.00055223343374,0.999151447489954,1.0001546222414763,1.0001994458234291,1.0009578058813344,0.9999230140748009,1.00059058474271,1.0010539287427975,1.0010353318962661,1.0024757717753243,1.000533354429711,0.9997301703244932,1.0006855801560104,1.0003556382620313,1.0000610158903833,1.0013198041289675,1.0006642716526315,0.9998525093600467,1.0008814257143837,1.0012002483435858,1.001709981268284,1.0029277050284093,1.084863209450901
3-2804213,,,0,1.0110260226351389,1.002447997636416,1.0156986768841474,1.0013615523738368,1.0031018032168943,1.0000542109962682,1.0025211140343704,1.0019271828645058,1.0022860698006597,1.001760678222308,1.0018842008400934,0.9999777962205089,1.0009382483429763,1.001056728014053,0.9994844495267063,1.0005536640709005,1.0005896524902786,1.0013822942940638,1.0002407369878976,1.0009303449277862,1.0014116027196416,1.0013782253987897,1.0028733848100324,1.000808346187503,0.9999573924595945,1.000957750423537,1.0006044584192197,1.0002844033485254,1.0016019894164583,1.0009051666673088,1.0000498806464564,1.0011173452948683,1.0014437079389944,1.0019718040725494,1.0010103995743664,1.0886151487311357
4-2804211,,,,0,0.9961789307499687,1.01764605819068,0.9991853093073566,1.0015432857241153,0.9982461366274666,1.0013426908756267,1.0007785246379737,1.0013068719501914,1.0007645264503464,1.001000302560651,0.9989961798587151,1.0005804255752266,1.0007291107302134,0.999085064054771,1.0002441896582797,1.0002927603227154,1.0011494835240695,0.9999681683028642,1.0007105937505674,1.0012220796412152,1.0011946912862102,1.002766398526793,1.0006252737345214,0.9997455723619499,1.0007876753211122,1.0004258058753461,1.0001028981022149,1.0014674482352073,1.000752900473785,0.9998749705450842,1.0009810649932065,1.001320799268026,1.0018664075486783,1.000878355388332,1.0911818867410021
5-2804209,,,,,0,1.0461296941561693,0.998719089001665,1.0020210927777828,0.9976685698909756,1.0015992677137158,1.000890332462758,1.0014990346040924,1.000854496670681,1.0011156186612578,0.9988250553439353,1.0006214461356402,1.000325514789031,0.9985630180975062,0.9998623897660801,0.9999292911957967,1.000882602384794,0.9996359705332317,1.0004558644215742,1.0010112770911708,1.0009911230483783,1.002673324319621,1.0004164365933228,0.9994933131168569,1.0005964135503307,1.000220851161234,0.999892073205378,1.0015287077255648,1.000777317813771,0.9996708682633834,1.0008321793712747,1.0011906074380756,1.0019361962977722,1.0009051958447233,1.094956570883984
6-2804207,,,,,,0,0.9748352258006757,0.9851155677147242,0.984068640416171,0.9920793230552776,0.9924502957289841,0.994453293611978,0.994095577833815,0.9952761610136395,0.9933200808684458,0.9955106925224532,0.9960630986660841,0.994673967936816,0.9963273565443084,0.9965379013428382,0.9978024902666394,0.9967826168435272,0.9978763285682396,0.9985624685320766,0.9986496237299718,1.0006162576020508,0.9983727030139664,0.99746001087376,0.9986504341293437,0.9983153251317435,0.9980713721651611,0.9995696128752752,0.9988799207365698,0.9979966444157856,0.9992501979362715,0.9996636911506399,1.0002719281003665,0.999241114591254,1.0966239569665572
7-2804205,,,,,,,0,1.0178144603888204,0.9956831905487467,1.0047935848173477,1.0028106358993916,1.0034076992705394,1.0022074878628158,1.0023660393141731,0.9988729226387302,1.000657809204939,1.0008728430557499,0.9990426445203165,1.0006550881057108,1.0007027553286492,1.0018155411852008,1.0002038791634742,1.0011285573671906,1.0017556752222039,1.0016952571272368,1.0035723512648378,1.0009294635724013,0.9998607706441266,1.001110029382761,1.0006675271378596,1.0002717330343733,1.0018851507954702,1.0010256500633852,0.9999902780569786,1.00127134421076,1.0016559371568121,1.0022815739180075,1.0011348681904595,1.105698685928015
8-2804204,,,,,,,,0,0.9812025830924855,1.0008644707720349,0.9994068563877945,1.0009932130441979,0.9998255003858745,1.0004747279951165,0.9968974381703749,0.9999336404935243,0.9995734552146176,0.9972659145739626,0.9991189178286167,0.9992438318387624,1.0005424895948531,0.99900712133662,1.000081685401695,1.000780823412852,1.00076811404337,1.0028004524232825,1.0001233301371977,0.9990446105410243,1.000608281726556,0.999918527253511,0.9995548637253168,1.0012157233077688,1.0003679800661471,0.9993334555813426,1.0006672892216077,1.001078861167523,1.0017264523380398,1.0005665997257158,1.1075316480805921
9-2806290,,,,,,,,,0,1.017697083352465,1.0090699040415239,1.0078069352871724,1.0054915938419253,1.004910316406524,0.9998736653223085,1.00272957412239,1.0027647999327745,0.9990335820153681,1.0009130736887217,1.000954482225512,1.0022004061059633,1.0003411670620863,1.00135495473267,1.0020375127016132,1.0019557299769852,1.0039735111521866,1.0010830896119194,0.9999231352051744,1.001269997022872,1.0007881870321,1.0003566727024766,1.0020851800272057,1.001156812309468,1.00004865335962,1.001408029992145,1.00181177994212,1.0024727667190438,1.0012544860913994,1.1122176634693977
10-2804202,,,,,,,,,,0,0.9949916198363403,1.0011555564223582,0.9961077860225798,0.998435636276566,0.9934359113810269,0.9975324260606367,0.998247672614,0.9955708442290068,0.9980506797666446,0.9982681860022984,0.9999381823791829,0.9982136618033164,0.9995442880347514,1.000376528287789,1.000385481345634,1.0027155884991539,0.999732498550273,0.9985439328027055,1.000004601428571,0.9995404898594404,0.9991644228911487,1.0009919385618056,1.0000774735946198,0.9989631406174319,1.0004254709905427,1.0008790331613984,1.0015827957136763,1.0003333537648058,1.1162536302795516
