순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2804336,8-2804260,9-2807394,10-2804761,11-2804759,12-2804258,13-2804256,14-2806229,15-2804245,16-2804774,17-2804243,18-2804242,19-2806329,20-2804240,21-2804238,22-2804236,23-2804234,24-2806330,25-2803714,26-2803715,27-2803720,28-2803719,29-2803711,30-2806217,31-2803708,32-2806218,33-2803710,34-2803712,35-2804341,36-2804214,37-2804216,38-2804221,39-2806332,40-2807154,41-2804222,42-2804224,43-2804226,44-2807152,45-2804228,46-2804230,47-2807140,48-2807113,49-2807410,50-2807114,51-2806973,52-2807115,53-2806952,54-2807116,55-2807117,56-2807120,57-2806975,58-2806976,59-2806977,60-2807136,61-2806955,62-2806956,63-2807133,64-2806958,65-2806959,66-2806978,67-2806960,68-2806961,69-2806962
1-2800270,0,0.9992239779422376,1.0013822496112423,1.0020618947973834,1.0038796305455182,1.0049905906216348,1.0077218009886506,1.006047238499847,1.006423710170188,1.0057222919608373,1.0041544159839988,1.0060389494688227,1.0041680692006627,1.0046924881448562,1.0025340716939997,1.0023024146239168,1.0022970741007957,1.002258430295647,1.0020092463353831,1.0022453371366045,1.00299098187626,1.0028010140620405,1.002194069890416,1.002210787687701,1.0023762943790613,1.0022349099284866,1.0022238783867703,1.0236799077709904,1.061886052255262,1.0814072350166524,1.1429735377689416,1.1622843993890084,1.160684003587959,1.158632795774535,1.2413253072427566,1.22841665445418,1.2219065866222614,1.2094647441681097,1.2056711120088235,1.19702363244812,1.1948354255687292,1.189719202139609,1.1853922875889342,1.2190492048592623,1.2510840473135654,1.3030705757451346,1.3624675920259297,1.3460294917771907,1.3359520570880645,1.3267823370537746,1.3151984122647735,1.331125791610623,1.3268037398968267,1.3201926253644938,1.31638919059121,1.3029728064436827,1.2946429541820077,1.277557040760044,1.2737626949420298,1.2699692704097967,1.2673484573391627,1.2629825209310441,1.259247513859287,1.2551947793592715,1.2518322157549553,1.2489572701852218,1.246009549995477,1.2826929779436531,1.3655463167756094
2-2800268,,0,1.0039856855786276,1.004193236448981,1.0076051987443617,1.0086678491798389,1.0120999527945258,1.0092144390852897,1.0093240497654428,1.0079343594054135,1.0055054158798171,1.0077215490158613,1.0051058088959437,1.0056767926017844,1.0029420502643693,1.0025715382769016,1.0025256326518823,1.0024553949066408,1.0021662043280557,1.002416566626205,1.0031030779663528,1.0028930205878321,1.0023373489759753,1.002444605741517,1.0026150849890632,1.0023638122448064,1.0023416525245876,1.0252048073460571,1.0660973782363654,1.0869858545801934,1.1529412599293796,1.1732427865550383,1.1714125245622142,1.1690515957055916,1.2576169568254263,1.242972762066353,1.23562723996319,1.2216640602720192,1.2173956313256897,1.2077521218588148,1.2052902493072448,1.199695312049905,1.194831176518623,1.1906235631077988,1.1878552349425804,1.201472501014751,1.2560149659595277,1.2493017817228504,1.2423029014847466,1.235880924075756,1.2279439107554853,1.2461611997769566,1.2430167417987308,1.23826896696023,1.235579805752684,1.2258760747550046,1.2197530697811447,1.2075017842578586,1.2047186009793707,1.2019744341761178,1.2001075942661696,1.1969562691792088,1.1941528636683552,1.1911187207577212,1.1886934612956521,1.1866230236765007,1.1845060877409297,1.2209921712269471,1.2997998932508104
3-2800264,,,0,0.9979549906217147,1.0052962351982582,1.007588681687158,1.01226273393144,1.0086718074405308,1.0088951641369572,1.0073402812647523,1.0046498797702965,1.0072903082540898,1.004501168024614,1.0051751585933095,1.0023206504771343,1.0020978267491165,1.0021232269897518,1.0021004194233754,1.0018270272018461,1.002105616505104,1.00283499635683,1.0026264866145902,1.001958203539614,1.002095921080933,1.0022824711102287,1.0020325650748192,1.0020371807542703,1.0254314300029934,1.0672801349170467,1.0886715438400745,1.1562829276826008,1.1769522660542842,1.1750370291101098,1.172561886591097,1.2633002578530754,1.2480074081532877,1.2403516682418674,1.2258276810391742,1.2213852072367315,1.211378377440949,1.2088170126395472,1.20302168973163,1.1979907565636319,1.193640854955843,1.1907815553443786,1.2046819375792455,1.2602516935946189,1.2529873359326922,1.245850920056919,1.2392342540977823,1.2310003651063712,1.2494356275169698,1.246207403578949,1.2413293039017592,1.2385667875913067,1.2285569123941142,1.2222890519813463,1.2097456795159078,1.206953122056338,1.204148448994851,1.202238439973694,1.1990185027978846,1.196158013319536,1.1930626456527915,1.1905839041460904,1.1884695010009347,1.1862603840035102,1.2231483819547366,1.3028095379386098
4-2807245,,,,0,1.0221610511634738,1.0154400237498764,1.0128520675484607,1.00782691561777,1.008305054990846,1.0064917120638879,1.0034175829101646,1.0067429977037439,1.0037186789014738,1.0045438707929049,1.001537416139254,1.001524560388826,1.0016449904989904,1.0016834336080012,1.001430498077161,1.0017444548875059,1.0025269566429393,1.0023203294375262,1.0017589000615974,1.0018105983144685,1.0020128805262694,1.001761758873473,1.001880399618478,1.0258252158887384,1.068934799292032,1.090844580178069,1.1604811191812028,1.1815866502500785,1.1795640457577636,1.1769443206704902,1.270449414372719,1.2542281106685322,1.2461844911869235,1.230960693843202,1.2263011839430726,1.2158427258205684,1.2132437216007594,1.2071968508366204,1.2018762552296964,1.197350367837309,1.194378848189008,1.208605375935213,1.2654132496588262,1.2575527913376443,1.2501591598971198,1.2433043269041608,1.2348546308513761,1.2532659965091015,1.2499377493094472,1.2449679555056588,1.242116993847701,1.2319274821986061,1.2253645178316745,1.2125198433898188,1.209547166255047,1.206722944791285,1.204709855984688,1.201459344609234,1.1985306826355562,1.1953621673656978,1.1928194729857988,1.1906526233868233,1.1884811174733245,1.2256949818628797,1.3064762462671362
5-2800262,,,,,0,1.0117446684855433,1.0107004947303415,1.0049155471136628,1.0062088556427182,1.0046387761408577,1.0016262101866142,1.0056296688741722,1.0026632791771894,1.00363939638103,1.000669803533561,1.0009126498537104,1.0011384753564123,1.0012453399864534,1.0010220195604072,1.0013668526290394,1.0021895768121556,1.0019902249860435,1.0013223090110994,1.001514846670847,1.0017302436561593,1.0014826299470758,1.0015346986240512,1.0258694518618716,1.0694151055209487,1.0917010613612337,1.1622647267286188,1.183572709720216,1.1815015427774802,1.178816606327855,1.273422353825727,1.2569439093366637,1.2487237321626816,1.2331826304969444,1.22842509102401,1.2177630968440643,1.2150224092315927,1.2088668705091685,1.2035369908186953,1.198932411022154,1.1959107406670784,1.210172800437492,1.2675330265394813,1.2593411729934214,1.2517649740109316,1.2449544237358545,1.2363150397024247,1.2548756260310048,1.2516349807646843,1.2465300010364575,1.2436396903627638,1.2331982846135947,1.226676349747181,1.2136750986869929,1.2107223825899338,1.2077609901130415,1.2057771258567955,1.2024401203231303,1.1994822050015692,1.1962823453283842,1.1937124247138002,1.191570876934355,1.1892347018904674,1.2266815935902649,1.3079315274633792
6-2807367,,,,,,0,1.0099432150802012,1.0009149866298466,1.0041074525521054,1.0026917156203554,0.9994972945616102,1.0047056584994585,1.0016082507483288,1.0028046007590334,0.9997522146028862,1.0002951771776278,1.0006398319283722,1.0008202658609107,1.0006234632815232,1.0010056117858037,1.0018811899880797,1.0018120106352655,1.0011343540221183,1.001346832488887,1.0015738841543904,1.0013238647455465,1.0013910876044065,1.026186464597133,1.0708382184151144,1.0935565621336125,1.165879500415093,1.1875561742507248,1.1853890229818924,1.1825749139881057,1.2794805336539623,1.2623871540007467,1.2537119636029412,1.2375530328049449,1.23260438675743,1.2216370702814114,1.218697408126546,1.2123250445677098,1.206898852438283,1.2020582014500927,1.198939208047667,1.2133304948731904,1.2717326994639182,1.263343025576202,1.2554633605526144,1.2483029745580625,1.2394925025793793,1.2583297818942387,1.2548682468983627,1.2495624170197857,1.246596691069246,1.2359011915449016,1.2292889173373185,1.215928853140682,1.2129132442257755,1.2099431435825108,1.207967442618969,1.204559382031377,1.2014919105660646,1.19822968690001,1.1956540748406173,1.193419390047451,1.1911300787491224,1.228829069942523,1.3109181673532762
7-2804336,,,,,,,0,0.9629843698119704,0.9976951044275213,0.9982883529796521,0.9952284004076614,1.0033272012375123,1.0000184243084742,1.001622537427612,0.9984378132254323,0.9994718973218576,0.9999947245558733,1.0002808771466203,1.0001198541953156,1.0005548655808614,1.0015058720288117,1.0013144512784444,1.000637328019623,1.0008985170882168,1.0011505230577096,1.0009025740014057,1.0010101279770498,1.0267053458097721,1.0727262915785576,1.0963204717685262,1.171220085561122,1.1934210489434316,1.191109419519017,1.1881009011203687,1.288368462560895,1.2700768082652696,1.2609985230222944,1.2439202897583541,1.2386877501472082,1.2270438274424205,1.2240342250554361,1.217341926106389,1.2115680279773111,1.2065858917621612,1.20332393892562,1.2179290864831662,1.2778347770561505,1.2686175188348028,1.2604195377391787,1.2529692424574537,1.243817102949191,1.2628563911265758,1.2592721021127053,1.2537740359740286,1.2507009763121597,1.2397068737610049,1.2328221039532232,1.2190368514289174,1.215932436083443,1.2128761901574645,1.2107866648156311,1.207334570859151,1.2042369486011752,1.200836708235322,1.1981863545370333,1.1958406224694906,1.1935353534863686,1.2317676416981158,1.315216093007
8-2804260,,,,,,,,0,1.009984374931994,0.9939276042105784,0.9921294876334624,1.0019062492070936,0.9988587557113241,1.0006841965193514,0.9976179129216561,0.9989550947847392,0.9995845164789913,0.9999356367316086,0.9998028179744219,1.0002641752009929,1.0013855668581109,1.0010632399092243,1.0003946276109994,1.0006778701853905,1.0009402339540865,1.0008035113359257,1.0008231324473507,1.0267098729878057,1.0730694400349137,1.0968430305682244,1.1723390869064858,1.194664748544977,1.1923203899997386,1.1892678229469558,1.2903148614193198,1.2717734884414247,1.2625777056212997,1.2453929171372382,1.2399933376622436,1.2282169479629588,1.2252634420037714,1.218406964738309,1.212573707255617,1.2075412424482581,1.204247322342488,1.2190855003513752,1.2793496601197656,1.2697847669695106,1.2615912681225874,1.2540719618407588,1.2448386968728409,1.263853979755318,1.2602417233309293,1.25483366499105,1.2517341766619345,1.2406516318182845,1.2335941349794939,1.2197688648976404,1.2166435276903205,1.2136211760790638,1.2115164823512257,1.2079356505504664,1.2048198592286017,1.2015014656068117,1.1987827414315,1.1964714497739866,1.194053421672212,1.2324955133605646,1.3161842038633982
9-2807394,,,,,,,,,0,0.9795470491931083,0.9843879738522623,1.0000352818312679,0.9971374431326917,0.9994687065906548,0.9964051178623641,0.9982702619696087,0.9990678039069597,0.9995137284455703,0.999414283896014,0.9999191696138332,1.0011047385433152,1.0009195599662128,1.0001108804500125,1.0004256700381369,1.0007046390590777,1.0005706736233657,1.0006125308891862,1.0271786505430578,1.0744980900389778,1.0988328835450063,1.176196931116367,1.1988910369611188,1.196438930861318,1.1932412948360185,1.2967207465258352,1.277371048206458,1.2677951641345298,1.2498310559127241,1.2443257303675672,1.2321208279829843,1.2289576531190929,1.2219605338126938,1.2159353224470961,1.2107399859888164,1.2073426462370314,1.2223902425669915,1.2838171923236052,1.2736857577687204,1.2652581326115298,1.257448450753069,1.2480384320161233,1.267186353593746,1.2635535573735828,1.257936493806283,1.2546913715711092,1.243285231937145,1.2361977356718679,1.2220619071112613,1.2188717994050973,1.21573234889006,1.2136374619289836,1.209984935312966,1.206758094307811,1.20342957948326,1.200554640932694,1.1981995090392352,1.1957839231673495,1.2345635046095824,1.3191251594088298
10-2804761,,,,,,,,,,0,0.9889308341746779,1.0071817825831575,1.0008107474505414,1.0028719191973012,0.9984781196749167,0.9996653387704161,1.000214618865983,1.000495809679639,1.0002986947508,1.0007600823972447,1.0017730253104011,1.0015564258742762,1.0008133361017215,1.0010771287949753,1.001338657431044,1.001069636068169,1.0011673784272614,1.0282832697193671,1.0769613169440047,1.1019642425543523,1.1815565529540966,1.2046425036676656,1.2020504571195167,1.1986636478039179,1.3050252423062378,1.284655277960219,1.2746000319321087,1.2557828838980212,1.2500137542413097,1.2372682627193443,1.2339560252159865,1.2266649610664733,1.2203976528321019,1.2149966343832044,1.2114687492895302,1.226580635693939,1.2893468770684915,1.2785118487796605,1.2698015275765544,1.2618081162759693,1.2519436720009631,1.2713725787426318,1.2675606571073759,1.261774671061089,1.2583654125451582,1.2468378115063214,1.239560166006719,1.224868375142781,1.2217143239174448,1.2184982676989942,1.2162942513074342,1.2125554132803302,1.2092572696004256,1.2059063514911723,1.2030645479815085,1.2006524660839175,1.1981274322213973,1.2371870371638947,1.3228062252122734
