순번_정류장ID,71-2806940,72-2806941,73-2806942,74-2806943,75-2806944,76-2807134,77-2806945,78-2806957,79-2807608,80-2807164,81-2806946,82-2807137,83-2806947,84-2806948,85-2806949,86-2807147,87-2807148,88-2807149,89-2806951,90-2807138,91-2806973,92-2807139,93-2807409,94-2807123,95-2806891,96-2806890,97-2806888,98-2807293,99-2806886,100-2804580,101-2804213,102-2804211,103-2804209,104-2804207,105-2804205,106-2804204,107-2806290,108-2804202,109-2806292,110-2803609,111-2806232,112-2803608,113-2803607,114-2803606,115-2806297,116-2803616,117-2803853,118-2803850,119-2803617,120-2806299,121-2803618,122-2806300,123-2803600,124-2800273,125-2803601,126-2804331,127-2803581,128-2800271,129-2807150,130-2804581,131-2804582,132-2800267,133-2804032
71-2806940,0,1.0049467818849709,1.0026693187344897,0.9938810407776562,0.9966361712518313,0.9995173048125091,1.0020367377771828,1.0013510783400008,1.0487092155443176,1.6260346733997222,2.9174706796461622,2.79110512242784,2.653398446740853,2.533901059595654,2.155628334332544,2.049538094339074,1.923236645290747,1.8903904804349319,1.8415118770768386,1.8127149889330756,1.7238861565498476,1.7526232668110548,1.7164518152450603,1.829546040726772,1.7163399149568512,1.6829977112342094,1.650755302236122,1.632904295590265,1.604795920512977,1.5890480318978744,1.5673127116310115,1.553216163679237,1.534966486016732,1.5229223444857543,1.4976488228488023,1.490621645594472,1.4796121641757722,1.468240010599941,1.4612063677762692,1.4481721300210746,1.4388632493731202,1.430538600095127,1.4193063427410524,1.4129206033086814,1.4008770203703067,1.3948605669532237,1.3909819002935426,1.3836328252079018,1.3724621423954557,1.3636875336634142,1.3594539813581663,1.3543320172171822,1.344353125382131,1.3367726936089857,1.3334196829133191,1.3314269722080598,1.327731740473272,1.3211241676468661,1.3099709100963863,1.306505034721986,1.3032196359946566,1.3026890375538498,1.3444627008306884
72-2806941,,0,0.9938520233039908,0.9729186235924998,0.9863428627513097,0.9944157511938865,0.9997937889971614,0.9999964530569477,1.0606522514605983,1.8609096665121834,4.102961931227405,3.7849496022354963,3.4649157297729056,3.2079362916240948,2.5005963826586837,2.326255030482704,2.1300750624047367,2.081270028876594,2.0101375548948868,1.9688945191818479,1.8450204735859348,1.8733816419366394,1.825059938295802,1.7820418644020306,1.648125259223857,1.6170308423648694,1.587137247566318,1.5706100897889295,1.5446270808449585,1.5301601417338437,1.5102242171361284,1.4971709388004784,1.4804160978450203,1.4694812042707588,1.4461205190147262,1.4398039200714685,1.42969310426709,1.4193508779135047,1.412921954998039,1.4010353201445296,1.3925594426180579,1.3849330572848848,1.3747529428489775,1.3689522367024292,1.357963757463598,1.3524738668494014,1.3489569994546668,1.3423836684972579,1.3322202631601603,1.3243028899741978,1.3204918793327218,1.3158585437612969,1.3069054348086875,1.299967968166674,1.296901726555214,1.2951490799698209,1.2917979354275249,1.2858220403623883,1.275755868643557,1.272688374398581,1.2697019372965717,1.2695842756722395,1.3114439838699037
73-2806942,,,0,0.9528622566281542,0.982809075139388,0.9945954417535223,1.0012699774167513,1.0006584845621225,1.0657181122343204,1.9547709363914607,4.695640215586226,4.25340816859244,3.8248994729270542,3.4924466063300734,2.627064917569019,2.4241188986754953,2.200263030942819,2.14538990006962,2.065955534260215,2.0201483209705917,1.8837487070535865,1.9116708576470143,1.8591774156225256,1.8126216503004933,1.6690206251073163,1.6359668396456686,1.6042547660889135,1.5867661581309138,1.5593322016127826,1.544070744195512,1.5229887112578775,1.5093909740717122,1.491818215273799,1.4803401261096873,1.4559450781056533,1.4493453393607403,1.4388083041809385,1.428021927923289,1.4213299300569913,1.4089647394879345,1.400155272907528,1.392244467432449,1.381675423422942,1.375661006289855,1.3642865680421499,1.3584575399333314,1.3548205908789601,1.3481577606255055,1.3376629493528103,1.3293586496218106,1.3254256303611542,1.3207719248025775,1.3115349485860681,1.3044029898531677,1.3012520373508176,1.2994420887788938,1.2959963754584984,1.2897444732790808,1.2794064677890127,1.2763530207888838,1.273284808877303,1.2731256969466818,1.315578137576872
74-2806943,,,,0,1.0116944946608428,1.0155703547466544,1.0182285692729474,1.0067178970266812,1.075418452876944,2.0823916472509363,5.625268992477245,4.954398851812339,4.33763728798177,3.8858138319860123,2.7878158809961997,2.545655443504846,2.2862305803559795,2.2231708029152513,2.133267025256406,2.0821030207144604,1.9298806203921137,1.9570389919861912,1.8994951038120016,1.848906344535555,1.6937157164791716,1.658183129007412,1.6244795354029782,1.6058578015376692,1.5765854473994478,1.560521386467167,1.5382269262577404,1.5238602881645513,1.5052211635423203,1.4932161115140365,1.467616077006427,1.460685769539853,1.4496526421363543,1.4383479606190956,1.4312608350659892,1.4184274506597876,1.4091464997529513,1.4009888116085805,1.3898103977407257,1.3835505819097011,1.3718811081008138,1.3658899308345582,1.3621815389290701,1.3550439171324158,1.344233407757433,1.3357527818306136,1.3316733210598732,1.3266011431637177,1.3171578946455929,1.3096834872233427,1.3064355780894206,1.3045593682568024,1.301005249649608,1.2947241315963034,1.2840088666555727,1.280748440607079,1.2776372582767628,1.2774267042450271,1.3205739662830684
75-2806944,,,,,0,1.0197871333241713,1.0219536718604902,1.0059643937459886,1.0816527233365565,2.2453001919003777,7.22532168576288,6.067678171998179,5.096654501333446,4.433272771675393,2.9832397780484365,2.690091183546468,2.383788720428561,2.3115289633690677,2.208721659507301,2.150261167252181,1.9799208024519297,2.0061056961777255,1.9426904230092745,1.8869715208625344,1.7188227440341373,1.6809055137143827,1.6447073670602013,1.6248608952587096,1.5938860566719641,1.576692718766475,1.5531086478843223,1.538048032383647,1.5185047259952098,1.5054992416183581,1.4788517685395515,1.471576052860962,1.4599281292702537,1.4480885259278513,1.4408667425144455,1.427368361943796,1.4177707366584167,1.4091901522584647,1.3975443354216919,1.3910309020224703,1.3787576145698548,1.3726817608944362,1.3687585686285435,1.3614944190667664,1.3500896901408226,1.3413756533763923,1.3372179504615858,1.3319743882747472,1.3222046638471958,1.3146225840438064,1.3112755319214011,1.3093322319343461,1.3056676687356679,1.2991357749644357,1.288046971940824,1.2847371728890828,1.2814810042320472,1.2811719555109518,1.3249407938250732
76-2807134,,,,,,0,1.0243444432479,1.003731680203444,1.087765536903881,2.444554899884998,10.12916087873643,7.8369848305952905,6.178816075125774,5.161090201083559,3.205238933677167,2.8483458688170997,2.487578695605595,2.4043466324855873,2.2870872332557726,2.220947312619734,2.0305529066788894,2.0555175098133533,1.9858954586585191,1.9250386138716067,1.7434820831219033,1.702976646676488,1.6644125204976368,1.6433317779641319,1.6105152709960104,1.592460019188869,1.5675826661664027,1.5515886875199931,1.5310456454721235,1.517599264904632,1.4894913697980197,1.481878117873643,1.4698220384195841,1.4574547515552152,1.4498306733906234,1.4357733807569193,1.4257884355768091,1.4168795945797052,1.4049467572433094,1.3981853221004077,1.3854665170334228,1.3789375920719513,1.374877661984963,1.3672868283524358,1.3557920710766744,1.3465822923524013,1.34222286122759,1.337078833774503,1.3268679737473708,1.3190723140120655,1.3155123256705301,1.3136264234696164,1.3098586006467234,1.303029871497932,1.291753865818515,1.288402087401389,1.2850571915528024,1.2847545064001267,1.329058501682166
77-2806945,,,,,,,0,1.000190223000331,1.0936501308943898,2.616673370762964,15.04267105455739,10.237678165246306,7.430757013863221,5.922351379724871,3.3914970551648045,2.9743979740135185,2.5651520828189667,2.4725437796083813,2.343165075664351,2.270702890836296,2.0642424976570126,2.088443850503834,2.0140163515206324,1.9492470092148555,1.7578049549463781,1.7154572422409478,1.675237017442945,1.6533020497653448,1.6192258381278168,1.6005017561289328,1.574763405246822,1.558234946691095,1.537037276268363,1.5231672016989972,1.4942604911385748,1.4864345651858553,1.4739577255887852,1.4613676874151522,1.4534565466594878,1.4391532844454942,1.4289339077062733,1.4197390613874894,1.4075448414781595,1.4007230289929609,1.3877461237767335,1.381163119325561,1.3770989278433516,1.3692846628191635,1.3575078246537626,1.3482727663280356,1.3437015910547412,1.3383396285153026,1.328030749673874,1.3201815694392554,1.316691436368923,1.3146542374519654,1.310831982116443,1.3040224922501245,1.2925889329580544,1.289081873487348,1.285693964187975,1.285380760524591,1.3302633455543482
78-2806957,,,,,,,,0,1.2191350237666236,79.44737493468274,2.317571258163887,2.18925454814989,2.0593503000389926,1.9537867824089117,1.6564142727401119,1.5822344974692433,1.4992709522546355,1.4779889945801175,1.4466670171910498,1.4287463527594264,1.3751931846572856,1.4222731830233668,1.399059652241495,1.3787888907123869,1.3147251129807929,1.2995076604364841,1.2853470606030288,1.2774478637258386,1.2649703382276687,1.2583387520261147,1.2485706433957795,1.2424655737499024,1.2344391487537736,1.229737402646877,1.2178554487278876,1.2149284148749186,1.209815058780378,1.205028454874828,1.2018698637769463,1.1961104169439019,1.192028235903913,1.1881028147627657,1.1832189015442167,1.1805512320907154,1.1748641642872057,1.1723639041689773,1.1706636237170651,1.1676077127670046,1.1625910936902353,1.1588697394412053,1.157110472199893,1.154855857033267,1.1508158820531662,1.1470222852367051,1.1453504878938163,1.1446144955231503,1.1429095872397972,1.1400264163283969,1.134979375420258,1.1338278625040663,1.1323662690551162,1.1338421999143138,1.1736985822900496
79-2807608,,,,,,,,,0,1.014144963568334,1.0044312583954844,1.0038883452018577,1.0041920137264078,1.0043004369930086,1.002420250298515,1.0025938363403526,1.0041931888050941,1.0038063505990662,1.0028828775715666,1.0027540347821524,1.0030345240332676,1.0566763174228075,1.053690977455856,1.0516684263945293,1.04393948510802,1.041605460024773,1.0401293282731467,1.039201994546731,1.0376509662028868,1.0373105331794454,1.035886728557624,1.035301541571584,1.0343428322142483,1.0346136934024255,1.032127868944441,1.031934172111532,1.0309059913660847,1.0306005631678439,1.0301598616760836,1.0293190831896526,1.02880217450369,1.0279101979766312,1.0275899302806148,1.0271828005278496,1.0260488754476758,1.0259071434895863,1.0256805310807298,1.0255127503600519,1.0244456606875387,1.0242137184323892,1.0241127182111252,1.0237480034580637,1.02367324859165,1.0224766468221202,1.0219556802777898,1.0222027242707705,1.021841545236116,1.0212663403523439,1.020510010254835,1.0207317100938722,1.0206631017922256,1.0231916836667239,1.0596747710936658
80-2807164,,,,,,,,,,0,0.9986058763557183,0.9983377190407979,0.9994008508066667,1.0000382999102784,0.9991567550817024,0.9995437611469756,1.0019512768307064,1.0015754060032098,1.000607646241102,1.0005450833452425,1.0011529338780045,1.0635850949071273,1.0597667185382451,1.0571332544256722,1.0475428010896302,1.044771581527851,1.0429796960795323,1.041873424278388,1.0400436296040803,1.0396827330785163,1.0380349139783267,1.0371919033103079,1.0362265083392463,1.0364042602644357,1.0336931007227708,1.0334605588960883,1.0322524927406043,1.0318896279877827,1.0313343235706895,1.0304563351141742,1.029877378507099,1.0289585907482923,1.028476504861129,1.028082061644337,1.02684658623011,1.0267867345624728,1.0265365372683815,1.0262402813362568,1.0251351704512737,1.0247766449995874,1.0245210402413703,1.024315030211477,1.0242188542711443,1.0229883960772477,1.0223901202683057,1.022647591961368,1.02226187259892,1.021689545328464,1.0208388576032394,1.0211076882347372,1.020991693693941,1.0236427986838599,1.061892347345343
81-2806946,,,,,,,,,,,0,0.9958584096463653,1.0007549262214162,1.0025551798016386,0.9992450730544353,0.9999183655994813,1.0036854092483236,1.0029843084640961,1.0013898797913305,1.0012510767282976,1.0019731731222998,1.0875368814960262,1.0806600946968612,1.075745897254421,1.0597808419143682,1.0556437234766585,1.052804140931098,1.051123546534532,1.0484157821659457,1.047612495115747,1.0452121306454158,1.0441717913751112,1.042591559783051,1.0426951442226495,1.0391253575846442,1.038763809933014,1.0373088325883102,1.0367464396013422,1.036025359093785,1.0348685476438335,1.034102663168661,1.032906342238047,1.0323016450528764,1.0317889490397065,1.0302795960035795,1.0299742161445902,1.0296578869913124,1.029314704540647,1.0279843578803616,1.0275079906825022,1.02744940498695,1.026915770271881,1.0267225634746273,1.0252616174320923,1.0247245818423676,1.0248935602134421,1.0245372214909707,1.0238589931866318,1.0228458169250634,1.023067584182309,1.0228728948965309,1.0257843944005622,1.0676681443807834
