순번_정류장ID,25-2807612,26-2807610,27-2807614,28-2804239,29-2806328,30-2804241,31-2804335,32-2804773,33-2804244,34-2806230,35-2804257,36-2804259,37-2804758,38-2804760,39-2807395,40-2804261,41-2804337,42-2807368,43-2804602,44-2803580,45-2800263,46-2800267
25-2807612,0,1.000184163537221,0.9999135505729148,1.0014393637804988,0.999257348088306,0.9995083478896812,1.0004146247500254,0.9996773969219042,0.999396377162232,1.00174891945087,1.0011705397361874,1.0009087304250823,1.0010982426000965,1.001079903923284,1.0017605139874652,1.0021377958945337,1.0020866181612713,1.0023662345119313,1.0022305619836986,1.001767779758244,1.0016343200432902,1.001777817935943
26-2807610,,0,0.9997908078955493,1.001834633832201,0.9990209641114117,0.9993655513680065,1.0004518893040697,0.999612970477038,0.9993157104869952,1.001895028588587,1.00125862453118,1.0009694577197383,1.0011705840605047,1.0011482362070556,1.001877173555331,1.002279041834497,1.0022225173569768,1.002515901640713,1.0023675051241292,1.0018719332003987,1.0017276187699269,1.0018777732813
27-2807614,,,0,0.9966123953011277,0.9924740372846029,0.9952114037755949,0.998385332865314,0.9978500696828199,0.997909074237066,1.0013084960149066,1.000549465307465,1.0002483620849456,1.0005392206969752,1.0005410225546392,1.0014324701063424,1.0019227278376064,1.0018605244913605,1.0022230934826846,1.0020576294525914,1.0014842024805641,1.0013264356122047,1.0015122508274688
28-2804239,,,,0,0.9870318241399317,0.9943303183475343,0.9989719511115238,0.9981087901480908,0.9981019789621222,1.0019207353417006,1.00103062182447,1.0006556807374352,1.0009471527133584,1.0009287979104384,1.0018904148860324,1.0024114796409862,1.0023364447913086,1.0027056080245633,1.0025113001019952,1.0018817924549681,1.001700141190705,1.001888502472851
29-2806328,,,,,0,1.0010295959526228,1.0029783303033208,1.0002013442162048,0.9995134205249414,1.0035576308073768,1.0024642254887355,1.0019231422785437,1.0021401662428522,1.0020560297744345,1.0030465650777134,1.0035679913958424,1.0034695039527273,1.0038015164297418,1.0035578885125196,1.0028639156855947,1.0026407099507022,1.0028094145490165
30-2804241,,,,,,0,1.004102595582292,0.9999867106102487,0.9992688453674767,1.0039019519154755,1.0026443860546035,1.002023920885115,1.0022547863917057,1.0021557183895684,1.0032333797175985,1.0037945023277606,1.0036837352050567,1.0040300743075443,1.0037589279832873,1.0030064978702888,1.0027617119443932,1.0029383115978745
31-2804335,,,,,,,0,0.9966241347894286,0.9973900791194401,1.003839925668429,1.0022381312063644,1.0015181654343959,1.0018525758400552,1.0017620606685809,1.00306694249559,1.0037380616307443,1.0036085262377965,1.004017966693635,1.0037039240526364,1.002835834024946,1.002560793726822,1.0027709832424212
32-2804773,,,,,,,,0,0.9980851662753283,1.0042576362657585,1.0017731719373268,1.0008343196033291,1.0013867763255306,1.0013106447518736,1.0030430789319345,1.0039078900796394,1.0037375929306145,1.0042402083002921,1.0038388622166317,1.002763272320531,1.002430497336534,1.0026916530840078
33-2804244,,,,,,,,,0,1.0166847093877578,1.0066285125901795,1.0032341102996407,1.0035812838843907,1.00313803835359,1.005559345813381,1.0066218401699831,1.0062751991718326,1.0066642414554454,1.0059459032371763,1.0043989319742064,1.003856912715805,1.0041059398728733
34-2806230,,,,,,,,,,0,0.9876280793546982,0.9929369285120534,0.9971231973988355,0.9978331650010632,1.0018089542951656,1.0035898924821325,1.0032878814882338,1.004227022989905,1.0035579213831793,1.0018169116495954,1.0013575926018972,1.0018425776180098
35-2804257,,,,,,,,,,,0,0.9965524318564903,1.000474059122753,1.000501238847855,1.004887902615049,1.006617571043718,1.0060923725631372,1.0066790146902331,1.0056828579589085,1.0035926755000313,1.0029362865980833,1.0033387471835435
36-2804259,,,,,,,,,,,,0,1.0046917708499665,1.002960379080895,1.0087890505250334,1.0105031498492085,1.009496121313534,1.0094839238359032,1.0079057414856032,1.0051777304011378,1.0042322754344455,1.0045789387974058
37-2804758,,,,,,,,,,,,,0,1.0005756996529631,1.0119456826931428,1.0137570770780249,1.0118811419512026,1.0111461997926174,1.00884645547252,1.0053063937226014,1.0041253151244427,1.0045558327546775
38-2804760,,,,,,,,,,,,,,0,1.0057289068408943,1.011578426087833,1.009054587621604,1.0092095788282556,1.0066852401576718,1.0025731282906867,1.0015531910569238,1.0024198140866298
39-2807395,,,,,,,,,,,,,,,0,1.0185753746354702,1.0117642045640785,1.0104914428289704,1.0069476080742112,1.0018300913624802,1.000739415548405,1.0018810842957624
40-2804261,,,,,,,,,,,,,,,,0,0.9972038611388097,1.0068953115734625,1.0034678468098834,0.9977261013606831,0.9972719158896867,0.9992501770310042
41-2804337,,,,,,,,,,,,,,,,,0,1.0013195548916058,0.9994667573179227,0.9938203864879176,0.9942089359278887,0.9969649734914889
42-2807368,,,,,,,,,,,,,,,,,,0,0.9964224422442244,0.9864768328106861,0.9898014633911255,0.9950578095413624
43-2804602,,,,,,,,,,,,,,,,,,,0,0.9717468486368521,0.985783825496725,0.9945613105368405
44-2803580,,,,,,,,,,,,,,,,,,,,0,0.9955293915357085,1.0019953554916854
45-2800263,,,,,,,,,,,,,,,,,,,,,0,1.0077050412641546
46-2800267,,,,,,,,,,,,,,,,,,,,,,0
