순번_정류장ID,1-2806011,2-2805329,3-2806741,4-2805758,5-2805334,6-2805736,7-2805671,8-2805672,9-2806191,10-2806160,11-2805528,12-2806420,13-2806679,14-2806681,15-2806904,16-2805575,17-2805499,18-2805843,19-2805249,20-2805412,21-2804897,22-2806519,23-2805052,24-2804893,25-2805038,26-2804895,27-2805744,28-2806214,29-2806242,30-2806244,31-2801157,32-2806001,33-2805994,34-2805963,35-2800850,36-2800852,37-2800845,38-2800854,39-2800833,40-2801055,41-2801043,42-2801024,43-2801003,44-2800979
1-2806011,0,0.9931312277839285,0.9963140406657749,1.119250942536355,1.8813731850234436,1.3684452347283744,1.2513189647368113,1.1630262386894303,1.1564023370711696,1.7510802915296104,2.927371359009138,3.687920605834563,3.6313290945511603,4.2275815863138915,4.787372788794344,5.355921486257911,4.773526921738084,4.3978573275017645,3.917687891518283,3.597201887291134,3.601174746596801,3.903304371712751,4.71679973700194,5.399799516642864,5.690889286328903,5.221141337545963,4.478031354741568,3.4999344491263087,3.220589446039826,3.095339920299563,2.833137817801717,2.723717746538159,2.6751495837818364,2.589683212179997,2.5102107475518602,2.4220128630692264,2.3918714435180743,2.3395357722078223,2.287169243535378,2.181933795717502,2.1226136103860327,2.0830189566923596,2.047184756510848,2.013811464741659
2-2805329,,0,0.9980367033963454,1.0341156744478721,1.32247694013712,1.1927960316737962,1.1352394915247184,1.0892619120418585,1.0870361898036565,1.6538884123493256,2.7320243124954855,3.4522839788186275,3.4584722989193204,4.008852831042307,4.644853091555163,5.19752770852307,4.640803113575193,4.283651003827589,3.8254430320113695,3.518493874139179,3.525547339017113,3.819476378345613,4.608973360983275,5.269463486012616,5.553075294836338,5.1050518565694265,4.390071683182213,3.443310191339594,3.172245501983783,3.050522134375796,2.795414219796366,2.688844129228401,2.641884931215968,2.558155768529856,2.4809539842902093,2.3945705455094295,2.3654137932344503,2.3140555627188695,2.262888267059509,2.1603284095849897,2.102299222980048,2.0633664061755916,2.028291671843429,1.9957957536905577
3-2806741,,,0,1.06433706501465,0.9976430857987125,1.0019648234384255,1.0020031830702956,1.0019857099929075,1.0049646624098245,1.5498419037690656,2.5504587895780735,3.243061174646661,3.2069899233802897,3.698693856740735,4.066044954722916,4.515333662954164,4.094409522663503,3.818275417560121,3.4558412648448678,3.207574165810193,3.2256750805915226,3.481055707104975,4.1566160752424315,4.7096145882048015,4.954871245840311,4.596784913361059,4.015124937381793,3.21613061622862,2.9821893672506588,2.8748738902512643,2.650525782239867,2.556137198494992,2.514038777569237,2.439953617849659,2.3702917028973265,2.2933595215552987,2.266826415315681,2.2206420041767725,2.1743807521102587,2.081509495925607,2.0287301121448817,1.9934239478967906,1.9615273758172422,1.9314655298453924
4-2805758,,,,0,0.954333152825591,0.9884311483898429,0.9928279209075359,0.995811098199084,0.9993677959237448,1.530521576372296,2.5735083944413404,3.3027685355999754,3.2638380408443965,3.7899675699683657,4.123172505923103,3.9342228334234957,3.6155963477630992,3.402672507824795,3.117469959493213,2.918062568378183,2.945001656083689,3.167164202194175,3.7467894097860346,4.21201449249243,4.425619768224957,4.141882000117985,3.6674542714289613,2.997339995464596,2.794882432542515,2.702780378175792,2.506883025517396,2.4239061052731463,2.387059151482602,2.3211008756188294,2.2595236779163255,2.191035597402759,2.166813690422963,2.1258626114925554,2.084569949384326,2.0013224717776685,1.9536619349355568,1.921551256791869,1.8927753556424782,1.8654647091567438
5-2805334,,,,,0,0.9995498464274677,1.0005332979737098,1.0008062034282135,1.0044123119019495,1.4410056393573736,2.4594907515337017,3.1970634864991396,3.160494946158707,3.6824360078546152,4.014486303732836,3.765488694981215,3.466307218986241,3.266429337124524,2.998435193896615,2.81079666527703,2.8413711693361723,3.057195792570268,3.6200632834822972,4.071363710282972,4.281399498729807,4.009328915588926,3.556216203956533,2.9148877230361547,2.7231158077982713,2.634795701901896,2.4465895354512512,2.3667366794811717,2.331417678129343,2.267856657508645,2.209112575073474,2.142992540597971,2.12046471866673,2.0812483036020604,2.041199028594448,1.961919293015413,1.916185255065062,1.885370325506677,1.8574227290093397,1.8315133184734471
6-2805736,,,,,,0,1.002096672519303,1.001541898316884,1.0069566193074238,1.0543062019396827,1.3939621252829033,1.9020257808435819,1.9111199876446858,2.1599215092759483,2.3256678984462917,2.2715499172345592,2.1731451547754923,2.1048597338631274,2.007480506647388,1.9344610669476852,1.9820720394485307,2.1121473712219,2.437687385694315,2.6836300464582923,2.8161640554910954,2.7050644744482275,2.5054318783682636,2.1955265595238127,2.0953435120529345,2.0475547894891304,1.9443945713103896,1.8994083823519528,1.8790002893718507,1.8421586618826247,1.8077252918720874,1.7691965346855028,1.7553145876349463,1.732268770788918,1.7082094089552216,1.6604743704245786,1.6321064902997593,1.6129697429345873,1.595348416586685,1.5786649335160126
7-2805671,,,,,,,0,0.994675544389826,1.0037860001773447,1.0643483629866357,1.2777242675910818,1.3972348228725184,1.4164001866726705,1.5855107659615288,1.701697085909393,1.693551267223111,1.6489531465396223,1.61822413524386,1.5729066099548803,1.537334936862725,1.5879725853727968,1.6856548477606736,1.9255870464681684,2.1018729261855578,2.206027571514655,2.1438139007505583,2.028315025065094,1.8401553253190277,1.7773099790269724,1.7468065287919368,1.6796744590516368,1.6501831722827864,1.6366405801006836,1.611867916574549,1.5889761372582587,1.5628836937302064,1.5534986488190956,1.538326917187199,1.5215460185607153,1.4897378109914483,1.4701771236384054,1.4567490645998173,1.444213406009444,1.4325367179191169
8-2805672,,,,,,,,0,1.0524175888064184,1.1168872981012938,1.4577646960476003,1.2444688633482723,1.2293326863677618,1.2137985064544954,1.2093525707355974,1.1919051977181443,1.1804667863683198,1.174614707418232,1.2723097411594946,1.3114441084649795,1.2829532498661231,1.2791380578028455,1.3924413263786162,1.440905527305244,1.5159990614072574,1.4954011531832423,1.4547128134694887,1.384699394966115,1.3609033973745246,1.3486108105979546,1.321286886656519,1.3094351519607976,1.3038739601843365,1.2928479166326787,1.2833785479075526,1.2725118871579972,1.2683246697719734,1.2624650929149428,1.3088355822579774,1.3184076997880776,1.306248344013515,1.338923092526439,1.4039138018374993,1.4373543991801325
9-2806191,,,,,,,,,0,1.127493794405943,1.5126010324116435,1.2575244623577293,1.2406395771822902,1.2233788986057066,1.2184250278324176,1.1993219656015734,1.1868840862111452,1.1804614949194294,1.2826310959880016,1.323348201395535,1.2926203887181247,1.288351012952314,1.4066596499803727,1.3876305184658442,1.4159096243581892,1.3998985028076973,1.3681446392864174,1.3132609786335194,1.2944696938242108,1.2846464421461414,1.2629733641861811,1.2535768414309896,1.2490124752387157,1.24022598767641,1.23246160344454,1.2239235460538032,1.2205026920288915,1.2519955269131817,1.3142744515478246,1.323685471281059,1.311081064841663,1.3445061325950491,1.4110680445380506,1.4450994323775843
10-2806160,,,,,,,,,,0,0.9959671160731965,1.0545578098532178,1.0483690084754484,1.044095307392852,1.04186718783137,1.036196946194732,1.0339019786772166,1.0664562679614145,1.2951146618988645,1.349247230023853,1.306367322351001,1.2953127897763568,1.4139277903148917,1.3897724707653363,1.3631218846737192,1.3467709390317015,1.3165923449859498,1.2623551519957192,1.2625109642980947,1.2525209061028026,1.2308891600675282,1.2217109428681914,1.2172403884094338,1.2084834720901672,1.201023605319293,1.1930667100675425,1.1915373518129677,1.252669520007558,1.3231892088174744,1.3334318856031366,1.3188857709990718,1.3561218395515957,1.4311675408537863,1.4697688533436024
