순번_정류장ID,1-2805529,2-2805760,3-2805761,4-2805339,5-2805228,6-2805226,7-2805575,8-2805499,9-2805408,10-2804947,11-2804969,12-2805568,13-2804895,14-2805744,15-2806419,16-2803673,17-2804967,18-2806938,19-2803492,20-2807073,21-2807056,22-2800799,23-2800804,24-2803056,25-2802651,26-2802638,27-2803042,28-2803043,29-2803115,30-2803134,31-2803133,32-2803125,33-2803232,34-2803181,35-2803260,36-2803270,37-2803269,38-2803267,39-2806495,40-2802802,41-2802810,42-2807483,43-2802850,44-2802858,45-2802886,46-2802934,47-2802984,48-2803020,49-2802429,50-2802467,51-2806673,52-2802469,53-2802465,54-2802463,55-2802460,56-2802450,57-2802455,58-2802476,59-2802513,60-2802490,61-2802458,62-2802446,63-2802466,64-2806692,65-2805389,66-2802541,67-2802547,68-2802552,69-2802566,70-2802366,71-2802585,72-2802374
1-2805529,0,1.0501673588463791,1.0109692517461943,1.2681374290017153,1.1802723051414792,1.1383594305960756,1.127609013445814,1.114702218677098,1.1099930509190499,1.1036356675424728,1.1694297475206847,1.4389559842709811,1.517493487944936,1.4398341937687171,1.3860244277109974,1.34824127210119,1.2968693982041335,1.2619765055899967,1.2446927931293057,1.2373691062971823,1.2201682854606795,1.211387057624567,1.2133939556891156,1.2711286163963635,1.283665757311847,1.2979037195415501,1.2852318887953105,1.3283926811515094,1.3744287261964447,1.355741641617178,1.4411012726052175,1.4839905788590613,1.4618252589927845,1.447380287434394,1.4341078214438028,1.4152200262201005,1.4141617691095851,1.4912055305741638,1.4950989643812913,1.5328074770756988,1.5640574908498905,1.5500317512793738,1.5341589114680447,1.5195781024933737,1.521849494070895,1.503602554215262,1.4961892426012158,1.4753504002750835,1.4436127035442414,1.4261091019110448,1.4208712244979018,1.4276349118650253,1.4235504058635051,1.4178254075514478,1.412070066393771,1.4014456356285332,1.4074879304650698,1.407436793799806,1.4136856107494837,1.435479044150959,1.432642825364838,1.4229879288719636,1.4415617505920686,1.437696413678338,1.4896391222245509,1.484146920130073,1.4791921815478717,1.4746052845022595,1.4723584593555124,1.4648651400583657,1.4573278697855576,1.4526750501835288
2-2805760,,0,0.9618928790029125,0.9759957741372042,0.994440275562508,0.9891932667659213,0.9908551576469147,0.9926360074296252,1.0042189623823896,1.0059293537675578,1.074955857097937,1.3349175379590414,1.4150888767876244,1.3521890535597034,1.308347577862882,1.2785849441963344,1.2372019032381472,1.2096281827521305,1.195453163392505,1.18947543194718,1.1748594143695683,1.1689136450375892,1.1718403720077288,1.2294673870883617,1.2435483189153222,1.2581821747995767,1.2473394495814345,1.2905668233710954,1.3366203329804112,1.3196792877871768,1.4040334573939643,1.4476426677311982,1.4270304789170067,1.4136916500779892,1.4012407372089926,1.3836765657975691,1.38309550898778,1.4597582093720152,1.4641919800361411,1.5016458797806054,1.5327877013981202,1.5195778797979922,1.5045903345727507,1.49061123953466,1.4936263232515832,1.476284699059721,1.4693728773275465,1.4496191185168175,1.41948925043784,1.4028378988387948,1.3978782267604173,1.4051056815745073,1.4012359402669416,1.395787851951559,1.390457207880988,1.380349826999449,1.3866295516325584,1.3866716704703836,1.3940365535115977,1.4157011367779837,1.413441399725437,1.403957050251564,1.4226167386069193,1.4191440447030734,1.4707494037070048,1.465862166595135,1.4608388375939505,1.4562607220714354,1.4543276309147695,1.4471103768255689,1.4398432706150375,1.4353651509307315
3-2805761,,,0,0.9930440085374529,1.0005181132388294,0.9931219156423184,0.9937561612511832,0.9961552246712385,1.0083522034059729,1.0098696524587165,1.0847754872536348,1.3717917561643262,1.459479714327127,1.3841957118532164,1.3330526688387587,1.2986972018395257,1.2516298484720718,1.220915255515459,1.205680847701672,1.1991146074669081,1.183455620109373,1.1762167110092137,1.1793770951078215,1.239224108134514,1.2534433167040633,1.2685061218084746,1.2569379418909201,1.301500763022977,1.3493093042753188,1.3310505342176353,1.4185819260158754,1.4636176958607712,1.4414672969882396,1.4276071858279955,1.4141410869708835,1.3956577039810742,1.3947432542953082,1.4738723080502025,1.4781860150561075,1.5166572124982345,1.5490725846666458,1.535039264409616,1.5190972209736264,1.5044962835219915,1.5071593521626816,1.4887420728205065,1.4815413348300255,1.4607427459527134,1.4292839761340734,1.4119198142718525,1.406743893140812,1.414033674195439,1.4098097360820232,1.4042346611021936,1.3986659979242007,1.3881611935234957,1.3944721522669987,1.3944675073000714,1.4015500623259627,1.4237458742729914,1.4208635570051922,1.4112932752296647,1.430324455255943,1.4265675670460964,1.4791487134301695,1.473885719794337,1.4688616886689603,1.4641314791983375,1.4621419731258836,1.4546066843697316,1.4471059650008629,1.4426313577467347
4-2805339,,,,0,1.0018836238367546,0.9931324431494185,0.9938420517406905,0.9964806580778167,1.0096974958645502,1.011214630723779,1.0918764456892889,1.4055216149930956,1.5006070621382852,1.4130799511205778,1.3543666223144322,1.316238624244238,1.2644521799977424,1.2305610923199184,1.213673114877746,1.2067750472656773,1.1900734452539796,1.1822195192286844,1.1853427218012866,1.247165049736443,1.2615145170009545,1.2768037983015657,1.2644886616442,1.3105025483468553,1.3595765099492443,1.3404439487340016,1.4307861603495127,1.4769458782214215,1.453568063408655,1.4387287546150562,1.4246241439323186,1.4052378799284995,1.4041476519789375,1.4852742245115413,1.489630717769217,1.5291066923667964,1.5620830303068056,1.5473506159116173,1.5308520840807847,1.5156095800746694,1.5182162075437136,1.4991024941370197,1.4914270646634367,1.4698289963060167,1.437147602356769,1.419180459415096,1.4138220706235802,1.420994413765702,1.4168192063869662,1.4109649083990758,1.405104652630863,1.3944472261318883,1.4006989086607156,1.4005008349107857,1.407511262872012,1.4300027741090966,1.4271910409438013,1.4173409460086572,1.436379084281982,1.432677735391336,1.486184089305155,1.4807352730533507,1.4755718168188408,1.470710322205698,1.468525496586806,1.4607843527022337,1.453084239859165,1.448336730066071
5-2805228,,,,,0,0.9682734931649918,0.9782221984975553,0.9824032956773873,0.9956909712603352,1.0011205134029986,1.013445283374138,1.5105999049464232,1.6645081884505182,1.4928224348424017,1.397377989176206,1.3395269060116437,1.2693947305570712,1.227329890611053,1.2078191301799264,1.1996301859001344,1.1807452304975916,1.1724087319821999,1.176116297779081,1.2476332759939495,1.2641818986719977,1.2819647700801873,1.2672371938166824,1.3200893507489584,1.3763522496403888,1.3536264213416296,1.4575506821478308,1.509659803208746,1.4814064099834914,1.4632787282003947,1.4473438845975612,1.4240958214914916,1.422843496026008,1.5137974915160382,1.5181000199618209,1.5626159506647874,1.6000946548835704,1.5822857865767597,1.5628900663809802,1.5448838731332417,1.5469005191373395,1.5247552780042606,1.515766101071435,1.4910786587010327,1.4539084679418377,1.433647476755879,1.4276497050326686,1.4350919875571584,1.4306390539124678,1.4240264648927772,1.4175874503791397,1.4055995471664706,1.412272971060911,1.4117537194059304,1.4188212677742615,1.442985012285688,1.43949758966034,1.4286980614487055,1.449219479810521,1.444893389705165,1.5021495873788986,1.4960745651163676,1.4905007253549873,1.4850842623920002,1.4824704534195572,1.4740900391966083,1.4656905897926857,1.4607572378728773
6-2805226,,,,,,0,0.9997353773154484,0.9948446713408313,1.0095600853795037,1.0132176083503517,1.012263921640534,1.00982622517459,1.0917315721635288,1.0719274951541196,1.0585040535453767,1.0537665685148452,1.0412601908355432,1.0369418175542955,1.034334761054045,1.0330863368916356,1.0274668023066829,1.0292996665414604,1.0361633719268526,1.1011864174693573,1.1227457959621026,1.1407913174442947,1.1345894814620627,1.1838879691597224,1.2361322483529775,1.222344923581522,1.3151276811039985,1.3661606994597801,1.3466244477961176,1.3354067111627446,1.3233769457218794,1.307527519331949,1.308041593462874,1.3916836636133578,1.3980574711226916,1.4393892932468806,1.4737887218648915,1.4608574276448365,1.4460381467100683,1.4322337546244512,1.4369314026768474,1.420076844236912,1.4136539070714749,1.3943463818892217,1.365729184350724,1.3498209491023008,1.3451618522311422,1.3541917067414526,1.3506493561313848,1.3452863675484668,1.3404873775583332,1.3309493693394339,1.3384460513807361,1.3390063705327973,1.3490931115999163,1.3718870286777651,1.3702137321899952,1.3612710686249982,1.3815695127468566,1.377997109906986,1.4325683679721453,1.4278932109183906,1.4231041508156488,1.4185278945332636,1.4170739091828317,1.4100306089004675,1.40278178043077,1.3984368280081538
7-2805575,,,,,,,0,0.9914853743990873,1.011007055090937,1.0150346600989648,1.0134819651492253,1.0104808773826675,1.0174748973582441,1.0130232815351434,1.0092266470355462,1.0108241098077175,1.0058456274924272,1.0069815215615132,1.0066172449268866,1.0065713794001805,1.003151491231732,1.0062505411008476,1.0138850056826112,1.0791132600183186,1.1016081135985678,1.1199943674570232,1.1148843679228586,1.1644669619390047,1.2169850844245136,1.2043025965659362,1.2970632698049696,1.3483438219912613,1.3299104686908831,1.3190294820631634,1.3075494245030421,1.2923565289883567,1.2932658976631728,1.3768509164743208,1.3836809991695036,1.424983998855253,1.4596266128150812,1.4470580093022956,1.432279376879806,1.4188052631914168,1.4239734770017403,1.407709813436429,1.4015161433077408,1.3827446687567793,1.3547775694436737,1.339145328795706,1.3347095469384898,1.3438047562933795,1.3404546952177507,1.335401702102531,1.330569930172112,1.3212643919658504,1.3287236172859607,1.3297203213098554,1.340255300171653,1.3629608107994358,1.3614867217175732,1.3528825403570155,1.373109870004037,1.3694444493400084,1.4242218766801737,1.4195025102976855,1.4148696114120034,1.410526139059883,1.4090189774745239,1.4020143264392249,1.3951108883031684,1.3908381703095858
8-2805499,,,,,,,,0,1.026399090126383,1.0264291992957202,1.0207616157551171,1.0151462874476274,1.0198119738430151,1.0146230603851187,1.0104652016994091,1.0117331484252399,1.0064473962042246,1.0075584064044898,1.0067612797525347,1.007055118458389,1.002785526418753,1.0065025119180468,1.0121326031256803,1.080049230910075,1.1037571588641488,1.1228905255065207,1.1174145899755343,1.1689679923961072,1.2234362309428402,1.209762019551197,1.3064938766170433,1.3599626254950945,1.3400767657649943,1.3285261486032367,1.3162233000690595,1.299980825248442,1.3007842980227664,1.38758415416774,1.3942782193407397,1.4368459919278362,1.4726978936239872,1.4591698728734877,1.4440155647928596,1.4296504392202045,1.4345698396371562,1.4174002074387613,1.4108305856295908,1.3909375773597192,1.3617830807345135,1.3457116297274812,1.3409856671704947,1.3501435476158248,1.3465548867620212,1.3412114522502185,1.336364054983004,1.3266190598268577,1.334254896446202,1.3354339416446541,1.3456567971547437,1.368846920369908,1.3672077836051815,1.358474272201126,1.3788880006772888,1.375100824584836,1.4308839809095826,1.4261380655664408,1.4214356951083296,1.4168643349802106,1.4153222592205275,1.4080874146122953,1.400884980541331,1.3963991223752676
9-2805408,,,,,,,,,0,1.0119289367085915,1.0101869864702122,1.0062329549027942,1.0144574269315543,1.0091270805098198,1.0058017212352377,1.0080676299867621,1.0023963815793795,1.0041112911927792,1.0041579706999075,1.0042118553870816,1.0001825011681797,1.0042006922042184,1.0032703249998076,1.048416762965431,1.0742683236557586,1.0944137758727825,1.0904207724678456,1.1436640306518662,1.199894446638347,1.1871593210832256,1.2862677756449443,1.341268252277868,1.3221157037332043,1.3110238430175298,1.2990561192322951,1.2830823235643587,1.2842140376828968,1.3729617826806595,1.3799806331037514,1.423909261478835,1.4608245445490384,1.4474714117772787,1.4318306572106405,1.417619939225393,1.4229589307378605,1.4057661182059278,1.3993024403158036,1.3796004979069878,1.3509669443239354,1.3349291693245722,1.3302641603062773,1.339733449877472,1.3360955402071304,1.331097185272378,1.3261516531435127,1.3165225428333738,1.324500995481048,1.325791307503685,1.3367117574493548,1.3601087554153932,1.3588222564892558,1.349988779944445,1.3708303084901523,1.3669807721489715,1.4235903972276525,1.4188953453793522,1.4141993209922965,1.4096355708032546,1.4078450146945505,1.4008801302118004,1.3934647828141038,1.389156866384064
10-2804947,,,,,,,,,,0,1.0003410488650342,1.0002271986664089,1.0056311322908984,1.0055980640784237,1.0027253897803572,1.0058048107022621,1.0004981248066154,1.0029083398073249,1.0028689442596517,1.0029845819712941,0.9986789036075134,1.0031633874557127,1.0023927217491488,1.0013417922182735,1.0025855095317526,1.012728442810412,1.0135002108305786,1.0645557766439135,1.118487766600965,1.1108177246549131,1.203264327152645,1.2577399351237255,1.2434875311367326,1.2360260790852435,1.2269576869815781,1.214973039932066,1.2171433942591943,1.3012034915899005,1.3096862447454214,1.3514204307382889,1.386368032350253,1.3757619326252484,1.3631399050809891,1.3511101153606224,1.357906526869066,1.3443423524147817,1.339245637611666,1.3226002595524897,1.2988007109929969,1.2853436991879121,1.2814616733102364,1.2919899571029063,1.288763625929821,1.2845356696580705,1.2805894483348463,1.272397048191671,1.2853812987152466,1.2873661335783895,1.2999652012820146,1.3227653375987916,1.3222022985564112,1.3143703576410606,1.3350351561346685,1.3316664415891482,1.3870096718019367,1.382661084759867,1.3785775022359656,1.374365678461302,1.3733461277392927,1.3667571441683555,1.3604117411518117,1.356454693625476
