순번_정류장ID,73-2802586,74-2802584,75-2802575,76-2802567,77-2802553,78-2802543,79-2805388,80-2806693,81-2802468,82-2802444,83-2802457,84-2802494,85-2805600,86-2802371,87-2802449,88-2802370,89-2802459,90-2802461,91-2805716,92-2802464,93-2806674,94-2802462,95-2802428,96-2803019,97-2802965,98-2802939,99-2802634,100-2802857,101-2802848,102-2802799,103-2803266,104-2803268,105-2803259,106-2803249,107-2803226,108-2803127,109-2803132,110-2803135,111-2803124,112-2803100,113-2803087,114-2802637,115-2802652,116-2803058,117-2800805,118-2800798,119-2807057,120-2807074,121-2803491,122-2806937,123-2804966,124-2800630,125-2806418,126-2806633,127-2805743,128-2804896,129-2805564,130-2804968,131-2804905,132-2805413,133-2805498,134-2805576,135-2805225,136-2805227,137-2805329,138-2806741,139-2805758
73-2802586,0,1.0300544673427916,1.0075758420513872,1.008677663539092,1.0019758910929544,1.0052293182367198,1.0026194213143906,1.0102606189490901,1.009610774851672,1.0086585082680495,1.1121184812433598,1.5696149952607332,1.797778689650407,1.654680833172102,1.5492668908078848,1.5206784944466167,1.4791973455537755,1.4412406497354604,1.416344028363624,1.397328824314099,1.3718768699833606,1.4345028761537357,1.4409385814529987,1.367626557014099,1.3433833723741297,1.333373741478799,1.3093395305382662,1.2973947408766802,1.2852854601518025,1.2790226120350827,1.293860349866084,1.2827798161198176,1.2808705737948118,1.2994957989601417,1.3010553958146784,1.2944122672716545,1.3786788252199704,1.4381615904835412,1.4300197926195328,1.4758957021828272,1.5102014940153128,1.5295103249777138,1.5486103189856606,1.548419081812745,1.5261265854971928,1.5155959357582054,1.4978989048422526,1.4793037494798587,1.470185343791321,1.454394573091647,1.426777064654635,1.4069081308263782,1.393974547846666,1.3830139276668858,1.373388029966836,1.3691063433656583,1.3611170205867817,1.3526928293351117,1.3462111850437912,1.3736864204499533,1.3841291241805105,1.377791353144971,1.393603634311265,1.4529368343152027,1.4389879748918963,1.4332099582152196,1.4281616663950083
74-2802584,,0,0.9867644658976716,1.000433024371041,0.9952844739230854,1.0000625916011827,0.9988445807966776,1.0087206401410511,1.007675629765704,1.006936368276018,1.1185260479532146,1.621643845299359,1.8755087862362665,1.704363626701935,1.5832122825977826,1.5509322291134244,1.5039688159450073,1.4625920761509759,1.4354551607727597,1.4143076098804346,1.3868994704885385,1.4522643094401728,1.457760763645322,1.3791934332335876,1.35360690009863,1.342561537019192,1.3173208028676417,1.3045545530594629,1.2918237002245703,1.2852821815193896,1.2996186028608387,1.2884571501885544,1.286006263376083,1.3050207793398272,1.306486725980517,1.2997237985766732,1.3855820991538108,1.4463725608071694,1.4378432539442683,1.485030776794847,1.5196550750160758,1.5389078747250904,1.5586721857762669,1.5586879773377444,1.5350205523753777,1.52463249612287,1.5058209721138398,1.486607591278881,1.4772043035054665,1.4611376067248152,1.432709388736779,1.4120723827951733,1.3990666323256962,1.387556593904381,1.3780261230924642,1.3733778367344265,1.365042667747669,1.3565031402396375,1.3498695208700373,1.3781048635879138,1.388222659387213,1.381734661061422,1.3979056119929412,1.458063204427347,1.4434251596571994,1.437674395911577,1.432582334856968
75-2802575,,,0,1.0101962564646843,0.9982370511106279,1.0041732741835114,1.0009530065068373,1.0109006342988849,1.0095632743665717,1.009269694060417,1.1306639679989494,1.6946264404248375,1.9836150350319426,1.7718230810751232,1.628541075793823,1.5911977078277266,1.5377043148191185,1.4908711082412063,1.460343376142995,1.4371077703471673,1.4064618466138137,1.4751335622758506,1.4795569604907681,1.3942789439111922,1.3669497579587904,1.3548581910439899,1.327851112256955,1.3142477752997028,1.3008830225859231,1.2930796033222802,1.3076858719719808,1.2956489890704852,1.292814743700268,1.3122687779208746,1.3135623778369436,1.3065101467311535,1.3946002045049453,1.4566166479267812,1.4478853951214268,1.4958252323791879,1.531411502900491,1.5511742359548666,1.5713862322983756,1.5707078202055638,1.546309179879398,1.5352206538055355,1.5159200696608013,1.495949047291493,1.486312977273132,1.4695336533127368,1.4400317569648702,1.4187911844024448,1.4054645637444911,1.3936869764452147,1.3832712954830442,1.3789822170985937,1.3704155274250418,1.3617134217936488,1.3548877942353408,1.383243847389222,1.3934938403697892,1.386976199851818,1.4032297683597947,1.4643173121160038,1.4492794871893826,1.4431504079001798,1.4379953600923727
76-2802567,,,,0,0.9869560185185184,1.001244148474352,0.9979636210628271,1.0116981207277944,1.0100307411515885,1.009127120296078,1.1485022237725648,1.8287364762207565,2.1870060847870136,1.887255020464938,1.702788159301884,1.6556971034332455,1.5899979869351484,1.5349227649940003,1.497856936296786,1.4710317497073755,1.4355776742114614,1.5103222808551577,1.5123945142634636,1.4158782209657566,1.3855526520874624,1.3723827008435778,1.342872078143875,1.3278110743480482,1.3130867669138961,1.3041820797454895,1.3186251718179913,1.3058362996086328,1.302428345567069,1.3225379119405052,1.3232622543644454,1.3156610167147758,1.406837491713638,1.4714940927051328,1.4616277512997082,1.5112183039815308,1.5481745664398525,1.5681215208245785,1.5891412755176417,1.5877577780348213,1.5620275520922002,1.5505621865704093,1.5299025129253252,1.5088311345590628,1.4985749779512625,1.4809348638251791,1.4502499340645252,1.4280949103468876,1.413894981064884,1.401893135758434,1.3910502152550481,1.3863055632632504,1.3773337628902511,1.3683820039612113,1.3612935639278434,1.3904212322735954,1.400671732298784,1.3938971503307833,1.4104070059214278,1.472913862523328,1.4570884301310985,1.4507447661103239,1.445393252109263
77-2802553,,,,,0,1.0133266203924,1.0021943318372666,1.0179231182129733,1.015100996055672,1.0123062570139583,1.1779469216209448,2.0458026730740353,2.523675066224247,1.9912134377424828,1.7598758621364035,1.7041195184283335,1.6265480034569986,1.5629350031570646,1.5211754961398423,1.4905661809767572,1.4511281018920494,1.430647396637003,1.4568017093517165,1.369419618089985,1.3424261241032749,1.330513825660451,1.3040325557887493,1.290781365031309,1.277658374231769,1.2717787374903988,1.2821176998757438,1.2706002056582835,1.2735683472609036,1.2939080474273372,1.2957302233595644,1.288797132747604,1.3796395071723526,1.4440538203971605,1.4362095653833573,1.4857971938625907,1.5229551048140195,1.5783585558158375,1.5995071581530236,1.5983166629309025,1.5712865907429012,1.5594706976779469,1.5376986235336874,1.5159337620704072,1.505176575223983,1.4870199814000749,1.4551009274815445,1.4321530027883493,1.4180276584110663,1.405127581200399,1.3943616960798626,1.3894836198586058,1.3804574080179586,1.3711137059015635,1.3637715469066087,1.3934969649184334,1.4037859794545666,1.396921656772941,1.4137158125170297,1.477350502608162,1.461004614887653,1.454588068418538,1.449021522867286
78-2802543,,,,,,0,0.9914417165183467,1.0196145325803678,1.0156516013283965,1.0127757297729119,1.2129636583172634,2.3800918830052225,3.070535756961372,2.1978310378624584,1.8741176249512599,1.8008075653498865,1.7004697445693948,1.6229566016196653,1.5718634082010725,1.5350559271567532,1.4883770314532434,1.4644007227593978,1.4898619679593665,1.3910919420501286,1.3606832792408823,1.3476445551119245,1.3183732896653988,1.3038270011412123,1.2894883819088105,1.2822454044187352,1.292235223312648,1.2799903367763426,1.2826394584145888,1.303550598044802,1.3050943975125664,1.2977344047788963,1.391873634620533,1.4586601196960465,1.4499822679808234,1.5013339996264723,1.539656395784747,1.596818995487621,1.619018442960704,1.6173421183031558,1.5885783548169043,1.5755835088293735,1.5529715180029153,1.529814418309312,1.5186065220126546,1.4995876456823243,1.4659630848642935,1.4419889613135124,1.426917431163576,1.4137471586745254,1.402612769539223,1.3974174329486344,1.3879466076686195,1.37831645706712,1.3707615555610047,1.4010738598407317,1.4113561118225404,1.4042119165283256,1.4213659442071431,1.4864486396753238,1.4693158069251075,1.4625839736444548,1.4568008324221937
79-2805388,,,,,,,0,1.0129243792767768,1.0086905324609632,1.0074637887469304,1.2618109632781633,2.3929545087589488,2.666040402287933,2.4522586473410555,1.9946864480411464,1.8988885759473102,1.771555808741081,1.677486671664715,1.6161287289509045,1.5727189006380844,1.5185587934115983,1.4910699783704684,1.5164306676011987,1.4064761136197763,1.3731828555350614,1.3589619295589082,1.3272890962406814,1.311656624525665,1.296316332153,1.2881217487834158,1.2981258842532604,1.2851892811313195,1.2876835876726247,1.3092801086498325,1.310583518112757,1.3028776217927074,1.4001227462506773,1.4691660946598735,1.4599010708969686,1.5128281016890452,1.5524081117326158,1.6114195436269807,1.6343317427992348,1.6322426978592324,1.6019223622465986,1.5885572206894163,1.5643780720399012,1.5403885253413088,1.5286719906797681,1.508548447344586,1.473795213772017,1.4486519953952,1.4333383410025728,1.4196024349110057,1.4080889194926225,1.4026158575185836,1.3926725564661002,1.3830057535119793,1.3749628123783053,1.4057882876015557,1.4165183165621977,1.4091443090200844,1.4265444527684672,1.4930388323171755,1.4750251893172732,1.468264763690393,1.4620566134801738
80-2806693,,,,,,,,0,0.9880123908620446,0.9984780969841546,1.0043355337060926,1.160009330171442,1.275094476225997,1.4879419412612596,1.4716804184955024,1.4321855550667892,1.37977869880697,1.3343173514249007,1.3078145074992011,1.2882557406532014,1.2629237550920662,1.2499762270115204,1.290507690079302,1.2296246221526606,1.2115379079801474,1.2042274506797424,1.1872972064937746,1.1788536261306626,1.170498202716968,1.1745906441434102,1.190746470930752,1.1829938922875598,1.1900305740001178,1.2110029266918247,1.2170818403579895,1.211604295043667,1.3035040007076713,1.3691461016101916,1.3632253939858328,1.41481670992964,1.4526133842670015,1.5096731468300062,1.5318314015478345,1.5321540512916674,1.5068946969021904,1.4959701539321528,1.4765194660784025,1.4565901976013647,1.4469767871928183,1.4300298148028063,1.4012415343481965,1.3804691594883014,1.3677496042522905,1.3562798826137366,1.346486986172917,1.3421407248908939,1.3340302121370364,1.3257920548805597,1.3192460808321942,1.3489297774802507,1.3603239146477368,1.3539375983391355,1.3710949851109353,1.434729054607821,1.420726355628708,1.4147517727809091,1.409894040861011
81-2802468,,,,,,,,,0,1.0027428041871984,1.0077285663464959,1.009021917631576,1.0474131789491605,1.364842413489948,1.5133990428146424,1.466277301884014,1.4061441854848447,1.3546483202915525,1.3253027796992056,1.3035450297546503,1.2753064403383918,1.2614928031407329,1.3028088181663644,1.2372923389790285,1.218284258127763,1.2102905180280594,1.1923869826679112,1.1834927954643821,1.1747147301549925,1.1784814347307078,1.1947285907356089,1.1867853299205218,1.1937744230925615,1.214991831011901,1.2209756206991316,1.2153211940279105,1.3089060657045637,1.3757746432178237,1.3695554385057112,1.421864608724218,1.4604903649892726,1.5182477382216213,1.5411122246150222,1.5407524730058366,1.5154193080270053,1.5039885926515455,1.4835260138486839,1.4631377637604501,1.4531315070984285,1.4363108210769058,1.4063153836860545,1.3853164456948521,1.3720915951521273,1.3602673531065155,1.3504389170939795,1.346247051238566,1.3374509813119484,1.3292920383473643,1.3222864381954704,1.3525461850890814,1.3639938196378572,1.3576321432224328,1.374733986118621,1.4392695283190617,1.4248479474416536,1.4188391130849485,1.4135634227925398
82-2802444,,,,,,,,,,0,1.0025201069633993,1.0073751373608475,1.0263318414068998,1.4720097444009914,1.3337163075644374,1.303438026478158,1.2646939076970418,1.2285151371493528,1.21003432398659,1.1961643944939908,1.1779576961161078,1.1687653816225057,1.2172499334825413,1.168628282690071,1.15476543222307,1.1494807236874347,1.1369226091171272,1.1306635697696263,1.1244636442539928,1.1331754009791037,1.152147154907425,1.1459770161246234,1.1548809195238758,1.176321937745167,1.1842650043052354,1.179398195606828,1.272307361561711,1.3388948948654078,1.333758796661345,1.386469453594376,1.424907026339945,1.482889545371363,1.5054853782235564,1.5062790566896207,1.4823511755176821,1.471626348889257,1.4525053875963612,1.433398493919573,1.423855385377421,1.4080999374979442,1.3800689678868039,1.3602687469542631,1.3478708398539971,1.336862632824705,1.327379151006974,1.3236157287797092,1.3154720120371008,1.3076728165098177,1.3013527275497692,1.3312785275320513,1.3430208493320852,1.3370649416632878,1.354177212780373,1.4184174803110179,1.405283751093361,1.399460243329654,1.3944615566079912
