순번_정류장ID,81-2803661,82-2801697,83-2801724,84-2801915,85-2801926,86-2801922,87-2801940,88-2801950,89-2801961,90-2801987,91-2802006,92-2802016,93-2802028
81-2803661,0,0.994517812729884,0.9924488980001532,0.9973456409485838,0.9969522384968261,1.000258011838284,1.0007686588279905,1.0021293155745823,1.000391505454969,1.0013557279655483,1.0011879873863474,1.0012982564374797,1.0020219631549276
82-2801697,,0,0.9882692227061181,0.9977603177362573,0.9971437899890145,1.001087498228636,1.0015925091793199,1.003111494931765,1.0010344368921726,1.0021026906955597,1.0018648655133222,1.0019563919783485,1.0027183094150136
83-2801724,,,0,1.0016846196113844,0.9993334226900759,1.0038002391499874,1.0040268957191247,1.0055797981170038,1.0029626916738148,1.0040683084111448,1.0036571480205305,1.0036624359425954,1.0043768396819515
84-2801915,,,,0,0.9958542877505746,1.0060191150778277,1.0058820123132433,1.0082011160375748,1.0036983910870685,1.0053166293777622,1.0045804187539271,1.0045161422560411,1.0054114491456447
85-2801926,,,,,0,1.0307589153620844,1.0174305539499406,1.0185002558496534,1.008692675811694,1.01049986467357,1.0086177180282663,1.0080834082052244,1.0087642586964696
86-2801922,,,,,,0,1.0005799042551387,1.0092509340563949,0.9989537499904013,1.0030344725527824,1.0021431916756602,1.0023565849345355,1.0041414288591863
87-2801940,,,,,,,0,1.021310557077872,0.9978878160335407,1.0042131509498813,1.0026989237944333,1.0028801587948524,1.0049673532132497
88-2801950,,,,,,,,0,0.971238832496392,0.9916674498566319,0.9940047559648979,0.9961175582004018,1.000345950291057
89-2801961,,,,,,,,,0,1.0083986078605787,1.00273902652857,1.00305368236262,1.0062215129801726
90-2801987,,,,,,,,,,0,0.991794408187775,0.997071564113014,1.003487744573745
91-2802006,,,,,,,,,,,0,0.9995794873075948,1.0075930794550565
92-2802016,,,,,,,,,,,,0,1.0100086917586324
93-2802028,,,,,,,,,,,,,0
