순번_정류장ID,29-2803478,30-2805175,31-2805166,32-2805164,33-2805167,34-2805162,35-2805160,36-2805158,37-2803416,38-2807467,39-2807468,40-2801371,41-2801400,42-2801422,43-2801438,44-2801461,45-2801393,46-2801379,47-2801433,48-2801194,49-2801187,50-2805437,51-2800726,52-2800751,53-2800765,54-2800756
29-2803478,0,1.010292228654779,1.0020033397239596,1.0062611736155487,1.0048515673567149,1.0066046842586476,1.0060699896641687,1.0044736749980432,1.005429852108329,1.0029736325406067,1.003016472688309,1.0362354418992303,1.0384468253735772,1.0373680697610426,1.0368492308102146,1.035652045033271,1.0845054614368035,1.1133545528675912,1.1112378358669683,1.1089390818868559,1.1076936751156587,1.1020665334515993,1.1013987600861577,1.099613095201102,1.1000910203665877,1.1232377608518274
30-2805175,,0,0.9843194647710642,0.9998558931597004,0.9989762729490483,1.003427747448938,1.0031884509758622,1.0014793495931213,1.0039136355687643,1.0018694206166228,1.0023102882426915,1.0381044522665794,1.0404551670956996,1.0392975755172569,1.0387083521717169,1.0372041843405548,1.0894833869019633,1.1202761098956469,1.117785997871335,1.115226426349195,1.1138257347733231,1.107447420449339,1.106699953250908,1.1047332346550145,1.1052438866280294,1.129620099791239
31-2805166,,,0,1.0179990208707685,1.0058773982872249,1.0103090621696393,1.0080781561476169,1.0044605630832302,1.005882994786196,1.0026343000799718,1.0028547770063758,1.0398870563058709,1.0421656407040445,1.0409236203091297,1.0402831014685026,1.0387653203303011,1.0929117919420586,1.1247468838372663,1.1220762106665472,1.119204296624299,1.1177246488576413,1.1109043161474819,1.1101074789184138,1.1080306876117523,1.1085342097440594,1.1335921685163979
32-2805164,,,,0,0.9968827499989853,1.0075452632241158,1.0057244230804172,1.0023074698082473,1.0049335379418838,1.001999727018044,1.002431661676453,1.0401735385195783,1.0425289183239421,1.041257088855468,1.0405998168100303,1.0390926983239737,1.0941683216973868,1.1265037253019965,1.1236566808251687,1.120690139910224,1.1191588810645012,1.1121933046173482,1.1114589781013215,1.1092918265140062,1.1097527329785106,1.1350939147122099
33-2805167,,,,,0,1.0098602873709999,1.0060415783742283,1.001569341876239,1.0049209040386604,1.0018501268530557,1.0023464445706083,1.0410756917380912,1.043452528110535,1.0421277424295068,1.0414863608903018,1.039871507894387,1.096082877775893,1.129107242007344,1.1262889671320044,1.123173787929922,1.1215142990985605,1.1142611070996702,1.1133683978198885,1.11121510916392,1.1117127684239745,1.1375413558637335
34-2805162,,,,,,0,0.9852587046654491,0.9911902430256413,1.0017342480218008,1.000550426763793,1.0015165155884445,1.0415441809526123,1.043963861971173,1.0425924993069973,1.041780418664588,1.0401647282540978,1.0977315243069168,1.131527032608932,1.1285377810499466,1.1253252932284559,1.1236794490313364,1.115998858785969,1.1152045357866696,1.1128928040589603,1.1134310913899172,1.1396685832412727
35-2805160,,,,,,,0,0.9953584716468323,1.0045431488732537,1.001354055175949,1.0019949982769032,1.0430571497818177,1.0454297160922092,1.0439317761519953,1.0432213511520536,1.04146777694361,1.1005156148059942,1.1351296783277196,1.1319835502488491,1.1285762067209721,1.1267745230441424,1.1187610956786584,1.1178822194892089,1.1154781449073752,1.1159655321158535,1.1428515162459691
36-2805158,,,,,,,,0,1.0074840520778143,1.0019126197000936,1.002377180706695,1.045081522434249,1.0473563084458557,1.045852157022002,1.044970566667974,1.0431403872819942,1.1044823012590055,1.1402824223940575,1.1368985811113266,1.1331970584505477,1.131181697852998,1.1226959336684985,1.1217094420483058,1.1191665150480052,1.119686437485048,1.1473073096948394
37-2803416,,,,,,,,,0,0.9996259821869032,1.0012571232660927,1.0505093947324284,1.0530399543805355,1.0510262294668076,1.050020858691717,1.0476953277417316,1.1171718198399951,1.1575587786274648,1.1532763269522248,1.148467573697146,1.1458932384819054,1.135216689327733,1.1340551765691589,1.1310107496700592,1.1314385515782979,1.1618716002179577
38-2807467,,,,,,,,,,0,1.0031291573424452,1.0791621426339635,1.0807958037702272,1.0765291039497824,1.0742255935159228,1.069253774101333,1.1725677059124633,1.230860996322314,1.2217835473229641,1.2110453965254804,1.2051709096118897,1.1843310067706603,1.1820436281931284,1.176794392331928,1.1768652131544548,1.2169871399423298
39-2807468,,,,,,,,,,,0,1.151960725136315,1.1454869937699508,1.1326050251798774,1.1249089333046063,1.1119133690630083,1.2902614389865963,1.3851186669552185,1.360350272622732,1.3306320741742133,1.3152641640785085,1.2675456612217226,1.2627628157475288,1.25229804146382,1.251210599687238,1.3067312140740877
40-2801371,,,,,,,,,,,,0,1.0103560888684369,1.0032792389955283,1.0040785137001946,1.0007945984287094,1.001041195701978,1.0335023639267986,1.3226625026030037,1.5667738398286808,1.5030306614453244,1.3567701750182812,1.344499157334278,1.320235975014447,1.3163879288899911,1.412079238968276
41-2801400,,,,,,,,,,,,,0,0.992509048811774,0.9986582826220237,0.9961112602701765,0.9977906698603789,1.0395649631248074,1.4197536766396437,1.7425484786937018,1.634616053879342,1.4169958586707092,1.4002006196666372,1.3679859327485966,1.362023027072994,1.4697465071642943
42-2801422,,,,,,,,,,,,,,0,1.00672049305471,0.9978213655375633,0.999361754818193,1.0493470946081453,1.5294341027960057,1.939018791635371,1.7712888734079308,1.4717414254951575,1.4503502420103618,1.410285960174771,1.4021618789328392,1.5194492634543406
43-2801438,,,,,,,,,,,,,,,0,0.9901402888471295,0.9958329586199748,1.0564495785719072,1.6548608136069056,2.169338411020427,1.9177793642859666,1.5217134660270206,1.4955713084783624,1.447596977400937,1.4372875498136262,1.5630745029392892
44-2801461,,,,,,,,,,,,,,,,0,1.0005248306034555,1.0888019488197038,2.153917413187616,3.0956808322123277,2.398833725215627,1.6481080475825367,1.608239785016076,1.5382961808438749,1.5218244178138114,1.6657375873171734
45-2801393,,,,,,,,,,,,,,,,,0,1.004658986037927,2.085467916010589,1.509868708577346,1.3946050138906532,1.2174569091846665,1.2062450780193834,1.1838470581796592,1.183821553881603,1.3271269593644652
46-2801379,,,,,,,,,,,,,,,,,,0,0.9944102119550787,1.000277021765562,1.0038992377368208,1.0074208149915225,1.0075018232022372,1.0041658962272078,1.0117571957864682,1.1686161829507562
47-2801433,,,,,,,,,,,,,,,,,,,0,1.0040079364093957,1.0075999332978502,1.0096246925518928,1.0095752220489231,1.0055340671930115,1.0140730858976685,1.190603226390708
48-2801194,,,,,,,,,,,,,,,,,,,,0,1.0132939555030518,1.0116635411219503,1.0114215361303154,1.005965846817934,1.0167475511947925,1.236805860004046
49-2801187,,,,,,,,,,,,,,,,,,,,,0,1.0012278711111624,1.0020571098277828,0.9971262477157488,1.0106335402748632,1.2702971329505386
50-2805437,,,,,,,,,,,,,,,,,,,,,,0,1.0088639076327566,0.9858519314158413,1.0306216481235644,1.7196190306782393
51-2800726,,,,,,,,,,,,,,,,,,,,,,,0,0.9742785805507325,1.0382157676348547,1.9009797069373056
52-2800751,,,,,,,,,,,,,,,,,,,,,,,,0,1.1832225030645565,1.3007052952119365
53-2800765,,,,,,,,,,,,,,,,,,,,,,,,,0,0.9718508390843649
54-2800756,,,,,,,,,,,,,,,,,,,,,,,,,,0
