순번_정류장ID,1-2806263,2-2806259,3-2800492,4-2800477,5-2805048,6-2800456,7-2800451,8-2800454,9-2800461,10-2800463,11-2800466,12-2800470,13-2800353,14-2800467,15-2800441,16-2800436,17-2800433,18-2800401,19-2800901,20-2807489,21-2807492,22-2807529,23-2807537,24-2805157,25-2805159,26-2805161,27-2805168,28-2805163,29-2805165,30-2803466,31-2806277,32-2803486,33-2803483
1-2806263,0,1.0034027352756638,1.0039981224512637,1.0024125693100052,1.0519159170710701,1.0940479446138243,1.193478006904046,1.2330987785580798,1.2431414158952212,1.326213427289403,1.372192254371828,1.4038592875269926,1.5511699685679516,1.5033280886488545,1.402161465469801,1.3889296245163938,1.3760916115455755,1.2931777172267638,1.2361744427472123,1.1422912779849657,1.1199056911690324,1.1055445071874954,1.1009592524984084,1.1298404688228534,1.1272430676785903,1.1254031432475944,1.123232978523301,1.1207682555354324,1.1199843359925592,1.1180780634878764,1.1154477578606872,1.1122772776722487,1.1092977242904076
2-2806259,,0,1.0041143696303982,1.0022749864081129,1.0587628118293253,1.1045033201380268,1.2155678202568876,1.2595749514217198,1.2317663741517517,1.224205870710132,1.2099508164638118,1.2016839264265646,1.3203163380543925,1.2951115371223443,1.2403427588910687,1.233491703756862,1.2262048296342702,1.17898156845647,1.1459337542777477,1.0914904343660756,1.077301190649365,1.0680937508237012,1.0653161362858556,1.0958857492624343,1.0941063760113545,1.0927680299732279,1.0911645324519028,1.0893644280981938,1.0890303847940526,1.0874967451332695,1.0855695615314362,1.0832345037229338,1.0810571747287334
3-2800492,,,0,0.997735118280248,1.001130441885159,1.12493461445852,1.3718678985173298,1.4658007365965187,1.367472111559885,1.3439840134623477,1.3053868497072707,1.284041136978084,1.3608981117008798,1.3569267601585735,1.2629440609969829,1.252506056058303,1.241462923695669,1.1771183850517346,1.137600320853582,1.0806677578041641,1.0669531857533625,1.058404761972583,1.0558156179598324,1.0892440298751114,1.0874360976165869,1.0862147468929284,1.0846402051187347,1.0827541721700469,1.082442190815803,1.0808593659890857,1.0790995886581531,1.0767987362868738,1.074680240312104
4-2800477,,,,0,1.0261808773502898,1.2664296495606482,1.8030887411781558,1.9848422828110377,1.6272886712362424,1.5601963097519544,1.4652435048584351,1.4165771488777434,1.516070982036531,1.4900544671109057,1.3284345609885249,1.3116280701497625,1.295110551291696,1.2043792389962285,1.1533937647694097,1.085489031992856,1.0703121578352828,1.0608842529644817,1.0581419234909586,1.0925805234311965,1.0906915730989521,1.0893365154718901,1.0876194202682143,1.0856730232365808,1.085281482097711,1.0836414124453604,1.081687864640761,1.0792086268987073,1.0769819157710074
5-2805048,,,,,0,1.2211004995059336,1.8108405554606355,2.0100868084375954,1.6212933136126966,1.5513528280750624,1.4538036890658839,1.404549871585556,1.5085467384496936,1.4827583763302106,1.3203447999482183,1.3037151102527202,1.287314612353004,1.1979027525944124,1.148129174877881,1.082471292590091,1.0677720369002577,1.0586482321472808,1.056013370783058,1.090691170211635,1.0888470191699233,1.0874836979203892,1.085793412031165,1.0838814328491777,1.083544432194225,1.0819233270162492,1.0800096472038052,1.0776044036997723,1.0754218019424968
6-2800456,,,,,,0,1.0096810295356053,0.9924924118674437,0.9996826081888663,1.002998566378848,1.0013913860005248,1.0035766182938408,1.137652910337411,1.1749807522722908,1.1148682830781953,1.1106925430293235,1.1041670533202066,1.0713232411166034,1.0540498124426085,1.0340578511528749,1.0279129653111294,1.0240307544954075,1.0231898585725652,1.0602005472595082,1.0591265572396438,1.0583325358779812,1.0570981525830703,1.055836119464701,1.055806596146826,1.0545513640484854,1.0533785378208895,1.05167932994271,1.0502911744248942
7-2800451,,,,,,,0,0.9615781585513906,0.9941024668769949,0.9999811362903026,0.9986102279550729,1.0018518829132894,1.1694755397311922,1.2093140402491345,1.1279861885565852,1.1223918317163246,1.1144501840285563,1.0757206559518475,1.0563353704794805,1.034679753824855,1.0282459164425974,1.0242893740036796,1.0233819716159882,1.0609688278944203,1.0599295821527002,1.0590385808266425,1.0578431020658157,1.0565120284916782,1.056440089460504,1.0551914041177908,1.0539530822853496,1.0522762812853825,1.050851186228165
8-2800454,,,,,,,,0,1.0087342382495226,1.0128534670291869,1.007102302353862,1.0093578000583712,1.2028318197766752,1.241659760892407,1.1403849315577053,1.1334606813810095,1.1242962791272246,1.0804350489095196,1.0591292681487785,1.0357316162471177,1.0290754219318297,1.024924147839772,1.0240127144405633,1.0619328475192062,1.0607486313596974,1.0599073350585742,1.058686590242441,1.0573256507179873,1.0572768395914578,1.0559731733186588,1.0547366349631304,1.0529607860932957,1.0515035767175462
9-2800461,,,,,,,,,0,1.0248923601722237,1.0054040957941635,1.009797482624472,1.3104100492185289,1.3368874495906147,1.1665128248951064,1.155987327278903,1.1436035212276616,1.0876822006693656,1.0626635476642983,1.036623480475338,1.029570721359601,1.025296719686325,1.0243450094270994,1.0630118857033228,1.0618485118792775,1.0608982677528227,1.0596007211799805,1.058193749086329,1.0581674844387812,1.056827708037569,1.055513038503939,1.053715266823999,1.0522096851162905
10-2800463,,,,,,,,,,0,0.9946468499654126,1.0049793522858546,1.3772283481048164,1.387629436180901,1.1768310031235734,1.1646223608726345,1.1508011675588148,1.0899315634231477,1.063592196827505,1.0367576064571058,1.0296139545397407,1.0253422495631035,1.0243009659538345,1.0632782879787672,1.0620619993139575,1.0611016207159478,1.0598280537823654,1.058442089829967,1.058308207645215,1.0569581483096306,1.0556985113762978,1.053884502989728,1.0523648829797312
