순번_정류장ID,1-2807634,2-2806815,3-2807449,4-2800722,5-2800307,6-2800758,7-2800744,8-2807056,9-2800799,10-2800804,11-2803056,12-2802651,13-2802638,14-2802667,15-2802631,16-2802668,17-2807082,18-2807083,19-2802718,20-2802712,21-2802708,22-2802731,23-2802755,24-2802776,25-2802813,26-2802853,27-2802903,28-2802942,29-2805766,30-2802438,31-2803517,32-2802427,33-2802466,34-2806692,35-2805389,36-2802541,37-2802547,38-2802552,39-2802564,40-2807041,41-2804851,42-2803664,43-2804436,44-2806047,45-2807360,46-2807168,47-2806724,48-2805770,49-2806725,50-2805822,51-2805054,52-2803769,53-2806756,54-2807087
1-2807634,0,1.0171284730108259,1.0102604750467041,1.0003492690298161,1.0159595654383387,1.0128714039453435,1.0147533908754625,1.0044690168747006,1.008901987077619,1.021619631061727,1.109250425030533,1.1375327504305868,1.1613087086083984,1.147022753094703,1.1378863166062723,1.137111728817367,1.1721579819819818,1.1647386586006931,1.167675301540842,1.1638811699258318,1.1544758884152932,1.1597829678724252,1.1952698658861218,1.186661082423092,1.1782234114357344,1.1752794036925702,1.1682872707701504,1.163798823280156,1.138789046196785,1.1377676394126908,1.1344161684779008,1.127524640403031,1.1247509134833518,1.1234417267375292,1.1802356287116114,1.1795672499382606,1.1770570486977707,1.1750691119713423,1.1744573165695082,1.174606335009965,1.182761126214978,1.2506314082742322,1.2390144107569065,1.2290541638277006,1.2259364625591826,1.2220946443481249,1.2177200471821141,1.2681189184863106,1.2967493034408226,1.3310512844046676,1.4053675227445006,1.4538936406289833,1.4726346668501606,1.5372697734844547
2-2806815,,0,1.0052249851983421,0.9911916691687074,1.0155633686261545,1.0116370533025918,1.0141764190212295,1.001961304783814,1.0074353774060263,1.0223915148400304,1.1254304553280503,1.1573229910518472,1.184650220303911,1.1658832728566502,1.154197129118758,1.1526611106877755,1.1921527560797789,1.18280837786908,1.183149500482262,1.1784029026439116,1.1672843403713151,1.172669687610846,1.2114922509323458,1.201275564149839,1.1911796323316068,1.1877996570200238,1.1797997928677566,1.1747588697592155,1.1462179415198936,1.145111691889589,1.1414693215594616,1.1339148864246655,1.1307338265464157,1.1292079413255136,1.1894574375327216,1.1885721672314378,1.1858938880355006,1.1834540936216251,1.1825827272302063,1.1826322603247834,1.190857156898125,1.2617183215052623,1.2491144680412034,1.2381215311570997,1.2347393153717985,1.2305682187942757,1.2258459832513162,1.2783465582490074,1.308410452246522,1.3442970942802277,1.4222817414304216,1.4731008415894986,1.4926804144777162,1.5607747711240503
3-2807449,,,0,0.9503243639341789,0.9959351636566361,0.9941719212166945,1.002075310033822,0.9885650897783046,0.9974727573000084,1.0169891951667678,1.1508877403008235,1.1895075317720367,1.22394437158328,1.1954522327449935,1.1787278751384325,1.1759086984424,1.223357450980392,1.2100993694569666,1.205613557535979,1.1994334179681343,1.184990222136846,1.1904733010964808,1.234589894344542,1.2220321427982723,1.2099867596227079,1.2055479362003632,1.1957218438099717,1.189378333330196,1.1557765503749133,1.1544177172349606,1.1501251021917174,1.1417578022386685,1.1378356597182908,1.136105166926609,1.2013901324548504,1.200094667323186,1.1971438824874243,1.1943724537574336,1.193286953875097,1.192670973266585,1.2010030872257484,1.2764536217771807,1.2622993985815882,1.2500675199746114,1.2463000729142517,1.2417201650169039,1.2363588480441512,1.292050108032007,1.3238669008705621,1.3621308655398863,1.4453915951747778,1.4996791754662238,1.5200673522926091,1.593327162677303
4-2800722,,,,0,1.014295645044621,1.0065282912867544,1.0124794725918478,0.9940567015893158,1.0032498656480122,1.0250519764509038,1.1753037973661473,1.215925109983407,1.2531349138146588,1.2185593521058586,1.1983074550978794,1.1937271163018535,1.2447891774932047,1.2294023469905009,1.2206682809085994,1.2136308270710168,1.1972872937115278,1.2025876198040082,1.2490661483990926,1.2351346284685063,1.221494414420416,1.2168177502085964,1.2058353715750223,1.1989023869374336,1.1624481953482295,1.16103531399712,1.1564293407794954,1.1473730953744772,1.1432558230085736,1.1414088160135432,1.2085212060908708,1.2072194767470898,1.2039053956662793,1.2010570172873876,1.1998301811596854,1.1992036162269524,1.207228710266287,1.2845460001318523,1.2694837034560496,1.2566231522025797,1.2526711282702925,1.2479334003965068,1.2423956118240804,1.2992057292081134,1.331700380418463,1.3707250378018894,1.4562913933602883,1.5120490619621654,1.5328815125354198,1.6079116810652094
5-2800307,,,,,0,0.9884001407270729,1.0106663608211952,0.9828323392441393,0.9984164247645161,0.9964370409767966,1.0894644799935527,1.1485478013883554,1.1954712241817682,1.1641484969630502,1.1464582792395694,1.1443475536014178,1.2033902836627584,1.1889431951112694,1.1882799095030272,1.1815078497070293,1.166625076532032,1.1736589990156825,1.2241238090357287,1.2104202253565914,1.1971996031146306,1.1927514370849475,1.18264200504506,1.1760314741398699,1.1417973974406281,1.1405617704026485,1.1363846256101455,1.1279255535303658,1.1241301054361892,1.1226214941621575,1.1928219381293668,1.191715138754974,1.1883701569279035,1.1856935686141652,1.1846177453876294,1.18462202782852,1.1936501537509003,1.2745942306728153,1.2596391710381607,1.2467311376373462,1.2427199400294622,1.2379513364952512,1.2324414734958193,1.2912152253398386,1.3249349901511405,1.365454158121606,1.4538968199285986,1.5116683865479312,1.533297785170451,1.6113917219038245
6-2800758,,,,,,0,1.027292330894707,0.9810969019462437,1.0007277331754048,0.9980627040841926,0.9962016092773756,1.0002284440155842,0.9993903507442925,0.9998977483804372,0.9997402868919227,1.0382403209216609,1.097449167068331,1.0911557938223788,1.1112305110815912,1.107540116864311,1.0990544554812842,1.1089453704769654,1.1586035143013325,1.148573972379467,1.1393878597224316,1.1364576383106564,1.129379303577804,1.1250702555497385,1.1008260972367387,1.100417496541861,1.0973865889610972,1.0911230727200247,1.088691705814026,1.0874661905415186,1.156547100697362,1.1562662563981527,1.153723574530126,1.1512632156171687,1.1514408776560696,1.152215212112019,1.1632115647614605,1.2152068859104288,1.2037690470313442,1.1940855954842375,1.1910121190653677,1.1872328739933715,1.183088726997303,1.2401579543400307,1.2725745546116,1.3113802240846117,1.395820902195751,1.4515670140782408,1.4727273673522139,1.5471432424926321
7-2800744,,,,,,,0,0.9479949840747081,0.9888457234050466,0.9872018852396857,0.9870261412572723,0.9943980729861317,0.9935011268223609,0.9955002571002353,0.9958362874933946,1.0401396665289209,1.1079908978071988,1.099700106707394,1.1202161355216889,1.11580011563094,1.105772714060023,1.1158524351166603,1.1698378565941427,1.1586571536016754,1.1477878487466364,1.1445216456955467,1.1366079268671772,1.1316070281396402,1.1047666811482537,1.1041578616656194,1.1009691635411525,1.0940991261371795,1.0915524494018398,1.090233621130037,1.1624286028544584,1.1620935257591791,1.1593520843772163,1.1567974510933843,1.1565295190398885,1.1571096979273725,1.1684913073519567,1.20216920535903,1.1912230190107849,1.1819480691772755,1.1790199305532985,1.1756414741838197,1.1714838783595782,1.229650332288207,1.2624871778150621,1.3016670229941487,1.3873226420395783,1.443758469165095,1.465812744598653,1.5413010357688843
8-2807056,,,,,,,,0,1.0566940397708486,1.0294267779741797,1.0143589266984427,1.0159030562514706,1.011928664225818,1.0096866096866097,1.0079950424900765,1.0635791540247546,1.1485163187794687,1.1341780186013521,1.1485263765459963,1.1418444224702173,1.127574295961563,1.137909533172819,1.1996972723300667,1.1848277122281028,1.171307904877172,1.1666259228102691,1.1562093080771512,1.1497459860545047,1.116944444562451,1.1160463047304934,1.1120198336607099,1.10426752633893,1.1009906694588931,1.099547199126207,1.1770775140995549,1.1761413127006006,1.1727910349348223,1.169966935600164,1.1696179184945041,1.1697636945279475,1.180647113063004,1.2152027076624505,1.202978182459696,1.1928592491390662,1.1896841741385171,1.185915196161177,1.1813352312375327,1.24198441874681,1.276293207019228,1.3176857455771447,1.4078326554135376,1.4673089263123718,1.4900124168905848,1.5702864131401233
9-2800799,,,,,,,,,0,0.9791348642729144,0.983494843163297,0.9994539816258469,0.9969079385300899,0.9986153186859406,0.99900439963033,1.0648472420721227,1.165223765027895,1.1466024403685078,1.1584237000733844,1.1507994123300462,1.1341422036035473,1.1452514561160423,1.2124065700184885,1.1953558418728618,1.1795769215525815,1.1744189750385956,1.1629099030989436,1.1557367066772417,1.1200552414309841,1.1189261788622855,1.1148499863244052,1.106348163934065,1.1028562577770158,1.1014279317341829,1.1819757420433914,1.180981709177346,1.1776299784201165,1.1744029329914372,1.1738824498739713,1.174005811456686,1.1851866333422039,1.2205690200831267,1.2076528904528059,1.1968994085659506,1.193485825487574,1.1894496221414046,1.1847332075130623,1.247140588642292,1.282471227626875,1.325124025401518,1.4184041465589756,1.4797459319012856,1.5030097036550416,1.5860732105021493
10-2800804,,,,,,,,,,0,0.98634482833421,1.0063071208754428,1.0017840405933875,1.0020756784083873,1.0013347730520854,1.0748508549509435,1.1861310038907327,1.163008347740183,1.1702050617978093,1.16176325539827,1.1425928433822896,1.1537781930723863,1.224473959725002,1.205671102519626,1.1881476830407147,1.1828266231924909,1.17024135241251,1.1622992295812469,1.1240757341194003,1.1229553382884583,1.1186347044900053,1.1097735773254593,1.1059622279843844,1.1044534847510956,1.186999878762943,1.1856216616708442,1.1823369847244976,1.178959815779101,1.1781573946279553,1.1783570161181718,1.1893780608482272,1.2248388073806835,1.2115360973834077,1.2002305656611152,1.1969388260954164,1.1926074788922605,1.1878920039442682,1.25134109018704,1.2872717881312519,1.3306640595578536,1.4255943547106504,1.4879703994537645,1.5114347723699357,1.5962890957057783
