순번_정류장ID,1-2807429,2-2805676,3-2805630,4-2807038,5-2805632,6-2805634,7-2806163,8-2807626,9-2805703,10-2806807,11-2807439,12-2805702,13-2805700,14-2805698,15-2806024,16-2805696,17-2805694,18-2805636,19-2805692,20-2803157,21-2803651,22-2806491,23-2803182,24-2803678,25-2803679,26-2803155,27-2805705,28-2803154,29-2803655,30-2806607,31-2805970,32-2805972,33-2807630,34-2807300,35-2803298,36-2803190,37-2805833,38-2803288,39-2803285,40-2803650,41-2803291,42-2803296,43-2803179,44-2804433,45-2806619
1-2807429,0,1.0443224242992915,1.0111385361440146,1.0111023896506124,1.00890117657215,1.0062074149086584,1.009540092138645,1.0115409904828845,1.013032504286871,1.0045905805920128,1.0065320683619663,1.0053308391194447,1.0054963720127792,1.1650845389870421,1.2612212381322252,1.3471705678102663,1.5816454399234154,1.834846189403214,2.1606430232705924,2.67401984599315,2.5067421556783,2.60377136239066,3.0765804279215088,3.3684939358017303,3.1693825735342265,2.9049679514271336,2.556613729644201,2.345107509289969,2.560256562785832,2.841163684109548,2.9862160099620425,2.8704130208354757,2.849761318297415,3.231084971935486,3.5647668701403785,3.9283195614659365,3.9276247387613457,3.641109033374414,3.4199658356840383,3.356916919200816,3.582203860216881,3.716820152307854,3.686423997395287,2.2346944694851416,2.2014197257843624
2-2805676,,0,0.9277558738066504,0.9620831157590309,0.9650629380568708,0.9764102657583424,0.9857709981848519,0.9924259321597266,0.9967201585390181,0.9875536383344539,0.9911913902343166,0.9908910704300105,0.9918114723419702,1.196562277581905,1.3233274787569398,1.4366555888402612,1.746207687041076,2.110545225018729,2.6145309506732923,3.484769351183746,3.131091068643128,3.2730673424553274,4.123247911485523,4.645015698094488,4.188214426055326,3.6439286102941257,3.0130089658182326,2.6704837263105494,2.454367804984018,2.349865363945645,2.444802770970582,2.3696158857138836,2.3696906065262926,2.6665080557596452,2.9293140883017856,3.2042343868517693,3.21513662101531,3.0225005691078346,2.8708859324159692,2.8297378101554354,3.007174255130901,3.112451176506014,3.0981596445168433,2.0457045711896322,2.018677237265824
3-2805630,,,0,1.0109252904777304,0.9902062545541065,0.9933437104283662,1.002272463404302,1.007253275811656,1.0103463879845362,0.9975129186384849,1.0009927273855372,0.9997339304498524,1.0002848626996812,1.232094428178664,1.3791014345416122,1.5099404387061357,1.8670530267862233,2.3122111876010987,2.95810784453834,4.1501605863555,3.60600529680513,3.7815892515864538,4.990801106958022,5.740183813994123,5.000969630492905,4.182325939562914,3.3133541856204114,2.8738283311597397,2.6068412834449584,2.480839968027133,2.3362019039428357,2.2676064838645673,2.162815414256105,2.3902349325785304,2.617177263669366,2.8478346878883998,2.8629962449747492,2.7137724773926353,2.5949070868181385,2.563978341007568,2.716896389244475,2.8072145483785524,2.800032644023782,2.0803258158798306,2.051521576727776
4-2807038,,,,0,0.9715603924925764,0.9876507065162142,1.0001105970830608,1.0065479259574188,1.0102530378668337,0.9957348604819094,0.9997827754716794,0.9985117241993919,0.9991942555310466,1.2547445889116096,1.4195963493333437,1.5661298937825294,1.9661744965467154,2.489361793062065,3.2834064112784795,4.852746774029224,4.069282891971417,4.279677666411375,5.929197565500099,6.9750548620885535,5.841649356375942,4.691483955865977,3.5704870352740703,3.0387750096927038,2.726214729352415,2.582168529098211,2.418226707041438,2.341088016377667,2.22428849289184,2.214938823510459,2.420811001678838,2.6268254200329544,2.6441631126668654,2.519433704415892,2.4193744501976884,2.3943432923117856,2.5327666050079123,2.6142994714948253,2.611107971061301,2.1078699682706845,2.0774419186397086
5-2805632,,,,,0,0.9966923802476506,1.0110819626561964,1.0160416409503081,1.0186989437977028,0.9999106791169242,1.0042010506607433,1.002232861210356,1.0027460815138094,1.2911084529939556,1.4819781155244773,1.6511612496297796,2.113027416083557,2.7598859117417343,3.81040022618708,6.137464426764728,4.835843633569577,4.134908399445021,5.210025785212038,6.091571672750903,5.197472700653807,4.259853966523694,3.3100889766435464,2.8469170932999317,2.571910288492191,2.443509820684105,2.2976234122364847,2.2282731388122223,2.123457254350755,2.0440981917723993,2.232388388444064,2.415651553383493,2.4347240048886145,2.3317830575098593,2.2486622448095615,2.2289485159008398,2.3539399057791943,2.42736731561467,2.427681171424537,2.0598307852088396,2.031127984590932
6-2805634,,,,,,0,1.0422015261093827,1.0341064585232789,1.0326749138024054,1.0013389380811606,1.0070994772871904,1.0040371936875605,1.0045405217080159,1.378295196982949,1.641789889657531,1.8745381734186248,2.5107878704210815,3.5787099957008213,5.730305036410857,13.503407164715652,7.855931547061395,5.897990261761982,4.564809836450462,3.82576216711182,3.4684456831723014,3.043943757038624,2.5535689958882974,2.2879319446811515,2.121674398640937,2.040587671470586,1.9454649779116455,1.900629766463552,1.8310468538311897,1.7776793700308897,1.9373771789369725,2.0875159662633713,2.108617639229354,2.0362849195600567,1.9773418407301777,1.9652185371825772,2.0702589002332807,2.1317154466361323,2.1368401773966537,1.9260062300380416,1.9018749817230094
7-2806163,,,,,,,0,1.027954442293746,1.028712772336598,0.9907885625316425,0.9994708591933177,0.997270743687339,0.9985568426663873,1.431619139775807,1.749492480820371,2.030514421260798,2.8004722774108197,4.272333116719693,7.891251491906506,37.96884397038795,11.75136055223107,7.602125474845253,5.384998628722938,4.13357531718952,3.6943918072644215,3.1902265132475254,2.6303263831983483,2.336629105664709,2.1555406790872356,2.068473827605457,1.9674400049317045,1.9198473869787172,1.8463670050687226,1.7902847630328318,1.8162266780147411,1.9539926179218357,1.9757003653552245,1.9146334726646657,1.8647195498187399,1.855430303941517,1.9527476479316155,2.009594283321049,2.0164472685459467,1.9462090876142435,1.921014578683382
8-2807626,,,,,,,,0,1.0296295595461111,0.9716507723304232,0.9880552515181834,0.987929179223894,0.9907813308496328,1.5381851113429683,1.972949238316217,2.358826876157542,3.4221809055249595,6.097166995824151,18.482643264024478,13.094177208860444,7.347457014644916,5.468583058922312,4.220628467132879,3.417004347932522,3.117074467782699,2.7571782272502188,2.339341268039136,2.111953443159327,1.9693123388833014,1.899560142136118,1.8177796580520977,1.7793334662560834,1.7194294855005567,1.6735245450600944,1.6722510138808422,1.7960168893195823,1.8182665503186308,1.7696699921949917,1.729838555408288,1.7237061000358123,1.8121468298054166,1.863711219879518,1.8724283874649217,1.9746982775854311,1.947978915103234
9-2805703,,,,,,,,,0,0.9286389436102364,0.9674411913261993,0.9738959318666203,0.9799031763525637,1.2901712775695187,1.673917962822008,2.034592776931909,3.0506534429077496,5.411051961431331,15.536998109200074,6.848685329859901,4.88364961594365,3.995231281761959,3.3056242593728498,2.8089336242405842,2.6120824443723243,2.366525498861775,2.0680165846779683,1.8990057203519817,1.7907168486458767,1.7371697465639098,1.673212874652038,1.6430242246189821,1.596091920519681,1.5597785279556569,1.56349104789529,1.677198258702047,1.6997318908162269,1.659682561746468,1.6271941246939947,1.6231024618284218,1.7050534293758552,1.7529789083560063,1.7629654883717942,1.9441707417851781,1.9183233004647626
10-2806807,,,,,,,,,,0,1.045645090559294,1.0114758302346454,1.010985176253635,1.1540451417414,1.5706078129626313,1.9840743308239637,1.9508061559234178,3.02373753125446,5.510421653103558,3.944162414371592,3.2335320471732265,2.842625610176203,2.500130851487122,2.227206104857689,2.112804438501633,1.9636834267782006,1.7745554749566164,1.6622729775485248,1.5893033891171633,1.5515542965221116,1.5065522824074702,1.4854294432348312,1.4521107692012103,1.4262083916041763,1.4352264298168718,1.5372234910277327,1.559906981634316,1.5297381080691241,1.5049933126872186,1.503710135394398,1.5781539610356106,1.6212379640787284,1.6325495077381786,1.8483096576470628,1.8257849172925538
11-2807439,,,,,,,,,,,0,0.9875307271429704,0.9960720582536485,1.1760835948639583,1.6987266415724689,2.230993570135157,1.589437833952427,2.3831078257216003,3.9892075822642847,3.1641007230837612,2.705180410180334,2.4380152474733516,2.194319964309142,1.9925789632386046,1.906274204608804,1.7918557640323347,1.6435144407045064,1.5539812362786336,1.4955133947101336,1.4651823235645491,1.4576071706093265,1.4390016083769586,1.4090009762438516,1.3858416166287792,1.3830550651617755,1.4813407258436957,1.504135645059135,1.477498113570772,1.4556839123596188,1.4551617901898215,1.526926487113833,1.5686181739829856,1.5804504015241891,1.8470135945127066,1.8243308237714815
12-2805702,,,,,,,,,,,,0,1.009657442065862,1.004830805039392,1.1897006806233852,1.6143231987469915,1.3052782456501812,1.7647373305297154,2.75114146431275,2.4067851363445967,2.1519575062281926,1.9950641725920377,1.8455928469312228,1.7159747871430868,1.658799491492021,1.5824306867234335,1.4803429311432952,1.4171335014288355,1.3757968064024875,1.365429656419913,1.3874133662627772,1.3720798832364651,1.347103604754827,1.3278509414193898,1.327961386386159,1.4224922851016057,1.4454910223892712,1.4223503504933779,1.4034576924360431,1.4038857847352242,1.47317882067008,1.5134217863517236,1.5258254756455123,1.8055864269830864,1.784192077747028
13-2805700,,,,,,,,,,,,,0,1.0036752397086994,0.9972540735372986,1.1726346286925882,1.095846589144448,1.4779243125498642,2.24265844216955,2.0554013939429985,1.8798926922615828,1.769233109575136,1.6615968306495217,1.565744861552477,1.5233830371704118,1.4652319994105083,1.386932363224426,1.3376985617667319,1.3056412753999636,1.2989415848059624,1.3228356883765728,1.3105387501032377,1.2902337589912791,1.274606545076224,1.2772802763409716,1.3676515389493773,1.3906361788930635,1.3708383617997049,1.3547287585071492,1.3560108243955598,1.4225338670403056,1.4611443883469764,1.4739764862209166,1.7644381302245609,1.7443977903564267
14-2805698,,,,,,,,,,,,,,0,0.973443603828975,0.9963408348107824,1.0029957420519633,1.5442417259435488,1.9587792373307322,1.6219516475209568,1.5173610295247304,1.4526627907940592,1.3902234861895921,1.3336771206183768,1.3086835748081775,1.2748988623649222,1.2290357553286062,1.1999411058680503,1.2455239001127087,1.2961108381974826,1.3223420798364396,1.3089751312890394,1.287107964273179,1.2704588857215813,1.2735435643544977,1.3706786190367104,1.395377705930917,1.373897049127979,1.3565385668143501,1.3578719430150812,1.4290293508936753,1.4704511456524993,1.4840389018976885,1.7855400932218974,1.7639930576300442
15-2806024,,,,,,,,,,,,,,,0,1.0118972121458105,1.0079122831401592,1.662942264651245,2.1721643857769517,1.7067929201032628,1.5756661875456208,1.4969359992066193,1.4228128400872084,1.3575035693062811,1.3294353615668155,1.291065186045074,1.2403064112142221,1.2088236602226894,1.2553621584420718,1.3076714697309963,1.3343105992526094,1.319955991828887,1.2966163095061753,1.2789034115789337,1.2816225926306128,1.3818462873185153,1.4071202174450108,1.3844043844919443,1.3660774123866932,1.36725884078742,1.4404991451786313,1.4831802972680148,1.4969291092354835,1.7998032025651214,1.7775005291116686
16-2805696,,,,,,,,,,,,,,,,0,1.0014710952293753,1.447631764200174,1.984402177449088,1.576633616968172,1.4652730716882747,1.3998985786355276,1.3391933723071443,1.2856625869854754,1.2629705509983953,1.2319125369226065,1.1911015666902494,1.2201168434151792,1.2679183649917696,1.3229696130915796,1.3503168745890286,1.3344752484487141,1.3089439315842686,1.2896719667986583,1.2919061261354554,1.3968595727265916,1.4230373449329832,1.3984777554084686,1.3787198798267328,1.379691286439608,1.4561040893843467,1.5007103295472264,1.514720707391338,1.819946340215282,1.7965167556072121
