순번_정류장ID,22-2803394,23-2805673,24-2803403,25-2807535,26-2807528,27-2800108,28-2807508,29-2807498,30-2807501,31-2807560,32-2807559,33-2807555,34-2807516,35-2807541,36-2807545,37-2807552,38-2802597,39-2802596,40-2805059,41-2803771,42-2802359
22-2803394,0,0.9875230544636047,0.9989275917757657,0.9998500634053904,1.0018709338817777,1.0017420332690092,1.0042992152341441,1.044377267342603,1.039005541989752,1.0318880508553143,1.0275588611223523,1.0196202105217993,1.0245173579628308,1.0223472596852887,1.0199202785745116,1.0196163461005123,1.0168946001434034,1.0164102655715934,1.026247784680252,1.0438662176986584,1.0866304310987034
23-2805673,,0,1.0064345941499375,1.004691724592227,1.005098887097777,1.0039437336885872,1.006335904308663,1.0501526289280132,1.04348005433114,1.0350227641564345,1.0298557456261863,1.0208427084728482,1.0256747886626065,1.0233507102777715,1.0207565085627728,1.020403144584414,1.0175336241918589,1.0169869939070513,1.0168092121302947,1.0295502407424235,1.0885818769697537
24-2803403,,,0,0.9943569670608631,1.0016627458582374,1.0015529229544158,1.0051149718660919,1.057112358347661,1.0482739468794837,1.0378019725144392,1.0315722962127976,1.021396713053168,1.0263647392602957,1.023877837501816,1.0211212111734118,1.0207352402777146,1.0177227485143878,1.0171336195303302,1.016988900706321,1.0301389094344067,1.0910091092802658
25-2807535,,,,0,1.0056448198166132,1.003456884421802,1.007071481039996,1.0660117542887733,1.054502213954428,1.0416760014516975,1.0341600544027207,1.022577081511312,1.0274909005850885,1.024827937118555,1.0218865072656866,1.0214491138562305,1.0182600070206753,1.0176708269507633,1.0174655759891318,1.030887293248488,1.0930611769214416
26-2807528,,,,,0,1.0013928491126558,1.0077858686760777,1.0872415964068514,1.0676413285491264,1.0487236473595327,1.0383297745917883,1.0240512301821434,1.0289983576388424,1.0260317206314744,1.0227856964500956,1.0223029534630454,1.01883930723758,1.0181912321950708,1.0179406182896054,1.0318798573237793,1.0966866857532362
27-2800108,,,,,,0,1.0068156889232496,0.9983530491152339,1.0000351733146953,0.999460857309189,1.001775515502151,1.0023262451953712,1.0123388024627655,1.0108037645664678,1.00928217207075,1.0095431170743836,1.0080282767131206,1.0075527552451609,1.0076624267450276,1.0223134573581278,1.0893074136537795
28-2807508,,,,,,,0,0.990530854958122,0.996505856234346,0.9972351127646597,1.000735199482363,1.0018361601971748,1.0127065038708734,1.0110318308320732,1.0093924110030457,1.0096913113708013,1.008057581379493,1.007585361648461,1.0076746328266064,1.022961802177165,1.0927673517454337
29-2807498,,,,,,,,0,1.003943762810148,1.0004534010189092,1.0035173140175173,1.003261045174466,1.014780238932725,1.0127375025751746,1.0107424596170267,1.0109720120164742,1.0090188444268056,1.0085021077283374,1.0085677152020565,1.0246055568537826,1.0979494516826482
30-2807501,,,,,,,,,0,0.9930037408200906,1.0010291354587746,1.0022315639611916,1.0149648530164805,1.0127552900957495,1.0106370001125096,1.0108523150449151,1.0088604255250864,1.008296463905838,1.0083450010038069,1.0250629744012973,1.1015555527525684
31-2807560,,,,,,,,,,0,1.007544554171133,1.0042604887139697,1.0182461588091933,1.0153127478942903,1.0125452351740407,1.0126734309272134,1.0100933415430744,1.0094873213664524,1.0095268400329083,1.0274283131333546,1.1096240047650268
32-2807559,,,,,,,,,,,0,1.0009963058893465,1.0193956114285088,1.0157269630185939,1.0124581013218161,1.0125684305729132,1.009833643846086,1.0091374301090383,1.0092257429548832,1.0288628288925539,1.1191762803087129
33-2807555,,,,,,,,,,,,0,1.0479046822355205,1.0311441763365978,1.0205751756984134,1.0196792754851922,1.013502495171905,1.0123996267307902,1.0122629836852177,1.0389630760517599,1.1628651586109207
34-2807516,,,,,,,,,,,,,0,0.996260016833941,0.9975691573191936,1.00142881354817,1.000911313443986,1.0000147489908415,1.0007542248004393,1.0362327916726308,1.1987204692738251
35-2807541,,,,,,,,,,,,,,0,0.9984582336818777,1.0035930945845908,1.0018257018052588,1.0006971468513415,1.0015168403747576,1.0430398488194101,1.2344024733505075
36-2807545,,,,,,,,,,,,,,,0,1.0082943315582926,1.0020023314211868,1.0003861327014951,1.0015460178611058,1.0570845993258173,1.315957023477915
37-2807552,,,,,,,,,,,,,,,,0,1.0000883250943426,0.9983582931511163,1.0000744108512278,1.0672665256403984,1.383198086155463
38-2802597,,,,,,,,,,,,,,,,,0,0.9818103351612963,0.9995252692401595,1.2140509992671535,2.3396058208922974
39-2802596,,,,,,,,,,,,,,,,,,0,1.010628221462551,1.2906153299264158,2.881262876064491
40-2805059,,,,,,,,,,,,,,,,,,,0,1.0056836011023225,1.5809098067479588
41-2803771,,,,,,,,,,,,,,,,,,,,0,1.2037970488590497
42-2802359,,,,,,,,,,,,,,,,,,,,,0
