순번_정류장ID,1-2800365,2-2800454,3-2800461,4-2800463,5-2805581,6-2800353,7-2803672,8-2800309,9-2800480,10-2800491,11-2800494,12-2800496,13-2800499,14-2805303,15-2800512,16-2800521,17-2800524,18-2800544,19-2804975,20-2800560,21-2800569,22-2807222,23-2800563,24-2807232,25-2807362,26-2803211,27-2803359,28-2805065
1-2800365,0,0.956759775974075,0.995158833124991,1.0011583558481756,0.9977764087300793,1.0344187791861241,1.1206260065853557,1.0931068383496436,1.0895479516750841,1.0788581607957595,1.0685467250525764,1.0633102477325667,1.057730827792962,1.04768451470396,1.0431238313122617,1.03969875293472,1.0376269485795289,1.033439738347256,1.0441796597112492,1.0365247518445162,1.0336979994779183,1.0325746438966774,1.0308977508588146,1.0134128949507828,1.0242443788790674,1.4964954624142648,1.5738421540997447,1.565850967534358
2-2800454,,0,1.0087342382495226,1.0128534670291869,1.0040411990171385,1.0442107012992288,1.1414882746558954,1.1068194550650587,1.101657339400072,1.0888314545225863,1.0765016110238577,1.0698994647893372,1.0634603776321778,1.0514549415378398,1.0463509669447613,1.0427272595311186,1.0404427237649427,1.035611626508861,1.0465969655235308,1.0384842313457052,1.035314323019032,1.0341082521554723,1.0324470790709384,1.0137083936752012,1.0246311870647729,1.4996673743247169,1.577481177680036,1.5693477268711016
3-2800461,,,0,1.0248923601722237,1.0004708690375193,1.0638726530966451,1.2161828820847036,1.1458075631268394,1.1339547102323113,1.1128938719245105,1.093576419554612,1.082864503758494,1.0739216856036773,1.0575302979812817,1.0511199693753,1.046641847240661,1.0439061848308717,1.0383121340439525,1.0500331110375132,1.040705352380611,1.037123247709882,1.0358891755728499,1.0339365152916782,1.0137903283260725,1.0248931042210538,1.5080843462038693,1.587127948971617,1.5787236497796846
4-2800463,,,,0,0.9918811305329117,1.0729950191118613,1.2617907305721516,1.1648419203507443,1.1486756235848357,1.1229758848736398,1.100056616196157,1.0873979780843244,1.077353072833077,1.0591996548801246,1.0523093393448983,1.047534038437213,1.0446444326804307,1.0387582400391357,1.0510139943538546,1.0411199195340546,1.037543503014568,1.0360176672646109,1.0342533048894371,1.013727378705173,1.0248931084398278,1.5109819923874843,1.5904099474764413,1.5819585067635307
5-2805581,,,,,0,0.9953722983078682,1.0119105389965861,0.9952705451586658,1.005756454986967,1.040983917948432,1.030543759301864,1.0296386885252236,1.0250055213160951,1.0207771159448586,1.0179871845075674,1.016350577373438,1.015024740275863,1.0130933154691253,1.0271794807815013,1.0214620174195592,1.0194393636202568,1.0187169772674334,1.0174882646505978,1.0093364899690573,1.0206320811683405,1.5123821226968994,1.5927921280134707,1.5841592193418406
6-2800353,,,,,,0,1.0475486345362968,0.9933803152929949,1.0091456485643162,1.001437365309388,0.9992368963199895,1.0055778349786695,1.0036537039925177,1.0057078673405744,1.0047267460424798,1.004451709534242,1.0037741302651388,1.0035686080706168,1.0187978398685138,1.0145141514591196,1.0130997316255534,1.012622210016963,1.0116203415209126,1.0078399678550367,1.0192331349019814,1.5153472916847304,1.5964398856131095,1.587678980715211
7-2803672,,,,,,,0,0.9764338238837329,1.0010790086708943,0.9945710199808024,0.9941438614466684,1.0022800904774756,1.0007175962534574,1.0038682584405678,1.003399814979226,1.0030099793323168,1.0026451190979047,1.002421763619885,1.0180790788586005,1.0138571443888438,1.012483530979942,1.0121580575148714,1.0110334191861394,1.0077147083497249,1.0191220913759997,1.5173061809832171,1.5987073323009038,1.5898298619458633
8-2800309,,,,,,,,0,1.0311323123273912,1.0022714305239475,0.9982538359556259,1.0076905542627885,1.0046884016628337,1.00716387345778,1.0057748210258812,1.0053217016647649,1.0044840731719333,1.0041248986017164,1.0210549869715968,1.0158990701931956,1.0142249768914777,1.0136595357203957,1.0125362820268708,1.0079884622484656,1.0195704414201672,1.5242685477359366,1.6066465767981057,1.5975893174295548
9-2800480,,,,,,,,,0,0.9748809976964765,0.9855485403716601,1.0020281879492798,0.9997923029748256,1.0041766066365965,1.0031963433037425,1.0030680738653717,1.0023509497304213,1.0023822464868626,1.020152531985068,1.0150216585179035,1.0133923523677248,1.0128497877466727,1.011734707308866,1.0077788921574806,1.0194339871926976,1.5274479368243814,1.6103262631023383,1.6011569238625576
10-2800491,,,,,,,,,,0,0.9931056147539843,1.0108906197955365,1.0057294262998062,1.007763491697417,1.0064053457402988,1.0054548427014232,1.0044887818628536,1.004088432654679,1.0228218119825503,1.0168299419591338,1.0149288456197165,1.014290024684529,1.0130618206565898,1.0080389386439537,1.019786126595836,1.5320032595656408,1.615505409620655,1.6061858190978702
