순번_정류장ID,54-2803256,55-2803249,56-2803226,57-2803127,58-2803132,59-2803135,60-2803124,61-2805595,62-2803123,63-2803131,64-2803137,65-2805441,66-2802629,67-2807346,68-2807310,69-2807083,70-2802678,71-2802656,72-2803050,73-2800814,74-2800787,75-2800773,76-2800760,77-2800741,78-2800725,79-2800691,80-2800684,81-2800676,82-2800667,83-2800657,84-2800653,85-2800656,86-2800661,87-2800630,88-2806418,89-2806633,90-2805743,91-2804896,92-2805037,93-2805221,94-2805232,95-2805872,96-2805230,97-2805333,98-2805329,99-2805818,100-2805840,101-2805330,102-2807307,103-2807305,104-2805838,105-2805334,106-2807304
54-2803256,0,1.0153704701577744,1.003031803608828,0.9955163137814824,1.0029536409153694,1.3152316918681943,1.2614586193044248,1.2175761883254328,1.245846875681246,1.2174918289876737,1.1991819162858268,1.2490937179186705,1.2227091116608093,1.2050380276858899,1.2286601695853996,1.3060710139691658,1.310201344331037,1.375861952048553,1.4121760180631662,1.3867957704382063,1.5112876294760194,1.5368778556599674,1.5135042208915062,1.488878916973255,1.5111725152944782,1.4947168491087948,1.4795112080250272,1.459499096083369,1.4392489508790192,1.4291815940963433,1.4593200246830018,1.5437641964240763,1.6153017699760026,1.6489674471098494,1.6100305945638522,1.5780460682318735,1.58567197267795,1.65792071920533,1.7599931401924895,1.8394553564556748,1.9163423913213093,1.895087000337137,1.8715588577697804,1.8493647339762431,1.7403239953963685,1.7252659133305717,1.7028377637949796,1.6932766209830794,1.6699285446245717,1.701548901073523,1.798886754058195,1.877568039437198,1.8821158771325175
55-2803249,,0,0.994823903926683,0.9870736766709921,0.9984401509023357,1.3729322079145256,1.2990344267877887,1.24253311038875,1.273026154260942,1.2382570721985966,1.2163651216769693,1.239252236928215,1.2125098129719378,1.194949609355853,1.241789095515355,1.3240362739098146,1.3097539133989975,1.3967156997738328,1.4343236212495503,1.4061349529876883,1.5354395108719276,1.5617876038233267,1.5361578651064656,1.5090936142871725,1.53227811566021,1.5140592203197698,1.4975798801866713,1.4757962994503544,1.4542633254862039,1.443105538088587,1.474604938887503,1.5624887440726747,1.6372140944267193,1.6706469534712012,1.629505110056375,1.595094285785031,1.602341496612716,1.677488239553539,1.7836536947403023,1.866212860522094,1.9464594109973778,1.9235347688364282,1.8984719906598786,1.875105561137897,1.7596728547244072,1.7436266590049867,1.7200436195144715,1.7100083442492815,1.6856776707346137,1.7176792955718896,1.8183855227013206,1.8992514718942852,1.902913784103984
56-2803226,,,0,0.9640632066677125,1.0028594700679123,1.419656524040456,1.3012767534954273,1.2262829668477964,1.2668784530220722,1.2243407004016602,1.199009091643146,1.2277468384273993,1.1978611809892803,1.1792727702130745,1.2347126110574584,1.328142570377293,1.31176312958747,1.409581988503472,1.4517786726455637,1.4191371292254171,1.5611935982513623,1.5886464771084803,1.5591924361998324,1.5284657729148512,1.5533686206066548,1.5327091102585426,1.5142032360693594,1.4899527419780028,1.4659347030932222,1.4539003048582635,1.4873494801173768,1.6015722598674655,1.68413450783575,1.7173385762423132,1.669912624736159,1.631047302205526,1.6510658564396365,1.733673233892761,1.8514525891540972,1.9440209428212831,2.032631474494719,2.005693228257525,1.9760321999743087,1.9480292667889798,1.8141650075515672,1.7959493516910838,1.7690118891362305,1.757604218283516,1.7298224763091343,1.7633387901515112,1.8720632038663219,1.9600988397032846,1.960695240385198
57-2803127,,,,0,1.014757334979234,1.0117864528433698,1.0105138963123368,1.0070571174903817,1.0098291686761913,1.007590890017799,1.005834404558108,1.0420812477228338,1.0395321146467151,1.0399323864354038,1.135937782504653,1.2267633276453218,1.2183071482200343,1.3131817597605788,1.35650673465218,1.3315301926456387,1.485913211929324,1.5166437945710403,1.4911015545723376,1.4644792725048623,1.5453988890038484,1.5248139505674565,1.5062844190432372,1.481781870312184,1.457798426251215,1.4462074806203185,1.4847312393210932,1.6224816581958783,1.7085394438825883,1.7413197854975495,1.6903748496139412,1.648994817731015,1.6698459422328982,1.7546920020883443,1.8776488066579546,1.97307763437604,2.0656468341165923,2.037289412046527,2.0057819200443134,1.9761058295141707,1.8346494458623825,1.8155229150479033,1.7874826287292738,1.775543262524378,1.7464881781520833,1.780291566746603,1.8923184619566151,1.9829797550388266,1.9820504058275525
58-2803132,,,,,0,1.0034535995895255,1.0049385211124369,1.0017207033992779,1.0004043689589532,0.9991981212782826,0.9974551360773284,0.9928364111707959,0.9976449776150628,1.003490876952687,1.1554445787383827,1.261098860927837,1.2484824038902775,1.3575767748814047,1.4055616926425547,1.3736545873682844,1.5324237305917154,1.5638136172508619,1.5332733279324307,1.5013069751509927,1.5286438564930196,1.5074083411777077,1.4894044309533354,1.4645644985570874,1.4403738907488672,1.4284990051555524,1.4639296745931567,1.566990924704583,1.6528340253815827,1.6896489142443354,1.641692591344767,1.6026209202080837,1.6246894503460556,1.7099158846885871,1.8320737564806902,1.928164247689821,2.02106698807222,1.993445037497661,1.9627883799319896,1.9339175262882107,1.7968011520120832,1.7783151736754097,1.7510231595478856,1.7394788967483876,1.7114272765876233,1.7463588617966082,1.8582009428494828,1.9494211549029552,1.9500742620700449
59-2803135,,,,,,0,1.0068490510654573,1.0006717850287907,0.9989609042964538,0.9976877886183375,0.9963501821821659,0.9907054141139311,0.99691749367572,1.0034974215705839,1.1791168544479804,1.300874638882446,1.282690838094669,1.4068746670817838,1.4601234822171054,1.4190139018570394,1.5919178708231911,1.6232288964278587,1.5859873515491905,1.5480450261366796,1.5766136760643656,1.5513488556034196,1.5291145190448303,1.5004283290547804,1.4724404394593675,1.4585770328044645,1.4965327721682473,1.6046869217282205,1.6981384691313635,1.7350226880283879,1.680670324896575,1.6370018565317703,1.6017671859688787,1.594834844831168,1.7076896944990416,1.7959764513887295,1.8825587671462338,1.859595497199342,1.8338183208564758,1.8098910014094813,1.6947110503822747,1.6791039423632204,1.6559486817152285,1.646103883301106,1.6222096468526277,1.6577451779728773,1.7628657758112298,1.8485569986481798,1.8552217002394513
60-2803124,,,,,,,0,0.9952136062477239,0.994380484579905,0.9942080789584226,0.9923038095696731,0.9859845614508685,0.9944534078321238,1.002968293000029,1.2028006605231436,1.340893893210791,1.3162061729395762,1.4553236567866297,1.5129941498140087,1.4623210213465923,1.6483328615971378,1.6784929786201805,1.6348487969012482,1.5906226038685052,1.6208130471333801,1.589673897601477,1.5651036086342773,1.5318879419122127,1.5003344871333475,1.485080418518849,1.524783554855976,1.6403546090383345,1.7409383379443313,1.776962127864352,1.7164596854801462,1.6682186428377446,1.6291009761994284,1.6218043561817446,1.7410726075800058,1.8350959417982242,1.9269208232677526,1.901331058743564,1.8732737753263002,1.8470638856448238,1.7218044075458219,1.704954350844908,1.6800332847921016,1.6694680013012955,1.6438541862525344,1.6801046260279495,1.790085855342637,1.8797604169715307,1.8849822849525901
61-2805595,,,,,,,,0,0.9927834637365287,0.9934499282968628,0.9908021205283204,0.982395385041732,0.9942434811421016,1.0046534161391676,1.1097945175911939,1.2569339324460544,1.2577123136153256,1.386998052139814,1.450179067570874,1.4037592416697662,1.6022629432715636,1.6365465818022462,1.594271683533613,1.5510844975061286,1.5834767569667467,1.5544460800768345,1.5295781256189838,1.4982385636561397,1.468248520561425,1.4536142462155117,1.494495343277738,1.611849765251409,1.7138998331254935,1.7527086241544156,1.693085685278469,1.6452152181090354,1.6071496614787457,1.5998449827598293,1.72039524838013,1.81560676026028,1.9088870029929081,1.8835718237577652,1.8555357702970174,1.8293683502001585,1.7047819526338988,1.6880790715152711,1.663383925434197,1.652915206514761,1.6275684018450425,1.6644187967983477,1.7753542871907164,1.8661352988996347,1.8722574637299083
62-2803123,,,,,,,,,0,0.993882029642364,0.9919073365943715,0.9810053520831148,0.9953304746589428,1.0068175115793614,0.9994844957028673,1.1169665621487983,1.2801919961910404,1.240744833426817,1.2850638521370228,1.2575404813309141,1.4578937004529575,1.5000634128674513,1.46878247612848,1.4359664483903278,1.468703286781634,1.448775515248138,1.4306030673014813,1.4061520766634723,1.382652897161151,1.3703489797855566,1.4109225852432599,1.5211214239157476,1.6166856843704973,1.6603496269225944,1.6099311034552466,1.5685441692812276,1.5362942109384699,1.5307867304588165,1.6447714325347242,1.7349612953555587,1.823729350907914,1.8009444361206488,1.7765195257083957,1.7531611144467656,1.6427645529819523,1.6280867029605355,1.6060239734335602,1.596464585773424,1.573758962367054,1.6110361833349427,1.7174866643755593,1.8041916404704952,1.8138669973001034
63-2803131,,,,,,,,,,0,0.9892973796439346,0.9726663152345809,0.9958388809206806,1.0099975586426053,1.0003168466645964,1.1345450791581144,1.3221525957851297,1.2711486847123146,1.2429132419148687,1.2184001567815534,1.3332826619053557,1.3820705263725759,1.3587931457813425,1.3342581516307268,1.3683842605969718,1.3556381695729034,1.3419812630670516,1.3227967320902991,1.3043488608278653,1.2950193963291194,1.3349442902561515,1.4413451459147684,1.5316321439039862,1.5803158730951605,1.5365284587815382,1.501061569299783,1.4728285247010278,1.4601876526585265,1.5360108513278439,1.618863659031218,1.7013255303493438,1.6829722757405468,1.6628442600775546,1.643666204690818,1.552747932049227,1.5406077747482814,1.5220590982302185,1.5143408565932959,1.4951682198563114,1.532355870011191,1.6325291586481638,1.71399424599399,1.728569273644931
