순번_정류장ID,46-2802061,47-2802077,48-2802085,49-2802096,50-2802111,51-2801845,52-2802117,53-2802074,54-2802031,55-2802010,56-2801983,57-2801975,58-2805277,59-2805276,60-2805274,61-2805272,62-2801921,63-2801927,64-2801924,65-2801916,66-2801925,67-2801908,68-2801715,69-2801690,70-2807642,71-2806780,72-2800225,73-2800217,74-2800210,75-2800174,76-2800200,77-2800195,78-2800198,79-2800203,80-2800208,81-2800205,82-2801327,83-2801308,84-2801284,85-2801271,86-2801262,87-2801252,88-2801250
46-2802061,0,1.0595732068761115,1.0220084794026452,1.012590173634026,1.0117940833700956,1.021512178270681,0.9946673607496096,1.0104181805904426,1.0091842132302296,1.0063700787485825,1.106026781647145,1.38982674275388,1.8551238481065733,1.7516985588874137,1.7110319745904121,1.9110555308264388,1.8737675406779082,1.7723323361341392,1.7402730900471783,2.4383013171915247,3.219885667520686,2.7217307334317855,2.3041090929404087,2.1658398998418305,1.8268030038096688,1.9351640329011865,1.9930078343569557,1.9491141650270776,1.8703285067977886,1.8143290997583863,1.8160988288348847,1.8372671523224737,1.9012925141961925,1.9051464370423186,1.9908826846153203,1.9477730286766106,1.9230201256955268,1.896824301442826,1.8525348599502443,1.8163571708962565,1.800692216712568,1.782039994842798,1.7719099655539858
47-2802077,,0,0.9611319219090747,0.9785272646449856,0.9961880804331112,1.0122712685162651,0.9828333592703462,1.002770026389978,1.0026648429192353,0.9999900845510166,1.1109252415908824,1.4328427350036599,1.9808763174736002,1.8456269090691235,1.7941379982435712,2.026728516714926,1.9705192328177867,1.8462565379016471,1.807489225615506,2.087551818090989,2.7062719731073432,2.3767709607568266,2.0661595886257076,1.9621592215447545,1.6954615110943099,1.7984416692383167,1.857368362277622,1.8210893749210983,1.7555851707657253,1.708847927466195,1.7127860416961913,1.7344890239030475,1.7965881263648917,1.8021744983397097,1.8850693035122132,1.847754037790175,1.826779532604586,1.803874353526075,1.7843636609642402,1.7826884346134912,1.7678772713737394,1.7498253990527486,1.7439197069621515
48-2802085,,,0,0.9930916427217704,1.0052582849029459,1.0212955572188633,0.9857081741724264,1.0021805682124871,1.0021732295115318,0.9993269601217456,1.0456443238952968,1.3611847371949546,1.9013281738136911,1.7759197667483542,1.7281013806354835,1.9590116849888777,1.9108144637835662,1.7931346686352954,1.7566114090151823,1.893667230850735,2.4305391977930113,2.182531529771778,1.927761208320368,1.8422750639886172,1.6160552568828586,1.7156911793677943,1.7750427969927804,1.743171298451354,1.685406217503073,1.6441044847732784,1.649286643338327,1.6712518624684412,1.7321008335055317,1.7386823189955893,1.8199721406597493,1.7898141617543337,1.7922943826921622,1.7703122723519986,1.7688538592656662,1.7675522131520542,1.7528191583413235,1.7352521165772639,1.7293158455366038
49-2802096,,,,0,1.0106987492406174,1.0288302140363117,0.9843198980551154,1.0035302509564878,1.003248724454176,1.0000037921072027,1.0023008937373665,1.1317774403891618,1.5673680428998191,1.497345829439832,1.4692717938493747,1.662018652682207,1.652279982442683,1.5742628464165604,1.5502107843024777,1.6891405269858655,2.14735854324638,1.9753829781355157,1.7759760764236452,1.7093992448941129,1.5258033019356705,1.6216942754265118,1.6813900614204462,1.6542886529996679,1.6049528536995628,1.5696128663168014,1.5761477506351462,1.5983750771910001,1.6577887011825618,1.6654531867105857,1.7444381603973846,1.7611307614578933,1.7637781690301244,1.7428119761953724,1.7421567883335352,1.7415058078269985,1.7272967859694393,1.7103394618553813,1.7046768784573445
50-2802111,,,,,0,1.0466170681352887,0.9611077259853535,0.9970634124811745,0.9984586812881381,0.9947086211991252,0.9982613425973277,1.0072214488313804,1.0387443949780606,1.0368483553831438,1.0344121983032641,1.1712880388527382,1.210249750735634,1.1881256820715131,1.182228419809037,1.3199915706996879,1.654536891536186,1.5953563287770538,1.485940283741784,1.4514528019063442,1.3437397559170665,1.4321898446414245,1.4920963760697896,1.4738675732402111,1.4403695198145101,1.416355282774784,1.4254081770756086,1.448031059820005,1.5044659822815287,1.5452132905256284,1.7609400491602978,1.8080213338512785,1.8097443529616994,1.7861786184133712,1.78414863962715,1.7825800075491054,1.7667421871964049,1.7477249302322533,1.741339037558575
51-2801845,,,,,,0,0.873704931049123,0.9690366555104097,0.9810559383434817,0.9787118539221046,0.9853822360666319,0.9983854972163164,0.9913389857722392,0.9946985329523679,0.994108252713955,0.9950891232551863,0.9956314050480952,0.995038335740892,0.9963790166318692,1.1194112701639825,1.3964533760940472,1.3857950395739704,1.3192314655571198,1.3007423143926746,1.2404219003031605,1.3362653045700787,1.3849253508271702,1.3712250210350856,1.3459053525211173,1.3278169165679294,1.3383373190928434,1.3610118134108897,1.4786346204872696,1.5652164020359167,1.7920239878835045,1.8410431901513757,1.8428198844547932,1.817245816458708,1.8141356461995655,1.8117069054592072,1.7944275351425472,1.7743766803670464,1.7672459488255432
52-2802117,,,,,,,0,1.0757001360325986,1.0354569700559817,1.0214234529842452,1.02221147359444,1.0302783051201259,1.013967222608477,1.0148566399695749,1.013026798678953,1.0123356345540353,1.0102752959462051,1.0081247821913717,1.0090969087888195,1.007523174285334,1.190597015561853,1.213055496986248,1.178281662500749,1.1719629184290625,1.2592370202202374,1.3602813339429207,1.4106153985761996,1.3952893017242107,1.3671205473818768,1.3470672821495249,1.3575050073354558,1.3810487148333697,1.5045825450573769,1.5957460541969128,1.8371031551300272,1.8884046578916065,1.889548502137065,1.8612894211285564,1.8565622964047481,1.8524039510308457,1.8336965910606149,1.81157774904504,1.8039020424615675
53-2802074,,,,,,,,0,1.002140037080356,0.9904201597755953,0.9998569025196758,1.0168162183164584,1.0011502188361785,1.004211653392367,1.0027874020113041,1.003118464405309,1.0024077552643451,1.000915804856892,1.0022951833910123,1.0018628612462888,1.1006860074307463,1.2056462586251968,1.1704235161128207,1.1644685587898964,1.2682458188294607,1.3743360377987617,1.4265719768025216,1.4097293418942223,1.3794901830152297,1.3577536272462765,1.3683828190599387,1.3926982817513538,1.5218670889500865,1.6174554243744463,1.8713910246900798,1.9251220955931332,1.9257352717708138,1.8953027826606776,1.8894333701271744,1.8841481950562022,1.8637360205908438,1.8399443944110938,1.831617874614154
54-2802031,,,,,,,,,0,0.9643392966743197,0.9975293728668386,1.0249998931993627,1.000818901407006,1.004766753434444,1.0029465631696557,1.0033270207759166,1.0024532502419403,1.0007347177758263,1.0023170140990023,1.0018319668538107,1.0364609103763527,1.225193672759634,1.1836748483060593,1.1761262631792366,1.2846481777322762,1.3975832048383756,1.4519130034652696,1.4332581396809316,1.3993858842816467,1.3755136137864101,1.3862940546281513,1.4117400289435817,1.5479631737125326,1.6500283612057383,1.9223590516185467,1.9788050558562589,1.9788431252316965,1.9445906144306653,1.9366021739989252,1.929599970100668,1.9072979073681462,1.8808591129063237,1.8715890919857616
55-2802010,,,,,,,,,,0,1.0255825126110978,1.0452800790453751,1.0072764079175207,1.0103010094849263,1.0077417223638228,1.0074570393982354,1.0056039321025385,1.003325763804813,1.0048804569976615,1.003808881697231,1.0059442051474654,1.2369608676057318,1.1917207400313288,1.1831888697500514,1.2937729291165805,1.4100943100360994,1.4657062232728926,1.4459646849098546,1.4102415839995721,1.3851336451541936,1.3959537520577985,1.4216692402061404,1.561745602490703,1.6666227468697175,1.9476986951472395,2.006642829920913,2.0056060665573856,1.9695166325724318,1.960123864341624,1.9524818503465438,1.9290965632389443,1.901665786509324,1.891907735946896
56-2801983,,,,,,,,,,,0,1.0581680445101058,1.0024269898580587,1.007347351008439,1.0046682497786676,1.0048597145425289,1.0034382247053266,1.0012787418664681,1.0030836521413602,1.0023601405026634,1.0048101904240618,1.2488757948648233,1.1992567004937533,1.1896613532571885,1.302907081146202,1.423451615489893,1.4806825038502578,1.4596406742394537,1.421521001488788,1.395171743530948,1.4058838584823123,1.432347661198194,1.576489914284192,1.6852767516757203,1.9775257332191467,2.0381772770490243,2.03654276487537,1.9981943395830166,1.98798071415151,1.9789492911240032,1.9542345008311683,1.9255555725863072,1.9152025158672406
57-2801975,,,,,,,,,,,,0,0.9645051398901237,0.9860498018123403,0.9855546571434988,0.9899157235054228,0.9925701305891774,0.9919739109690742,0.9946612811675587,0.9960440012366054,0.999645216246175,1.2668548241076625,1.2097668266208093,1.1984671503344584,1.209266612303373,1.3248711153811812,1.3838239408113309,1.3675094996244201,1.3379643756517774,1.3173508804213732,1.3296458241398592,1.3562656394005501,1.4934075086680145,1.595847762035369,1.870955085013092,1.929266127094008,1.9298623939543427,1.8963942743723488,1.8897362077658564,1.884274909475008,1.8625160011143131,1.8369592787035802,1.8280516028389664
58-2805277,,,,,,,,,,,,,0,1.0171206651351057,1.0064528610829953,1.0062165248219521,1.0032542737112813,0.9999912067991734,1.0027818531478931,1.001910161822016,1.0051175700638286,1.3150403973778675,1.2395983997821232,1.223726822590762,1.161674217672028,1.2659278711291906,1.3412306148825222,1.326429052825222,1.2996706266667353,1.2811490051509746,1.29444641300638,1.3219802936478915,1.3869018350249187,1.4408718385418895,1.6816052983995318,1.7357057552356845,1.7393825372742506,1.714735814115424,1.714485257196278,1.7149474827928661,1.6984223607526723,1.6786526510596058,1.6724724964436595
59-2805276,,,,,,,,,,,,,,0,0.9826925859088868,0.9977269521196038,0.9984423158599057,0.9957660955406975,0.9996080271202857,0.9997416892160609,1.0037283654502427,1.3483610224252969,1.258131210006066,1.2388686821310375,1.1690599962375605,1.27868716805122,1.3573723070165058,1.3411299011471762,1.3119537206295422,1.2918579074869805,1.3054413204985267,1.3339071035291414,1.401318815601066,1.4147357651684143,1.573899586912685,1.625523571678634,1.630981854534908,1.6101621721853612,1.6139282708579819,1.6172061820314947,1.603470169252181,1.587109727402902,1.5820789059538707
60-2805274,,,,,,,,,,,,,,,0,1.0058066258552394,1.0013490971588859,0.9973942035252218,1.0014745557218225,1.0009075945827592,1.0048813672502663,1.3676940474287838,1.2688330272808308,1.2475849165316892,1.1734356178528689,1.2856628613121814,1.3659421671731946,1.3489455969289266,1.318508380917966,1.2975923380093275,1.3112904287464238,1.340186480757685,1.4087772729677626,1.4222851804974634,1.5290064976822393,1.5793827681009296,1.5852315831880675,1.566646306913204,1.5720101192584341,1.5760185011617507,1.5634129473378564,1.5483555632618542,1.5438730951057376
61-2805272,,,,,,,,,,,,,,,,0,0.9990154362473568,0.9948555721633134,1.00035524992784,1.0001927108752178,1.0047762811652694,1.407180337589367,1.2893311771329656,1.2639268577902227,1.181093312530623,1.2984981320489206,1.381950277736447,1.3634561593799124,1.330536646270506,1.3080227325554437,1.3219513546583466,1.351693682463442,1.4225947651542725,1.4362813223952426,1.5293631085315753,1.504193752423353,1.5036816590237099,1.4883848549463834,1.495776052831942,1.5019145448587417,1.4912681937226637,1.4786384557277628,1.4749427782643814
62-2801921,,,,,,,,,,,,,,,,,0,0.9891890315903028,1.0016610879185628,1.0006477101831952,1.0063741420109211,1.514772357980447,1.340159382316702,1.303239823143772,1.1985180120567192,1.3272819433184389,1.4175160612001403,1.3955127133450211,1.3568527269363235,1.3306907312401133,1.345038762726575,1.3765317247977562,1.452310704213974,1.4663049551605687,1.5657251862019899,1.537353179607215,1.5217017100188113,1.5048210082635751,1.4772671695601765,1.4543712152126878,1.4447077977758156,1.433052508316246,1.4268839966317737
63-2801927,,,,,,,,,,,,,,,,,,0,1.0332038018832446,1.0051865770323911,1.0055202976985906,1.6328858635229841,1.3877449179380488,1.3382963486581974,1.2124655694345887,1.3508548536585476,1.4466966495195082,1.4215586907224638,1.377863438584049,1.348561658481118,1.36320829970646,1.3960963220142146,1.475821737080189,1.4900166452372314,1.5945566722596198,1.5633153144285694,1.5461013201516307,1.5276085891713964,1.4971295752348757,1.4725011454230026,1.4620397921384158,1.449465313931102,1.442818646797446
