순번_정류장ID,1-2805045,2-2803524,3-2803525,4-2803769,5-2804876,6-2803770,7-2803820,8-2806041,9-2805551,10-2804418,11-2802599,12-2802592,13-2802589,14-2802362,15-2802595,16-2802598,17-2802587,18-2802580,19-2802572,20-2802561,21-2802550,22-2802540,23-2802535,24-2802527,25-2802520,26-2802498,27-2802485,28-2802483,29-2802371,30-2802441,31-2802941,32-2802901,33-2802851,34-2802823,35-2802783,36-2802757,37-2802733,38-2802706,39-2802628
1-2805045,0,1.022320867773786,1.0100912385143006,1.2280381853897648,1.156380872852465,1.193555161524469,1.2711201220841508,1.2353179076014293,1.2181928679124876,1.1906371507830567,1.2701247017473762,1.2615839011723466,1.3287063098473813,1.3723572644483588,1.4307499656357388,1.4298297201419,1.4190564049278627,1.3841784781629896,1.3521351706352531,1.3329260692177052,1.3247036039101252,1.310516994732254,1.2993830020818617,1.2875144345027452,1.3399014382738372,1.34871496167944,1.428969668985213,1.4553577850443284,1.5609458333142257,1.5251990324449378,1.4223615554161362,1.407846582094826,1.389577973749166,1.3826361700492036,1.3667982583454281,1.351954439833392,1.3434913414300802,1.3318456918472563,1.337743550260596
2-2803524,,0,0.9832708890052069,0.9847208640645286,0.9879129508296434,1.0666131156319842,1.1655457768319923,1.136535460016003,1.1253949840346789,1.1076609149172087,1.1998348161559926,1.1928696320063754,1.268358563689352,1.3199090677120786,1.3849667224612816,1.3553895374648464,1.2388910972506906,1.2208263126647279,1.201875842582874,1.1908968541068776,1.1872675065126657,1.1790374244613466,1.1727001991786277,1.208296145513143,1.2657312050036187,1.323843732351108,1.4072992650015503,1.434856903312781,1.5453421431296144,1.5088349261349878,1.4051804954172877,1.3908733112257563,1.3726075111839413,1.3657331785689901,1.3500607426019053,1.335462829190793,1.3271012325811633,1.3159260325028266,1.3220831244194722
3-2803525,,,0,0.9854059251618447,0.9899063598978348,1.0823323404592509,1.1975813748554254,1.1598011894549698,1.1448643100019247,1.1219857694769477,1.2237248576590594,1.2157918388055375,1.2979743326029602,1.3526686579819232,1.4248360994250584,1.388702805169678,1.2542927451402432,1.2329829526718468,1.212958011816404,1.2006889047726437,1.1966118789291362,1.187608704739501,1.1807162869325463,1.2175817745388986,1.2774946072836129,1.338257938300263,1.4259047105600111,1.454845131090995,1.5710998779189924,1.531520100273232,1.4193591354998534,1.404230268780158,1.384599751606502,1.377290002384953,1.3606703720522857,1.3451956800923481,1.3365085354341955,1.3244551696160691,1.330779843217799
4-2803769,,,,0,0.9948689417528871,1.0099842799483172,1.021900406957878,1.0054015846975461,1.0055532274476742,1.0047772492316953,1.00573135971953,1.0071163582825935,1.0182500378138761,1.0832254535362917,1.1550988338277022,1.141089235684206,1.0944259970884302,1.0883134128969774,1.0794685677315652,1.0746026387834962,1.0740334045858082,1.0707669449592987,1.0920843407067922,1.183417815449564,1.2457749604678614,1.3088602008232424,1.399661719729788,1.4297894923559007,1.5510655603226402,1.5110153982598074,1.3992446663819176,1.3841710447275415,1.3650440704403297,1.3578755483319624,1.3415847363602844,1.3265189549685117,1.3178900136813572,1.3063301337594402,1.3129461518870187
5-2804876,,,,,0,1.0270638080384216,1.0397290439579698,1.010039583991238,1.0094947828893115,1.0075018288310693,1.0081992189123958,1.0097921716914962,1.0069374867418373,1.0107476583629333,1.0921908573525165,1.0817245775621342,1.053063457670149,1.0501924676254912,1.0487200328592203,1.0725405519009688,1.0719879157780972,1.077092921698512,1.1004620293191343,1.200440933725613,1.2686670910973696,1.3378181098966486,1.4386208217517114,1.4720837011427905,1.607417648187575,1.5590001365841486,1.4280393344738098,1.410773519771008,1.3889719404173115,1.3810060260101693,1.362644130867459,1.34554423401442,1.3360888804492759,1.3231693637844884,1.3300356220964202
6-2803770,,,,,,0,1.0609422611141497,0.994919770200669,0.9981258563576517,0.9992145998497944,1.0022042786208176,1.0047247393062608,1.0018700246085432,1.007248687306402,1.1058414531344252,1.0920947778598218,1.056018841703684,1.0527720569517411,1.0507434793130128,1.0766513498410872,1.075913013322739,1.081461227502365,1.1065213351081198,1.2154953374124224,1.2896566966705119,1.3656591216629355,1.4771969712811603,1.5142572517320396,1.6648901000463556,1.6072362061532897,1.4553842465202262,1.4356379820320515,1.4110839043854322,1.4019859511839512,1.3815463837130904,1.3625565662777783,1.352159736755747,1.3379114300556423,1.3449073316062958
7-2803820,,,,,,,0,0.9168529365688892,0.9565296261833827,0.9771876529535986,0.9876644377344214,0.9920700088455447,0.9908233957159829,0.9988646353095924,1.1117236522583778,1.095598785512904,1.0551381921845846,1.0522415352376753,1.0499302115965132,1.0773387382873447,1.0765354731633678,1.082346496142438,1.1086890644113148,1.2237184111836272,1.3023107858160337,1.3826142034548945,1.5015695799460997,1.5411298617971465,1.7024786597676755,1.6381864923164493,1.471790276195694,1.4507178544549493,1.4243400733301157,1.4146014471992432,1.3927993322999879,1.372736393575535,1.361726245589642,1.3464762733547198,1.353559781612986
8-2806041,,,,,,,,0,1.0067293514780884,0.9982113807846054,1.0032418316348737,1.006876853803937,1.0024762297588483,1.0094366518090732,1.1381998617995828,1.116848187204903,1.06442245368566,1.059543933931181,1.0566348333167193,1.085246737617224,1.0841098493925496,1.0896431725334303,1.1171316124060375,1.2384270938753523,1.321207563955034,1.4063955935470478,1.5331156146796123,1.575266522503012,1.7477719227821278,1.675824352403834,1.4927142587990845,1.469694927820571,1.441441085482318,1.4309699289868203,1.4076097734774033,1.385813172932387,1.37427429859558,1.357888469463162,1.3652838237294567
9-2805551,,,,,,,,,0,0.9938560886976242,1.0023316258295691,1.0069099621514634,1.0017426614359028,1.009799656093177,1.1552670373138683,1.1292283560941754,1.067459513533678,1.0619679114795368,1.0589194710567467,1.0887056448349737,1.0873870171966649,1.0931953941864105,1.1217262077158938,1.2484213663170065,1.3348782698249226,1.423820864428575,1.5573047541378024,1.6017306051762437,1.7840962382211143,1.7057725384053766,1.508124749550763,1.483892237828544,1.453742240715124,1.4426824120000732,1.4180781018172355,1.3954893433627358,1.383076070658209,1.366060429091231,1.3732001601053803
10-2804418,,,,,,,,,,0,1.0059878396059416,1.013211817000721,1.0032340478955464,1.013699027666267,1.208201646342846,1.1657856338183015,1.0765076031363765,1.0694901339348932,1.064804417687761,1.0971419786015284,1.0953497188757888,1.1009985976994832,1.13178361914389,1.2704016288099973,1.3649774802844423,1.4632522418377023,1.6121932224199063,1.6618279532640718,1.8669626638065953,1.7719759080216315,1.541643901597389,1.5142038403113551,1.4800582267758051,1.4676946900345949,1.4403485326888696,1.4153166174165426,1.4018719200337482,1.3831584994024515,1.3903498796631935
11-2802599,,,,,,,,,,,0,1.0350420194126584,1.0005949819907312,1.0069409509486718,1.2937000602090132,1.2159693144163686,1.0824905441124488,1.0737690272783806,1.0612081131703104,1.055022064536938,1.0550018791543736,1.0513095682740037,1.054629131502318,1.1890755424224528,1.2826231854016055,1.3792219487538786,1.5238775879962234,1.5724941119772495,1.7734297335125808,1.6884739090326866,1.482369558368567,1.457848727287666,1.42759212076827,1.4165461429754926,1.3918649562144518,1.3696233907631425,1.3575178898258415,1.3409037594105164,1.3487934562005357
12-2802592,,,,,,,,,,,,0,0.9845974934022692,1.0011542440419934,1.3427744789008342,1.2411619228356978,1.084785737353142,1.0756924485027228,1.0630160601985927,1.055938698091533,1.0558762264245485,1.052489408445389,1.0551709466411785,1.1933511044946117,1.2900419846335127,1.3898102035817552,1.5398414348086424,1.5903048343259316,1.7993930285791242,1.7084883653025311,1.492031763096333,1.4662761738520755,1.4348718758987509,1.4234308908586801,1.3981092575209328,1.3749529378514358,1.3628303775149357,1.3453852388742893,1.3534748622738906
13-2802589,,,,,,,,,,,,,0,1.014344432748102,1.5901734334044575,1.3510269590233943,1.097355794414063,1.084861924470923,1.0691985834587443,1.061892497702159,1.0612610062836239,1.0570071776771581,1.0528809487017163,1.15076821012178,1.2485476968425357,1.3490322539900306,1.49944770264176,1.550307297446372,1.761324250828346,1.6730230931152663,1.4648745237023038,1.4402301301862903,1.4102654797873364,1.3993520419896832,1.3751825593984608,1.3533612297505282,1.3416141018695593,1.3252237053839637,1.3335612894958853
14-2802362,,,,,,,,,,,,,,0,1.0744986427448884,1.0198623160408835,1.0065878207974088,1.0097110795999822,1.004473625764501,1.002942479267166,1.0055494724668101,1.0050626879747664,1.0037140208612667,1.0032884439839065,1.0864002763093819,1.1645162279983778,1.291890549007497,1.3356281866960933,1.5157795991817387,1.4600633981422426,1.32645449797906,1.3101979169647378,1.2900575863777892,1.282889448887186,1.2663569347452406,1.2514525121968625,1.2431908379010879,1.232140171522897,1.2419076197303527
