순번_정류장ID,17-2806448,18-2806449,19-2806450,20-2806451,21-2806452,22-2806453,23-2806454,24-2806455,25-2806456,26-2806457,27-2806458,28-2806459
17-2806448,0,0.9467543764038582,0.9843104639197057,0.9896103969711397,0.9862417277874669,0.9897929177242617,0.9862229848401592,0.9906810147576818,1.103642999027726,1.3451832858323556,1.2873291654264265,1.2680656873652127
18-2806449,,0,1.008119980055714,1.0050777004642668,0.9976122239364704,0.9993073709246032,0.9936145252939482,0.9975401514954318,1.1285291165356377,1.415210855366456,1.3350626632479452,1.3095545264710244
19-2806450,,,0,1.0010565959344337,0.9888678039028646,0.9945891127929506,0.9875331382670226,0.9940827197173306,1.1687085207186734,1.5713609348137463,1.4278559957914554,1.3866514465836424
20-2806451,,,,0,0.9681481932478919,0.9901855825976685,0.9812508839213663,0.9917921171620278,0.9956776101681087,1.0073354949752655,1.0099815138175647,1.010066869907368
21-2806452,,,,,0,1.0049081526592096,0.9861769510532419,0.9974540385422985,1.000976987748093,1.0019862183056976,1.0062017990184269,1.0066425562419956
22-2806453,,,,,,0,0.9620643607132571,0.9932894143209919,0.9993858232191754,1.0011159368750495,1.0064746893623167,1.0069689879271586
23-2806454,,,,,,,0,1.0172334517300716,1.016501245909514,1.0128712301601377,1.0151948820486614,1.01465855152419
24-2806455,,,,,,,,0,1.015411644486408,1.0100521878138473,1.0144932043451278,1.0139182110979679
25-2806456,,,,,,,,,0,1.0059358206593165,1.0142159343974007,1.0135598314144443
26-2806457,,,,,,,,,,0,1.0195541465318894,1.0170169306083225
27-2806458,,,,,,,,,,,0,1.0110013778016178
28-2806459,,,,,,,,,,,,0
