순번_정류장ID,24-2803478,25-2805645,26-2805646,27-2803481,28-2805167,29-2805162,30-2805160,31-2805158,32-2803416,33-2807467,34-2807468,35-2801115,36-2801070,37-2800837,38-2800983,39-2800835,40-2800843,41-2801020,42-2801043,43-2801003
24-2803478,0,1.0083057548725356,1.0075946832845717,1.0058620267189575,1.0048518723908144,1.0066049472153804,1.0060702207874093,1.004473871669033,1.0054299863112972,1.0029737081978563,1.00301652750536,1.0026290483812375,1.0021800195663617,1.002339038821329,1.002358151507389,1.0381895602920377,1.0696874560007479,1.1679957651986945,1.2312112990867168,1.2407463186827368
25-2805645,,0,1.0043076502898065,1.0022129428994893,1.0008310455838505,1.0048672822784568,1.0043471283342411,1.0023761285308457,1.004452491727787,1.0020508352436155,1.0024372954537426,1.0021616021794078,1.0016470915875757,1.0019206058631454,1.0019495879728286,1.040229553212653,1.0739244843329687,1.17983082078606,1.248144964233348,1.2580592573787868
26-2805646,,,0,0.9918559794256324,0.9925070409534158,1.0011464226223892,1.0014131732193405,0.9997763096587847,1.003305190756917,1.0014567682021274,1.0019204544436493,1.00185975525525,1.0013833203112799,1.001540419985496,1.0016650807619434,1.0410430470640812,1.0755853819107628,1.184865577327017,1.25541647283955,1.265668008262881
27-2803481,,,,0,0.9941507438881639,1.0093614217272182,1.0065387316933918,1.0024829063838505,1.0051395368200313,1.0021271862503,1.0024574096758638,1.0022069121359312,1.0016578919862211,1.0018565255306437,1.001933486611425,1.0426395264267214,1.0784343638840719,1.1915472081728298,1.2648179693780186,1.2751693809994453
28-2805167,,,,,0,1.0098602873709999,1.0060415783742283,1.001569341876239,1.0049209040386604,1.0018501268530557,1.0023464445706083,1.0020722242701778,1.0015194771149025,1.0018646428351428,1.001806272057008,1.0431268944086218,1.0793440452562058,1.194056720844169,1.268504195769999,1.2788578065350433
29-2805162,,,,,,0,0.9852587046654491,0.9911902430256413,1.0017342480218008,1.000550426763793,1.0015165155884445,1.0014078740499974,1.0008591503149005,1.0012361454491439,1.0011906385780907,1.0434643517709294,1.080582647563281,1.198486535406576,1.2750254241963401,1.2855109278452967
30-2805160,,,,,,,0,0.9953584716468323,1.0045431488732537,1.001354055175949,1.0019949982769032,1.0018030271104799,1.001279006371136,1.001553040193021,1.0015943096579736,1.0449144869061937,1.0831245470743482,1.2043134026321782,1.2832895932598727,1.2938147145951278
31-2805158,,,,,,,,0,1.0074840520778143,1.0019126197000936,1.002377180706695,1.0020672627913747,1.0014620745458411,1.001790377788518,1.0018768589683216,1.0467486588746542,1.0865103400536473,1.2129244320176524,1.295393302883713,1.306140972304222
32-2803416,,,,,,,,,0,0.9996259821869032,1.0012571232660927,1.0012716595712785,1.0006671439036179,1.0010165568306029,1.0010236700806503,1.0520464973147128,1.0972071504595438,1.2429261676666004,1.3391929557774978,1.3504446431827997
33-2807467,,,,,,,,,,0,1.0031291573424452,1.0021888167024977,1.0011259725465202,1.0016189469325334,1.0016877175457535,1.0777227829568752,1.146078907306364,1.3778543845914848,1.5392176730182745,1.5483154778582746
34-2807468,,,,,,,,,,,0,1.0009250596518877,0.9990737131806515,1.0003223881840504,1.0005286016363875,1.132925682742652,1.2563724625637416,1.7275918140494162,2.1036282558978323,2.0750579492156596
35-2801115,,,,,,,,,,,,0,0.9884422730256833,1.0001618508336474,1.0010274250789195,1.0022791234539614,1.0240009796466099,2.1590943310588324,2.902610904445567,2.2986359365062228
36-2801070,,,,,,,,,,,,,0,1.0088233914366325,1.0066526755396028,1.0060382410587911,1.0051194546767452,2.110114200565129,2.9625884667148332,2.2769044947705916
37-2800837,,,,,,,,,,,,,,0,1.0012772385447668,1.0030078217121297,1.0019905773657525,1.125525140527584,1.5832673080199577,1.4705660071318862
38-2800983,,,,,,,,,,,,,,,0,1.0046057082812034,1.0023266038911076,1.0027131251238437,1.1047998269922452,1.5694234573195787
39-2800835,,,,,,,,,,,,,,,,0,0.9999527566495016,1.0021003651799065,1.0474000464654571,1.7349988393203901
40-2800843,,,,,,,,,,,,,,,,,0,1.0030685426062842,1.005233409640469,2.02290802632908
41-2801020,,,,,,,,,,,,,,,,,,0,1.005818790880501,2.169254631298624
42-2801043,,,,,,,,,,,,,,,,,,,0,0.9974441632655228
43-2801003,,,,,,,,,,,,,,,,,,,,0
