순번_정류장ID,1-2800962,2-2800970,3-2800980,4-2800988,5-2800971,6-2800841,7-2800964,8-2800878,9-2800839,10-2800981,11-2801001,12-2801016,13-2801028,14-2801026,15-2801042,16-2801072,17-2801103,18-2801110,19-2801283,20-2801315,21-2801356,22-2801388,23-2801439,24-2801500,25-2801524,26-2801541,27-2801577,28-2801607,29-2801626
1-2800962,0,1.0017948717948717,1.0070273763818416,1.012578313446434,1.3339302738202428,1.7041742632323051,1.5935531464494195,1.4546771682670818,1.3996574477319002,1.338521602519514,1.294037535875661,1.271977584099199,1.2538050155405354,1.4451098752530382,1.4562204105693621,1.6744394103636344,1.7127052449491587,1.7201163724050188,1.5823915307766612,1.5474603660426864,1.5613383710874702,1.5283762771255585,1.4773019138187444,1.4261747775500861,1.4109685176368223,1.4171831315063026,1.4747940925276124,1.5281264949627955,1.512610732139554
2-2800970,,0,1.0113336615904056,1.0161812817588443,1.0237631066443083,1.294856431783381,1.2548217970885158,1.2004996752663508,1.1792633853720333,1.1538935302840467,1.1350572292431063,1.125783585264515,1.1177546155136326,1.2884516400649948,1.3963155294850282,1.7222644441836432,1.7610967519537586,1.767881487480597,1.6133304715605643,1.573806033357715,1.5867605924361845,1.550733394161288,1.4955142931267449,1.44059016713515,1.424391503950968,1.4305620363105809,1.4901736722468488,1.5452389156623996,1.528700682165336
3-2800980,,,0,1.019491367550644,1.0274324931383063,1.1677298040066537,1.144108450858205,1.111607735742777,1.0995115476721184,1.0847462113749449,1.0737154465959986,1.0694782355531791,1.0648415256464845,1.2365331326343596,1.428013868366355,1.7894907726128357,1.8287026979885994,1.8343818567830328,1.6550082026839064,1.608860367238473,1.6203838306046712,1.5800737691471447,1.519147822131046,1.459069843852263,1.4415402915096012,1.447637402464198,1.5098698415660678,1.5671987053143592,1.549290109470981
4-2800988,,,,0,0.986130138480467,1.1601874041249571,1.1317441659400533,1.0960815708461373,1.0847147217934152,1.0697183182279122,1.0608185574802236,1.0563149009358612,1.0521137945838008,1.2415332999981366,1.4646813706772306,1.8840453969668838,1.9235788707119927,1.9273023975569246,1.708128161753103,1.652057783788255,1.6616231412155575,1.6151192513038282,1.5461429462473681,1.4790602499973913,1.4597581790505532,1.4658377687434603,1.5318410835442384,1.5924655707146802,1.5726971183172527
5-2800971,,,,,0,1.3448497724947812,1.2378914592586585,1.1462985970725934,1.1213285186388469,1.0949634016587833,1.0789458497134312,1.0716620038113776,1.0653337494328898,1.2968251464496008,1.3264366017624376,1.5412746956544248,1.5953503360994103,1.6074999248186914,1.4733649789865801,1.4422445420202274,1.4649096251967064,1.434413616975099,1.386845554631429,1.3415542252484565,1.3278963565597435,1.3363376024517886,1.3989057950587722,1.4575913649023524,1.4426530886441138
6-2800841,,,,,,0,1.0030088180732384,0.9944726777387749,0.9996899896538717,0.9974843001036189,0.9987001661812859,1.0001357130761352,0.999179690780026,1.2829898511000817,1.320988319966972,1.2728758198308332,1.2726949623476973,1.2584595326745907,1.2029773186967978,1.1815481418867908,1.1754248792523647,1.1665067488583294,1.1494039683880792,1.133857876031517,1.128232254843109,1.1394460199180225,1.1955244637334679,1.2498699096641057,1.2428463871055504
7-2800964,,,,,,,0,0.9900041239307712,0.9986115806050012,0.9963197006904178,0.9972380874705934,0.9983910486269172,0.9981252417902617,1.3199460627121602,1.356725506962759,1.2974627212646543,1.2952787105725732,1.2786876734855521,1.2153403342068716,1.1912751603517273,1.1751869281966543,1.1662097617303648,1.1482981486074437,1.1321911002527232,1.1266578585812694,1.1382283352721017,1.1961586329573282,1.1850073047543517,1.179903702576029
8-2800878,,,,,,,,0,1.0126414848865952,1.002373790193605,1.0014310882478086,1.0021853046945648,1.0012760391744024,1.4324745345741696,1.458041354852939,1.3649745943619414,1.3128367791868742,1.2927453450956792,1.2190217205571476,1.1921790509078798,1.1677145219177691,1.1583310347190479,1.1400954605211182,1.1242897707889106,1.1185303913366405,1.115885263388893,1.1514971750447884,1.1427829825904707,1.139068737325573
9-2800839,,,,,,,,,0,0.9951089891501792,0.9990113820939448,1.0005509935864347,0.9997389992948236,1.542089619837518,1.5478789426771762,1.4191258560645195,1.351205514470719,1.326050535432608,1.2370683378485379,1.2056818804484815,1.1779069565264484,1.1671779205730537,1.1469693135365,1.1295448217751374,1.1233233190005036,1.1203991868219962,1.1143664823111477,1.1076466274433927,1.1048064098696433
10-2800981,,,,,,,,,,0,0.9998391721919617,1.0019900404895983,1.0004377460606284,1.1305555343696507,1.2270361641360712,1.1758290655532326,1.1493861866016661,1.1384904387156782,1.0996458730795042,1.0876225602839695,1.074858408633277,1.0719951981105609,1.0625127749559125,1.0558842349490254,1.0525091684717656,1.0520019130691292,1.0492733013608773,1.0461308087568153,1.0451820409844033
