순번_정류장ID,34-2800505,35-2800509,36-2800511,37-2800514,38-2800516,39-2800518,40-2800522,41-2800531,42-2800540,43-2800546,44-2800539,45-2800545,46-2800337,47-2800559,48-2800572,49-2806839,50-2800578,51-2800584,52-2804897,53-2806519,54-2805052,55-2804893,56-2805221,57-2805232,58-2805872,59-2805230,60-2805331,61-2805579,62-2806912,63-2805449,64-2805840,65-2805560,66-2805838,67-2805334
34-2800505,0,1.0021479186601272,1.0012606223932379,0.9859103691928026,0.9943677202784598,1.0089084303823128,1.0044048294280032,1.0031538958604973,1.0026865082873677,1.116035308679409,1.3002380032083,1.2320578184479747,1.2179606883589957,1.1962341974315536,1.187889980036161,1.2588787914703672,1.4977742279020234,1.6546174836490248,1.4725324776443383,1.4561115503423372,1.4206985680067266,1.4004850785850458,1.3968554897979768,1.3770475658091499,1.3669804298594315,1.3560669394819787,1.3300530696674318,1.3174211942067746,1.303617686519008,1.2841086816656087,1.2892261147215294,1.2772556138324351,1.3137435735595324,1.387538571026028
35-2800509,,0,1.0003032359608972,0.9775118383786654,0.9911469002378093,1.0111663737165038,1.005028611223527,1.0033619267179112,1.0027709432273963,1.1338497416214057,1.3491929878542959,1.2605996643195618,1.2427670285796255,1.2159777390395197,1.2055603316159675,1.2811933215172133,1.5458480366418241,1.7200140303671607,1.5006572339442783,1.4821325117311699,1.4426336406350082,1.4203030337834048,1.4159481162652963,1.394037187711887,1.383048561760627,1.3711556705335028,1.3429753008662253,1.329477714908247,1.3146093747933298,1.293555505387544,1.2985600049829802,1.2859594804864882,1.3235865135267049,1.4002635334582882
36-2800511,,,0,0.9565354623713788,0.985447027494691,1.0160363938262553,1.0066603720939502,1.0040901359740306,1.0031904337308437,1.0828936908703575,1.3170490903330814,1.2303229639992257,1.213671183087576,1.1888243007071835,1.1796835463030109,1.2615001319957764,1.5388074839146049,1.722989705730915,1.5300102563146858,1.5091648329169634,1.4652146117593856,1.440605084788057,1.4349771387695516,1.411075718015666,1.3993363525197098,1.386411626954821,1.3559652713203754,1.341400135116424,1.3252745456865564,1.3028024358707722,1.3079724546358997,1.2944473011860493,1.3336275700828737,1.4127281173526716
37-2800514,,,,0,1.0458705403641313,1.0397368211766578,1.0164664692044987,1.0089863045097702,1.0061864157337115,1.007100226319321,1.0055973612667708,1.0009843353305061,1.0023594586589162,1.003199204868181,1.0065062690613351,1.0977380322235089,1.3364718412841707,1.5003607692158505,1.5655113487104906,1.541713673030263,1.4921751498352775,1.464740464582736,1.4577816982232232,1.431665997237006,1.4182899619406646,1.4043415143770097,1.3711666916552983,1.3553215214731398,1.3378857753264322,1.3138753058429993,1.3190502284396461,1.3045892765517315,1.3450620887775797,1.4274126926822728
38-2800516,,,,,0,1.0349074965010496,1.004953590673547,1.0016951804715208,1.0014021852324364,1.0032394861905234,1.002256941044184,0.9982028197138971,0.9998692546561637,1.001046166200283,1.0046523324942827,1.0999645880318278,1.3504336947456215,1.5229460997841344,1.5829678463177057,1.557573314499436,1.5050523992585487,1.4761314166609703,1.4687520362234336,1.4411093387360088,1.4273527714695156,1.412537485273005,1.3779832986783576,1.3614997953758265,1.3435921592019548,1.3185771154472334,1.3237664316738709,1.3087048123609395,1.3500632577876723,1.434000830899884
39-2800518,,,,,,0,0.9753220624979718,0.9905612656334766,0.9953442488128329,0.998654323381923,0.9984115291945095,0.9950666315384301,0.9971226906313883,0.9987275948698003,1.0027273906756702,1.1037162117427928,1.370938837229463,1.5558234727370226,1.6073940890756524,1.5797053806734311,1.522936831115677,1.4919163572794054,1.4832878219637025,1.4541429286391785,1.439536775662459,1.4238315078986805,1.3873639342752737,1.3699969503487188,1.3512001063940595,1.3250417538030073,1.3302422727366325,1.3147136084426538,1.3568992963996518,1.442949762928134
40-2800522,,,,,,,0,0.9983727080688175,0.9998209860042503,1.0026539219068178,1.001531248058531,0.996932755299932,0.9989983844760766,1.0004677411440877,1.0046111404171068,1.1116637679800871,1.3987559731466037,1.5982433585492213,1.6372141894655514,1.6067327140713963,1.544836691158325,1.5112994539451243,1.5017327321759617,1.4699276305438116,1.4543227081023578,1.437571655934186,1.3988613364563398,1.3804556869285238,1.3606159860925622,1.3331181332448563,1.3383041987570414,1.3220553792325491,1.3652880014091873,1.4536126421122062
41-2800531,,,,,,,,0,1.0009441492785842,1.0048071496946416,1.0026621853544073,0.9966071199074671,0.9991251847236222,1.000823730591642,1.0055772479537715,1.1272249303382527,1.4624092757751996,1.6979808357543302,1.7019740959448793,1.6648809321926115,1.5910794352105928,1.5518115156650618,1.539148240764886,1.5032101059753988,1.485360597342025,1.4662715691929533,1.4226025370550073,1.4017066500886264,1.3798179539849946,1.34943811933601,1.354408427323398,1.3368031105723444,1.3822426107556183,1.4751835029835865
42-2800540,,,,,,,,,0,1.011960914433764,1.0041428555597012,0.9948178864841695,0.9984838603759483,1.000789917495498,1.006736054124579,1.1544675252773542,1.5816900877235796,1.8886671926327183,1.8076202702746402,1.758416980153303,1.6635157957061975,1.614408620818299,1.596851140757496,1.5527988518405669,1.5313081281176237,1.5087569302637038,1.456954336244789,1.4329707941634848,1.4073643311078399,1.372395433923773,1.3774524177379308,1.3573796728336867,1.4059982139527265,1.5061077062418644
43-2800546,,,,,,,,,,0,0.9973495489401649,0.9898999799412828,0.9953145660553675,0.9987933358617175,1.005920188830507,1.1732575143522859,1.6741129761623121,2.040625975029599,1.6839865918402128,1.6437616087405593,1.5651890310695469,1.52413949792564,1.511895464266349,1.474971514775903,1.4568047492498581,1.4372368777615048,1.3935088461628684,1.3731348646018868,1.351439616133197,1.3218124332199137,1.3277454329358513,1.3106120772177494,1.357817094272896,1.4550402902002049
