순번_정류장ID,1-2807226,2-2806618,3-2807497,4-2807227,5-2807553,6-2807546,7-2807542,8-2807517,9-2807514,10-2807503,11-2807224
1-2807226,0,1.1059074724632514,1.464060521251242,1.478924912208553,1.4045879915441268,1.3820738319540622,1.3466262840349323,1.3257616304250464,1.3023755879549486,1.307503437254141,1.3019438892676243
2-2806618,,0,0.9977363424288714,1.1594230631111695,1.1303845677913418,1.1216662203333447,1.1087912415593513,1.101410005482048,1.0935893589441272,1.1071175402035323,1.1057835591935108
3-2807497,,,0,1.1349282574803357,1.1080624195985844,1.1001302849286112,1.0887752573311031,1.082310271126981,1.0756637684003634,1.090758925925657,1.0897973508024725
4-2807227,,,,0,1.000149072984952,0.9985233259780384,0.9997886021286371,1.0001790350867212,1.0015928950219926,1.040050395106619,1.0407701553203719
5-2807553,,,,,0,0.9927583337727739,0.9989645407575073,0.9997500873182138,1.0019354350768248,1.0558838690007701,1.0557551651624866
6-2807546,,,,,,0,1.002276041500653,1.0019583617447607,1.0038229531535618,1.0670642830073978,1.065942744666485
7-2807542,,,,,,,0,1.0014975629384597,1.0047930605816804,1.0992517402525936,1.0936274335170646
8-2807517,,,,,,,,0,1.0045393883393072,1.1480147333357875,1.131321004326074
9-2807514,,,,,,,,,0,1.4573566197424168,1.2934973836359154
10-2807503,,,,,,,,,,0,1.0450931440762052
11-2807224,,,,,,,,,,,0
