순번_정류장ID,1-2800888,2-2800910,3-2800924,4-2800926,5-2800933,6-2800939,7-2800842,8-2800999,9-2801036,10-2801058,11-2801268,12-2801240,13-2801158,14-2801159,15-2801409,16-2801493,17-2805939,18-2801667,19-2803646,20-2801949,21-2801984,22-2802075,23-2802134,24-2802166,25-2802183,26-2802191,27-2802218,28-2802254,29-2801816,30-2803533,31-2803532,32-2802259,33-2801851,34-2801832,35-2801830,36-2801824,37-2801826,38-2805656,39-2803799,40-2803804,41-2803816,42-2803801,43-2804901,44-2805043,45-2804854,46-2805023
1-2800888,0,0.9911350703803534,0.9988457948729227,1.0006797274035613,1.0037541311552844,1.0007306087182477,1.0022183578813977,1.001938035554651,1.0021838979287279,1.0051338441103392,0.9985669442864576,1.0006591552949555,1.001347679673228,1.001352099924354,1.0011070729998368,1.0008335287424954,1.0011036459356863,1.0012067926822503,1.001317350981611,1.000864464864872,1.0016661647810683,1.0012590451641026,1.000717323432484,1.0011522908823947,1.000894992850537,1.0012773536059865,1.0012353361837145,1.0010182533605627,1.0012640661075942,1.0017140047828954,1.0043261272725492,1.0044071142136572,1.0455841949846132,1.109373648817252,1.1084497388610062,1.115045990289449,1.113698478994211,1.111957138322536,1.112249828526777,1.11015891806562,1.1155003654221256,1.1143173614317947,1.1227390399613109,1.139777924755118,1.136787828724502,1.1513029964102228
2-2800910,,0,1.0048461218572093,1.005650919128206,1.0091504065660803,1.0045450521376764,1.0057150454000867,1.0050065964229047,1.004860449441439,1.0082017930192217,0.9999790891835318,1.0024882661226793,1.0027589642579315,1.002996507545087,1.0025202819185264,1.0020825671809614,1.002193939442467,1.0024298913385967,1.0025233509997742,1.0017667128354224,1.0025953950952182,1.0020288309232324,1.0014176329329652,1.001856037358136,1.0015510295344303,1.0019277482593754,1.0019576318833696,1.0015662207625986,1.0019102948988796,1.0022615740447283,1.004926294831072,1.0050984833770682,1.0480599765573146,1.1149510277459642,1.1139870530562137,1.1208580835223971,1.1193845583608641,1.11752854137951,1.1177300305271403,1.1154478871530902,1.120943856752309,1.1196064192869073,1.128216166139489,1.1460356059544243,1.1428263846164626,1.1579724607469468
3-2800924,,,0,1.0074063465096832,1.0150344910125275,1.0042149071641808,1.006347914994668,1.00510433689359,1.0045048392123366,1.0096285692372908,0.9984164282423905,1.0017883264092258,1.0024198475984678,1.002368025738382,1.0019838579378777,1.0013625728141253,1.0018307784169689,1.0020160492828134,1.0021362197780959,1.0013823473471302,1.002325469621856,1.0017133530656708,1.0011329324870484,1.0015496371109822,1.0012303087606316,1.001656832957636,1.0017097601925162,1.0013069541810753,1.0016300388219885,1.002070495728804,1.0049320400447557,1.0050629755125668,1.0512683119260642,1.1230620211067734,1.1219433785641213,1.1292055473274136,1.1275881012708453,1.125340239361086,1.1255999959589853,1.1230083650075553,1.1287595577023812,1.1273108387991304,1.1363656973060523,1.15520684755794,1.1515064316287056,1.1677065004544638
4-2800926,,,,0,1.0278424261856456,1.0009719067103384,1.0058173121360567,1.00421313917773,1.003690701649037,1.0101670364326445,0.9968649962179914,1.000903541498852,1.0017599788776392,1.0019468601712804,1.0013426986139917,1.0007371379897785,1.0012939673921486,1.0014163747678824,1.0015635974675114,1.0011167378264336,1.0020299525756953,1.001405357606272,1.0007263314329604,1.001342187975788,1.000941840195347,1.0014745441529704,1.0014764650460386,1.0009536765599265,1.0014217668811596,1.0018832940990021,1.0049041846044404,1.0049851129795029,1.0527574171517355,1.12703975163828,1.1259038275721236,1.133392087086076,1.13166840385203,1.1293963330954602,1.1295024980329036,1.1266884686780934,1.1325054971300015,1.1310898447128868,1.140221041990801,1.1597723244414846,1.1559561375793168,1.1725185614274751
5-2800933,,,,,0,0.9597769576583942,0.9964421101675174,0.9971247762540345,0.9993990391284903,1.0067192455897531,0.9933153001305776,0.9978284212450785,0.9992921333172562,0.9996555500737178,0.9991259526331229,0.9989568306532753,0.9995109684942,1.0000035462648669,1.0002011755587745,0.999906914442867,1.0010039828953856,1.0004327089291019,0.9997838078909946,1.0003732688975635,1.0000930040914684,1.0006070000727558,1.0006789913230478,1.0004011109538749,1.0007812423706801,1.0012702349129448,1.0043731693560345,1.0045236541661506,1.0531513817051577,1.1290822400764884,1.127900104259046,1.13566361429947,1.133811088349101,1.1313273167919695,1.1314789228365352,1.1286304487447003,1.1345288249794327,1.1330649517174827,1.1423791864366624,1.1622449447941379,1.158176948972534,1.1750930578756815
6-2800939,,,,,,0,1.0105353344170547,1.0062103286268835,1.004727823133853,1.0125135983263598,0.9956838323353293,1.0005838956486732,1.0016271025505297,1.001849163028208,1.0011709852022446,1.000710518519193,1.0011523883480462,1.0014570535123073,1.0016160534601222,1.0010195503075388,1.0019924127200714,1.0013355153462418,1.0007132639681973,1.0012756635932587,1.0009403916004043,1.0014209006465375,1.00142730391149,1.0009529761205793,1.0014383164878444,1.0019158858685486,1.0049820457282277,1.0051207744930386,1.0544864041421251,1.1315304273896023,1.1302381084678446,1.1380281485573274,1.1361203919590288,1.1336249062635098,1.1337553948169532,1.1307603548803529,1.1368222279132203,1.1352547213106448,1.1446318921396894,1.1647509345454725,1.1606258932259497,1.177680591280976
7-2800842,,,,,,,0,0.9959577297221639,1.000986179843533,1.0134484583615482,0.991733833152774,0.9982738617070621,1.000008580721958,1.0003985185447135,0.9997068775789868,0.9994154486008009,1.0000225554324265,1.0005150613189961,1.0007224625989366,1.000241670632937,1.001424065735845,1.000671481094587,1.000051217657438,1.0006739594799974,1.0003560084458532,1.0008911398665656,1.0010168112648974,1.0005593289872197,1.0010811212526987,1.0015872577218046,1.0047775319947794,1.004867114443382,1.0560405391788954,1.1360545139072493,1.1346614706583202,1.1427136947654228,1.140673957373355,1.1380681664838326,1.1380906471156038,1.1349622764701028,1.1410985642547629,1.139430852247912,1.1490158327661741,1.1698181442222826,1.1654197098127028,1.1831364553981785
8-2800999,,,,,,,,0,1.0023184598993549,1.0200894517889296,0.9904530046477513,0.998199202616355,1.0001564441081099,1.0005747176639233,0.9998017063893394,0.9997026306146778,1.0003286000582958,1.0008078385517027,1.0010173581537303,1.000541423007551,1.001531268967597,1.0008458317599316,1.0001936845583914,1.0008305190651177,1.0005808626269068,1.0009540765426772,1.0010775097689368,1.0007405493406252,1.0010698021877054,1.0016512990182957,1.0049090038020614,1.0050575320294308,1.0573552199728304,1.1392916640840536,1.1377580600879706,1.1459689538654545,1.1439107175641876,1.1411171307133767,1.1411751612801255,1.1378477381342342,1.1440599916629375,1.142325417109573,1.1520265507932814,1.1733147476846224,1.1687331098670142,1.1867184733562153
9-2801036,,,,,,,,,0,1.0478870380840546,0.9852264469029324,0.9967453468862126,0.9996245615076226,1.0001924388428256,0.9992964555416736,0.999011362716256,0.9998007419347524,1.0004244073504855,1.0006738971503115,1.0002785950394781,1.0015953862247227,1.0007487030683802,1.000062479544156,1.0007430763360314,1.0003928788834382,1.0009702919710188,1.0010190368877936,1.0006016931034951,1.0010872165927112,1.0016250102396504,1.0050073930990955,1.0051589820596505,1.059444011761901,1.1445908461383147,1.1430066399524383,1.1514985752266773,1.1492120234213112,1.1462784758084106,1.1462109000395222,1.142718049465872,1.1490635536034648,1.1472103793726007,1.157114808816707,1.1790804603218248,1.1741794028360153,1.1927441509083978
10-2801058,,,,,,,,,,0,0.9638396833250866,0.9836520817373643,0.9916276022025343,0.9932747390823317,0.9929206226382579,0.993994415818554,0.995436633860319,0.9968809494174374,0.9973030261003485,0.9980885648512257,0.9995822638801116,0.9987688576037898,0.9982930123242516,0.998984193608276,0.99883208168149,0.9995197103417712,0.9997073174135753,0.999406476521746,0.999891620862998,1.0005471966758326,1.004045284601703,1.0042245745832283,1.0597030419421503,1.1467565972954912,1.1451090963285777,1.153855255045956,1.151483682659789,1.1484387205006095,1.1483451132685105,1.144728627905703,1.1511699841188239,1.1491851801571082,1.1593026058342484,1.1817179015686927,1.1766429172935067,1.195360333031981
