순번_정류장ID,1-2802476,2-2802537,3-2802364,4-2802546,5-2802562,6-2802571,7-2804851,8-2803664,9-2806670,10-2806089,11-2807553,12-2807546,13-2807542,14-2807517,15-2807277,16-2807554,17-2807558,18-2807561,19-2807500,20-2807499,21-2807509,22-2800107,23-2803386,24-2803399,25-2803395,26-2803392
1-2802476,0,1.484589,1.7089860000000001,2.0305009999999997,2.357652,2.647222,3.49986,4.734376,5.6421339999999995,5.948192,8.807048,10.946924000000001,14.962667000000001,17.730165,21.271106,23.245983,32.152048,35.714446,37.280729,39.829043,41.811862,43.639814,47.477502,46.634449,46.028344,45.03797
2-2802537,,0,0.22439699999999999,0.548912,0.8760629999999999,1.165633,2.218354,3.706371,4.614129,4.920186,7.324459,9.463335,13.479078,16.247576000000002,19.787517,21.764394,30.668459000000002,34.231857,35.798140000000004,38.345454,40.329273,42.157225,46.665409000000004,47.508462,47.043433,46.054059
3-2802364,,,0,0.324515,0.651667,0.9412370000000001,2.036874,3.6208910000000003,4.528649,4.834707,7.099061999999999,9.237938,13.253682000000001,16.02218,19.563121,21.539997,30.443062,34.006461,35.572744,38.120057,40.103876,41.932829,46.440013,47.283066,46.861953,45.870579
4-2802546,,,,0,0.327152,0.616722,1.712359,3.2963760000000004,4.204134,4.510191000000001,6.810547,8.948423,12.965166,15.733664000000001,19.273606,21.249482,30.153546999999996,33.717946000000005,35.284228999999996,37.831542,39.815360999999996,41.643313,46.150498,46.994551,46.715344,45.725970000000004
5-2802562,,,,,0,0.28957,1.385208,2.970224,3.876982,4.18204,6.483396,8.622272,12.639014999999999,15.406513,18.946454,20.923331,29.827396000000004,33.390794,34.957077000000005,37.504391,39.488209999999995,41.317161999999996,45.824346000000006,46.667398999999996,47.042495,46.053121000000004
6-2802571,,,,,,0,1.095638,2.680654,3.5884120000000004,3.89247,6.346175,8.486051,12.501794,15.270292000000001,18.810234,20.78611,29.691175,33.253574,34.819857,37.36717,39.351989,41.179941,45.687126,46.531178999999995,47.138284999999996,46.342692
7-2804851,,,,,,,0,1.587017,2.493775,2.799833,6.107188,8.247065,12.261808,15.030306,18.570247,20.547123000000003,29.451188000000002,33.014587,34.580870000000004,37.129183000000005,39.112002000000004,40.939955,45.448139000000005,46.291191999999995,46.898298,47.019329
8-2803664,,,,,,,,0,0.907759,1.213816,6.666828999999999,8.806705000000001,12.822448,15.589946,19.129887,21.106764000000002,30.010828999999998,33.574227,35.14051,37.688824,39.672643,41.500595000000004,46.00778,46.850832000000004,47.457939,48.603345000000004
9-2806670,,,,,,,,,0,0.307058,6.852414,8.992289999999999,13.007033,15.776531,19.315472,21.292348999999998,30.197414000000002,33.759812,35.326095,37.874409,39.857228000000006,41.685179999999995,46.193364,47.036417,47.643524,48.98393
10-2806089,,,,,,,,,,0,6.545356,8.684232000000002,12.700975,15.468473000000001,19.008415,20.985291,29.889356,33.452754999999996,35.020038,37.567351,39.55117,41.380122,45.887307,46.73036,47.337466,48.677873
11-2807553,,,,,,,,,,,0,2.142877,6.15862,8.927118,12.467058999999999,14.443935,23.348000000000003,26.911399,28.477682,31.024995,33.008814,34.836767,39.344951,40.188004,40.79511,42.135517
12-2807546,,,,,,,,,,,,0,4.015744000000001,6.784242,10.324183,12.301060000000001,21.205125,24.768523000000002,26.334806,28.88212,30.865939,32.693891,37.202075,38.045128000000005,38.652234,39.992641
13-2807542,,,,,,,,,,,,,0,2.768498,6.30844,8.285316,17.189381,20.752779999999998,22.319063,24.866376000000002,26.850195000000003,28.679146999999997,33.186332,34.029385,34.636491,35.976898
14-2807517,,,,,,,,,,,,,,0,3.5499419999999997,5.526819000000001,14.430883999999999,17.994282000000002,19.560565,22.107879,24.091697,25.91965,30.427834000000004,31.270887,31.877993,33.2184
15-2807277,,,,,,,,,,,,,,,0,2.059877,10.963942,14.527339999999999,16.093623,18.640937,20.624756,22.453708,26.960891999999998,27.803945000000002,28.411052,29.751458000000003
16-2807554,,,,,,,,,,,,,,,,0,8.919065,12.482464,14.048747,16.59606,18.579879000000002,20.408832,24.916016,25.759069,26.366175,27.706582
17-2807558,,,,,,,,,,,,,,,,,0,3.563399,5.129682,7.676996000000001,9.660815,11.488767,15.996951000000001,16.840004,17.447110000000002,18.787517
18-2807561,,,,,,,,,,,,,,,,,,0,1.781284,4.328597,6.312416000000001,8.141368,12.648553,13.491605999999999,14.098711999999999,15.439119
19-2807500,,,,,,,,,,,,,,,,,,,0,2.5663150000000003,4.550134,6.379086,10.88627,11.729322999999999,12.33643,13.676835999999998
20-2807499,,,,,,,,,,,,,,,,,,,,0,1.9848189999999999,3.8127720000000003,8.320955999999999,9.164009,9.771115,11.111522
21-2807509,,,,,,,,,,,,,,,,,,,,,0,1.827952,6.7217649999999995,7.564817999999999,8.171924,9.512331
22-2800107,,,,,,,,,,,,,,,,,,,,,,0,5.003185,5.846238,6.453344,7.793750999999999
23-2803386,,,,,,,,,,,,,,,,,,,,,,,0,0.843053,1.450159,2.790566
24-2803399,,,,,,,,,,,,,,,,,,,,,,,,0,0.607107,1.947513
25-2803395,,,,,,,,,,,,,,,,,,,,,,,,,0,1.340408
26-2803392,,,,,,,,,,,,,,,,,,,,,,,,,,0
