순번_정류장ID,55-2806423,56-2806421,57-2805953,58-2805650,59-2806076,60-2806907,61-2805881,62-2805657,63-2805658,64-2802147,65-2801852,66-2801854,67-2801895,68-2802108,69-2801822,70-2802019,71-2802005,72-2801932,73-2801908,74-2801715,75-2801690,76-2803662,77-2800166,78-2801632,79-2801643,80-2801646,81-2801664,82-2801678,83-2801183,84-2801685,85-2805307,86-2801700,87-2801706,88-2801713,89-2801720,90-2801737,91-2801748,92-2801751,93-2801746,94-2801725,95-2801708,96-2801694,97-2801196,98-2801657,99-2801618,100-2801596,101-2801188,102-2801469,103-2801430,104-2801376,105-2801345,106-2801331,107-2801344,108-2801357,109-2805405
55-2806423,0,0.340908,0.6163569999999999,1.332938,1.090825,1.357693,1.656723,1.895125,2.141289,2.476075,2.4711540000000003,2.6974080000000002,2.655391,2.903206,3.232821,3.662299,3.729961,4.876653,5.8725830000000006,6.7687029999999995,7.2484720000000005,7.824126,8.287732,8.086407000000001,8.682364,8.776727000000001,9.140392,9.395599,9.566203,9.612333,9.88365,10.009028,10.227714,10.208592,9.998223,9.64681,9.210325,9.245074,9.583005,10.104449,10.353672,10.599961,10.989096,11.373208,11.58302,11.786671,12.160596,12.595009,12.96907,13.494589999999999,13.734557999999998,13.985170000000002,14.332859,14.624217999999999,15.026156
56-2806421,,0,0.275449,0.99203,0.748917,1.015785,1.315815,1.554217,1.8003810000000002,2.135167,2.130246,2.3565,2.580299,2.828114,3.1577290000000002,3.8597940000000004,4.072869,5.219561,6.215491,7.111611,7.59138,8.167034,8.63064,8.429314999999999,9.025272,9.119635,9.4833,9.738508,9.909111,9.849241000000001,10.122558,10.246936,10.467623,10.4475,10.235130999999999,9.885717999999999,9.449233,9.483982000000001,9.821913,10.344358,10.59158,10.83887,11.227003999999999,11.610116,11.821928999999999,12.025578999999999,12.397504,12.833917,13.207979000000002,13.733498,13.974466,14.224078,14.570767000000002,14.863126000000001,15.264064999999999
57-2805953,,,0,0.716581,0.47346800000000006,0.740336,1.040366,1.2787680000000001,1.524932,1.859718,1.854797,2.081051,2.30485,2.552665,2.8822799999999997,3.584345,3.79742,4.9441120000000005,5.940042,6.836162,7.315931,7.891585000000001,8.355191,8.153866,8.749823,8.844186,9.207851,9.463059,9.633662,9.574792,9.847109,9.972487,10.191174,10.172051,9.961682000000001,9.610269,9.173784,9.208533000000001,9.546464,10.068909,10.317131,10.563421,10.952555,11.336667,11.54648,11.749130000000001,12.124055,12.557468,12.93253,13.458048999999999,13.699017000000001,13.948629,14.296318,14.587677,14.988616
58-2805650,,,,0,0.528887,0.795755,1.095785,1.315187,1.561351,1.896137,1.891216,2.10047,2.341269,2.589084,2.918699,3.620764,3.8338389999999998,4.980531,5.9764610000000005,6.872580999999999,7.35235,7.928004,8.39161,8.190285000000001,8.786242,8.880605000000001,9.24427,9.499478,9.670081,9.505211,9.776527999999999,9.900905999999999,10.121592999999999,10.101469999999999,9.891100999999999,9.539688,9.103203,9.137952,9.475883,9.998328,10.24655,10.492839,10.881974000000001,11.266086,11.475897999999999,11.679549,12.053474000000001,12.487886999999999,12.861949000000001,13.387468,13.628435999999999,13.879048000000001,14.225736999999999,14.517095999999999,14.920035
59-2806076,,,,,0,0.266868,0.5668979999999999,0.8293,1.075464,1.41025,1.405329,1.631583,1.8553819999999999,2.103197,2.4328119999999998,3.134877,3.347952,4.494644,5.490574,6.386694,6.866463,7.442117,7.905722999999999,7.704397999999999,8.300355,8.394718,8.758383,9.013591,9.184194,9.229324,9.501641000000001,9.626019,9.845706,9.826583,9.616214,9.264801,8.828316000000001,8.863064999999999,9.200996,9.722441,9.970663,10.217953,10.607087,10.990199,11.201012,11.404662,11.777586999999999,12.212,12.586062,13.111581,13.352549,13.603160999999998,13.94985,14.243209,14.645148
60-2806907,,,,,,0,0.30003,0.5624319999999999,0.808597,1.143383,1.138462,1.364716,1.588515,1.83633,2.1659450000000002,2.868009,3.081085,4.227776,5.223707,6.119827,6.599595,7.175249000000001,7.638856,7.437531,8.033488,8.12785,8.491516,8.746723,8.917327,8.962457,9.234772999999999,9.360152000000001,9.579838,9.559716,9.349347,8.997933999999999,8.561448,8.596197,8.934128,9.456572999999999,9.704796,9.951085,10.34022,10.724331,10.933144,11.137794,11.51172,11.946133,12.320194,12.845714,13.086682000000001,13.336294,13.684982000000002,13.976342,14.378279999999998
61-2805881,,,,,,,0,0.262402,0.508567,0.843353,0.838432,1.064686,1.288485,1.5363,1.8659150000000002,2.56798,2.781055,3.927747,4.923677,5.819797,6.299566,6.87522,7.338825999999999,7.137500999999999,7.733458000000001,7.827821000000001,8.191486,8.446693,8.617297,8.662427000000001,8.934744,9.059122,9.278808,9.259686,9.049317,8.697904,8.261419,8.296168,8.634099,9.156543,9.404766,9.651055,10.040189999999999,10.424302,10.633113999999999,10.836765,11.211689999999999,11.646103,12.019164,12.545684,12.785652,13.035264,13.384953,13.675312,14.07725
62-2805657,,,,,,,,0,0.246164,0.582951,0.57803,0.804284,1.028082,1.2758969999999998,1.605512,2.307577,2.520653,3.6673440000000004,4.663275,5.559394,6.039162999999999,6.6148169999999995,7.078424000000001,6.877097999999999,7.473056,7.567417999999999,7.931083999999999,8.186291,8.356895,8.402024,8.673341,8.79872,9.018406,8.999284,8.788914,8.437502,8.001016,8.035765,8.373696,8.896141,9.144363,9.390653,9.778788,10.163899,10.373712,10.577361999999999,10.950288,11.3857,11.759762,12.285281,12.526249,12.775862,13.12455,13.414909,13.816848
63-2805658,,,,,,,,,0,0.33678600000000003,0.331865,0.5581189999999999,0.781918,1.029733,1.359348,2.061413,2.2744880000000003,3.42118,4.41711,5.31323,5.792999,6.368653,6.832259,6.630934,7.226891,7.321254,7.684919,7.940127,8.11073,8.15686,8.428177,8.553555000000001,8.773242,8.753119,8.54275,8.191338,7.7548520000000005,7.789600999999999,8.127532,8.649977,8.898199,9.144489,9.533623,9.917735,10.127547999999999,10.331197999999999,10.705123,11.139536,11.513598,12.038117,12.279085,12.529697,12.878386,13.169745,13.571684
64-2802147,,,,,,,,,,0,0.42808,0.6543329999999999,0.449132,0.696947,1.026562,1.7286270000000001,1.941702,3.088394,4.084324,4.980444,5.4602129999999995,6.035867,6.499473,6.298148,6.894105000000001,6.988467999999999,7.352133,7.607341,7.777944000000001,7.824074,8.094391,8.219769,8.439456,8.420333,8.209964,7.858552,7.422066,7.456815,7.794746000000001,8.317191000000001,8.565413000000001,8.811703,9.199836999999999,9.583949,9.794762,9.997411999999999,10.372337,10.80675,11.180812,11.706331,11.947299000000001,12.195911,12.5436,12.836959,13.238898
65-2801852,,,,,,,,,,,0,0.22825399999999998,0.610053,0.766868,1.096483,1.7985470000000001,2.011623,3.158315,4.1542449999999995,5.050365,5.530133,6.1057879999999995,6.569394,6.368069,6.964026,7.058388000000001,7.422053999999999,7.677261,7.847865,7.892995,8.165311,8.29069,8.509376,8.490254,8.279885,7.928472,7.491986,7.526736,7.864667,8.387111,8.635334,8.880623,9.270758,9.654869999999999,9.863682,10.067332,10.442258,10.876671,11.250732000000001,11.775252,12.01722,12.267832,12.615521000000001,12.90488,13.306818
66-2801854,,,,,,,,,,,,0,0.381799,0.538614,0.8682290000000001,1.570294,1.7833689999999998,2.9300610000000002,3.9259910000000002,4.8221110000000005,5.301880000000001,5.877534,6.34114,6.1398150000000005,6.735772,6.830135,7.1938,7.449007000000001,7.619611,7.665741000000001,7.937058,8.062436,8.282122,8.262,8.051631,7.700218,7.263733,7.298482000000001,7.636413,8.158858,8.40708,8.653369,9.042504,9.426616000000001,9.636428,9.840079,10.214004,10.648417,11.022478,11.546998,11.788966,12.038578,12.386267,12.678626,13.079564
67-2801895,,,,,,,,,,,,,0,0.248815,0.57843,1.2804950000000002,1.49357,2.640262,3.636192,4.532312,5.012080999999999,5.5877349999999995,6.051341000000001,5.850016,6.445973,6.540336,6.904000999999999,7.159209,7.3298119999999995,7.375942,7.647259,7.772637,7.992324000000001,7.972200999999999,7.761832000000001,7.410419999999999,6.973934,7.008683,7.346614,7.869059,8.117281,8.363571,8.751705000000001,9.136817,9.346630000000001,9.55028,9.924205,10.358618,10.73268,11.258199000000001,11.499167,11.749779,12.097468,12.387827,12.790766
68-2802108,,,,,,,,,,,,,,0,0.329615,1.03168,1.2447549999999998,2.3914470000000003,3.387377,4.2834970000000006,4.763266000000001,5.33892,5.802526,5.6012010000000005,6.197158,6.2915209999999995,6.6551860000000005,6.910394,7.080997,7.127127000000001,7.3984440000000005,7.523822,7.742509,7.723386,7.513017,7.161605000000001,6.725119,6.759867999999999,7.097799,7.6202440000000005,7.868466000000001,8.113756,8.50389,8.888002,9.097814999999999,9.301464999999999,9.67539,10.109803,10.482864999999999,11.009383999999999,11.250352000000001,11.500964,11.846653,12.140011999999999,12.541951
