순번_정류장ID,1-2807209,2-2807287,3-2803338,4-2803336,5-2803326,6-2803324,7-2803329,8-2803204,9-2803316,10-2803319,11-2803305,12-2802994,13-2803011,14-2803018,15-2803022,16-2803021,17-2802976,18-2802957,19-2802933,20-2802911,21-2802891,22-2802879,23-2802621,24-2802809,25-2802773,26-2802745,27-2802737,28-2805441,29-2802629,30-2802719,31-2802709,32-2802678,33-2802656,34-2803050,35-2800814,36-2800793,37-2800785,38-2800766,39-2800748,40-2800721,41-2800703,42-2800699,43-2800693,44-2800683,45-2800675,46-2800662,47-2800650,48-2800641,49-2800632,50-2800334,51-2800617,52-2806242,53-2806244,54-2801157,55-2801153,56-2801147,57-2801135,58-2801131,59-2801122,60-2801119,61-2801111,62-2800833,63-2801087,64-2801055,65-2801043,66-2801024,67-2801003,68-2806687,69-2800966
1-2807209,0,0.32009099999999996,0.9831540000000001,1.168541,1.294254,1.1459139999999999,1.145712,1.450589,1.855618,2.800734,3.3284809999999996,3.795893,4.259079,4.472388,4.626847,4.810985,4.8521160000000005,4.8451699999999995,4.994584,5.165830000000001,5.30371,5.096676,4.916944,5.64459,6.097148000000001,6.486405,6.733471000000001,6.96855,7.369305000000001,7.62021,7.912333,8.589928,8.988012,9.303871000000001,9.622218,10.314743,10.508647,10.9778,11.228715,11.639329,11.886042999999999,11.579778999999998,11.696728,12.071872,12.374044,12.698586,12.942913,13.085106,13.356535000000001,13.637383999999999,13.994110999999998,14.518763,14.829601,15.626119000000001,15.922295000000002,16.158725,16.633485999999998,16.848669,17.289746,17.487821,17.696053,18.202787,18.37236,19.052729,19.410296,19.795721,20.162474,20.517992,20.680546
2-2807287,,0,0.663063,0.848449,0.9741629999999999,0.825823,0.8256209999999999,1.130498,1.535527,2.480643,3.0083900000000003,3.475802,3.9399879999999996,4.153297,4.3077559999999995,4.491894,4.533025,4.526079,4.674493,4.845739,4.983619,4.776585,4.596853,5.324498999999999,5.777057,6.166314,6.41338,6.648459,7.049213000000001,7.3001190000000005,7.5922410000000005,8.269836999999999,8.667921,8.98378,9.302127,9.994652,10.188556,10.657708999999999,10.908624,11.319238,11.565952000000001,11.260688,11.376636999999999,11.753781,12.054953,12.379495,12.622822,12.766015,13.037444,13.318292000000001,13.675020000000002,14.196672,14.50951,15.308028,15.599204,15.836632999999999,16.313395,16.528578,16.968655,17.167729,17.376962,17.884695999999998,18.051269,18.730638,19.090204999999997,19.47563,19.842382999999998,20.198901,20.360454999999998
3-2803338,,,0,0.185386,0.508683,0.6580229999999999,0.967775,1.2726520000000001,1.645464,2.59058,3.118327,3.585739,4.048925,4.262233999999999,4.416693,4.6008309999999994,4.642962000000001,4.636016000000001,4.78443,4.955676,5.094556,4.887522,4.70779,5.434436,5.8869940000000005,6.277251000000001,6.524317,6.758396,7.15915,7.410056,7.703178,8.379774000000001,8.777858,9.093717,9.412063999999999,10.105589,10.299493,10.768646,11.019561,11.430175,11.675889,11.371625,11.485574,11.861718,12.166889999999999,12.489432,12.734759,12.874952,13.146381,13.427229,13.784957,14.306609,14.620447,15.417964999999999,15.713141,15.95057,16.423332000000002,16.638514999999998,17.079592,17.278666,17.485899,17.995632999999998,18.161206,18.841575,19.200142,19.586567000000002,19.95232,20.308838,20.470392
4-2803336,,,,0,0.323297,0.47363599999999995,0.8641719999999999,1.169049,1.461078,2.4061939999999997,2.933941,3.4013519999999997,3.8645379999999996,4.077847,4.232307,4.4164449999999995,4.457576,4.450629,4.6000440000000005,4.7712900000000005,4.90917,4.703136,4.522403,5.250049,5.702608000000001,6.091865,6.338931,6.574008999999999,6.975764,7.2266699999999995,7.517792,8.196388,8.593472,8.909331,9.227678,9.920203,10.115105999999999,10.58426,10.835175,11.244788,11.492503,11.186239,11.301186999999999,11.676332,11.980504,12.302046,12.547373,12.689566000000001,12.961994,13.243843,13.599571,14.122222,14.435061,15.231578,15.526755,15.764184,16.239946,16.455129,16.894206,17.09228,17.301512,17.810247,17.97682,18.657188,19.015756,19.401181,19.767933,20.125452,20.286005
5-2803326,,,,,0,0.15034,0.540876,0.8457530000000001,1.137782,2.082898,2.6106439999999997,3.078056,3.541242,3.754551,3.910011,4.094149,4.13428,4.127333,4.276748,4.447993,4.585874,4.37884,4.199107,4.926753,5.3793120000000005,5.768569,6.015635,6.251713,6.6514679999999995,6.902374000000001,7.195496,7.872091,8.271175999999999,8.586034,8.904380999999999,9.597907000000001,9.79081,10.260964,10.510878,10.921492,11.169205999999999,10.862943,10.977891,11.353036,11.659208,11.97975,12.228077,12.37027,12.640698,12.922547,13.277273999999998,13.800926,14.112765,14.909282000000001,15.206458,15.442888,15.914648999999999,16.130832,16.57291,16.769984,16.979216,17.488951,17.654523,18.333892000000002,18.69246,19.077884,19.444637,19.801154999999998,19.963708999999998
6-2803324,,,,,,0,0.392536,0.6974130000000001,1.102442,2.047558,2.575304,3.042716,3.505902,3.719211,3.873671,4.057809,4.09894,4.091993,4.241408,4.412653,4.550534,4.3435,4.163767,4.891413,5.343972,5.733229,5.981294999999999,6.2153730000000005,6.616128,6.867033999999999,7.159155999999999,7.836751,8.235836,8.551694,8.869042,9.561567,9.75647,10.224624,10.475538,10.886152000000001,11.132866,10.828603,10.943551,11.318696000000001,11.622867999999999,11.947410000000001,12.189737,12.33193,12.603358,12.887207,13.238935000000001,13.763585999999998,14.076425,14.871942,15.170119,15.407548,15.880309,16.095492,16.53557,16.734644,16.942876000000002,17.451611,17.619183,18.301551999999997,18.657120000000003,19.043544,19.409297,19.764815,19.927369
7-2803329,,,,,,,0,0.305877,0.710906,1.656022,2.183769,2.6511810000000002,3.1143669999999997,3.3276760000000003,3.482135,3.6662730000000003,3.707404,3.7004580000000002,3.849872,4.021118,4.159998000000001,3.952964,3.773232,4.500878,4.953436,5.342693,5.589759,5.824838,6.225592,6.476498,6.768619999999999,7.446216000000001,7.8443,8.160159,8.478506,9.171031,9.364935000000001,9.834088000000001,10.085003,10.495617,10.742331,10.435067,10.553016,10.92816,11.231332,11.552874000000001,11.800201,11.942394,12.212823,12.493671,12.850399000000001,13.371051000000001,13.683889,14.483407000000001,14.778583,15.014012,15.489773999999999,15.703957,16.145034,16.343107999999997,16.553341,17.063075,17.228648,17.907017,18.266583999999998,18.652009,19.018762,19.37528,19.536834
8-2803204,,,,,,,,0,0.406029,1.351145,1.8788919999999998,2.346304,2.8094900000000003,3.022799,3.177258,3.361396,3.4025269999999996,3.395581,3.5449949999999997,3.716241,3.854121,3.6470870000000004,3.4673550000000004,4.195001,4.647558999999999,5.036816,5.283882,5.518961,5.919715,6.170621,6.462743,7.140339,7.538423,7.854282,8.172628999999999,8.865153999999999,9.059058,9.528211,9.779126,10.189739999999999,10.436454,10.130189999999999,10.247139,10.621283,10.926455,11.248997,11.494324,11.636517,11.906946000000001,12.187794,12.543522,13.067174000000001,13.380011999999999,14.17653,14.471706,14.709135,15.183897,15.398079999999998,15.840157000000001,16.038231,16.247464,16.755198,16.922771,17.60414,17.960707,18.346132,18.712885,19.068403,19.230957
9-2803316,,,,,,,,,0,0.945117,1.4728629999999998,1.940275,2.403461,2.6167700000000003,2.77123,2.955368,2.996499,2.989552,3.138966,3.3102120000000004,3.448093,3.241059,3.0613259999999998,3.7889720000000002,4.242531,4.630788,4.8788540000000005,5.112932,5.513687,5.764593,6.0567150000000005,6.735310000000001,7.132395,7.448253,7.7666,8.459125,8.654029,9.122182,9.373097,9.783711,10.030425,9.726161,9.84111,10.216255,10.521427000000001,10.842969,11.088296000000001,11.230488000000001,11.500917,11.781766000000001,12.139493,12.661145,12.973984,13.770501000000001,14.066676999999999,14.302107000000001,14.778868,14.992051000000002,15.434129,15.631203,15.841435,16.350170000000002,16.515742000000003,17.197111,17.554678,17.940103,18.306856,18.662374,18.824928
10-2803319,,,,,,,,,,0,0.5277470000000001,0.995159,1.4593450000000001,1.672654,1.827114,2.0112509999999997,2.052382,2.045436,2.19385,2.365096,2.5039759999999998,2.296942,2.11721,2.843856,3.297414,3.686672,3.933738,4.1688160000000005,4.569571,4.819477,5.1125989999999994,5.7901940000000005,6.187278,6.504137,6.822483999999999,7.514009,7.708913000000001,8.178066000000001,8.427980999999999,8.839595,9.086309,8.780045,8.895994,9.273138000000001,9.574311,9.896852,10.14518,10.287372,10.555800999999999,10.83765,11.195377,11.717029,12.028868,12.826385,13.119561,13.357991,13.833751999999999,14.048935,14.489011999999999,14.687087,14.896319,15.404054,15.571626,16.251995,16.609562,16.994987,17.36174,17.718258,17.879812
