순번_정류장ID,70-2800995,71-2801013,72-2801023,73-2801040,74-2801052,75-2801103,76-2801113,77-2801116,78-2801121,79-2801130,80-2801134,81-2801144,82-2801152,83-2801156,84-2806243,85-2800368,86-2800320,87-2800642,88-2800664,89-2800333,90-2800681,91-2800689,92-2800701,93-2800704,94-2800726,95-2800751,96-2800765,97-2800782,98-2800797,99-2800813,100-2803049,101-2807107,102-2802658,103-2802680,104-2802707,105-2802715,106-2802729,107-2805440,108-2802736,109-2802753,110-2805791,111-2802789,112-2802810,113-2802859,114-2802877,115-2802883,116-2802900,117-2802928,118-2802622,119-2802979,120-2803014,121-2803023,122-2803016,123-2803009,124-2803000,125-2803300,126-2803308,127-2803318,128-2803315,129-2803321,130-2803327,131-2803325,132-2803332,133-2803339,134-2807286
70-2800995,0,0.26234,0.370494,0.739923,1.361084,2.308792,2.5513689999999998,2.7288080000000003,3.09842,3.5232300000000003,3.78933,4.252371,4.546567,4.929595,5.717512,6.892388,7.3497710000000005,7.347536,7.743048,8.029181,8.33267,8.688531,8.976925999999999,8.651767999999999,8.645805000000001,9.063939999999999,9.248306,9.710037,9.990079,10.617471,10.970593,11.273984,11.422491,11.758474,12.304982,12.528378,13.036066,13.225297,13.566203,13.840901,14.078172,14.398263,14.619728,15.22439,15.433029999999999,15.708926000000002,15.975995999999999,16.215787,16.491781,16.704304999999998,17.133549,17.049402,16.831169,16.667787,16.511981,16.615003,16.978804999999998,17.498967999999998,18.257998,18.811004,19.107649,19.380113,19.79853,20.013852,19.954117999999998
71-2801013,,0,0.108154,0.477583,1.098744,2.046452,2.289029,2.465468,2.835079,3.25989,3.52599,3.9900309999999997,4.284227,4.667255,5.455172,6.631048,7.087431,7.086196000000001,7.481708,7.767841000000001,8.07133,8.427191,8.714586,8.389428,8.383465,8.8016,8.985966000000001,9.447697,9.727739,10.355131,10.708253,11.011644,11.160150999999999,11.496134,12.042641999999999,12.266038,12.773726,12.962957000000001,13.303863,13.578560999999999,13.815832,14.135923000000002,14.357388,14.96205,15.170689999999999,15.446585999999998,15.713656,15.953447,16.229441,16.441965,16.871209,16.787062,16.568829,16.405447,16.249641,16.352663,16.716465,17.237628,17.994657999999998,18.547664,18.844309,19.118773,19.53519,19.751511999999998,19.690777999999998
72-2801023,,,0,0.369429,0.99059,1.9382979999999999,2.180875,2.3573150000000003,2.7279259999999996,3.152736,3.417836,3.881877,4.176073000000001,4.559101,5.347018,6.521895,6.979277000000001,6.9780429999999996,7.372553999999999,7.658688000000001,7.963177000000001,8.318037,8.606432,8.281275,8.275312,8.693446,8.877811999999999,9.339542999999999,9.619585,10.246977000000001,10.600099,10.90349,11.051998,11.38798,11.934488,12.157884,12.665572000000001,12.854803,13.19571,13.470407000000002,13.707678,14.027769000000001,14.249234,14.853895999999999,15.062535999999998,15.338432000000001,15.605502,15.845293,16.121287,16.333811999999998,16.763056,16.678908,16.460675,16.296293,16.141486999999998,16.244509,16.608311999999998,17.128475,17.887504,18.440510999999997,18.736155,19.01062,19.427035999999998,19.644358999999998,19.583624
73-2801040,,,,0,0.621161,1.568869,1.811446,1.9888860000000002,2.3584970000000003,2.7833069999999998,3.049407,3.5124480000000005,3.8066440000000004,4.189672,4.977589,6.153465,6.6098479999999995,6.608613,7.004125,7.2892589999999995,7.592747,7.948608,8.237003,7.911846000000001,7.905883,8.324017,8.508383,8.970114,9.250156,9.877547999999999,10.23067,10.534061,10.682568,11.018550999999999,11.565059,11.788455,12.296142999999999,12.485374,12.826281,13.100978,13.338249,13.658339999999999,13.879805,14.484467,14.693107000000001,14.969003,15.236073000000001,15.475864000000001,15.751857999999999,15.964382999999998,16.393627,16.310479,16.091245999999998,15.927864000000001,15.772058,15.875079999999999,16.237883,16.759045,17.517075,18.071082,18.367726,18.640191,19.058607000000002,19.274929999999998,19.214195
74-2801052,,,,,0,0.951708,1.264285,1.441725,1.797336,2.222146,2.4882459999999997,2.8952869999999997,3.189483,3.572511,4.360429,5.535305,5.991687000000001,5.990453,6.3859639999999995,6.672097999999999,6.975586999999999,7.331447,7.645602,7.481685000000001,7.475722,7.8938559999999995,8.078222,8.539953,8.819995,9.447386999999999,9.800509,10.1039,10.252408,10.588389999999999,11.134898,11.358294,11.865982,12.055213,12.39612,12.670817,12.907088,13.228179999999998,13.449644000000001,14.054306,14.262946,14.538842,14.805912,15.045703,15.321697,15.534222,15.963466,15.879319,15.660085,15.497703,15.341897,15.444920000000002,15.790722,16.313885,17.067914000000002,17.621921,17.918566000000002,18.19303,18.610446,18.826769,18.767034
75-2801103,,,,,,0,0.312577,0.490017,0.8596280000000001,1.284438,1.550539,2.028579,2.322775,2.7648029999999997,3.552721,4.727597,5.183979,5.182745,5.578256,5.86439,6.167879,6.523739,6.837894,6.5589770000000005,6.553014,6.9711479999999995,7.155514,7.617245,7.8972869999999995,8.52468,8.877801,9.181192,9.3297,9.665682,10.21219,10.435586,10.943274,11.132506,11.473412,11.74811,11.985380000000001,12.305472,12.526936,13.131599,13.340238000000001,13.616133999999999,13.883204000000001,14.122995000000001,14.398989000000002,14.611514000000001,15.040757999999999,14.957610999999998,14.737376999999999,14.574995000000001,14.419189000000001,14.522212,14.886014000000001,15.406177,16.165206,16.717213,17.013858,17.288322,17.704738,17.921060999999998,17.860326
76-2801113,,,,,,,0,0.17744000000000001,0.5470510000000001,0.9718610000000001,1.237961,1.716002,2.010198,2.452226,3.240144,4.41602,4.872402,4.871168,5.266679,5.5528129999999996,5.8563019999999995,6.212162,6.526317,6.2474,6.241437,6.659571000000001,6.8439369999999995,7.305667999999999,7.585710000000001,8.213102000000001,8.566224,8.869615,9.018123,9.354105,9.900613,10.124009,10.631697,10.820928,11.161835,11.436532000000001,11.673803,11.993895,12.215359,12.820021,13.028661,13.304557,13.571627,13.811418,14.087411999999999,14.299937,14.729181,14.645032999999998,14.4258,14.262417999999998,14.107612,14.210635,14.573437,15.0956,15.853629000000002,16.406636,16.702281,16.975745,17.393161,17.610484,17.549749
77-2801116,,,,,,,,0,0.369611,0.7944220000000001,1.060522,1.538563,1.832758,2.274787,3.062704,4.23758,4.693962,4.693728,5.089239,5.375373000000001,5.6788620000000005,6.0347230000000005,6.348877,6.06796,6.062997,6.4811309999999995,6.664497,7.127228,7.40727,8.033663,8.388784,8.692175,8.839683,9.175664999999999,9.722174,9.946569,10.453257,10.642489,10.983395,11.259093,11.495364,11.815455,12.03792,12.641582000000001,12.851221,13.127117000000002,13.393187,13.633979,13.907972000000001,14.122497000000001,14.550741,14.467594,14.24836,14.084979,13.929172,14.032195000000002,14.394997,14.916160000000001,15.675189999999999,16.227196,16.523841,16.798305,17.214722000000002,17.431044,17.37031
78-2801121,,,,,,,,,0,0.42581099999999994,0.6919109999999999,1.169952,1.464148,1.9061759999999999,2.694093,3.869969,4.326351,4.325117,4.720628,5.006762,5.310251,5.666112,5.980266,5.700349,5.694386,6.11252,6.296886,6.7596169999999995,7.0396589999999994,7.667052,8.019173,8.322564,8.471072,8.807053999999999,9.353563000000001,9.576958,10.085646,10.273878,10.615784,10.889482000000001,11.126752999999999,11.447844,11.669309,12.272971,12.482610000000001,12.758507,13.025576,13.265367999999999,13.540362,13.753885999999998,14.183129999999998,14.098982999999999,13.879748999999999,13.716368,13.560560999999998,13.663584,14.027385999999998,14.548549,15.306579000000001,15.860585,16.15523,16.430694,16.847110999999998,17.063433,17.002699
79-2801130,,,,,,,,,,0,0.2661,0.7451409999999999,1.0393370000000002,1.481365,2.269282,3.4441580000000003,3.9005410000000005,3.8993059999999997,4.294818,4.580951,4.884440000000001,5.2403010000000005,5.554455,5.275539,5.269575,5.68771,5.872076,6.333807,6.613849,7.2412410000000005,7.594363,7.897753999999999,8.046261,8.382244,8.928752000000001,9.152148,9.659836,9.849067,10.189973,10.464671000000001,10.701941999999999,11.022033,11.243497999999999,11.84816,12.0568,12.332696,12.599766,12.839557000000001,13.115551000000002,13.328075,13.757320000000002,13.674172,13.453939000000002,13.291557000000001,13.135751,13.238773000000002,13.601575,14.123738000000001,14.880768,15.434775,15.731419,16.003883,16.4213,16.637623,16.576888
