순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2800317,5-2804990,6-2805948,7-2805949,8-2800371,9-2803056,10-2802651,11-2805435,12-2803096,13-2803112,14-2803119,15-2806906,16-2802763,17-2802635,18-2802730,19-2802727,20-2802718,21-2802712,22-2802708,23-2802738,24-2802728,25-2802744,26-2802767,27-2802785,28-2802812,29-2802844,30-2802867,31-2805711,32-2802393,33-2802395,34-2802399,35-2802406,36-2802412,37-2802372,38-2802474,39-2802487,40-2802530,41-2802546,42-2802562,43-2802571,44-2802576,45-2802585,46-2802374,47-2802588
1-2805726,0,0.34725100000000003,0.657047,0.947607,0.695819,1.216492,1.498672,1.797,2.380913,2.69043,3.137729,3.449001,3.711811,3.878164,3.7815,4.430193,5.253103,5.746872,5.462008,5.5780769999999995,5.796587000000001,6.367094,6.736167,7.188181,7.3781490000000005,7.687803,8.035149,8.335736,8.580072999999999,8.801703999999999,9.336453,9.7935,10.235992,10.717656,11.353976,11.592179,12.045937,12.435792,12.660259,12.65783,12.763454,13.090605,13.378175,13.65324,13.52165,13.730443,13.993561999999999
2-2805739,,0,0.311797,0.603356,0.351568,0.8712409999999999,1.1544219999999998,1.45275,2.036663,2.3461790000000002,2.792479,3.10475,3.3675599999999997,3.5349129999999995,3.43825,4.085942,4.909853,5.402622,5.117757,5.234827,5.453336,6.023843,6.393917,6.84293,7.033899000000001,7.343552000000001,7.6898979999999995,7.992486,8.235822,8.457453,8.992202,9.45025,9.888741,10.373406,11.009725,11.248928,11.701687,12.092542,12.318008,12.316578999999999,12.419203,12.746354,13.035924000000001,13.309989000000002,13.180399,13.386192000000001,13.651310999999998
3-2800372,,,0,0.29156,0.209865,0.729539,1.0127190000000001,1.3110469999999999,1.8949599999999998,2.2044759999999997,2.650776,2.963047,3.225857,3.392211,3.295547,3.943239,4.76715,5.260919,4.975054,5.092124,5.310633999999999,5.881141,6.251214,6.701227,6.891196000000001,7.201849,7.550196000000001,7.849783,8.09412,8.31475,8.850499000000001,9.307547,9.747039,10.231703,10.867023,11.105226,11.558983999999999,11.949839,12.175305,12.172875999999999,12.2735,12.602652,12.891222,13.167287,13.036697,13.241489999999999,13.508609
4-2800317,,,,0,0.501425,1.021099,1.3042790000000002,1.602607,2.1865200000000002,2.496036,2.942336,3.254607,3.517417,3.68477,3.587107,4.235799,5.05871,5.5514790000000005,5.266614,5.383684,5.602193,6.172701,6.542774,6.992787,7.183756,7.493409,7.840756,8.142342999999999,8.38568,8.608310000000001,9.143059,9.599107,10.040599,10.523263,11.159582,11.397786,11.852544,12.242399,12.466864999999999,12.461436,12.567060000000001,12.895211999999999,13.182782000000001,13.456845999999999,13.328256,13.534049,13.800168
5-2804990,,,,,0,0.519674,0.802854,1.1011819999999999,1.685095,1.9946110000000001,2.4409110000000003,2.753182,3.0169919999999997,3.182345,3.086682,3.733374,4.557285,5.050054,4.765189,4.883259,5.100768,5.672276,6.042349,6.492362,6.682331,6.9919839999999995,7.340331,7.640917999999999,7.8842550000000005,8.105885,8.640634,9.098682,9.537174,10.021838,10.658157000000001,10.896361,11.350119,11.740974000000001,11.96444,11.961011,12.063635000000001,12.392787,12.683357,12.955421000000001,12.826831,13.030624000000001,13.296743
6-2805948,,,,,,0,0.28318000000000004,0.581509,1.165422,1.6570790000000002,2.1422380000000003,2.454509,2.717319,2.8953450000000003,3.212009,3.8597010000000003,4.682612000000001,4.899637,4.446516,4.563586,4.782095,5.3536019999999995,5.720676,5.972689,6.161658,6.473311,6.819657,7.120245,7.365581,7.587211999999999,8.121961,8.579009,9.0175,9.501164,10.138484,10.376686999999999,10.830446,11.220301,11.445767,11.643338,11.747962,12.075113,12.364683,12.639747999999999,12.506158000000001,12.715950999999999,12.98007
7-2805949,,,,,,,0,0.298329,0.882242,1.3748989999999999,1.970058,2.2823290000000003,2.545139,2.7231650000000003,3.043172,3.690864,4.514775,4.616457,4.163336,4.281406,4.498915,5.069422,5.439496,5.689508999999999,5.878478,6.189131,6.536477,6.839065,7.081401,7.303032000000001,7.836780999999999,8.294829,8.73532,9.217984,9.855303999999999,10.093507,10.548266,10.937121000000001,11.162587,11.360158,11.463782,11.789933,12.079503,12.355568,12.223978,12.430771,12.695889999999999
8-2800371,,,,,,,,0,0.583913,1.076571,1.671729,1.985,2.24781,2.425837,2.7815,3.429192,4.253103,4.318128,3.8660069999999997,3.9830769999999998,4.201587,4.772094,5.141167,5.39118,5.581149,5.890802,6.238149,6.540736,6.784072999999999,7.005703,7.539452000000001,7.9975,8.436992,8.920656,9.557976,9.796178999999999,10.248937,10.640792,10.865258,11.062828999999999,11.165453,11.492605000000001,11.782175,12.05724,11.92765,12.133443,12.398562
9-2803056,,,,,,,,,0,0.491658,1.086816,1.3990879999999999,1.6618979999999999,1.8399240000000001,2.1955869999999997,2.84328,3.66719,3.735215,3.2810949999999997,3.398164,3.6166739999999997,4.1861809999999995,4.556254,5.057907,5.267062,5.575715,5.924062,6.225649,6.467986,6.690616,7.225364999999999,7.683413000000001,8.123905,8.606569,9.242889,9.481092,9.93485,10.324705,10.550171,10.476917,10.580541,10.905692,11.197262,11.472327,11.341737,11.54753,11.812649
10-2802651,,,,,,,,,,0,0.595158,0.90743,1.17024,1.348266,1.703929,2.3516220000000003,3.175533,3.373557,2.919437,3.036506,3.255016,3.8255230000000005,4.194596,4.695249,5.039578,5.348232,5.695578,5.997165,6.241502,6.463133,6.996882,7.454928999999999,7.894421,8.378085,9.015405,9.252608,9.707366,10.097222,10.321688,10.115259,10.218883,10.546033999999999,10.834603999999999,11.110669,10.980079,11.185872,11.451991
