순번_정류장ID,48-2802586,49-2802584,50-2802577,51-2802572,52-2802561,53-2802550,54-2802363,55-2802488,56-2802472,57-2802448,58-2802421,59-2802407,60-2802398,61-2802396,62-2802394,63-2802892,64-2802866,65-2802841,66-2802821,67-2802787,68-2802771,69-2802758,70-2802724,71-2802732,72-2802739,73-2802733,74-2802706,75-2802710,76-2802716,77-2802726,78-2802725,79-2802735,80-2802761,81-2806905,82-2803118,83-2803111,84-2803105,85-2803087,86-2802652,87-2803060,88-2803059,89-2803057,90-2805950,91-2800369
48-2802586,0,0.215542,0.531118,0.8772469999999999,1.2100739999999999,1.398715,2.016418,2.4308680000000003,2.6994279999999997,3.0116669999999996,3.344071,3.7041239999999998,4.380082,4.833213,5.253357,5.83836,6.271136,6.522201,6.682992,7.023882,7.318089,7.562342999999999,7.968266000000001,7.594094999999999,7.3298820000000005,7.3443179999999995,7.760264,8.293832,8.556080999999999,8.629096,9.091459,9.533928999999999,9.422382,9.995726,10.233974,10.523396,10.704353999999999,11.002163000000001,11.168966000000001,11.570015,11.810080000000001,11.939882,12.258761,13.164382000000002
49-2802584,,0,0.315576,0.661705,0.994532,1.183173,1.800876,2.2153259999999997,2.483886,2.796125,3.128529,3.488583,4.164540000000001,4.617671,5.037815,5.622818,6.055594,6.306659,6.4674510000000005,6.808341,7.102547,7.346800999999999,7.754724,7.377553,7.1143410000000005,7.128775999999999,7.543722,8.078291,8.341539,8.413554,8.874917,9.318387,9.207841,9.779183999999999,10.018432,10.307853999999999,10.487812,10.787621000000001,10.954424000000001,11.353473,11.592538000000001,11.725341,12.04422,12.948841
50-2802577,,,0,0.346129,0.678955,0.867597,1.4853,1.89975,2.16831,2.4805490000000003,2.812953,3.173006,3.848964,4.302095,4.722239,5.307242,5.740018,5.991083000000001,6.151873999999999,6.492764,6.786971,7.031225,7.503381,7.625449000000001,7.3602360000000004,7.374671,7.790617,8.324186,8.587435000000001,8.661449000000001,9.122813,9.567283,9.454736,10.027078999999999,10.266328,10.555749,10.735708,11.034517,11.20032,11.601369,11.839433999999999,11.973236,12.291115,13.195735999999998
51-2802572,,,,0,0.332827,0.521468,1.1391719999999999,1.553621,1.822181,2.13442,2.4668240000000003,2.826878,3.5028349999999997,3.9559660000000005,4.376111,4.961113,5.393889,5.644954,5.805746,6.146636,6.440843,6.685097,7.157252000000001,7.280849000000001,7.015636,7.030071,7.448017,7.981586,8.242835000000001,8.314849,8.779213,9.221683,9.182136,9.753478999999999,9.991728,10.282149,10.462107000000001,10.761916000000001,10.85672,11.257769,11.495834,11.628636,11.947515,12.852136
52-2802561,,,,,0,0.191641,0.809345,1.223795,1.4923549999999999,1.8045939999999998,2.136997,2.497051,3.173009,3.6261400000000004,4.046284,4.631286,5.064063,5.3151269999999995,5.475919,5.816808999999999,6.111016,6.35527,6.827425999999999,6.952022,6.684809,6.7002440000000005,7.117191,7.650759,7.9130080000000005,7.985023,8.447386,8.891856,9.008308999999999,9.579652000000001,9.818901,10.108323,10.289280999999999,10.589089999999999,10.525893,10.928942,11.164007000000002,11.296809,11.617688000000001,12.522309
53-2802550,,,,,,0,0.618704,1.0331540000000001,1.301713,1.613952,1.9463560000000002,2.30641,2.982367,3.4354980000000004,3.855643,4.440645,4.873421,5.124486,5.285278,5.626168,5.920375,6.164629,6.636785000000001,6.761381,6.495168,6.508603,6.9265490000000005,7.459117999999999,7.722367,7.797381,8.258745,8.700215,8.818667999999999,9.389011,9.62926,9.918681,10.099639999999999,10.397449,10.335252,10.737300999999999,10.974366,11.107168,11.424047,12.331667999999999
54-2802363,,,,,,,0,0.41845,0.68701,0.9992489999999999,1.331653,1.691707,2.367664,2.820795,3.240939,3.825942,4.258718,4.5097830000000005,4.670575,5.011465,5.305671,5.549925,6.022081,6.399252,6.311536,6.324971,6.742916999999999,7.276486,7.538735000000001,7.612749000000001,8.075113,8.518583,8.634036,9.205378999999999,9.445628,9.735049,9.916008,10.214817,10.15362,10.551669,10.791734,10.922536000000001,11.240414999999999,12.146036
55-2802488,,,,,,,,0,0.26855999999999997,0.580799,0.9132030000000001,1.2732569999999999,1.949214,2.402345,2.822489,3.407492,3.840268,4.0913330000000006,4.252125,4.593015,4.887221,5.131475,5.603631,5.980802,6.245015,6.48845,6.9053960000000005,7.438965,7.701213,7.775228,8.235591000000001,8.680062,9.048486,9.619829,9.859078,10.148499000000001,10.329457000000001,10.391734,10.315097999999999,10.660147,10.897212,11.085015,11.404894,12.106515
56-2802472,,,,,,,,,0,0.312239,0.6446430000000001,1.004697,1.680654,2.133785,2.553929,3.138932,3.571708,3.822773,3.983565,4.324455,4.6186620000000005,4.862916,5.335071,5.712242,5.9764550000000005,6.21989,6.636836,7.170405000000001,7.432653999999999,7.5066679999999995,7.970031,8.411502,8.857955,9.551298,9.613547,9.902968,10.083926,10.123174,10.044539,10.391587,10.629653,10.817455,11.137334,11.837955000000001
57-2802448,,,,,,,,,,0,0.340404,0.700458,1.376415,1.829546,2.24969,2.834693,3.2674689999999997,3.518534,3.679326,4.0202160000000005,4.314423000000001,4.558676999999999,5.030832,5.408003,5.672216000000001,5.915651,6.332597,6.866166000000001,7.1284149999999995,7.201428999999999,7.665792,8.107263,8.552716,9.247059,9.309308,9.598728999999999,9.779687,9.817935,9.7413,10.087348,10.325413000000001,10.514216000000001,10.833095,11.534716
58-2802421,,,,,,,,,,,0,0.369054,1.0450110000000001,1.498143,1.9182869999999999,2.503289,2.936065,3.18713,3.347922,3.6888120000000004,3.983019,4.227273,4.699429,5.076599,5.340812000000001,5.584247,6.001193,6.534762000000001,6.797011,6.870025,7.333389,7.777858999999999,8.222311999999999,8.914655,8.976904,9.267325,9.448284,9.488532000000001,9.409896,9.755945,9.994010000000001,10.181811999999999,10.501691000000001,11.202312
