순번_정류장ID,83-2800505,84-2805797,85-2800504,86-2800510,87-2800512,88-2800521,89-2800524,90-2800548,91-2800553,92-2800566,93-2800580,94-2800587,95-2805740,96-2800596,97-2806215,98-2807267,99-2804912,100-2800626,101-2800637,102-2800647,103-2800666,104-2800678,105-2800688,106-2805582,107-2800715,108-2800727,109-2800723,110-2800745,111-2800759,112-2800776,113-2800796,114-2800813,115-2803049,116-2802654,117-2807098,118-2802671,119-2802630,120-2803042,121-2803043,122-2805595,123-2803123,124-2803131,125-2803137,126-2805441,127-2802629,128-2802719,129-2802709,130-2802718,131-2802712,132-2802708,133-2802731,134-2802755,135-2802776,136-2802813,137-2802854,138-2802865,139-2802876,140-2802880,141-2802890,142-2802893,143-2802896,144-2805500,145-2802634,146-2802843,147-2802804,148-2802810,149-2802859,150-2803287,151-2803294,152-2803308,153-2807102,154-2806071,155-2805983,156-2807033,157-2806177,158-2807454,159-2807455,160-2807484,161-2806157,162-2806176
83-2800505,0,1.109998,0.9795940000000001,0.713928,0.675312,1.122606,1.3875549999999999,2.246317,2.3723959999999997,2.773138,3.309022,3.6384160000000003,4.610386,4.678866,5.344412999999999,5.924217,6.124553,6.322048000000001,6.625356,6.874810000000001,7.192386999999999,7.625614,8.078236,8.281023,8.456727,8.47967,8.327387,8.690085,8.883094999999999,9.270952000000001,9.662524000000001,10.475552,10.828674000000001,11.116176,11.845386,12.086724,11.8971,11.792386,12.134886999999999,12.478886,12.674013,12.784632,12.876514,13.114391,12.732628,12.481722,12.184599,12.917463,13.136973000000001,13.706479999999999,13.982343,13.912973000000001,14.320443,14.787386999999999,15.170517000000002,15.147388000000001,14.732163,14.7102,14.946909,15.271792999999999,15.619420000000002,15.539495,15.049363,14.704099,14.080685999999998,13.929808999999999,14.538471,15.250375,15.494777,15.939885999999998,16.608567,17.155841,17.70577,17.976804,18.691815,21.504725,21.833461,21.277893,19.038214,18.083377
84-2805797,,0,0.210181,0.47584799999999994,0.8243149999999999,1.271608,1.536557,2.39532,2.521398,2.922141,3.458024,3.787418,4.759389,4.827868,5.492416,6.0742199999999995,6.273556,6.471051,6.773358999999999,7.0238119999999995,7.3413889999999995,7.774616,8.227238999999999,8.429025,8.60473,8.627672,8.474389,8.838088,9.031098,9.419955,9.812526,10.624555,10.976676,11.266179,11.995389,12.237726,12.045102,11.940389,12.283889,12.625889,12.824015,12.931635,13.024516,13.265393,12.88163,12.630724,12.333602,13.068466,13.284976,13.857482999999998,14.133345000000002,14.059976,14.470445999999999,14.936389000000002,15.321520000000001,15.294391000000001,14.881166,14.857202,15.096910999999999,15.421795999999999,15.767422,15.688497,15.195364999999999,14.852101999999999,14.230689000000002,14.079811999999999,14.684474,15.397378,15.645779000000001,16.090889,16.760569,17.301844,17.856773,18.125807000000002,18.839818,21.654728,21.982464,21.427896,19.185217,18.235379000000002
85-2800504,,,0,0.265667,0.614133,1.0614270000000001,1.326376,2.185139,2.3112169999999996,2.71196,3.247843,3.5772370000000002,4.549208,4.617687,5.2832349999999995,5.864039,6.064375,6.261869,6.564177000000001,6.812631,7.132208,7.5644350000000005,8.017058,8.217844,8.395549,8.417491,8.265208,8.628907,8.821917,9.209773,9.602345,10.414374,10.767495,11.055997999999999,11.785208,12.025545,11.833921,11.731208,12.073708,12.415708,12.614834,12.724454,12.816335,13.055212,12.672449,12.421543,12.123421,12.856285,13.075794,13.646301999999999,13.922164000000002,13.851795000000001,14.261264,14.728207999999999,15.110339000000002,15.086209,14.671985000000001,14.648021,14.88773,15.211614,15.557241000000001,15.476316,14.989184,14.642920000000002,14.021507000000001,13.870631,14.475292999999999,15.191196,15.437598000000001,15.878708,16.549388,17.092662,17.648592,17.919625,18.628636,21.446545999999998,21.774282,21.216715,18.977035,18.024198000000002
86-2800510,,,,0,0.348467,0.7957609999999999,1.0607090000000001,1.919472,2.0455509999999997,2.446293,2.982177,3.3115699999999997,4.284541,4.35302,5.017568,5.598372,5.798708,5.995203,6.297511,6.5479650000000005,6.866542,7.299769,7.752391,7.953177,8.128882,8.151824000000001,8.000541,8.36224,8.55725,8.944107,9.336678,10.148707,10.500829,10.790331,11.518541,11.760879,11.570253999999998,11.466541000000001,11.810042,12.150041,12.351168,12.457787,12.547668,12.790545,12.406783,12.155876,11.857754,12.591617999999999,12.810128,13.381635000000001,13.655498000000001,13.586128,13.993598,14.460541000000001,14.846672,14.820542999999999,14.406317999999999,14.383354999999998,14.620063,14.945948000000001,15.290575,15.21065,14.720517000000001,14.377254,13.753841,13.605964000000002,14.209626,14.92353,15.168931,15.614041,16.283721,16.826995999999998,17.381925,17.652959,18.36497,21.17788,21.507616,20.951048,18.711369,17.759532
87-2800512,,,,,0,0.44729399999999997,0.7122430000000001,1.571006,1.697084,2.097827,2.6337099999999998,2.971104,3.9350739999999997,4.003554,4.668101999999999,5.248905000000001,5.449241000000001,5.646736,5.949044000000001,6.198498000000001,6.517075,6.949302,7.4029240000000005,7.604711,7.780416000000001,7.802358,7.650075,8.012774,8.206783,8.59464,8.988211999999999,9.79924,10.152362,10.440864,11.171074,11.411412,11.221788,11.118075,11.460575,11.802575,12.002701,12.10632,12.199202,12.442079,12.057316,11.806410000000001,11.508287,12.242152,12.460661,13.031168,13.307031,13.236660999999998,13.645131,14.112075,14.497206,14.470076,14.056851000000002,14.032888,14.271597,14.596480999999999,14.942108,14.862182999999998,14.372051,14.028787,13.405373999999998,13.255497,13.862159,14.574063,14.822465,15.264575,15.934254999999999,16.479529,17.031457999999997,17.301492,18.016503,20.830413,21.160149,20.602581,18.359901999999998,17.410065
88-2800521,,,,,,0,0.264949,1.123712,1.24979,1.6505330000000002,2.186416,2.5238099999999997,3.488781,3.55626,4.220808,4.802612,5.0019480000000005,5.199443,5.5017510000000005,5.752204,6.069781,6.503008,6.9556309999999995,7.158417,7.333122,7.356064,7.203780999999999,7.56648,7.760489999999999,8.148347,8.539918,9.352947,9.705067999999999,9.994571,10.723780999999999,10.965117999999999,10.773494,10.671781,11.011281,11.354281,11.554407000000001,11.660027000000001,11.750908,11.994785,11.610022,11.359116,11.061994,11.795858,12.014367,12.584875,12.859736999999999,12.789368,13.197838,13.664781,14.048912,14.023782999999998,13.611557999999999,13.587594000000001,13.825303,14.150188,14.495814000000001,14.413889000000001,13.925757,13.580494,12.957081,12.811204,13.413866,14.127770000000002,14.375171,14.819281,15.488960999999998,16.033236,16.583165,16.856199,17.56821,20.381120000000003,20.712854999999998,20.154288,17.912609,16.963770999999998
89-2800524,,,,,,,0,0.8587629999999999,0.984841,1.385584,1.9214669999999998,2.257861,3.223832,3.292311,3.955859,4.536663,4.736999,4.935494,5.236802,5.486255,5.805832,6.238059,6.690682000000001,6.892467999999999,7.069172999999999,7.091114999999999,6.9388320000000006,7.300530999999999,7.496541000000001,7.884398,8.274969,9.086998,9.441119,9.729622,10.458832000000001,10.701169,10.508545,10.405832,10.748332000000001,11.090332,11.288458,11.397078,11.486958999999999,11.728836,11.345073,11.094167,10.796045,11.531908999999999,11.749417999999999,12.319925999999999,12.593788,12.523419,12.932889,13.399832,13.782963,13.757833999999999,13.346608999999999,13.321645000000002,13.561354000000001,13.885239000000002,14.231864999999999,14.15094,13.659807999999998,13.318545,12.695132000000001,12.545255000000001,13.148917,13.861820999999999,14.109222,14.552332,15.225012,15.766287,16.319216,16.59125,17.302260999999998,20.117171,20.447907,19.891339000000002,17.64866,16.699822
90-2800548,,,,,,,,0,0.126079,0.526821,1.062705,1.3990989999999999,2.365069,2.4325490000000003,3.098096,3.6789,3.879236,4.076731,4.379039,4.628493,4.94707,5.3802970000000006,5.831919,6.034705000000001,6.20941,6.232352,6.081069,6.443768,6.637778,7.025635,7.417206,8.229235000000001,8.582357,8.870859,9.601069,9.842407000000001,9.650783,9.548069,9.88857,10.232569,10.431696,10.538314999999999,10.630196,10.871072999999999,10.487311,10.236403999999999,9.938282000000001,10.672146000000001,10.890656,11.462163,11.738026,11.666656,12.075126,12.543069000000001,12.9272,12.901071,12.486846,12.462883,12.702591,13.026475999999999,13.372103,13.291178,12.803045,12.459782,11.836369,11.687492,12.292154,13.003058,13.250459,13.693569,14.367249,14.907523999999999,15.461453,15.731487,16.445498,19.260407999999998,19.588144,19.034576,16.789897,15.83906
91-2800553,,,,,,,,,0,0.40074299999999996,0.9366260000000001,1.2740200000000002,2.238991,2.30747,2.972018,3.552822,3.753158,3.950652,4.25296,4.502414,4.820991,5.253218,5.706841000000001,5.907627,6.084332,6.107273999999999,5.952991,6.31669,6.5107,6.897556,7.291128,8.103157000000001,8.456278,8.743781,9.473991,9.715328,9.522704,9.419991,9.761491,10.103491,10.303617,10.410237,10.503117999999999,10.745994999999999,10.360232,10.110325999999999,9.812204,10.547068,10.764577000000001,11.334085,11.611947,11.541578,11.950047,12.416991000000001,12.800122,12.774992,12.361768,12.337804,12.576513,12.901397,13.247024,13.166098999999999,12.674967,12.332703,11.70829,11.560414,12.165076,12.874979,13.124381,13.568491,14.239170999999999,14.781445000000001,15.334375,15.605407999999999,16.319419,19.132329000000002,19.463065,18.905498,16.665817999999998,15.713981
92-2800566,,,,,,,,,,0,0.535884,0.8732770000000001,1.837248,1.905727,2.571275,3.151079,3.352415,3.5499099999999997,3.852218,4.101671,4.4192480000000005,4.853476000000001,5.304098000000001,5.505884,5.681589,5.704530999999999,5.554248,5.914947,6.108957,6.498814,6.8913850000000005,7.701414,8.054535000000001,8.344038000000001,9.073248,9.314586,9.120961,9.018248,9.364747999999999,9.705748,9.904874000000001,10.008494,10.102375,10.343252,9.959489,9.709583,9.410461,10.145325,10.363835,10.934342,11.210204,11.139835,11.547305,12.016248,12.401378999999999,12.37225,11.960025,11.935061,12.17477,12.498655,12.845281,12.765356,12.273224,11.929961,11.306548,11.160671,11.764333,12.474236999999999,12.725638,13.168748,13.839428,14.379703,14.933632000000001,15.205666,15.916676999999998,18.734587,19.059323000000003,18.504755,16.263076,15.313239000000001
