순번_정류장ID,95-2806160,96-2807302,97-2806166,98-2807180,99-2807421,100-2806420,101-2806159,102-2805410,103-2805992,104-2805536,105-2805577,106-2805412,107-2805315,108-2804947,109-2805317,110-2805874,111-2805024,112-2806658,113-2805856,114-2806604,115-2806174,116-2806730,117-2807462,118-2806214,119-2800614,120-2800620,121-2800625,122-2800644,123-2800658,124-2800670,125-2800345,126-2803643,127-2803791,128-2801474,129-2801464,130-2801178,131-2801179,132-2801439,133-2801492,134-2801524,135-2801602,136-2806837,137-2801647,138-2801634,139-2803646,140-2801949,141-2801960,142-2801984,143-2802009,144-2802046,145-2802029,146-2802013,147-2802003,148-2802033,149-2802057,150-2802085,151-2802096,152-2802111,153-2802134,154-2802166,155-2806621,156-2806503,157-2806507,158-2802175,159-2801848,160-2802825,161-2802870,162-2802906,163-2802937,164-2802951,165-2802613,166-2802987,167-2802627,168-2802626,169-2803006,170-2803002,171-2804818,172-2802956,173-2802984,174-2803032,175-2803031,176-2803025,177-2803023,178-2803016,179-2803009,180-2803000,181-2803300,182-2803308,183-2807102,184-2806071,185-2805983,186-2807033
95-2806160,0,0.434461,1.1398760000000001,1.520197,2.2767180000000002,2.848978,3.226782,3.4811949999999996,3.9510389999999997,4.150530000000001,4.336773,4.195704,4.470013,4.79934,4.957885,5.224014,5.1779660000000005,4.961424,5.8534559999999995,6.180461,6.4671449999999995,6.936532000000001,7.1415880000000005,7.755975,8.158539,8.285733,8.597935000000001,9.11392,9.081899,9.343323,9.739904,10.314204,12.241423,12.235660000000001,12.482675,12.653646,13.23882,13.273831,13.790445000000002,14.092629999999998,14.56104,14.803706,15.175439,15.27414,15.822873999999999,17.291874,17.079639,17.034748,17.240998,17.629904,18.010988,18.474082,18.403351999999998,18.939346,19.076707,19.320494,19.330316,18.823388,18.425174,18.914782000000002,19.112727,18.900266000000002,18.515489000000002,18.167763,17.884404,17.709178,18.026574,18.076103,17.807682999999997,17.458697,17.061937,17.081948,17.154761999999998,16.870749,16.479404000000002,16.181338,15.880662,15.599954,15.257904000000002,16.238585,15.976196,15.805549,15.705001000000001,15.485767000000001,15.322385999999998,15.166579,14.868205999999999,14.922404,15.593084,16.137359,16.688288,16.959322
96-2807302,,0,0.7054159999999999,1.085736,1.842257,2.414517,2.792322,3.046735,3.516579,3.716069,3.902313,3.761243,4.035553,4.36488,4.5234239999999994,4.789554,4.743506,4.526962999999999,5.418996,5.746001000000001,6.032685,6.4980720000000005,6.707128,7.322514999999999,7.723078999999999,7.851273,8.163475,8.67946,8.647439,8.905863,9.304444,9.880744,11.806963,11.8022,12.048214999999999,12.219186,12.803360000000001,12.839369999999999,13.354985000000001,13.658169000000001,14.12558,14.370246,14.740978,14.83968,15.389414000000002,16.856413,16.645179000000002,16.598288,16.803537,17.194444,17.577528,18.037622,17.970891,18.506885999999998,18.642246,18.883032999999998,18.895856,18.388928,17.988714,18.480321,18.678267,18.463805999999998,18.081029,17.733303,17.449944,17.274717000000003,17.593114,17.642643,17.374223,17.024237,16.627477,16.647488,16.721301,16.435288,16.043944,15.746877,15.445201999999998,15.166493,14.824444,15.804125,15.543735999999999,15.370088,15.269541,15.049307,14.885925,14.733119,14.433746,14.488944,15.159623999999999,15.701898000000002,16.253826999999998,16.525861
97-2806166,,,0,0.380321,1.136842,1.7171020000000001,2.094907,2.34932,2.819164,3.018654,3.2851589999999997,3.435772,3.710082,4.028464,4.187009,4.460138,4.418035,4.201492,5.093525,5.42053,5.707214,6.165655999999999,6.370712,6.985099000000001,7.397608,7.526802,7.839003,8.343044,8.310023,8.573447,8.968028,9.543328,11.470547999999999,11.475729,11.722744,11.893715,12.477889,12.513899,13.029513,13.332698,13.800108999999999,14.043773999999999,14.415507,14.514209,15.063943,16.483998,16.268763,16.224872,16.432122,16.819028,17.204112,17.665206,17.594476,18.13247,18.266831,18.508618,18.522441,18.012512,17.617298,18.104906,18.301851,18.089389999999998,17.704613000000002,17.354888,17.075528,16.899302,17.216699,17.266227,16.996807,16.647821,16.252060999999998,16.272072,16.344886,16.061873000000002,15.669528,15.371462,15.070785999999998,14.791078,14.448028,15.427709,15.16932,14.995673000000002,14.894125,14.674892000000002,14.511510000000001,14.357704,14.05933,14.112528,14.782207999999999,15.326482999999998,15.879412,16.151446
98-2807180,,,,0,0.756521,1.336781,1.7145860000000002,1.9689990000000002,2.438843,2.6383330000000003,2.904839,3.532507,3.8068169999999997,3.6471440000000004,3.805688,4.078818,4.283646,4.298227,5.1932599999999995,5.520265,5.494467,5.786336,5.990392,6.605778999999999,7.095343,7.222536999999999,7.5357389999999995,7.962724000000001,7.930703,8.193127,8.588708,9.164008,11.089227000000001,11.202463999999999,11.449479,11.62045,12.203624000000001,12.498634,13.014249000000001,13.317433,13.786844,14.030510000000001,14.401242000000002,14.499944000000001,15.049678,16.102677,15.889443,15.842552,16.048801,16.439708,16.820792,17.281886,17.214154999999998,17.74915,17.88551,18.131297,18.14112,17.630192,17.232978,17.724585,17.923531,17.70907,17.323293,16.976567000000003,16.695207999999997,16.519981,16.836378,16.885907,16.616487,16.268501,15.871741,15.890751999999999,15.964564999999999,15.680551999999999,15.289207999999999,14.991141,14.690466,14.410757,14.067707999999998,15.048389000000002,14.787,14.615352,14.513805,14.294571,14.131189000000001,13.976382999999998,13.67801,13.731207999999999,14.402888,14.945162,15.499091,15.770125
99-2807421,,,,,0,0.58026,0.9580649999999999,1.2124780000000002,1.682322,1.8818130000000002,2.148318,2.775986,3.050296,2.890623,3.049168,3.3222970000000003,3.527125,3.5417059999999996,4.436739,4.763744,4.737946,5.029815,5.233871,5.850258,6.338822,6.467016,6.780218,7.207203,7.175182,7.436605999999999,7.832186999999999,8.407487,10.334706,10.446943,10.693958,10.863928999999999,11.449103,11.744114,12.259727999999999,12.562911999999999,13.029323,13.274989000000001,13.646721,13.743423000000002,14.293157,15.345156,15.133922,15.086031,15.292281,15.684187,16.063271,16.528365,16.457635,16.993629000000002,17.13099,17.372776,17.384598999999998,16.875671,16.478457000000002,16.968064000000002,17.16401,16.952548999999998,16.566772,16.219046,15.937687,15.762460999999998,16.079857,16.129386,15.860966000000001,15.51198,15.116220000000002,15.136231,15.207044,14.924031,14.532687,14.233620000000002,13.932945000000002,13.654236,13.311187,14.289867999999998,14.029479,13.858831,13.757284,13.53705,13.374669,13.219862,12.921489,12.974687,13.646367000000001,14.189641,14.741570999999999,15.012604000000001
100-2806420,,,,,,0,0.377805,0.6322180000000001,1.102062,1.301552,1.568058,2.1957259999999996,2.470036,2.311363,2.469907,2.7430369999999997,2.947865,2.961446,3.856479,4.183484,4.158686,4.448555000000001,4.654611,5.268997,5.758562,5.886756,6.197958,6.6259429999999995,6.593921000000001,6.856346,7.251927,7.827227000000001,9.753446,9.864683,10.112698,10.283669,10.867842999999999,11.162853,11.678467999999999,11.982652,12.449063,12.692728,13.065461,13.164163,13.710897000000001,14.764895999999998,14.552662,14.507771,14.71202,15.104926999999998,15.487010999999999,15.946105,15.878373999999999,16.412369,16.549729,16.793516,16.806339,16.293411,15.900197,16.388804,16.58575,16.372288,15.987511999999999,15.639785999999999,15.358426999999999,15.1832,15.500597,15.550126,15.281706,14.932720000000002,14.53496,14.554970999999998,14.628784,14.344771,13.952426999999998,13.65536,13.353685,13.073976,12.730927000000001,13.710607000000001,13.451219,13.280570999999998,13.176023,12.958789999999999,12.793408,12.640602000000001,12.341229,12.394427,13.067107,13.608381,14.163310000000001,14.432344
101-2806159,,,,,,,0,0.254413,0.7242569999999999,0.9237479999999999,1.190253,1.817922,2.092231,1.9325580000000002,2.091103,2.364232,2.56906,2.583641,3.478674,3.805679,3.780881,4.07175,4.276806,4.891193,5.381757,5.509951,5.822153,6.248138,6.216117,6.477541,6.875122,7.4504220000000005,9.376641000000001,9.487878,9.735892999999999,9.905864,10.490038,10.785049,11.300663,11.604847999999999,12.072258,12.315924,12.685657,12.785358,13.335092000000001,14.388091000000001,14.176857,14.128966,14.335216,14.726122,15.108206,15.5693,15.49957,16.035564,16.172925,16.414711999999998,16.426534,15.917606,15.521392,16.011,16.207945000000002,15.993484,15.609707,15.260981,14.979622,14.805396,15.122792,15.171320999999999,14.902901000000002,14.552914999999999,14.156154999999998,14.177166,14.250979999999998,13.966966000000001,13.574622,13.277555,12.97688,12.697172,12.352122,13.333803,13.073414,12.901767,12.799219,12.580985,12.417603999999999,12.261797,11.962424,12.017622,12.689302,13.230576000000001,13.785506,14.054539000000002
102-2805410,,,,,,,,0,0.469844,0.669335,0.93584,1.563509,1.837818,1.678145,1.8366900000000002,2.109819,2.314647,2.329228,3.2242610000000003,3.5512660000000005,3.525468,3.8163370000000003,4.022393,4.63678,5.125344,5.253538,5.56674,5.993725,5.961704,6.225128,6.620709,7.196008999999999,9.122228,9.232465,9.48048,9.651451,10.235625,10.529636,11.04525,11.350435000000001,11.816844999999999,12.061511,12.433244,12.531945,13.079678999999999,14.135678,13.920444,13.873553,14.080803,14.470709,14.851792999999999,15.314886999999999,15.245157,15.783151,15.918512,16.162298999999997,16.172121,15.663193,15.265979000000002,15.758587,15.954532,15.739071,15.356294,15.006568,14.725209,14.551982999999998,14.867379000000001,14.915907999999998,14.647488000000001,14.298502,13.902742000000002,13.923753,13.995567000000001,13.711554000000001,13.321209,13.022142,12.721467,12.441759,12.098709,13.07939,12.819001,12.647354,12.543806,12.326572,12.163191000000001,12.007384,11.709011,11.762209,12.433889,12.977163000000001,13.529093,13.800126
103-2805992,,,,,,,,,0,0.199491,0.465996,1.0936649999999999,1.367974,1.209301,1.367846,1.640975,1.8458029999999999,1.8593849999999998,2.7544169999999997,3.081423,3.0566240000000002,3.347493,3.552549,4.166936,4.6575,4.785694,5.0978959999999995,5.524881,5.49286,5.755284,6.1508650000000005,6.726164999999999,8.651384,8.763621,9.012636,9.182607,9.766781,10.061792,10.577406,10.879591,11.348001,11.591667,11.9634,12.061100999999999,12.609835,13.663835,13.4516,13.404709,13.610959,14.002865,14.382948999999998,14.845042999999999,14.776313,15.312307,15.448668,15.690454999999998,15.702278,15.193349,14.796135000000001,15.286743,15.482688000000001,15.270226999999998,14.88545,14.538723999999998,14.255365,14.082139000000002,14.397535000000001,14.448064000000002,14.179644,13.830657999999998,13.433898000000001,13.453909,13.525723000000001,13.241710000000001,12.851365,12.551299,12.252623,11.971915,11.628865,12.610546000000001,12.348157,12.17751,12.074962,11.855728,11.692347,11.53854,11.240167,11.293365,11.964045,12.50732,13.061249,13.332282999999999
104-2805536,,,,,,,,,,0,0.267506,0.895174,1.169484,1.351062,1.509607,1.782736,1.8774369999999998,1.6608939999999999,2.555927,2.882932,3.169616,3.4892540000000003,3.6943099999999998,4.308697,4.798261,4.926455000000001,5.238657,5.665642,5.633621,5.896045,6.291626,6.866925999999999,8.793144999999999,8.904382,9.152397,9.323367999999999,9.907542,10.202553,10.718167,11.021352,11.488762,11.732428,12.104161,12.202862,12.751596000000001,13.803595000000001,13.594361,13.54447,13.750720000000001,14.144626,14.52271,14.984804,14.918073999999999,15.451068,15.588429000000001,15.832216,15.842038,15.333110000000001,14.938896,15.429504000000001,15.624448999999998,15.410988,15.026210999999998,14.678485,14.398126000000001,14.2219,14.539295999999998,14.586825,14.320405,13.971419000000001,13.574659,13.59467,13.667484,13.38347,12.992125999999999,12.694059,12.393384,12.112675999999999,11.770626,12.749307,12.489918,12.317271,12.215722999999999,11.997489,11.834108,11.678301,11.379928,11.434126,12.104806,12.64808,13.20101,13.472043
