순번_정류장ID,40-2802708,41-2802731,42-2802755,43-2802776,44-2802813,45-2802853,46-2802903,47-2802942,48-2802439,49-2802449,50-2802370,51-2802459,52-2802473,53-2802495,54-2802517,55-2802506,56-2802514,57-2802522,58-2802375,59-2802504,60-2806677,61-2806675,62-2802558,63-2802569,64-2802560,65-2802555,66-2802556,67-2802553,68-2802543,69-2802537,70-2802364,71-2802544,72-2802548,73-2802365,74-2802570,75-2802571,76-2802576,77-2802578,78-2802585,79-2802374
40-2802708,0,0.36495,0.6244930000000001,1.0329629999999999,1.4999069999999999,1.7437599999999998,2.223974,2.526541,4.392411,4.673393,4.872005000000001,5.224943,5.743558999999999,6.005240000000001,6.195397,6.35076,6.465798,6.6705369999999995,6.945188000000001,6.765689999999999,7.280083,7.173863000000001,7.561066,6.890924000000001,6.214537,6.146227,6.454808,6.6857880000000005,6.3610489999999995,6.267448,6.491845,6.803853999999999,7.0139309999999995,7.638644,7.522906,7.4300809999999995,7.705146000000001,7.703714,7.575556,7.780349
41-2802731,,0,0.25954299999999997,0.668013,1.1359569999999999,1.37881,1.8600240000000001,2.162591,4.027461,4.3084430000000005,4.507055,4.859993,5.378609,5.64029,5.830447,5.98581,6.101848,6.306587,6.5802380000000005,6.39974,6.915133,6.808913,7.197116,6.526974,5.850587,5.781276999999999,6.090858,6.320838,5.9961,5.903498,6.127895,6.439904,6.6499809999999995,7.2756940000000005,7.158957000000001,7.065131,7.340196000000001,7.338764,7.210605999999999,7.416399
42-2802755,,,0,0.41047,0.8784129999999999,1.121267,1.602481,1.9050479999999999,3.769918,4.0509,4.249512,4.60245,5.121066000000001,5.382747,5.572904,5.7282660000000005,5.844305,6.049044,6.425132,6.314197,6.82959,6.5513699999999995,6.939572999999999,6.269431,5.593044,5.524734,5.833315,6.0642949999999995,5.738556,5.645955000000001,5.870351,6.182361,6.392437999999999,7.01815,6.901413000000001,6.808588,7.083653,7.081221,6.953063,7.158856
43-2802776,,,,0,0.46794399999999997,0.7107979999999999,1.192012,1.494578,3.3594480000000004,3.6404300000000003,3.8390419999999996,4.191981,4.710596,4.972277,5.162433999999999,5.3177970000000006,5.433836,5.638574,6.014663,5.903727,6.4191199999999995,6.1409,6.529103,5.858961,5.182575,5.114264,5.422845,5.652825,5.328087,5.235486,5.459882,5.771891,5.981968,6.606681,6.489944,6.397119,6.673183,6.670752,6.541593,6.748386
44-2802813,,,,,0,0.242854,0.724068,1.026635,2.891505,3.172487,3.3710989999999996,3.724037,4.242653,4.504334,4.694491,4.8498529999999995,4.965892,5.170631,5.546719,5.434784,5.950177,5.672957,6.06116,5.391018,4.7136309999999995,4.64532,4.953901,5.184882,4.859143,4.766541999999999,4.990938,5.3029470000000005,5.513025,6.138737,6.022,5.929175,6.20424,6.202808,6.07365,6.279443
45-2802853,,,,,,0,0.48621400000000004,0.7887810000000001,2.653651,2.9346330000000003,3.133245,3.486183,4.004799,4.2664800000000005,4.456637000000001,4.611999,4.728038,4.932777,5.308865,5.19693,5.713323,5.435103,5.823306,5.152164,4.476776999999999,4.407467,4.717048,4.9470279999999995,4.622289,4.528688,4.753083999999999,5.0660940000000005,5.275171,5.900883,5.784146,5.691321,5.966386,5.964954,5.835796,6.0425889999999995
46-2802903,,,,,,,0,0.30256700000000003,2.167437,2.448419,2.647031,2.9999689999999997,3.518585,3.7802660000000006,3.9704230000000003,4.125786,4.241823999999999,4.446562999999999,4.8226510000000005,4.711716,5.226108999999999,4.948889,5.337092,4.66595,3.9895629999999995,3.921253,4.229833999999999,4.459814,4.135076000000001,4.0424739999999995,4.266871,4.578880000000001,4.788957,5.41467,5.2979330000000004,5.205107,5.4801720000000005,5.47774,5.349582,5.555375
47-2802942,,,,,,,,0,1.8658700000000001,2.146852,2.3454639999999998,2.698403,3.217018,3.4787,3.668856,3.8242190000000003,3.940258,4.144996,4.521085,4.410149,4.924542,4.647322,5.035525,4.364383,3.687997,3.619686,3.928267,4.159247,3.833509,3.740908,3.965304,4.2773129999999995,4.48739,5.113103,4.996366,4.903541000000001,5.178605,5.176174,5.048015,5.253808
48-2802439,,,,,,,,,0,0.282982,0.48159399999999997,0.834533,1.353148,1.61483,1.804986,1.9603490000000001,2.076388,2.281127,2.6572150000000003,2.5452790000000003,3.0606720000000003,2.7834529999999997,3.171655,2.500513,1.824127,1.755816,2.064397,2.294377,1.969639,1.8770380000000002,2.101434,2.413443,2.6235209999999998,3.2492330000000003,3.1324959999999997,3.039671,3.3147349999999998,3.312304,3.184145,3.389938
49-2802449,,,,,,,,,,0,0.211612,0.564551,1.083166,1.344848,1.535004,1.6903669999999997,1.8064060000000002,2.011145,2.387233,2.275297,2.79169,2.513471,2.901673,2.659504,1.9831169999999998,1.914807,2.223388,2.453368,2.12863,2.036028,2.260425,2.572434,2.782511,3.4082239999999997,3.291487,3.198661,3.473726,3.4712940000000003,3.343136,3.5489290000000002
