순번_정류장ID,1-2803524,2-2803525,3-2803769,4-2804876,5-2803770,6-2805655,7-2802347,8-2802346,9-2802602,10-2802599,11-2802592,12-2802589,13-2802362,14-2802595,15-2802598,16-2802587,17-2802580,18-2802578,19-2803629,20-2802575,21-2802567,22-2802557,23-2802554,24-2802559,25-2802568,26-2802551,27-2802538,28-2802375,29-2802507,30-2802502,31-2802492,32-2802510,33-2802518,34-2802493,35-2802471,36-2805716,37-2802464,38-2802451,39-2802426,40-2803019,41-2802965,42-2802959,43-2802964,44-2802971,45-2802954,46-2802913,47-2805151,48-2802862,49-2802829,50-2802814,51-2802801,52-2802783,53-2802757,54-2802738,55-2802728,56-2802721,57-2802123,58-2802116,59-2802112,60-2802094,61-2802067,62-2802056,63-2802050,64-2802046,65-2802029,66-2802013,67-2801989,68-2801958,69-2801948,70-2801942,71-2801921,72-2801927,73-2801924,74-2801916,75-2801925,76-2801908,77-2801715,78-2801690,79-2803662,80-2800164
1-2803524,0,0.290392,0.905025,1.463219,1.8300299999999998,1.498736,1.6961529999999998,2.187923,2.6666529999999997,2.922804,3.051792,3.0857669999999997,3.233175,3.2876529999999997,3.534153,5.272888,5.762153,6.037344999999999,5.881498000000001,6.03367,6.359672,5.9364300000000005,5.619497,5.6742919999999994,5.392494999999999,6.02652,6.758083,7.061371,7.246888,7.472134,7.814919000000001,7.5380720000000005,7.422033,7.637159,7.954727,8.164174000000001,8.181697999999999,8.517437,8.257861,9.250653,9.696607,10.184882,10.273653,10.201161,10.204449,10.299266000000001,10.463653,10.775241000000001,11.01856,10.657974000000001,10.350289,10.329653,10.798487,11.17482,11.675472000000001,12.002558,12.254924,12.425614,12.593316999999999,13.115335,13.227827,13.526806,13.86201,13.984653,14.365737,14.827831,15.263344,15.501605,15.827507,15.999652,16.316212,16.659197,16.793814,17.12272,16.660132,17.402144,18.298263000000002,18.777032000000002,19.156619,19.44108
2-2803525,,0,0.614633,1.171827,1.5396379999999998,1.208344,1.405761,1.8985310000000002,2.374261,2.632412,2.7594,2.795375,2.9437830000000003,2.995261,3.243761,4.980496,5.473761,5.745953,5.590106,5.743278,6.068280000000001,5.646038,5.3291059999999995,5.3839,5.102103,5.736128,6.467691,6.769978999999999,6.9564960000000005,7.181742,7.5235270000000005,7.24768,7.131641,7.346767,7.6643360000000005,7.873782,7.891306,8.227045,7.968469,8.960261000000001,9.405215,9.89449,9.982261,9.910769,9.914057000000001,10.007874000000001,10.174261,10.485849,10.728168,10.367582,10.059897,10.039261,10.508094999999999,10.884428,11.38508,11.713166000000001,11.963532,12.135222,12.304925,12.825942999999999,12.936435000000001,13.235414000000002,13.572617999999999,13.694261,14.074345000000001,14.537439000000001,14.973951999999999,15.211213,15.538115,15.71026,16.024820000000002,16.367805,16.503422,16.834328,16.36874,17.111752,18.007870999999998,18.486639999999998,18.866227,19.150688
3-2803769,,,0,0.557195,1.050251,1.382455,1.5808719999999998,2.0726430000000002,2.549373,2.600779,2.729767,2.968487,3.116895,3.170372,3.4168730000000003,5.1546080000000005,5.6448730000000005,5.920065,5.765218,5.91539,5.794109,5.337405,5.020473,5.075267,4.793471,5.427496,6.159058,6.461347,6.647864,6.872109,7.214894,6.939047,6.823008,7.0381339999999994,7.355703,7.565149000000001,7.582673,7.918411999999999,7.659836,8.650628,9.096582000000001,9.585857,9.672628,9.602136,9.605424000000001,9.700241,9.865628,10.177216,10.419535,10.058949,9.751264,9.730628,10.199463,10.576794999999999,11.076448,11.403534,11.655899,11.826589,11.995292999999998,12.51631,12.627802,12.926781,13.262985999999998,13.385628,13.766712,14.228806,14.665319,14.902579999999999,15.229482,15.401627,15.717187,16.060172,16.195789,16.614195000000002,16.150607,16.892619,17.788739,18.268507,18.557594,18.842055
4-2804876,,,,0,0.49305699999999997,1.292517,1.465934,1.762704,2.006434,2.0445849999999997,2.1735729999999998,2.45132,2.791957,2.845434,3.091934,4.830669,5.321934,5.5951260000000005,5.441279,5.563917,5.237915,4.781211,4.464279,4.519073000000001,4.237277,4.871302,5.602864,5.906153,6.09167,6.3159160000000005,6.659700999999999,6.382853,6.266814,6.48194,6.799509,7.008955,7.026478999999999,7.3622190000000005,7.104642,8.095434,8.542389,9.030664,9.117434,9.044943,9.04823,9.143047,9.309434,9.620023,9.862341,9.502755,9.19407,9.173434,9.643269,10.019601,10.521253999999999,10.847339999999999,11.098705,11.270394999999999,11.439099,11.960116000000001,12.071609,12.370586999999999,12.705792,12.829434,13.210517999999999,13.671612,14.108125,14.345386999999999,14.672288,14.844432999999999,15.159993,15.502978,15.639595000000002,16.057001,15.594413000000001,16.336425,17.232545000000002,17.712314000000003,18.001401,18.284861
5-2803770,,,,,0,0.7994600000000001,0.972877,1.269647,1.513377,1.551528,1.680516,1.958263,2.298899,2.352377,2.598877,4.337612,4.827877,5.101069,4.947222,5.07086,4.744858,4.2881540000000005,3.971222,4.026016,3.74422,4.378245,5.109807,5.412096,5.598612999999999,5.822858,6.165643,5.889796,5.773757,5.988883,6.306451999999999,6.515898,6.533422,6.869161,6.609585000000001,7.601377,8.047331,8.536605999999999,8.624377,8.552885,8.555173,8.65099,8.815377,9.126965,9.369284,9.009698,8.702013,8.681377000000001,9.151212,9.527544,10.027197,10.353283,10.605648,10.778338,10.945041999999999,11.466059,11.578551,11.87753,12.213735,12.336377,12.716461,13.178555,13.616067999999999,13.85333,14.179231,14.352376000000001,14.667936,15.010921,15.145538,15.564944,15.101356,15.843368,16.739488,17.218256,17.508344,17.792804
6-2805655,,,,,,0,0.198417,0.690188,1.166917,1.4230690000000001,1.5520559999999999,1.5860319999999999,1.7344400000000002,1.7879169999999998,2.034418,3.7731529999999998,4.262417,4.53861,4.382763,4.533935,4.858937,4.487694,4.170762,4.225557,3.9437599999999997,4.5777849999999995,5.310348,5.613636,5.798153,6.0233989999999995,6.367184,6.089336,5.973298000000001,6.188423,6.505992,6.715439,6.733963,7.068702,6.8101259999999995,7.801918,8.249872,8.737147,8.824917999999998,8.752426,8.755714,8.85153,9.015918,9.327506,9.569824,9.210238,8.901553,8.881917999999999,9.349752,9.727084,10.227737,10.554822999999999,10.805189,10.975878999999999,11.146582,11.6676,11.779092,12.078071000000001,12.415275,12.536916999999999,12.918001,13.380096,13.814607999999998,14.05287,14.378772,14.552917,14.868476999999999,15.210462,15.347078,15.623985000000001,15.161396,15.901407999999998,16.797528,17.277297,17.707884,17.992345
7-2802347,,,,,,,0,0.49177,0.9685,1.224651,1.353639,1.388614,1.536023,1.5895,1.8359999999999999,3.5737349999999997,4.066,4.339192,4.1843449999999995,4.335516999999999,4.661519,4.289276999999999,3.972345,4.027139,3.745343,4.379368,5.110930000000001,5.413219000000001,5.600736,5.823981,6.166766,5.891919000000001,5.7748800000000005,5.990006,6.308575,6.517021,6.534545,6.870284,6.610708,7.6035,8.050455,8.539729,8.6265,8.554008999999999,8.556296000000001,8.651113,8.8165,9.129089,9.370407,9.010821,8.704136,8.6815,9.151335000000001,9.527667,10.028319999999999,10.356406,10.608771,10.779461,10.948165,11.468182,11.581674000000001,11.878653,12.214858,12.3365,12.717584,13.179678,13.617191,13.854453,14.180354000000001,14.352499,14.669058999999999,15.012044,15.147661,15.424567000000001,14.960979,15.703991,16.600111,17.07988,17.509467,17.792927
8-2802346,,,,,,,,0,0.47773000000000004,0.733881,0.862869,0.8968440000000001,1.045253,1.09873,1.34523,3.083965,3.5742300000000005,3.847422,3.692575,3.843747,4.1697489999999995,3.798507,3.481575,3.536369,3.254573,3.8885980000000004,4.62016,4.922448999999999,5.109966,5.3332120000000005,5.677996,5.400149,5.28411,5.499236,5.8168050000000004,6.026251,6.043775,6.3795150000000005,6.121938,7.11273,7.559685000000001,8.048959,8.13573,8.063239,8.065526,8.160343,8.32673,8.638319000000001,8.880637,8.519051,8.212366000000001,8.19073,8.660565,9.037897000000001,9.53855,9.864636,10.117001,10.287691,10.456395,10.977412,11.089903999999999,11.388883,11.725088000000001,11.84573,12.226814,12.689908,13.126420999999999,13.363682999999998,13.690584,13.861729,14.178289000000001,14.520273999999999,14.655891,14.934797,14.471209,15.213220999999999,16.109341,16.58911,17.017697000000002,17.302157
9-2802602,,,,,,,,,0,0.256151,0.385139,0.6371140000000001,0.785523,0.8390000000000001,1.0855,2.824235,3.3145,3.5876919999999997,3.4318449999999996,3.583017,3.8194809999999997,3.3627769999999995,3.045845,3.100639,2.818843,3.452868,4.18443,4.486719,4.6742360000000005,4.898482,5.242266000000001,4.964419,4.848380000000001,5.063505999999999,5.381075,5.590521,5.608045,5.943785,5.685208,6.678,7.122955,7.613229,7.699,7.6265089999999995,7.630796000000001,7.724613000000001,7.891,8.201589,8.443907000000001,8.083321,7.776636,7.756,8.224835,8.602167,9.10182,9.428906,9.680271000000001,9.850961,10.019665,10.542682000000001,10.653174,10.952153,11.287358,11.41,11.792084,12.254178,12.690691000000001,12.927953,13.254854000000002,13.425999,13.742559,14.084544000000001,14.220161,14.639567000000001,14.174979,14.917991,15.813111,16.29288,16.581967000000002,16.866426999999998
10-2802599,,,,,,,,,,0,0.12898800000000002,0.406735,0.755372,0.8088489999999999,1.0553489999999999,2.795084,3.2853489999999996,3.5595410000000003,3.404694,3.5558660000000004,3.56333,3.106626,2.789694,2.844488,2.5626919999999997,3.196717,3.9282790000000003,4.230568,4.417085,4.641331,4.9851160000000005,4.708268,4.592229,4.807355,5.124924,5.33437,5.351894000000001,5.687634,5.429057,6.420849,6.865804,7.355078999999999,7.441849,7.370358,7.373645,7.469461999999999,7.6338490000000006,7.945438,8.188756,7.82817,7.520485000000001,7.499849,7.968684,8.344016,8.845669000000001,9.171755000000001,9.42412,9.59581,9.764514,10.285531,10.397024,10.696002,11.031207,11.153849000000001,11.535933,11.997027000000001,12.43454,12.670802,12.997703,13.169848000000002,13.485407999999998,13.828393,13.96401,14.382416000000001,13.918828,14.66184,15.55696,16.036729,16.326816,16.610276000000002
