순번_정류장ID,111-2807319,112-2800392,113-2805529,114-2805839,115-2805561,116-2805340,117-2805841,118-2805450,119-2806913,120-2805580,121-2805332,122-2805742,123-2805229,124-2805231,125-2805400,126-2805038,127-2804895,128-2805573,129-2807280,130-2805024,131-2806658,132-2803657,133-2806659,134-2800560,135-2803766,136-2804993,137-2807092,138-2800385,139-2800536,140-2807212,141-2803764,142-2800530,143-2800523,144-2800519,145-2800517,146-2800515,147-2805304,148-2800498,149-2800497,150-2800493,151-2800344,152-2800481,153-2805944,154-2803595,155-2800468,156-2800465,157-2800462,158-2800460,159-2800453,160-2800458,161-2800330,162-2800473,163-2800476,164-2800487,165-2805285,166-2800490,167-2807090,168-2807094,169-2800023,170-2800054,171-2806660,172-2805419,173-2805722,174-2805399,175-2800034,176-2800047,177-2804479,178-2804480,179-2804481,180-2803585,181-2803586,182-2805219,183-2800057,184-2800006,185-2806651,186-2806649,187-2806648,188-2806645,189-2806643,190-2804538,191-2804536,192-2804065,193-2800297,194-2800261,195-2803997,196-2800290,197-2800289,198-2803934,199-2806662,200-2800286,201-2803932,202-2803596,203-2800283,204-2800281,205-2800280,206-2800278,207-2806663,208-2804031,209-2800260,210-2800275,211-2804713,212-2803598,213-2803600,214-2800273,215-2803601,216-2804331,217-2803581,218-2800271,219-2807150
111-2807319,0,0.29085300000000003,1.705712,2.008216,2.256264,2.4939970000000002,2.600525,2.781334,3.3797870000000003,3.820266,3.5663839999999998,3.382993,3.594978,3.904527,4.404719,4.60096,4.87795,5.069767,5.606991000000001,5.802929,6.019471,6.7963059999999995,7.063096000000001,7.1975039999999995,7.259491000000001,7.593294,7.824788000000001,8.106611000000001,8.758118,9.233349,9.139421,9.177713,9.460409,9.705259,9.866827,10.042498,10.712048,11.727517,12.009425,12.517755000000001,12.817555,13.066514999999999,13.351308,13.659464000000002,13.889644,14.171491,14.452826000000002,14.698580999999999,15.125735,15.446226000000001,15.682194,16.000186,16.217335000000002,16.749737,17.05576,17.308469,17.631991,18.681954,18.496802,20.389623,20.653505,21.303423000000002,21.734845999999997,22.24997,23.524299,25.705655,25.998711,26.312176,26.701178000000002,27.272512,28.162413,28.437791999999998,29.487706,30.400968,32.239979999999996,33.868972,34.412759,35.205953,35.826373,36.390781,36.90483,37.113828999999996,37.108988000000004,37.329991,37.871779,38.341143,37.971004,38.360727000000004,38.722849,39.661896,40.55388,40.839919,41.826761,42.292189,42.980051,43.553293,43.691743,43.189538,42.750346,42.988023999999996,43.310219000000004,43.495008,43.127672,42.670390000000005,42.454664,42.286955,42.025289,41.547841,40.669206
112-2800392,,0,1.41486,1.716364,1.9644119999999998,2.203145,2.309673,2.490482,3.088934,3.529413,3.275532,3.092141,3.304126,3.613675,4.113867,4.310107,4.5880980000000005,4.779915,5.317139,5.512077,5.728619,6.505454,6.773244,6.906652,6.968639,7.302442,7.5339350000000005,7.815759,8.467266,8.942496,8.848567999999998,8.886861,9.169557000000001,9.414407,9.575975,9.752646,10.421196,11.436665,11.718573,12.226903,12.526703,12.776663000000001,13.061456,13.368610999999998,13.599792,13.880639000000002,14.161973999999999,14.407729000000002,14.834883,15.155373999999998,15.391342000000002,15.709334,15.927482999999999,16.459885,16.764908,17.017617,17.341139000000002,18.393102,18.20295,20.10077,20.362652999999998,21.013571,21.443994,21.958117,23.233447,25.414801999999998,25.707859,26.020323,26.411326000000003,26.980659999999997,27.875560999999998,28.150940000000002,29.199854,30.112115999999997,31.953128000000003,33.581119,34.121907,34.913101,35.536521,36.096928999999996,36.614978,36.823977,36.817136,37.043139000000004,37.580927,38.050290999999994,37.680152,38.070875,38.431996999999996,39.374044,40.264028,40.548066999999996,41.537908,42.001337,42.691199,43.262440999999995,43.398891,42.895686,42.462494,42.697171000000004,43.018367,43.204156,42.83582,42.376538000000004,42.165812,41.996103000000005,41.738437,41.259989000000004,40.381353999999995
113-2805529,,,0,0.302504,0.550553,0.7952859999999999,0.9018139999999999,1.132623,1.731075,2.171554,2.0541139999999998,1.870723,2.0827080000000002,2.392257,2.892449,3.08869,3.365681,3.558497,4.094721,4.290659,4.5072019999999995,5.283036,5.551826,5.6852339999999995,5.747221,6.081024,6.312518,6.594341,7.245848,7.721079,7.627151,7.665442999999999,7.948139,8.191989,8.353557,8.531228,9.199778,10.214247,10.498155,11.005485,11.306285,11.553245,11.839039,12.147194,12.378374,12.658221000000001,12.940555999999999,13.186310999999998,13.613465,13.932955999999999,14.169923999999998,14.486916,14.705065,15.237467,15.54349,15.796199,16.118721,17.169684,16.984532,18.877353,19.142235,19.792153,20.219576,20.7377,22.011029,24.193385,24.486441,24.798906,25.186908,25.759242,26.651142999999998,26.926522,27.977435999999997,28.889698,30.728709999999996,32.358702,32.899489,33.693683,34.314103,34.877511,35.39456,35.603559000000004,35.597718,35.820721,36.35751,36.828874,36.457735,36.851457,37.210578999999996,38.151626,39.04461,39.326648999999996,40.315490999999994,40.778919,41.467781,42.042023,42.178473,41.677268,41.240076,41.475753999999995,41.797948999999996,41.982738,41.617402,41.155120000000004,40.944394,40.774685,40.515019,40.038571000000005,39.155936
114-2805839,,,,0,0.248049,0.494781,0.60131,0.832119,1.4305709999999998,1.87105,2.172382,2.119227,2.331212,2.640761,3.1409529999999997,3.337194,3.614185,3.807001,4.344225,4.539162999999999,4.755706,5.53254,5.800330000000001,5.933738,5.995725,6.329528,6.561022,6.842845,7.494352,7.969583,7.875655,7.9139479999999995,8.196643,8.441493,8.603061,8.778732000000002,9.448282,10.462750999999999,10.745659,11.253989,11.553789,11.803749,12.088543,12.395698,12.626878,12.907725,13.189060000000001,13.434814999999999,13.862969,14.18246,14.418428,14.737420000000002,14.954569000000001,15.486970999999999,15.791994,16.044703,16.368225,17.418188,17.232035999999997,19.128857,19.392739000000002,20.043657,20.47208,20.986204,22.260533,24.440889000000002,24.737945,25.04441,25.439412,26.005746,26.899646999999998,27.176026,28.227940000000004,29.136202,30.981214,32.605206,33.145993,33.941187,34.565607,35.129015,35.646064,35.852064,35.843222,36.070225,36.606014,37.074378,36.705239,37.096961,37.459083,38.39913,39.291114,39.575154,40.564995,41.026423,41.719285,42.288527,42.426977,41.926772,41.49058,41.727258,42.046453,42.231243,41.866906,41.405623999999996,41.194897999999995,41.020189,40.768522999999995,40.284075,39.40744
115-2805561,,,,,0,0.24673299999999998,0.353261,0.58407,1.1825219999999999,1.623001,1.924333,2.1777279999999997,2.389713,2.699262,3.199455,3.395695,3.673686,3.865503,4.401726999999999,4.597665,4.814207,5.591042,5.857831,5.992239,6.054227,6.3880300000000005,6.619522999999999,6.901347,7.552853999999999,8.028084,7.934156,7.972449,8.255144999999999,8.499995,8.661563000000001,8.838234,9.506784,10.522252,10.804160000000001,11.313491,11.613291,11.862250999999999,12.147044000000001,12.454199000000001,12.68438,12.967227000000001,13.247561,13.493316,13.920470000000002,14.240962,14.475929999999998,14.793922,15.011071,15.546473,15.849495999999998,16.103205,16.426727,17.476689,17.289538,19.184358,19.450241000000002,20.100158999999998,20.526582,21.045704999999998,22.317035,24.50139,24.795447,25.104910999999998,25.495914000000003,26.066248,26.961147999999998,27.235528000000002,28.284442,29.196703999999997,31.037715999999996,32.664707,33.206495000000004,34.000689,34.622109,35.184515999999995,35.701566,35.910565000000005,35.902724,36.128727000000005,36.666515000000004,37.133879,36.76474,37.158463,37.520585,38.458632,39.349616,39.635655,40.625496000000005,41.086923999999996,41.774786999999996,42.349028999999994,42.483478999999996,41.985273,41.547082,41.785759000000006,42.105954,42.288744,41.925408000000004,41.463125,41.253399,41.080690999999995,40.821025,40.346576,39.465942
116-2805340,,,,,,0,0.106528,0.338338,0.93679,1.377269,1.6786009999999998,1.9319959999999998,2.143981,2.4535299999999998,2.953722,3.149963,3.427954,3.6187699999999996,4.156994,4.351932,4.568475,5.344309,5.613099,5.746507,5.8084940000000005,6.142297,6.373791000000001,6.655614,7.307121,7.782352,7.688424,7.726717,8.008412,8.253262,8.41583,8.592500999999999,9.261051,10.27652,10.558428,11.067758,11.366558,11.616518,11.901311999999999,12.209467,12.439647,12.720494,13.000829,13.247584,13.674738,13.995229,14.231197,14.549189000000002,14.766338000000001,15.29974,15.603763,15.856472,16.179994,17.231957,17.044805,18.939626,19.204507999999997,19.856426000000003,20.281848999999998,20.796973,22.071302,24.256657999999998,24.548714,24.857179000000002,25.248181,25.817515,26.711415999999996,26.990795000000002,28.038709000000004,28.951971,30.790983,32.421975,32.961762,33.752956,34.379376,34.935784000000005,35.454833,35.660833000000004,35.654990999999995,35.878994,36.419783,36.886146999999994,36.517008000000004,36.91073,37.270852000000005,38.213899,39.102883,39.386922999999996,40.376764,40.839192,41.532053999999995,42.100296,42.238746,41.740541,41.304349,41.541027,41.861222,42.046012,41.681675,41.220393,41.009667,40.837958,40.576291999999995,40.102844,39.219209
117-2805841,,,,,,,0,0.23181,0.8302620000000001,1.270741,1.572073,1.825468,2.0374529999999997,2.3470020000000003,2.847194,3.0434349999999997,3.321426,3.513242,4.050466,4.245404,4.461947,5.2387809999999995,5.506571,5.639979,5.7019660000000005,6.035769,6.267263,6.549086,7.200593,7.675824,7.581896,7.620189,7.902883999999999,8.147734,8.309302,8.485973,9.154523,10.169992,10.4529,10.960230000000001,11.26103,11.508989999999999,11.794784,12.101939,12.333119,12.613966,12.896301,13.140056,13.56821,13.887701000000002,14.124669,14.442661,14.660810000000001,15.193211999999999,15.499235,15.750944,16.074466,17.126429,16.936277,18.833098,19.09798,19.747898,20.173320999999998,20.691445,21.963774,24.147129999999997,24.442186,24.750651,25.144652999999998,25.710987,26.606888,26.884266999999998,27.932181,28.844443,30.685454999999997,32.311446999999994,32.854234000000005,33.646428,34.270848,34.832256,35.348304999999996,35.557305,35.549463,35.773466,36.314254999999996,36.783619,36.41348,36.804202000000004,37.166323999999996,38.107371,38.997355,39.281395,40.272236,40.734664,41.421526,41.994768,42.130218,41.632013,41.195821,41.432499,41.754694,41.937484000000005,41.573147,41.109865,40.899139,40.72743,40.469764,39.992315999999995,39.115681
118-2805450,,,,,,,,0,0.5984520000000001,1.038931,1.340263,1.679658,1.891643,2.201192,2.7013849999999997,2.897625,3.174616,3.3664330000000002,3.903657,4.099595,4.316137,5.091971,5.359761,5.494169,5.556157,5.889959999999999,6.121453,6.403277,7.054784,7.5300139999999995,7.435086,7.4733789999999996,7.756075,8.000925,8.162493,8.339164,9.007714,10.023182,10.30609,10.814421000000001,11.113221000000001,11.363180999999999,11.647974000000001,11.955129,12.18731,12.467157,12.749491,12.994246,13.4214,13.742892000000001,13.97786,14.296852,14.513001000000001,15.047403,15.351426000000002,15.605135,15.928657000000001,16.978619000000002,16.791468,18.688288,18.952171,19.604089000000002,20.028512,20.544635,21.818965,24.003320000000002,24.296377,24.603841,24.994844,25.564178,26.460078000000003,26.737458,27.785372,28.695634000000002,30.537646000000002,32.166637,32.706424,33.499619,34.124039,34.683446,35.202495,35.411495,35.404654,35.628657000000004,36.165445,36.634809000000004,36.26667,36.657393,37.019515000000006,37.961562,38.854546,39.138585,40.124426,40.589853999999995,41.275717,41.849959000000005,41.985409000000004,41.484203,41.049012,41.286689,41.606884,41.789674,41.425338,40.966055,40.755328999999996,40.583621,40.325955,39.848506,38.965872
119-2806913,,,,,,,,,0,0.440479,0.741811,1.081206,1.293191,1.60274,2.102933,2.299173,2.576164,2.768981,3.3062050000000003,3.501143,3.717685,4.49452,4.762308999999999,4.895716999999999,4.957705000000001,5.291508,5.523001,5.804825,6.456332,6.931562,6.8376339999999995,6.8749270000000005,7.1586229999999995,7.403473,7.5640410000000005,7.741712,8.409262,9.42573,9.707638000000001,10.215969,10.515769,10.764728999999999,11.050522,11.357677,11.588858,11.869705,12.151039,12.396794,12.823948,13.14444,13.379407999999998,13.6984,13.916549,14.448951000000001,14.753974,15.006682999999999,15.329204999999998,16.380167,16.194016,18.089836,18.354719,19.002637,19.43006,19.947183,21.218513,23.401868,23.696925,24.007389,24.400392,24.967726000000003,25.863626,26.140006,27.18892,28.101182,29.941194,31.567185,32.108973,32.903166999999996,33.526587,34.087994,34.607044,34.812043,34.805202,35.030205,35.569993,36.037357,35.670218,36.059940999999995,36.424063000000004,37.36111,38.256094,38.540133000000004,39.529973999999996,39.992402,40.675265,41.250507,41.386957,40.889751000000004,40.453559999999996,40.690236999999996,41.011432,41.194221999999996,40.827886,40.365603,40.157877,39.986169,39.727503000000006,39.247054,38.36942
120-2805580,,,,,,,,,,0,0.301332,0.640727,0.852712,1.162261,1.662454,1.8586939999999998,2.135685,2.327502,2.8647259999999997,3.060664,3.2772059999999996,4.05304,4.32083,4.455238,4.517225,4.8510279999999995,5.082522,5.364345,6.015853,6.491083000000001,6.396155,6.434448000000001,6.717144,6.961994,7.123562,7.300233,7.968782000000001,8.984250999999999,9.267159,9.77549,10.075289999999999,10.32325,10.609043,10.916198,11.148378999999998,11.428225999999999,11.70956,11.955314999999999,12.382469,12.702961,12.938929,13.256920999999998,13.474070000000001,14.008472,14.312494000000001,14.566204,14.888726,15.938688,15.750537,17.646357000000002,17.91324,18.561158,18.988581,19.504704,20.778032999999997,22.961389,23.255445,23.565910000000002,23.956913,24.526247,25.424147,25.695527,26.746440999999997,27.656703000000004,29.497715000000003,31.125706,31.668492999999998,32.460688,33.084108,33.646515,34.166564,34.373564,34.364723,34.588726,35.127514,35.595878000000006,35.227739,35.621462,35.979584,36.920631,37.812615,38.096654,39.090495000000004,39.552923,40.235786,40.809028000000005,40.945478,40.445271999999996,40.010081,40.246758,40.566953000000005,40.749743,40.385406,39.924124,39.712398,39.543690000000005,39.284024,38.806575,37.929941
121-2805332,,,,,,,,,,,0,0.339395,0.55138,0.860929,1.361122,1.5573620000000001,1.8353529999999998,2.02717,2.564394,2.759332,2.975874,3.7517080000000003,4.0194980000000005,4.153906,4.2158940000000005,4.549697,4.7811900000000005,5.063014,5.7145209999999995,6.189751,6.095823,6.134116000000001,6.415812,6.660661999999999,6.82223,6.998900999999999,7.668450999999999,8.683919,8.966827,9.473158,9.772958000000001,10.021918,10.308711,10.614866000000001,10.847047,11.128894,11.409228,11.654983,12.082137,12.402629,12.638597,12.957589,13.174738,13.70814,14.012163000000001,14.263872000000001,14.588394000000001,15.637356,15.452205,17.346025,17.610908,18.261826,18.688249,19.204372,20.476702,22.663057000000002,22.957114,23.266578,23.656581,24.226914999999998,25.122815,25.395195,26.448109000000002,27.357371,29.200383000000002,30.826373999999998,31.366160999999998,32.163356,32.785776,33.345183,33.862232,34.069232,34.066390999999996,34.290394,34.827182,35.296546,34.927407,35.31813,35.679252000000005,36.621299,37.514283,37.795322,38.788163,39.248591,39.937453999999995,40.512696000000005,40.644146,40.14694,39.707749,39.944426,40.266621,40.449411,40.087075,39.621792,39.415065999999996,39.243358,38.983692,38.506243,37.628609000000004
122-2805742,,,,,,,,,,,,0,0.21198499999999998,0.521534,1.021727,1.217967,1.495958,1.687775,2.224999,2.419936,2.636479,3.4133129999999996,3.681103,3.814511,3.876498,4.210301,4.441795,4.723618,5.375126,5.850356,5.756428,5.794721,6.077417,6.322267,6.483835,6.660506,7.329055,8.344524,8.626432000000001,9.134763000000001,9.434563,9.683523,9.969316000000001,10.276471,10.507652,10.788497999999999,11.069833000000001,11.315588,11.742742,12.063234,12.299202000000001,12.617194,12.834342,13.367745000000001,13.672767000000002,13.925476999999999,14.247998999999998,15.300961,15.11381,17.009629999999998,17.273513,17.924431,18.351854,18.865976999999997,20.139306,22.324662,22.618717999999998,22.925182999999997,23.319186,23.88552,24.78342,25.0598,26.106714,27.019975,28.857988,30.486978999999998,31.027765999999996,31.821960999999998,32.446381,33.004788,33.525837,33.730837,33.727996000000005,33.951999,34.487787,34.958151,34.586012,34.978734,35.343857,36.282903000000005,37.171888,37.455927,38.446768,38.911196000000004,39.598059,40.171301,40.307751,39.806545,39.371353000000006,39.609031,39.930226,40.110015999999995,39.747679,39.286396999999994,39.073671000000004,38.900963,38.647296999999995,38.168848,37.285213
123-2805229,,,,,,,,,,,,,0,0.30954899999999996,0.809742,1.005982,1.282973,1.47479,2.0120139999999997,2.207951,2.4244939999999997,3.200328,3.468118,3.602526,3.664513,3.9983160000000004,4.22981,4.511633,5.163141,5.638371,5.543443,5.581736,5.864431,6.109282,6.27085,6.447521,7.11607,8.131539,8.414447000000001,8.921778,9.222578,9.471537,9.757331,10.064486,10.295666,10.576513,10.857847999999999,11.103603,11.530757000000001,11.851249000000001,12.086217,12.404209,12.622357000000001,13.154760000000001,13.459782,13.713492,14.037014000000001,15.088976,14.899825,16.793645,17.060528,17.707446,18.137869,18.653992000000002,19.927321,22.110677,22.404733,22.715198,23.106201000000002,23.675535,24.568435,24.845814,25.894729,26.80299,28.648003000000003,30.274994,30.816781,31.610976,32.233396,32.794803,33.312852,33.519852,33.510011,33.738013,34.276802,34.744166,34.375027,34.767749,35.129872,36.068918,36.961902,37.245942,38.235783000000005,38.697210999999996,39.385073999999996,39.958315999999996,40.095766,39.59356,39.157368,39.395046,39.717240999999994,39.896031,39.530694,39.073412,38.862686,38.690978,38.433312,37.954863,37.075228
124-2805231,,,,,,,,,,,,,,0,0.500193,0.696433,0.974424,1.166241,1.7034650000000002,1.8984029999999998,2.114945,2.891779,3.159569,3.2929769999999996,3.354964,3.688767,3.920261,4.202083999999999,4.853592,5.328822,5.234894000000001,5.273187,5.555883000000001,5.800733,5.962301,6.138972,6.8075220000000005,7.822989999999999,8.104898,8.613228999999999,8.913029,9.162989,9.447782,9.754937,9.987117999999999,10.266964999999999,10.549299000000001,10.795053999999999,11.221208,11.5417,11.777667999999998,12.09666,12.313809,12.846211,13.151234,13.403943,13.726465,14.779426999999998,14.593276000000001,16.489096,16.752979,17.399897,17.82832,18.346443,19.619772,21.802128,22.093185000000002,22.404649,22.795652,23.364986,24.258885999999997,24.536266,25.58618,26.498441999999997,28.336453999999996,29.966445,30.505232,31.299427,31.922846999999997,32.487254,33.004303,33.211303,33.201462,33.430465000000005,33.967253,34.433617,34.065478000000006,34.458201,34.819323,35.75837,36.648354,36.934393,37.924234000000006,38.388662,39.074525,39.647767,39.786217,39.284011,38.84882,39.084497,39.408691999999995,39.591482,39.227145,38.763863,38.556137,38.378429,38.122763,37.645314,36.762679999999996
125-2805400,,,,,,,,,,,,,,,0,0.196241,0.474232,0.666049,1.203273,1.42721,1.6437529999999998,2.391587,2.659377,3.4042410000000003,3.466228,3.8000309999999997,4.031525,4.313348,4.964856,5.088915,4.7347019999999995,4.772995,5.05569,5.30054,5.462109,5.638780000000001,6.307329,7.322798,7.605706,8.113037,8.412837,8.661796,8.94759,9.254745,9.485925,9.766772,10.048107,10.293861999999999,10.721016,11.041508,11.278475,11.595467999999999,11.812616,12.346019,12.651041000000001,12.90375,13.227272,14.277235000000001,14.091083,15.986904000000001,16.249786999999998,16.902704999999997,17.327128,17.844251,19.11658,21.299936,21.597992,21.907457,22.295460000000002,22.863794,23.760694,24.038073,25.083988,25.995248999999998,27.837260999999998,29.464253000000003,30.009040000000002,30.799234999999996,31.422655,31.985062,32.501111,32.708110999999995,32.70427,32.930271999999995,33.465061,33.934425,33.566286,33.956008000000004,34.322131,35.259177,36.150161,36.434201,37.429041999999995,37.88847,38.574332,39.148573999999996,39.283025,38.782819,38.345627,38.582305,38.9065,39.08729,38.722953000000004,38.265671000000005,38.052945,37.882236999999996,37.623571000000005,37.145122,36.267487
126-2805038,,,,,,,,,,,,,,,,0,0.277991,0.469808,1.007032,1.2309700000000001,1.4475120000000001,2.195347,2.4631369999999997,3.565482,3.627469,3.961272,4.1927650000000005,4.474589,5.1260959999999995,4.8926739999999995,4.538461,4.576754,4.85945,5.1043,5.265868,5.442539,6.111089,7.126558,7.409466,7.917796000000001,8.217596,8.465556,8.751349000000001,9.059505,9.290685,9.571532000000001,9.851867,10.098622,10.524776,10.845267,11.081235000000001,11.399227,11.617376,12.149778,12.454801,12.707510000000001,13.030032,14.082995,13.894843,15.791664,16.057546,16.705464000000003,17.131887,17.649010999999998,18.92234,21.104696,21.399752,21.706217000000002,22.097219,22.668553,23.564454,23.839833,24.886747,25.800009,27.639021000000003,29.271013,29.8118,30.605994,31.229414000000002,31.790822,32.306871,32.513870000000004,32.509029,32.731032,33.27182,33.739184,33.370045000000005,33.758767999999996,34.122890000000005,35.061937,35.954921,36.24196,37.229802,37.69123,38.379092,38.953334000000005,39.089784,38.587579,38.155387,38.389064000000005,38.71226,38.894049,38.528713,38.071431,37.857704999999996,37.685996,37.42733,36.950882,36.070246999999995
127-2804895,,,,,,,,,,,,,,,,,0,0.19281700000000002,0.7330409999999999,0.9629790000000001,1.1795209999999998,1.9183560000000002,2.186146,3.5725279999999997,3.822541,4.156344,4.387837,4.669661,5.093913,4.615683,4.26147,4.299763,4.582459,4.827309,4.988877,5.165548,5.834098,6.8495669999999995,7.131475,7.640805,7.940605000000001,8.188564999999999,8.474358,8.782513,9.012694,9.293541000000001,9.575875,9.820631,10.247785,10.568276,10.805244,11.123236,11.340385000000001,11.873787,12.17881,12.431519,12.754041,13.805003,13.617852,15.512672,15.776554999999998,16.426473,16.854896,17.370019,18.643349,20.826704,21.123761,21.431225,21.821228,22.391562,23.287463,23.560842,24.612756,25.524017999999998,27.365029999999997,28.993021000000002,29.533809,30.327003,30.950422999999997,31.51083,32.02988,32.236878999999995,32.231038,32.454041,32.993829,33.460193,33.091054,33.484777,33.845898999999996,34.786946,35.677929999999996,35.960969,36.951809999999995,37.414239,38.103101,38.675343,38.809793,38.310587,37.874396000000004,38.110073,38.432269,38.615058000000005,38.252722,37.78944,37.579714,37.408004999999996,37.149339000000005,36.67389,35.791256
