순번_정류장ID,66-2801276,67-2801240,68-2801161,69-2801158,70-2801159,71-2801409,72-2801449,73-2801493,74-2801515,75-2801589,76-2801619,77-2801658,78-2801672,79-2801684,80-2801718,81-2801741,82-2801750,83-2801755,84-2801765,85-2801773,86-2801774,87-2801787,88-2801992,89-2802022,90-2802038,91-2802672,92-2802683,93-2802685,94-2802695,95-2802702,96-2802707,97-2802715,98-2802729,99-2805440,100-2802632,101-2803129,102-2803120,103-2805594,104-2803115,105-2803134,106-2803231,107-2803226,108-2803217,109-2803219,110-2803223,111-2803227,112-2803239,113-2803240,114-2803236,115-2803248,116-2804859,117-2803205,118-2806612
66-2801276,0,0.48264700000000005,0.8018890000000001,1.2171040000000002,1.513551,1.7641229999999999,2.124836,2.495708,2.7166330000000003,3.086116,3.3478209999999997,3.804122,4.165503,4.604421,5.084855999999999,5.539003,5.919437,6.296186,6.670836,7.1558589999999995,7.245902,7.202806,7.870875999999999,8.279368,8.346174000000001,8.761503,9.275618,9.503794000000001,9.900111,10.216032,10.389178999999999,10.612575,11.120263000000001,11.309495,11.566127999999999,11.868688,11.935201,11.737408,11.804967999999999,12.261503,12.666447,13.057817,13.494503,13.782003,14.086003,14.201328,14.557889000000001,14.930467000000002,15.087481,15.830145000000002,15.913048999999999,16.216031,16.557545
67-2801240,,0,0.319242,0.7344579999999999,1.030905,1.281477,1.642189,2.0130619999999997,2.233987,2.603469,2.865175,3.321475,3.6828559999999997,4.121775,4.602208999999999,5.056356,5.436791,5.813539,6.188189,6.6732130000000005,6.763255,6.722160000000001,7.39023,7.7987210000000005,7.863528,8.278856,8.792972,9.019148,9.415464,9.733385,10.010821,10.234216,10.741904,10.931136,11.18777,11.490329,11.556842,11.36005,11.42561,11.884144000000001,12.289089,12.680458999999999,13.116144,13.402644,13.707644,13.821969000000001,14.178531,14.550108999999999,14.707122,15.450787,15.533691000000001,15.837673,16.178186
68-2801161,,,0,0.415216,0.711663,0.9622350000000001,1.3229469999999999,1.69382,1.9147450000000001,2.284227,2.5459330000000002,3.0022330000000004,3.363614,3.8025330000000004,4.282967,4.737114,5.1175489999999995,5.494298000000001,5.8689480000000005,6.353971,6.445012999999999,6.402918,7.070988000000001,7.480478999999999,7.546286,7.960614,8.474730000000001,8.700906,9.098222999999999,9.415144,9.731291,9.954686,10.462374,10.651606,10.90824,11.210799,11.277312,11.07952,11.14708,11.603614,12.008559,12.400929,12.836613999999999,13.122114000000002,13.429114000000002,13.542439000000002,13.899001,14.271579000000001,14.427592,15.171257,15.253160999999999,15.557143,15.896656
69-2801158,,,,0,0.29644699999999996,0.5470189999999999,0.907732,1.278604,1.4995290000000001,1.869012,2.1307169999999998,2.587017,2.948398,3.387317,3.867751,4.321899,4.702333,5.079082,5.453732,5.9387550000000005,6.0277970000000005,5.987702,6.655772,7.064264,7.131069999999999,7.545398,8.060514,8.285689999999999,8.683007,8.999928,9.318075,9.541471000000001,10.049159,10.238389999999999,10.495024,10.797583,10.863096,10.666304,10.734864,11.191399,11.596343,11.987713000000001,12.424398,12.710898,13.013898,13.128223,13.485785,13.858363,14.014376,14.757041000000001,14.840945000000001,15.142926999999998,15.48444
70-2801159,,,,,0,0.25157199999999996,0.6122850000000001,0.983157,1.2040819999999999,1.5735649999999999,1.8352700000000002,2.29157,2.652951,3.09187,3.572304,4.026452,4.406886,4.783634999999999,5.158285,5.643308,5.73335,5.691255,6.361325,6.766817,6.833622999999999,7.249950999999999,7.764067,7.9902429999999995,8.386560000000001,8.704481,9.022628,9.246024,9.753712,9.942943,10.199577,10.502137,10.568649,10.370857,10.438417,10.896952,11.300896,11.692266,12.128952,12.415451,12.719451,12.833776,13.189338000000001,13.561916,13.719929999999998,14.462594000000001,14.545498,14.85048,15.188993
71-2801409,,,,,,0,0.360713,0.731586,0.9525100000000001,1.321993,1.583698,2.0399990000000003,2.40138,2.8402979999999998,3.320733,3.7748800000000005,4.155314,4.532063,4.906713,5.391737,5.482779,5.440683,6.107753,6.518244999999999,6.584052000000001,6.99838,7.513495,7.737672,8.135988000000001,8.451908999999999,8.891057,9.114452,9.621139999999999,9.810372000000001,10.068005,10.369565,10.605317999999999,10.407525999999999,10.476086,10.932621000000001,11.337565,11.730935,12.165621,12.452121,12.757121000000001,12.872446,13.227007,13.601585,13.756599,14.499263000000001,14.582167000000002,14.886149,15.225663
72-2801449,,,,,,,0,0.370873,0.591797,0.9612799999999999,1.2229860000000001,1.679286,2.040667,2.479586,2.96002,3.414167,3.794601,4.17135,4.546,5.0310239999999995,5.122066,5.079971,5.748041000000001,6.156532,6.222339,6.6376669999999995,7.150782,7.378959,7.775275,8.091196,8.530344,8.752739,9.260427,9.448659,9.706292,10.007852,10.286969000000001,10.386573,10.454133,10.912666999999999,11.315612,11.706982,12.229667,12.517167,12.821166999999999,12.980492,13.350052999999999,13.714632,13.870645000000001,14.61331,14.697214,15.000195000000001,15.340709
73-2801493,,,,,,,,0,0.220925,0.590408,0.8521129999999999,1.3084129999999998,1.6697950000000001,2.1087130000000003,2.589147,3.043295,3.4237290000000002,3.800478,4.175128,4.660151,4.752194,4.709098,5.377168,5.7866599999999995,5.850466,6.265795,6.779910000000001,7.006086,7.402403,7.721324000000001,8.158471,8.380867,8.889555,9.078786000000001,9.33442,9.63798,9.916097,10.0147,10.08426,10.541795,10.944739,11.336109,11.857795,12.145294999999999,12.449295,12.610619999999999,12.976181,13.343759,13.499773000000001,14.242436999999999,14.325341,14.631323000000002,14.968836999999999
74-2801515,,,,,,,,,0,0.369483,0.633188,1.089489,1.45087,1.889788,2.3702229999999997,2.82437,3.204804,3.581553,3.956203,4.441227,4.532269,4.490173,5.158243,5.5667349999999995,5.633541999999999,6.04787,6.561985000000001,6.789161999999999,7.185478,7.503399000000001,7.938547,8.161942,8.670630000000001,8.860862,9.116495,9.419055,9.698172,9.796775,9.864336,10.32287,10.726815,11.117185000000001,11.63987,11.92737,12.233369999999999,12.392695,12.761256,13.125834,13.281848000000002,14.024512,14.107417000000002,14.411398000000002,14.750912
75-2801589,,,,,,,,,,0,0.263706,0.720006,1.081387,1.520306,2.00074,2.454887,2.835322,3.21207,3.5867199999999997,4.071744,4.161786,4.119691,4.788761,5.197252,5.263058999999999,5.679387,6.193502,6.418679,6.815995,7.132916000000001,7.571064,7.7934589999999995,8.302147,8.490378999999999,8.747012,9.049572,9.327689,9.427292999999999,9.493853,9.952387,10.355332,10.746702,11.268386999999999,11.555887,11.859886999999999,12.021212,12.389773,12.753352,12.912365,13.654029999999999,13.736934,14.039914999999999,14.382429
