순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2800317,5-2805949,6-2800371,7-2803055,8-2802647,9-2802648,10-2802649,11-2803050,12-2800814,13-2800793,14-2800785,15-2800766,16-2800748,17-2800721,18-2800697,19-2801603,20-2801583,21-2801565,22-2801546,23-2801527,24-2801514,25-2801509,26-2801497,27-2801482,28-2801492,29-2801524,30-2801602,31-2806837,32-2801647,33-2801634,34-2801686,35-2801182,36-2805798,37-2805799,38-2805800,39-2805801,40-2807214,41-2804429,42-2804431,43-2800165,44-2803661,45-2801697,46-2801724,47-2801915,48-2801923,49-2801926,50-2801922,51-2805271,52-2805273,53-2805275,54-2805278,55-2801967,56-2801973,57-2801984,58-2802009,59-2802047,60-2802054,61-2802098,62-2802129,63-2802158,64-2802168,65-2802175,66-2801848,67-2802825,68-2802870,69-2802906
1-2805726,0,0.34725100000000003,0.657047,0.947607,1.498672,1.797,2.1093830000000002,2.5985,3.073856,3.389986,3.8503260000000004,3.8303279999999997,4.0171980000000005,4.2111019999999995,4.680255000000001,4.8668309999999995,4.456217,4.509945,5.486695,5.8179050000000005,6.083528,6.3731029999999995,6.794925,7.044657000000001,7.217035000000001,7.5252289999999995,7.946209,8.264541,8.566726,9.033136,9.278802,9.352535000000001,9.638764,10.293028,10.491299,10.92874,11.171171000000001,11.316898,11.479858,11.778435,11.695627,11.439655,12.400943,12.157263,12.762296000000001,12.839648,11.514939,10.741048,10.61735,10.249969,9.831613,9.568753,9.446269000000001,9.164985,9.001332000000001,8.693,8.528844,8.735094,9.106361,8.797719,8.509051,8.879482000000001,9.409754,9.724839999999999,9.66186,9.3795,9.205274000000001,9.522671,9.5732
2-2805739,,0,0.311797,0.603356,1.1544219999999998,1.45275,1.7651330000000003,2.25425,2.729605,3.0457349999999996,3.506075,3.486077,3.672947,3.866851,4.336004,4.522581,4.112967,4.1656949999999995,5.143445,5.474655,5.740277,6.029853,6.451675,6.701407000000001,6.872783999999999,7.180979,7.603959,7.919291,8.222475,8.690886,8.934552,9.007284,9.294514,9.948777,10.148048,10.584489999999999,10.82692,10.973647,11.135607,11.435184,11.352376,11.095403999999998,12.056692,11.813011999999999,12.417046000000001,12.494397,11.168688000000001,10.396797,10.271099000000001,9.905719,9.487363,9.222502,9.103017999999999,8.819734,8.657081,8.34875,8.184594,8.390842999999998,8.760111,8.454469,8.1618,8.534232000000001,9.063503,9.379589,9.316609,9.03525,8.861023,9.17742,9.226949000000001
3-2800372,,,0,0.29156,1.0127190000000001,1.3110469999999999,1.62343,2.112547,2.587903,2.904033,3.364372,3.344375,3.5312449999999997,3.7251480000000003,4.1943019999999995,4.210783999999999,3.8011699999999995,3.8538980000000005,4.831648,5.162858,5.428481,5.718056,6.1398779999999995,6.38961,6.560988,6.868182000000001,7.291162,7.607494,7.910678999999999,8.378089,8.621755,8.867582,9.092189999999999,9.807981,10.007252000000001,10.444694,10.687124,10.832851,10.994811,11.215019999999999,11.06558,10.809608,11.769896000000001,11.528216,12.13125,12.353694,11.025986,10.255094,10.129397,9.763016,9.344660000000001,9.079799000000001,8.961314999999999,8.678032,8.515378,8.206047,8.042891000000001,8.248141,8.617408,8.312766,8.020097999999999,8.393529,8.921801,9.237886999999999,9.176907,8.895547,8.718321000000001,9.036717,9.085246000000001
4-2800317,,,,0,1.3042790000000002,1.602607,1.9149900000000002,2.4041069999999998,2.879463,3.195593,3.655932,3.635935,3.822804,4.016708,4.170139,3.919224,3.509611,3.5623379999999996,4.540088,4.871298,5.136921,5.426497,5.848318,6.098051,6.269428,6.576622,7.000603,7.3159339999999995,7.620119,8.087530000000001,8.330195,8.702928,8.801630000000001,9.516421000000001,9.715692,10.152134,10.395564,10.540291,10.702250999999999,10.922460000000001,10.77502,10.518048,11.478336,11.235656,11.83969,12.388246,11.318545,10.546654,10.423956,10.057576,9.63922,9.373358999999999,9.253875,8.969592,8.806938,8.497607,8.333451,8.540701,8.910967999999999,8.606326,8.311657,8.686088999999999,9.21236,9.528447,9.466466,9.186107000000002,9.009881,9.329277000000001,9.376806
5-2805949,,,,,0,0.298329,0.610711,1.1828290000000001,1.658184,1.974314,2.434654,2.331656,2.518526,2.71243,3.1815830000000003,3.4324980000000003,3.843112,4.155273,5.133023000000001,5.464233,5.729856,6.019432,6.441253,6.690986,6.8633630000000005,7.169557000000001,7.592538,7.9098690000000005,8.213054,8.082193,7.839527,7.852863,8.139092999999999,8.793356,8.992627,9.430069,9.672499,9.818226,9.980186,10.281763,10.196955,9.939983,10.901271000000001,10.658591,11.264625,11.340976,10.014267,9.242376,9.117678,8.751297000000001,8.332942,8.068081,7.948597,7.666313000000001,7.5026600000000006,7.194329,7.030173,7.236422,7.605689999999999,7.300047999999999,7.007378999999999,7.379811,7.909082000000001,8.225168,8.162188,7.881829,7.705602000000001,8.023999,8.071528
6-2800371,,,,,,0,0.31238299999999997,0.8845,1.359856,1.675986,2.136326,2.033328,2.220198,2.414101,2.883255,3.134169,3.5447830000000002,3.8569449999999996,4.834695,5.165905,5.431528,5.721103,6.142925,6.392657,6.5640350000000005,6.872228999999999,7.295209,7.6105410000000004,7.914725999999999,7.783864,7.541198,7.5545350000000004,7.840764,8.495028,8.694299,9.131739999999999,9.374171,9.519898,9.681858,9.981434,9.898627000000001,9.641655,10.602943,10.360261999999999,10.964296000000001,11.041648,9.714939,8.943047,8.82035,8.451969,8.035613,7.768752,7.649267999999999,7.366985000000001,7.205331,6.897,6.732844,6.937094,7.308361,7.002719,6.710050999999999,7.083482000000001,7.6117539999999995,7.926839999999999,7.86486,7.5835,7.4082740000000005,7.72567,7.774199
7-2803055,,,,,,,0,0.687117,1.1624729999999999,1.4786030000000001,1.938943,2.093711,2.280581,2.474484,2.943638,3.194552,3.6051660000000005,3.917328,4.895078,5.226287999999999,5.491911,5.781486,6.203308,6.4530400000000006,6.625417999999999,6.932612,7.355592,7.670924,7.9741089999999994,7.846247,7.602581,7.616917999999999,7.903147,8.555411,8.755682,9.194123,9.436554,9.582281,9.744241,10.041817,9.959010000000001,9.704038,10.664325999999999,10.422645,11.025679,11.102030000000001,9.775322000000001,9.00343,8.878732000000001,8.512352,8.093996,7.829135000000001,7.709650999999999,7.4273679999999995,7.263714,6.955383,6.791227,6.997477000000001,7.366744000000001,7.061102,6.768433,7.140865,7.6701369999999995,7.986223,7.926242,7.644883,7.468657,7.787053,7.8355820000000005
8-2802647,,,,,,,,0,0.47535600000000006,0.7914859999999999,1.251826,1.570173,2.206698,2.400601,2.869755,3.12067,3.531283,3.8434449999999996,4.8211949999999995,5.152405,5.418028,5.707603,6.129425,6.379157,6.550535,6.858728999999999,7.280709,7.598041,7.900225999999999,7.732364,7.488697999999999,7.502035,7.788264,8.442528,8.642799,9.079239999999999,9.321671,9.467398,9.629358,9.928935000000001,9.847127,9.589155,10.550443,10.308763,10.912796,10.901148,9.572439,8.800548,8.67785,8.311469,7.8931130000000005,7.626253,7.508769,7.2244850000000005,7.062832000000001,6.7525,6.588344,6.794594,7.1658610000000005,6.858219,6.565550999999999,6.940982000000001,7.436253999999999,7.670661,7.328360000000001,7.047000000000001,6.871774,7.189171000000001,7.167300999999999
9-2802648,,,,,,,,,0,0.31613,0.77647,1.094817,1.7873419999999998,1.9812459999999998,2.450399,2.701314,3.111927,3.424089,4.401839,4.733048999999999,4.998672,5.288247,5.710069,5.959801000000001,6.132179,6.438373,6.861353,7.178685000000001,7.4808699999999995,7.257009,7.013342999999999,7.026679,7.3139080000000005,7.968172,8.166443,8.603883999999999,8.847315,8.992042,9.154002,9.453579,9.371771,9.114799,10.076087,9.832407,10.437439999999999,10.423792,9.097083,8.325192,8.202494,7.834113,7.417758,7.152897,7.031413000000001,6.751129,6.587476,6.277144,6.112988,6.321238,6.688505,6.3828629999999995,6.090195,6.4636260000000005,6.961898,7.196305000000001,6.854004,6.572644,6.396418,6.713814999999999,6.699945
10-2802649,,,,,,,,,,0,0.46033999999999997,0.778687,1.4712120000000002,1.665116,2.1342689999999997,2.385184,2.795798,3.107959,4.085709,4.416919,4.682542,4.972118,5.393939,5.6436720000000005,5.816049,6.123244000000001,6.546224,6.861555,7.1657399999999996,6.9398789999999995,6.6972130000000005,6.710549,6.996778999999999,7.6510419999999995,7.850313000000001,8.287755,8.530185000000001,8.675912,8.837872,9.137449,9.054641,8.797669,9.758957,9.516277,10.120311000000001,10.107662,8.780953,8.009062,7.884364,7.517983,7.099628,6.834767,6.715283,6.432999,6.269346,5.961015,5.7968589999999995,6.003108,6.372376,6.066733999999999,5.774065,6.147497,6.644767999999999,6.880175,6.5378739999999995,6.255515,6.081288,6.397685,6.383815
11-2803050,,,,,,,,,,,0,0.318348,1.012873,1.206776,1.67593,1.9268439999999998,2.3374580000000003,2.64962,3.6273699999999995,3.9585800000000004,4.224203,4.513778,4.9356,5.185332,5.357709,5.6639040000000005,6.0868839999999995,6.4032160000000005,6.706401,6.578539,6.335873,6.34721,6.633439,7.288702000000001,7.487974,7.925414999999999,8.167846,8.312572,8.475533,8.775109,8.692302,8.43533,9.397618,9.152937,9.757971000000001,10.017322,8.688613,7.918722,7.7920240000000005,7.427644,7.007288000000001,6.742427,6.622942999999999,6.3426599999999995,6.1770059999999996,5.868675,5.704519,5.910769,6.280036,5.974394,5.683725,6.055157,6.520079,6.754486,6.412185,6.130825,5.955598999999999,6.272996,6.194126
12-2800814,,,,,,,,,,,,0,0.694525,0.8884290000000001,1.357583,1.6084969999999998,2.019111,2.331273,3.3090230000000003,3.6402330000000003,3.9058559999999996,4.195431,4.617253,4.866985,5.038362,5.345557,5.768537,6.084869,6.388054,6.258192,6.015526,6.028862999999999,6.315092,6.969355,7.168627000000001,7.606068,7.848499,7.994225,8.156186,8.455762,8.372954,8.115983,9.07727,8.834589999999999,9.438624,9.696975,8.370266,7.600375,7.475677,7.107297,6.688941000000001,6.426080000000001,6.306596,6.022313,5.860659,5.5503279999999995,5.388172,5.594422,5.961689,5.656047,5.363378,5.73881,6.268081,6.584167999999999,6.3381870000000005,6.056828,5.882601999999999,6.1989980000000005,6.248526999999999
13-2800793,,,,,,,,,,,,,0,0.193904,0.663057,0.9139719999999999,1.324586,1.6367479999999999,2.6144979999999998,2.945708,3.21133,3.5009059999999996,3.9227279999999998,4.17246,4.344837,4.652032,5.075012,5.391344,5.694528,5.564667,5.3230010000000005,5.336337,5.621567,6.274830000000001,6.475101,6.913542999999999,7.154973,7.3007,7.462661,7.763236999999999,7.680428999999999,7.422458,8.383745,8.142064999999999,8.745099,9.281845,7.955136,7.183244999999999,7.058547,6.692166,6.273811,6.00895,5.8894660000000005,5.607182,5.443529,5.135198,4.971042,5.177291,5.546558999999999,5.240917,4.948248,5.32068,5.849951,6.166037,6.256057,5.974698,5.799471,6.116868,6.1653970000000005
14-2800785,,,,,,,,,,,,,,0,0.469154,0.720068,1.130682,1.442844,2.420594,2.751804,3.017427,3.3070019999999998,3.728824,3.9785559999999998,4.150933,4.457128,4.881108,5.19744,5.500625,5.369763,5.127097,5.140434,5.426663,6.080926,6.280198,6.717639,6.96007,7.105796000000001,7.2677570000000005,7.5673330000000005,7.484526,7.227554,8.188842,7.946161,8.550195,9.097752,8.135836999999999,7.363946,7.239248,6.8728679999999995,6.454512,6.190651,6.071167,5.787884,5.62523,5.316898999999999,5.152743,5.358993,5.72826,5.421618,5.129949,5.502381,6.032652,6.348739,6.450961,6.169601,5.994375,6.311772,6.360301
15-2800766,,,,,,,,,,,,,,,0,0.250915,0.661529,0.973691,1.951441,2.282651,2.548274,2.8378490000000003,3.259671,3.509403,3.6807800000000004,3.987975,4.410955,4.7272870000000005,5.0304709999999995,5.497882,5.407453,5.419789,5.707019,6.361282,6.559553999999999,6.996995,7.239425,7.385152000000001,7.547113,7.847689,7.763881,7.50691,8.468197,8.225517,8.829550999999999,9.378107,8.416193,7.644302000000001,7.518603999999999,7.153224000000001,6.736867999999999,6.472007,6.352523000000001,6.067239,5.903586,5.596255,5.432099,5.6373489999999995,6.006616,5.7009739999999995,5.409305000000001,5.781737000000001,6.313008,6.6270940000000005,6.763114,6.484755000000001,6.306528,6.623925,6.6734539999999996
16-2800748,,,,,,,,,,,,,,,,0,0.41061400000000003,0.722776,1.7005259999999998,2.031736,2.297359,2.586934,3.008756,3.2584880000000003,3.4308650000000003,3.73806,4.16104,4.477372,4.780557,5.247967,5.491633,5.671704,5.962067,6.612197,6.811468,7.24891,7.491339999999999,7.637067,7.799027000000001,8.083897,7.935458000000001,7.678486,8.639774000000001,8.397093,9.001127,9.548684,8.667108,7.894217,7.770519,7.4041380000000006,6.984783,6.721922,6.602438,6.3201540000000005,6.155501,5.847169999999999,5.683014,5.889263,6.258531,5.952889,5.66022,6.033651,6.560923,6.877008999999999,7.017028999999999,6.734669,6.558443,6.877839999999999,6.926369
17-2800721,,,,,,,,,,,,,,,,,0,0.313162,1.290912,1.6221219999999998,1.887745,2.17732,2.5991419999999996,2.8488740000000004,3.020252,3.328446,3.7514260000000004,4.067758,4.3709430000000005,4.837353,5.082019,5.454752,5.552453,6.267245,6.465516,6.902957000000001,7.146388000000001,7.292114999999999,7.454075,7.674283,7.525844,7.268872,8.23016,7.987480000000001,8.591513,9.13907,9.005722,8.233830000000001,8.109133,7.742752,7.324396000000001,7.0595360000000005,6.9400520000000006,6.657767999999999,6.494115,6.185783,6.021627,6.227876999999999,6.597144,6.2915019999999995,5.9988339999999996,6.3722650000000005,6.900537,7.217623,7.352643,7.071283,6.896057000000001,7.213454,7.261982000000001
18-2800697,,,,,,,,,,,,,,,,,,0,0.97975,1.3109600000000001,1.576583,1.8661580000000002,2.28798,2.537712,2.70909,3.016284,3.439264,3.7555959999999997,4.058781,4.526191000000001,4.769857,5.14159,5.240291,5.955083,6.154354,6.591794999999999,6.834225999999999,6.9809529999999995,7.141913000000001,7.362121000000001,7.213682,6.95671,7.917998,7.675317999999999,8.279351,8.826908,9.296883,8.525992,8.401294,8.034914,7.616558,7.350697,7.231213,6.948930000000001,6.786275999999999,6.476945,6.3127889999999995,6.519039,6.8893059999999995,6.582664,6.289994999999999,6.663427,7.192698,7.5087850000000005,7.645803999999999,7.364445,7.190219,7.5076149999999995,7.556144000000001
19-2801603,,,,,,,,,,,,,,,,,,,0,0.33121,0.596833,0.886408,1.30823,1.557962,1.72934,2.036534,2.459514,2.775846,3.079031,3.546441,3.791107,4.16284,4.260541,4.975333,5.174604,5.612044999999999,5.854476,6.000203,6.162163,6.382371,6.233932,5.97696,6.938248,6.695568,7.299600999999999,7.847158,9.173867,8.654353,8.529655,8.163274000000001,7.745918,7.4800580000000005,7.360574000000001,7.078289999999999,6.914637,6.606305,6.442149,6.648399,7.017666,6.881024000000001,6.588356,6.961786999999999,7.491059,7.807144999999999,8.150446,8.344195,8.168969,8.486365,8.533894
20-2801583,,,,,,,,,,,,,,,,,,,,0,0.265623,0.555198,0.9770200000000001,1.226752,1.39913,1.705324,2.128304,2.444636,2.747821,3.215231,3.4588970000000003,3.83063,3.930331,4.6441230000000004,4.843394,5.281835,5.524266000000001,5.669993,5.8319529999999995,6.052161,5.903722,5.64675,6.607038,6.364358,6.969391000000001,7.516947999999999,8.842657,8.323143,8.199444999999999,7.833064,7.414708,7.1498479999999995,7.030364,6.74808,6.583427,6.275094999999999,6.110939,6.318189,6.686456,6.550814,6.258146,6.630577000000001,7.160849000000001,7.474935,7.819236,8.100595,8.369369,8.685766000000001,8.864104
21-2801565,,,,,,,,,,,,,,,,,,,,,0,0.289575,0.7113970000000001,0.9611290000000001,1.132507,1.4397010000000001,1.862681,2.1790130000000003,2.482198,2.949608,3.193274,3.565007,3.663708,4.3785,4.577771,5.015212,5.257643,5.40337,5.56533,5.785538,5.637099,5.380127,6.3414150000000005,6.098735,6.702767999999999,7.250325,8.577034,8.05752,7.933822,7.566441,7.148086,6.884225,6.7637410000000004,6.482457,6.318804,6.010472,5.845316,6.052566000000001,6.420833,6.285191,5.992523,6.365954,6.893225999999999,7.209312,7.554613000000001,7.8349720000000005,8.103746000000001,8.420143,8.726672
22-2801546,,,,,,,,,,,,,,,,,,,,,,0,0.42382200000000003,0.673554,0.844932,1.152126,1.575106,1.8914380000000002,2.194623,2.662033,2.9056990000000003,3.278432,3.3761330000000003,4.090925,4.290196,4.7276370000000005,4.970068,5.115794999999999,5.277755,5.4979629999999995,5.349524,5.0925519999999995,6.05384,5.81116,6.415193,6.96275,8.289458999999999,7.863944,7.739247,7.371866000000001,6.9535100000000005,6.68865,6.569166,6.286882,6.123228,5.8158970000000005,5.650741,5.856991000000001,6.2262580000000005,6.089616,5.796948,6.1703790000000005,6.699650999999999,7.015737,7.3580380000000005,7.639397,7.909171000000001,8.224568,8.535096000000001
23-2801527,,,,,,,,,,,,,,,,,,,,,,,0,0.249732,0.42211000000000004,0.729304,1.152284,1.468616,1.7718009999999997,2.239211,2.4828770000000002,2.8546099999999996,2.9533110000000002,3.668103,3.867374,4.3048150000000005,4.547246,4.692973,4.854933,5.075141,4.926702,4.66973,5.631018,5.388338,5.992371,6.539928,7.866637,8.053972,7.929274,7.562894,7.144538000000001,6.879677,6.759192999999999,6.47791,6.313256,6.005925,5.841769,6.047019000000001,6.417286,6.280644000000001,5.986975,6.359407,6.890678,7.206764999999999,7.550066,7.830425,8.098199000000001,8.416595,8.724124
24-2801514,,,,,,,,,,,,,,,,,,,,,,,,0,0.173378,0.480572,0.903552,1.219884,1.523069,1.990479,2.235145,2.6058779999999997,2.7045790000000003,3.419371,3.618642,4.056083,4.298514,4.444241000000001,4.606201,4.826409,4.677969999999999,4.420998,5.382286,5.139605,5.743639,6.291196,7.617905,8.302703999999999,8.178007000000001,7.8116259999999995,7.393269999999999,7.128410000000001,7.008926,6.726642,6.562988000000001,6.254657,6.090501000000001,6.296751,6.666017999999999,6.529376,6.236708,6.609139,7.139411,7.455497,7.798798,8.078157000000001,8.347930999999999,8.665328,8.974855999999999
