순번_정류장ID,29-2802708,30-2802731,31-2802755,32-2802776,33-2802813,34-2802854,35-2802865,36-2802876,37-2802888,38-2802912,39-2802949,40-2802978,41-2803006,42-2803002,43-2804818,44-2802956,45-2802984,46-2803578,47-2802646,48-2803032,49-2803031,50-2803025,51-2803023,52-2803016,53-2802995,54-2802957,55-2802933,56-2802911,57-2802916
29-2802708,0,0.36495,0.6244930000000001,1.0329629999999999,1.4999069999999999,1.8850369999999999,2.176905,2.58913,2.5304029999999997,2.789718,3.075868,3.275657,3.767407,4.065473,4.024664,4.227857,4.685907,4.793558999999999,5.191523,5.489226,5.748614,5.920262,6.0248099999999996,5.887957,5.680248000000001,5.418282,5.234868,5.0636220000000005,4.651534
30-2802731,,0,0.25954299999999997,0.668013,1.1359569999999999,1.5200870000000002,1.811955,2.22418,2.165453,2.423768,2.710918,2.910707,3.402457,3.7005230000000005,3.658714,3.862907,4.320957,4.4276089999999995,4.825573,5.124276,5.383664,5.555312000000001,5.65886,5.54882,5.315298,5.053332,4.869918,4.698672,4.2865839999999995
31-2802755,,,0,0.41047,0.8784129999999999,1.262544,1.5544120000000001,1.966637,2.096084,2.3543990000000004,2.640549,2.841337,3.3330870000000004,3.631153,3.589345,3.793537,4.251587000000001,4.358239,4.756203,5.053906,5.3142949999999995,5.485942,5.5894900000000005,5.47945,5.245928,4.983963,4.800548,4.629303,4.217215
32-2802776,,,,0,0.46794399999999997,0.852075,1.143942,1.556167,1.804441,2.062755,2.348905,2.5496939999999997,3.041444,3.3395099999999998,3.2977019999999997,3.501894,3.959944,4.066596,4.46456,4.762263,5.022651000000001,5.194299,5.297847,5.187807,4.954285,4.69232,4.508905,4.3376589999999995,3.9255720000000003
33-2802813,,,,,0,0.384131,0.675999,1.088224,1.3364969999999998,1.5948120000000001,1.8809619999999998,2.08175,2.5735,2.8715669999999998,2.829758,3.0339509999999996,3.492,3.598653,3.9966169999999996,4.29432,4.554708,4.726356,4.829903,4.719864,4.486342,4.224376,4.040962,3.8697160000000004,3.4576279999999997
34-2802854,,,,,,0,0.29186799999999996,0.705092,0.9533659999999999,1.211681,1.497831,1.6986189999999999,2.190369,2.488436,2.446627,2.65082,3.108869,3.215522,3.613486,3.911189,4.171577,4.343224,4.446772,4.336733000000001,4.103211,3.841245,3.657831,3.486585,3.074497
35-2802865,,,,,,,0,0.413225,0.6614979999999999,0.9198129999999999,1.205963,1.406752,1.8985020000000001,2.196568,2.15476,2.358952,2.817002,2.923654,3.321618,3.619321,3.8797089999999996,4.051357,4.154905,4.044865,3.811343,3.549378,3.365963,3.194717,2.7826299999999997
36-2802876,,,,,,,,0,0.24827399999999997,0.506588,0.792738,0.993527,1.485277,1.7833430000000001,1.7415349999999998,1.945727,2.403777,2.5104290000000002,2.9083930000000002,3.206096,3.4664839999999995,3.638132,3.74168,3.63164,3.398118,3.1361529999999997,2.952738,2.7814919999999996,2.369405
37-2802888,,,,,,,,,0,0.258315,0.544465,0.745254,1.237004,1.5350700000000002,1.493261,1.697454,2.176504,2.262156,2.66012,2.957823,3.218211,3.3898589999999995,3.493407,3.5163599999999997,3.282838,3.020873,2.8374580000000003,2.666212,2.254125
38-2802912,,,,,,,,,,0,0.28615,0.486939,0.9786889999999999,1.2767549999999999,1.234947,1.439139,1.918189,2.003841,2.401805,2.6995080000000002,2.959896,3.131544,3.235092,3.454325,3.541153,3.2791879999999995,3.095773,2.924527,2.5124400000000002
39-2802949,,,,,,,,,,,0,0.20078900000000002,0.692539,0.990605,0.9487969999999999,1.152989,1.632039,1.717691,2.115655,2.413358,2.673746,2.8453939999999998,2.9489419999999997,3.168175,3.3983800000000004,3.136414,2.9530000000000003,2.7817540000000003,2.3696669999999997
40-2802978,,,,,,,,,,,,0,0.49175,0.789817,0.8615079999999999,1.065701,1.54475,1.5169030000000001,1.9148669999999999,2.212569,2.472958,2.644605,2.748153,2.967387,3.2009090000000002,3.049126,2.865712,2.694466,2.282378
41-2803006,,,,,,,,,,,,,0,0.298067,0.716742,0.995451,1.2215,1.025153,1.423117,1.72082,1.981208,2.1528549999999997,2.2564029999999997,2.475637,2.709159,2.8618759999999996,2.6784619999999997,2.507216,2.095128
42-2803002,,,,,,,,,,,,,,0,0.41867600000000005,0.697384,0.923434,0.727086,1.12505,1.4227530000000002,1.683141,1.854789,1.958337,2.177571,2.411092,2.5638099999999997,2.380395,2.209149,1.797062
43-2804818,,,,,,,,,,,,,,,0,0.27970900000000004,0.758758,0.800895,1.1988590000000001,1.4965620000000002,1.75695,1.9285970000000001,2.032145,2.251379,2.484901,2.263134,2.07972,1.9084740000000002,1.496386
44-2802956,,,,,,,,,,,,,,,,0,0.47905,0.894702,1.292666,1.5903690000000001,1.850757,2.022405,2.125953,2.3451869999999997,2.245391,1.983426,1.800011,1.628765,1.2166780000000001
45-2802984,,,,,,,,,,,,,,,,,0,0.415653,0.813617,1.11132,1.371708,1.543356,1.6469029999999998,1.866137,1.9023419999999998,1.6403759999999998,1.456962,1.285716,0.8736280000000001
46-2803578,,,,,,,,,,,,,,,,,,0,0.399964,0.697667,0.9580549999999999,1.1297030000000001,1.233251,1.452484,1.6860060000000001,1.945972,1.872614,1.701368,1.28928
47-2802646,,,,,,,,,,,,,,,,,,,0,0.297703,0.558091,0.729739,0.8332870000000001,1.0525209999999998,1.286042,1.546008,1.729422,1.900668,1.687244
48-2803032,,,,,,,,,,,,,,,,,,,,0,0.260389,0.432036,0.5355840000000001,0.754818,0.98834,1.248305,1.43172,1.602965,1.984947
49-2803031,,,,,,,,,,,,,,,,,,,,,0,0.171648,0.275196,0.494429,0.727951,0.987917,1.171331,1.3425770000000001,1.7546650000000001
50-2803025,,,,,,,,,,,,,,,,,,,,,,0,0.103548,0.322782,0.556303,0.8162689999999999,0.999683,1.170929,1.583017
51-2803023,,,,,,,,,,,,,,,,,,,,,,,0,0.219234,0.45475600000000005,0.714721,0.898136,1.069381,1.4814690000000001
52-2803016,,,,,,,,,,,,,,,,,,,,,,,,0,0.23552199999999998,0.495488,0.678902,0.8501479999999999,1.2622360000000001
53-2802995,,,,,,,,,,,,,,,,,,,,,,,,,0,0.261966,0.44538,0.616626,1.028714
54-2802957,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.18341500000000002,0.35466,0.766748
55-2802933,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.171246,0.583334
56-2802911,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.412088
57-2802916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
