순번_정류장ID,1-2800090,2-2800089,3-2800086,4-2800083,5-2800082,6-2800084,7-2805852,8-2805850,9-2805848,10-2805846,11-2800061,12-2800096,13-2803806,14-2806862,15-2807442,16-2801891,17-2806772,18-2807111,19-2806524,20-2806523,21-2806522,22-2806521,23-2805659,24-2802207,25-2802211,26-2802214,27-2805534,28-2802203,29-2802199,30-2802198,31-2802192,32-2806511,33-2806503,34-2806507,35-2802175,36-2801848,37-2802825,38-2802870,39-2802906,40-2802953,41-2802616,42-2802968,43-2802992,44-2802986,45-2802987,46-2802627,47-2802626,48-2803006,49-2803002,50-2804818,51-2802956,52-2802984,53-2803578,54-2802646,55-2803032,56-2803031,57-2803025,58-2803023,59-2803016,60-2802995,61-2802957,62-2802946,63-2802943,64-2806403
1-2800090,0,0.42832299999999995,0.601102,0.8620040000000001,0.64804,0.688752,0.9823270000000001,1.241814,1.680236,2.036944,2.3456069999999998,2.968604,4.1475040000000005,4.937599,5.907286,6.161065,6.461639,6.843742,7.184589,7.455508,7.17245,6.99288,7.400602,8.868446,9.480513,9.921255,10.315964,10.751028,10.886016999999999,11.163202,10.467525,9.470117,9.444452,9.825229,10.173954,10.454314,10.781087,10.953144,11.263013,11.93094,12.132497,12.363342999999999,12.71273,12.998135000000001,12.856858,13.249956,13.533969,13.925314000000002,14.223379999999999,14.384572,14.588764000000001,15.067814000000002,14.950466,15.348429999999999,15.646132999999999,15.906521,16.078169,16.181717000000003,16.400951,16.382154999999997,16.12019,16.122001,16.317849,16.304861
2-2800089,,0,0.172779,0.468674,0.6826369999999999,0.905802,1.1993770000000001,1.458864,1.8972849999999999,2.253994,2.562657,3.185654,4.364554,5.154649,6.1243360000000004,6.378115,6.678689,7.060792,7.401639,7.672558,7.389499000000001,7.20993,7.6176520000000005,9.085496000000001,9.697563,10.138305,10.533013,10.968077000000001,11.103066,11.380252,10.684574000000001,9.687166,9.661502,10.042278,10.391003999999999,10.671363000000001,10.998137,11.170193,11.480063000000001,12.14799,12.349546,12.579393,12.929780000000001,13.214185,13.073908,13.467006,13.751019,14.142364,14.44043,14.601621,14.805814000000002,15.284864,15.167516,15.565479999999999,15.863183,16.123571,16.295219,16.398767000000003,16.618,16.599204999999998,16.337239,16.33905,16.534899,16.520910999999998
3-2800086,,,0,0.29589499999999996,0.5098590000000001,0.733023,1.026598,1.2860850000000001,1.724507,2.0812150000000003,2.389878,3.012875,4.191775,4.98187,5.951557,6.205336,6.50591,6.888013000000001,7.228860000000001,7.499778999999999,7.216721000000001,7.037151,7.444872999999999,8.912717,9.524784,9.965525999999999,10.360235000000001,10.795299,10.930288000000001,11.207473,10.511796,9.514388,9.488723,9.8695,10.218225,10.498585,10.825358,10.998415,11.307284,11.975211,12.176768,12.406614,12.756001,13.042406,12.901129,13.294227,13.57824,13.969585,14.267651,14.428842999999999,14.633035000000001,15.112085,14.994736999999999,15.392701,15.690404000000001,15.950792000000002,16.12244,16.225988,16.445222,16.426426,16.164461,16.166272,16.36212,16.348132
4-2800083,,,,0,0.213964,0.43712799999999996,0.730703,0.99019,1.428612,1.785321,2.093983,2.716981,3.8958800000000005,4.685975,5.655662,5.909441,6.210016,6.592117999999999,6.932964999999999,7.202885,6.920825999999999,6.741256,7.148978,8.616822,9.22889,9.669632,10.06434,10.499404,10.634393,10.911578,10.215900999999999,9.218492999999999,9.192828,9.573605,9.922331,10.202689999999999,10.529464,10.70152,11.011389,11.679316,11.880873,12.111719,12.460106,12.746512,12.605234,12.998332000000001,13.282345000000001,13.673689999999999,13.971756,14.132948,14.33714,14.816189999999999,14.698842,15.096805999999999,15.394509,15.654898000000001,15.826545000000001,15.930093,16.149327,16.130531,15.868566,15.870377,16.066225,16.053237
5-2800082,,,,,0,0.223165,0.51674,0.776227,1.214648,1.571357,1.88002,2.503017,3.681917,4.472012,5.441699,5.695478,5.996052,6.3781550000000005,6.719002000000001,6.988921,6.706861999999999,6.527293,6.935014999999999,8.402859,9.014925999999999,9.455668,9.850375999999999,10.28544,10.420428999999999,10.697614999999999,10.001937,9.004529,8.978864999999999,9.359641,9.708366999999999,9.988726,10.3155,10.487556,10.797426,11.465353,11.666909,11.896756,12.246143,12.532548,12.391271000000001,12.784369,13.068382000000001,13.459726999999999,13.757793,13.918985000000001,14.123176999999998,14.602227,14.484879000000001,14.882843,15.180546,15.440934,15.612582000000002,15.71613,15.935363,15.916568,15.654601999999999,15.656413,15.852262,15.839274
6-2800084,,,,,,0,0.293575,0.5530619999999999,0.991484,1.348192,1.656855,2.2798529999999997,3.4587519999999996,4.2488470000000005,5.218534,5.472313,5.772887,6.15499,6.495837,6.766757000000001,6.483698,6.3041279999999995,6.71185,8.179694,8.791762,9.232503,9.627212,10.062275999999999,10.197265,10.47445,9.778773,8.781365,8.7557,9.136477000000001,9.485203,9.765562,10.092336,10.265392,10.574261,11.242188,11.443745,11.674591,12.023978,12.309384,12.168106,12.561204,12.845217,13.236562,13.534628,13.695820000000001,13.900012,14.379062,14.261714000000001,14.659678,14.957381,15.217770000000002,15.389417000000002,15.492965,15.712198999999998,15.693403,15.431438,15.433248999999998,15.629097,15.616109
7-2805852,,,,,,,0,0.25948699999999997,0.697909,1.064618,1.3732799999999998,1.9962779999999998,3.175177,3.965272,4.934958999999999,5.188738,5.489313,5.871415,6.212262,6.483182,6.2001230000000005,6.020554,6.428275,7.8961190000000006,8.508187,8.948929,9.343637,9.778701,9.913689999999999,10.190875,9.495198,8.49779,8.472125,8.852902,9.201628,9.481987,9.808761,9.980817,10.290686,10.958614,11.160169999999999,11.391016,11.740403,12.025808999999999,11.884530999999999,12.277629,12.561641999999999,12.952987,13.251053,13.412245,13.616438,14.095487,13.97814,14.376103,14.673805999999999,14.934195,15.105842,15.209389999999999,15.428624,15.409828,15.147863000000001,15.149674,15.345522,15.332533999999999
8-2805850,,,,,,,,0,0.43842200000000003,0.805131,1.113793,1.736791,2.91569,3.7057849999999997,4.675472,4.929252,5.229826,5.611928,5.952776,6.223694999999999,5.9406360000000005,5.761067,6.168788,7.6366320000000005,8.2487,8.689442,9.08415,9.519214,9.654203,9.931388,9.235711,8.238303,8.212638,8.593415,8.942141000000001,9.2225,9.549274,9.72133,10.031199,10.699127,10.900683,11.130529,11.479917,11.765322,11.625044,12.018142999999998,12.302156,12.6935,12.991567,13.152757999999999,13.356951,13.835999999999999,13.718653,14.116617000000002,14.414320000000002,14.674707999999999,14.846354999999999,14.949902999999999,15.169137,15.150342000000002,14.888376000000001,14.890187,15.086035999999998,15.073047
9-2805848,,,,,,,,,0,0.366709,0.675372,1.298369,2.4772689999999997,3.267364,4.237051,4.49083,4.791404,5.173507,5.514354,5.785273,5.502214,5.322645,5.730367,7.198211,7.810278,8.25102,8.645729,9.080792,9.215781,9.492967,8.79729,7.799881,7.774217,8.154994,8.503719,8.784079,9.110852000000001,9.282908,9.592778,10.260705,10.462261,10.692108000000001,11.041495,11.3279,11.186622999999999,11.579721000000001,11.863734,12.255078999999999,12.553144999999999,12.714336999999999,12.918529,13.397579,13.280231,13.678195,13.975898,14.236285999999998,14.407934,14.511482,14.730715,14.711920000000001,14.449954,14.451766000000001,14.647614,14.633626000000001
10-2805846,,,,,,,,,,0,0.309663,0.93266,2.11156,2.901655,3.871342,4.125121,4.425694999999999,4.807798,5.148645,5.419564,5.1365050000000005,4.956936,5.364658,6.832502000000001,7.444569,7.885311,8.280019,8.715083,8.850072,9.127258,8.43158,7.434172,7.408508,7.789283999999999,8.138010000000001,8.418369,8.745142999999999,8.917199,9.227069,9.894996,10.096552,10.326399,10.675786,10.962191,10.820914,11.214012,11.498025,11.88937,12.187436,12.348627,12.55282,13.03187,12.914522,13.312485999999998,13.610189000000002,13.870576999999999,14.042225,14.145773000000002,14.365006,14.346210999999998,14.084245000000001,14.086056,14.281904999999998,14.269917000000001
