순번_정류장ID,65-2802877,66-2802883,67-2802900,68-2802928,69-2802622,70-2802996,71-2803018,72-2803022,73-2803030,74-2802644,75-2802645,76-2802965,77-2802959,78-2802641,79-2803003,80-2803008,81-2803013,82-2803004,83-2802997,84-2802990,85-2802989,86-2802993,87-2802969,88-2802615,89-2802952,90-2802918,91-2802864,92-2802824,93-2802618,94-2802176,95-2806506,96-2806502,97-2806512,98-2802193,99-2802196,100-2802200,101-2802204,102-2805533,103-2802215,104-2802212,105-2802208,106-2805660,107-2806528,108-2806527,109-2806526,110-2806525,111-2807112,112-2806514,113-2801854,114-2807443,115-2807444,116-2807281,117-2802018,118-2800097,119-2800060,120-2805845,121-2805847,122-2805849,123-2805851,124-2800085
65-2802877,0,0.307345,0.574415,0.814206,1.0777510000000001,1.319776,1.4531180000000001,1.6075780000000002,1.9832759999999998,2.204309,2.414657,1.96777,2.242954,2.565098,2.815147,3.209501,3.6104019999999997,3.840347,3.9883370000000005,4.187165,4.328901999999999,4.630603,4.9783550000000005,5.2522839999999995,5.420719,5.506316,6.32378,6.2604690000000005,6.454485,6.698844,7.069596000000001,7.467805,7.712898,7.267883,8.009764,8.406656,8.535518,8.889305,9.339417,9.732446000000001,10.384388000000001,11.862504,12.193922,12.033076,11.729708,11.346142,10.854025,10.567702,10.918724000000001,11.187882,12.211062,12.113427,12.334817999999999,13.060964,13.506382,13.963241,14.380935999999998,14.717255999999999,14.998768,15.306892000000001
66-2802883,,0,0.26707,0.506861,0.782855,1.02488,1.266222,1.420682,1.7963799999999999,2.017413,2.227761,1.660425,1.935609,2.2577529999999997,2.507802,2.902156,3.303058,3.5330019999999998,3.680993,3.8798199999999996,4.021557,4.323258999999999,4.67101,4.944939,5.113373999999999,5.198971,6.015436,5.953124,6.14714,6.3915,6.762250999999999,7.1604600000000005,7.405553,6.960539,7.702419,8.099312,8.228173,8.58196,9.032072,9.425101,10.077044,11.55516,11.886577,11.727731,11.422363,11.038797,10.546681,10.260357,10.61138,10.880538,11.903718,12.218082,12.439473,13.165619,13.611037,14.067897,14.485591000000001,14.822910999999998,15.104423,15.412547
67-2802900,,,0,0.23979099999999998,0.515785,0.75781,0.999152,1.153612,1.52931,1.750343,1.960691,1.393356,1.668539,1.9906840000000001,2.240732,2.635087,3.035988,3.265933,3.4139230000000005,3.6127510000000003,3.754487,4.056189,4.4039410000000005,4.677869,4.846304,4.931901,5.748366000000001,5.6860550000000005,5.88007,6.12443,6.495182,6.893389999999999,7.138483,6.693469,7.435349,7.832242,7.961103,8.31489,8.765002,9.158031,9.809974,11.288089999999999,11.617507000000002,11.458662,11.155292999999999,10.771727,10.279611000000001,9.993286999999999,10.34431,10.613468,11.636648,11.951012,12.172403,12.898549000000001,13.343967000000001,13.800826999999998,14.218520999999999,14.555842000000002,14.837353,15.145477
68-2802928,,,,0,0.275994,0.518019,0.759361,0.9138200000000001,1.289519,1.5105520000000001,1.7209,1.4485270000000001,1.723711,2.045855,2.295904,2.690258,3.09116,3.321104,3.469095,3.667922,3.8096589999999995,4.1113610000000005,4.459112,4.733041,4.901476000000001,4.9870730000000005,5.804538,5.741226,5.935242,6.179602,6.550353,6.948562,7.193655000000001,6.748641,7.490521,7.887414,8.016275,8.370061999999999,8.820174,9.213203,9.865146000000001,11.343262,11.672678999999999,11.515833,11.210465,10.826899000000001,10.334783,10.048459,10.399482,10.668639,11.69182,12.006184,12.227575,12.953721,13.399139000000002,13.855998999999999,14.273693,14.611013,14.892525,15.200648999999999
69-2802622,,,,,0,0.242025,0.483367,0.637827,1.013525,1.234558,1.444906,1.724521,1.9997049999999998,2.3218490000000003,2.571898,2.966252,3.367154,3.5970980000000004,3.7450879999999995,3.943916,4.085653,4.387354,4.735106,5.009035,5.17747,5.2630669999999995,6.079530999999999,6.01722,6.211236,6.455596,6.826347,7.224556,7.469649,7.024635000000001,7.766514999999999,8.163407000000001,8.292269000000001,8.646056,9.096167999999999,9.489197,10.14114,11.619255,11.948673,11.789827,11.486459,11.102893,10.610776,10.324453,10.675476,10.944633,11.967814,12.282178,12.503569,13.229714999999999,13.675132999999999,14.131992000000002,14.549686999999999,14.887007,15.168519,15.476643
70-2802996,,,,,,0,0.241342,0.395802,0.7715,0.992533,1.2028809999999999,1.966546,2.2417290000000003,2.443126,2.346922,2.741277,3.142178,3.372123,3.520113,3.7490589999999995,4.075678,4.377379,4.725131,4.99906,5.1674940000000005,5.253091,6.0695559999999995,6.259245,6.453261,6.69762,7.068372,7.46658,7.4596729999999996,7.014659,7.756539,8.153432,8.282294,8.63608,9.086192,9.479222,10.131164,11.60928,11.938697,11.779852,11.476484,11.092918,10.600800999999999,10.314477,10.6655,10.934658,11.957838,12.524202,12.745594,13.471739000000001,13.917157999999999,14.374017000000002,14.791712,15.129032,15.410544,15.718668
71-2803018,,,,,,,0,0.15446,0.530158,0.7511909999999999,0.9615389999999999,1.792112,2.281387,2.201784,2.10558,2.499935,2.900836,3.1307810000000003,3.278771,3.507717,3.834335,4.136037,4.483789,4.757718,4.926152,5.011749,5.828214,6.0734129999999995,6.378919000000001,6.584278,6.939030000000001,7.337238,7.218331,6.773317,7.515197,7.912089999999999,8.040952,8.394738,8.84485,9.23788,9.889822,11.367938,11.699355,11.540510000000001,11.235142,10.851576,10.359459,10.073135,10.424158,10.693316000000001,11.716496000000001,12.465456,12.704252,13.430397,13.875816,14.332675,14.750369000000001,15.08769,15.369202,15.677326
72-2803022,,,,,,,,0,0.375698,0.5967319999999999,0.80708,1.637653,2.126928,2.047325,1.9511209999999999,2.345475,2.7463759999999997,2.976321,3.124311,3.3532580000000003,3.679876,3.9815769999999997,4.329329,4.603258,4.771693,4.85729,5.673754,5.919954,6.2244589999999995,6.429818,6.7845699999999995,7.182778999999999,7.063872,6.618857000000001,7.3607380000000004,7.757630000000001,7.886492,8.240279,8.690391,9.08342,9.735362,11.213478,11.542896,11.38605,11.080682000000001,10.697116000000001,10.204999,9.918676,10.269698,10.538856,11.562036,12.310996000000001,12.549792,13.275938,13.721356,14.178215,14.59591,14.933229999999998,15.214742000000001,15.522866
73-2803030,,,,,,,,,0,0.22103299999999998,0.432381,1.2629549999999998,1.752229,1.672626,1.576422,1.970777,2.3716779999999997,2.601623,2.749613,2.978559,3.3051779999999997,3.606879,3.9546309999999996,4.22856,4.396994,4.482591,5.299056,5.544255000000001,5.849761,6.054119999999999,6.409872,6.80808,6.689172999999999,6.244159,6.986039,7.382932,7.511794,7.8655800000000005,8.315692,8.708722,9.360664,10.83878,11.170197,11.009352,10.705983999999999,10.322417999999999,9.830300999999999,9.543977,9.895,10.164158,11.187338,11.936297999999999,12.175094,12.901239,13.346657999999998,13.803517000000001,14.221212,14.558532000000001,14.840044,15.148168
74-2802644,,,,,,,,,,0,0.211348,1.041922,1.531196,1.4515930000000001,1.355389,1.749744,2.150645,2.38059,2.52858,2.757526,3.084145,3.385846,3.733598,4.007527,4.175961,4.261558,5.078023,5.323222,5.628728,5.833087,6.188839,6.587047,6.46814,6.023126,6.765006,7.161899000000001,7.290761,7.6445479999999995,8.094659,8.487689,9.139631,10.617747,10.947164,10.790319,10.484950999999999,10.101385,9.609268,9.322944999999999,9.673967,9.943125,10.966305,11.715264999999999,11.954061,12.680206,13.125625,13.582484,14.000179000000001,14.337499,14.619010999999999,14.927135
