순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2800317,5-2805948,6-2800371,7-2803056,8-2802651,9-2802638,10-2803669,11-2803046,12-2803045,13-2803071,14-2803082,15-2803093,16-2803107,17-2803121,18-2803113,19-2803106,20-2803048,21-2803109,22-2803227,23-2803239,24-2803252,25-2804953,26-2803256,27-2803249,28-2803230,29-2803233,30-2803234,31-2803237,32-2803241,33-2802745,34-2802737,35-2802629,36-2802719,37-2802709,38-2802703,39-2802693,40-2802688,41-2802684,42-2802674,43-2802665,44-2802662,45-2802659,46-2802650,47-2800819,48-2800815,49-2800810,50-2800806,51-2800793,52-2800785,53-2800771,54-2800764,55-2800756,56-2800736,57-2800710,58-2800705,59-2800697,60-2801603,61-2801583,62-2801565,63-2801546,64-2801527,65-2801514,66-2801509,67-2801497,68-2801482,69-2801450,70-2801424,71-2801411,72-2801401,73-2801160,74-2801367,75-2801346,76-2800173,77-2801259,78-2805069,79-2801243,80-2801242,81-2801247,82-2801249,83-2801253,84-2801083,85-2801057,86-2801043,87-2801010
1-2805726,0,0.34725100000000003,0.657047,0.947607,1.216492,1.797,2.380913,2.69043,2.76405,2.918291,2.6012419999999996,2.4775,2.4742040000000003,2.473183,2.538593,2.801289,2.992395,3.480157,3.703442,3.818315,4.096148,4.586825,4.943387,5.100581,4.830394,4.523406,4.259028,3.7646599999999997,3.867319,3.873964,4.159896,4.513411,4.00514,4.063926,4.456759,4.707665,4.844213,4.940647,5.33815,5.566927,5.598831,5.382158,5.167545,4.941428,4.808095,4.490086,4.655623,4.5144459999999995,4.051707,3.76405,4.0171980000000005,4.2111019999999995,4.557754,4.740937000000001,4.887377,5.0840879999999995,4.726748000000001,4.647034,4.509945,5.486695,5.8179050000000005,6.083528,6.3731029999999995,6.794925,7.044657000000001,7.217035000000001,7.5252289999999995,7.946209,8.359575999999999,8.60017,8.861998,9.162228,9.403906,9.711091,10.22083,10.866636999999999,11.547556,11.7915,11.982838000000001,11.869883999999999,11.559361,11.274417,10.997601,11.209217,11.439138,11.804751,12.668337
2-2805739,,0,0.311797,0.603356,0.8712409999999999,1.45275,2.036663,2.3461790000000002,2.4197990000000003,2.574041,2.255992,2.13225,2.129953,2.127933,2.194343,2.4570380000000003,2.647145,3.137907,3.3611910000000003,3.474065,3.751897,4.242575,4.599136,4.757331,4.487143,4.179156,3.9167769999999997,3.42141,3.523068,3.5297129999999997,3.816646,4.16916,3.66089,3.719676,4.113509,4.364415,4.499963,4.5963959999999995,4.9939,5.222677,5.254581,5.037908,4.823294000000001,4.597176999999999,4.463844,4.145835,4.311372,4.170195,3.7074559999999996,3.4198,3.672947,3.866851,4.213503,4.395687000000001,4.543126,4.740837,4.382497,4.303783999999999,4.1656949999999995,5.143445,5.474655,5.740277,6.029853,6.451675,6.701407000000001,6.872783999999999,7.180979,7.603959,8.015325,8.255919,8.517747,8.817977,9.058655,9.365839999999999,9.87658,10.523387,11.203305,11.44625,11.637587,11.526633,11.21411,10.930166,10.655351,10.863966,11.094887,11.4595,12.324086999999999
3-2800372,,,0,0.29156,0.729539,1.3110469999999999,1.8949599999999998,2.2044759999999997,2.2780970000000003,2.432338,2.114289,1.990547,1.98825,1.98623,2.0526400000000002,2.315336,2.505442,2.994204,3.217488,3.3323620000000003,3.6101940000000003,4.100872,4.457433,4.613628,4.345441,4.036453,3.773075,3.277707,3.3813660000000003,3.38801,3.674943,4.026457,3.518187,3.576973,3.9708059999999996,4.221712,4.35826,4.454694,4.852197,5.080973999999999,5.112878,4.896205,4.681592,4.455474,4.322141,4.004132,4.16967,4.028493,3.565753,3.2780970000000003,3.5312449999999997,3.7251480000000003,4.071801,4.253984,4.401424,4.429041000000001,4.070701000000001,3.9919870000000004,3.8538980000000005,4.831648,5.162858,5.428481,5.718056,6.1398779999999995,6.38961,6.560988,6.868182000000001,7.291162,7.703529,7.945123,8.205950999999999,8.507181,8.746858999999999,9.055044,9.563784,10.21059,10.891509,11.135454,11.326791,11.215836999999999,10.902314,10.61837,10.342555,10.55317,10.783091,11.148703999999999,12.01329
4-2800317,,,,0,1.021099,1.602607,2.1865200000000002,2.496036,2.569657,2.723898,2.4058490000000003,2.282107,2.27981,2.27779,2.3442,2.606895,2.797002,3.285764,3.5080480000000005,3.6239220000000003,3.901754,4.392432,4.7489930000000005,4.905188,4.636001,4.329013,4.064634,3.570267,3.672925,3.6795699999999996,3.965503,4.318017,3.809747,3.869533,4.263366,4.514272,4.64982,4.746254,5.143757,5.372534,5.404438,5.187765,4.9731510000000005,4.747033999999999,4.613701,4.295692,4.461229,4.320052,3.8573129999999995,3.569657,3.822804,4.016708,4.36336,4.526456,4.379017,4.137481,3.7791410000000005,3.7004269999999995,3.5623379999999996,4.540088,4.871298,5.136921,5.426497,5.848318,6.098051,6.269428,6.576622,7.000603,7.410969000000001,7.652563000000001,7.914391,8.214621000000001,8.455299,8.762483999999999,9.272224000000001,9.919030000000001,10.599949,10.842894,11.034231,10.923277,10.610754,10.32681,10.050995,10.26061,10.491531,10.856144,11.72073
5-2805948,,,,,0,0.581509,1.165422,1.6570790000000002,1.768558,2.0218,1.7037509999999998,1.743009,1.9037119999999998,1.935675,2.0020849999999997,2.26478,2.4558869999999997,2.945649,3.167933,3.281807,3.5596389999999998,4.050317,4.406878,4.563073,4.295886,3.9878980000000004,3.722519,3.228152,3.33181,3.338455,3.6243879999999997,3.9419190000000004,3.434649,3.4934339999999997,3.887268,4.126844,3.828722,3.925155,4.3226580000000006,4.551436,4.51034,4.293667,4.079053,3.852936,3.674603,3.3565940000000003,3.522131,3.298954,2.836215,2.548559,2.8017060000000003,2.9956099999999997,3.3422620000000003,3.5244459999999997,3.671885,3.9684209999999998,4.327761,4.406475,4.438453,5.416203,5.747413,6.0130360000000005,6.302612,6.724433,6.974166,7.145542999999999,7.453738,7.875717999999999,8.287084,8.654678,8.916506,9.216736000000001,9.457414,9.764599,10.274339,10.921146,11.602064,11.845009,12.036346,11.925392,11.612869,11.328925,11.05311,11.262725,11.493646,11.876242,12.722846
6-2800371,,,,,,0,0.583913,1.076571,1.29905,1.660709,1.581242,1.6205,1.7812029999999999,2.082817,2.4445930000000002,2.707289,2.897395,3.388157,3.6114410000000006,3.7243150000000003,4.002147,4.492825,4.849386,5.007581,4.738394,4.429406,4.166028,3.67066,3.295319,3.3019629999999998,3.5878959999999998,3.51241,3.00414,3.062926,3.4567589999999995,3.546335,3.2482130000000002,3.344647,3.74215,3.9709269999999997,3.9298309999999996,3.713158,3.4985449999999996,3.272427,3.0940939999999997,2.7760849999999997,2.941623,2.717446,2.254706,1.96705,2.220198,2.414101,2.760754,2.9429369999999997,3.090377,3.386913,3.746253,3.8249660000000003,3.8569449999999996,4.834695,5.165905,5.431528,5.721103,6.142925,6.392657,6.5640350000000005,6.872228999999999,7.295209,7.706575999999999,8.07317,8.334997,8.635227,8.875906,9.183091000000001,9.69283,10.339637,11.020555,11.2635,11.454838,11.343884,11.031361,10.747417,10.471601,10.681216000000001,10.912137,11.315750999999999,12.141337
7-2803056,,,,,,,0,0.491658,0.714137,1.075797,1.393845,1.519587,1.680291,1.981904,2.37868,2.6413759999999997,2.831482,3.320244,3.542529,3.6584019999999997,3.936235,4.416912,4.785474,4.478669,4.209480999999999,3.901493,3.638115,3.142747,2.7434060000000002,2.750051,3.0359830000000003,2.926498,2.418228,2.477013,2.870846,2.961423,2.6633,2.759734,3.157237,3.386014,3.3449190000000004,3.128245,2.9136319999999998,2.6875150000000003,2.509182,2.191173,2.3567099999999996,2.403359,1.9406189999999999,1.6529630000000002,1.906111,2.100014,2.4466669999999997,2.62885,2.77629,3.072826,3.4321660000000005,3.510879,3.5428580000000003,4.520608,4.851818,5.117441,5.4070160000000005,5.828837999999999,6.07857,6.249948000000001,6.557142,6.981122,7.392489,7.759083,8.02091,8.32114,8.561819,8.869003999999999,9.378743,10.02555,10.706468,10.949413,11.140751,11.029797,10.717274,10.43333,10.157514,10.36713,10.59805,11.001664,11.82725
8-2802651,,,,,,,,0,0.222479,0.5841390000000001,0.9021870000000001,1.027929,1.188633,1.490246,1.8870220000000002,2.149718,2.340825,2.828586,3.051871,3.166744,3.4445769999999998,3.9252540000000002,4.2938160000000005,3.987011,3.717823,3.4098349999999997,3.146457,2.651089,2.251748,2.258393,2.544326,2.4348400000000003,1.9265700000000001,1.985355,2.379188,2.600765,2.3026419999999996,2.399076,2.796579,3.025356,3.057261,2.8405869999999998,2.6259740000000003,2.399857,2.3913349999999998,2.288656,2.454193,2.709126,2.432277,2.144621,2.397768,2.591672,2.938325,3.120508,3.267947,3.5644839999999998,3.9238239999999998,4.002537,4.034516,5.012266,5.343476,5.609099,5.898674,6.320496,6.570228,6.742605,7.0498,7.47278,7.8841470000000005,8.250741,8.512568,8.812797999999999,9.053476,9.360662,9.870401,10.517208,11.198126,11.441071,11.632408999999999,11.521455,11.208932,10.924988,10.649172,10.858787,11.089708,11.493322000000001,12.318908
9-2802638,,,,,,,,,0,0.36166,0.679709,0.805451,0.9661540000000001,1.267768,1.6645439999999998,1.927239,2.117346,2.607107,2.829392,2.944266,3.222098,3.702776,4.071337000000001,3.764532,3.4953440000000002,3.187357,2.923978,2.428611,2.0292689999999998,2.035914,2.321847,2.212361,1.704091,1.7628759999999999,2.15671,2.4076150000000003,2.3762630000000002,2.472696,2.8702,3.098977,3.130881,2.9142080000000004,2.699594,2.473477,2.464955,2.511135,2.676672,2.931604,2.6557560000000002,2.3681,2.6212470000000003,2.8151509999999997,3.160803,3.3439870000000003,3.491426,3.7879620000000003,4.1463019999999995,4.226016,4.257994999999999,5.235745,5.565955000000001,5.831576999999999,6.122153,6.543975,6.793707,6.965084,7.272278999999999,7.6962589999999995,8.106625,8.473219,8.736047,9.035277,9.276955000000001,9.58414,10.09388,10.740687,11.420605,11.66455,11.855887,11.744933,11.43241,11.148466,10.872651,11.082266,11.313187,11.7168,12.541387
10-2803669,,,,,,,,,,0,0.31804899999999997,0.443791,0.604494,0.906108,1.302884,1.56558,1.755686,2.245448,2.468732,2.582606,2.8604380000000003,3.351116,3.707677,3.63429,3.365103,3.057115,2.7937369999999997,2.2983689999999997,1.899028,1.905673,2.191605,2.08212,1.573849,1.632635,2.026468,2.277374,2.4429220000000003,2.539356,2.936859,3.165636,3.401878,3.223867,3.009254,2.783137,2.7746150000000003,2.872795,3.038332,3.2932639999999997,3.016416,2.728759,2.981907,3.175811,3.5224629999999997,3.704646,3.852086,4.1486220000000005,4.507962,4.586676000000001,4.618654,5.596404,5.927614,6.193237,6.482812,6.904634,7.1543660000000004,7.326744000000001,7.633938000000001,8.056918,8.468285,8.834878999999999,9.096707,9.396937,9.637615,9.9448,10.454539,11.101346000000001,11.782264999999999,12.025209,12.216547,12.105592999999999,11.79307,11.509126,11.233310000000001,11.442926,11.673847,12.07746,12.903046
