순번_정류장ID,68-2806423,69-2806421,70-2805953,71-2806527,72-2806526,73-2806525,74-2807112,75-2806773,76-2801854,77-2807443,78-2807444,79-2807281,80-2807182,81-2801997,82-2802002,83-2802005,84-2802020,85-2801907,86-2802007,87-2801989,88-2801958,89-2801948,90-2801951,91-2801962,92-2801979,93-2801967,94-2801973,95-2801974,96-2801964,97-2801955,98-2801996,99-2802015,100-2802043,101-2802686,102-2802717,103-2802724,104-2802732,105-2802739,106-2802751,107-2802742,108-2802726,109-2802725,110-2802735,111-2802761,112-2802762,113-2803139,114-2803138,115-2803231,116-2803232,117-2803181,118-2803255,119-2804952,120-2803250,121-2803238,122-2803228,123-2803110,124-2803051,125-2803511,126-2803512,127-2803513,128-2803078,129-2803079,130-2803068,131-2803630,132-2805651,133-2800369
68-2806423,0,0.340908,0.6163569999999999,0.942056,1.244425,1.628991,2.1341069999999998,2.442196,2.6974080000000002,2.642434,1.6212540000000002,2.10089,2.433354,3.072365,3.5229230000000005,3.729961,4.291053,4.591736,5.019497,5.337283,5.510545,5.837446,6.068967,5.844138,5.796092,6.046261,6.350592,6.776136999999999,7.127706,7.569780000000001,8.35035,8.606092,8.976092999999999,9.391823,9.137174,9.211209,9.588379,9.852592,10.226288,10.595457000000001,11.380806,11.846169,12.289639,12.984908,13.357369,13.720765,14.174738,14.518353,14.979026999999999,14.600907999999999,14.583966,14.951735000000001,15.261588,15.734117999999999,16.090336999999998,16.368907999999998,16.33655,16.657759,16.50476,15.986182000000001,15.351785999999999,15.049732999999998,14.907483,14.784856,14.476170999999999,14.516092
69-2806421,,0,0.275449,0.6011489999999999,0.903517,1.287083,1.7912,2.1012880000000003,2.3565,2.567343,1.962162,2.441798,2.774262,3.4132730000000002,3.863831,4.072869,4.633962,4.9346440000000005,5.258405000000001,5.576191000000001,5.747453,6.0743540000000005,6.307875,6.0830459999999995,6.035,6.283169,6.5875,7.015045,7.3646139999999995,7.808688,8.589259,8.845,9.215000999999999,9.44327,9.125082,9.027117,9.404288000000001,9.6685,10.042196,10.411365,11.196714,11.659077,12.105547,12.642000000000001,13.016461,13.379857000000001,13.833831,14.177445,14.638119,14.26,14.243058,14.610826999999999,14.920679999999999,15.391210000000001,15.749429000000001,16.028,15.996642000000001,16.366332999999997,16.482669,15.96509,15.332694,15.030641000000001,14.886391,15.006765,14.715079000000001,14.752
70-2805953,,,0,0.3257,0.6280680000000001,1.011634,1.517751,1.825839,2.081051,2.2918939999999997,2.2376110000000002,2.717247,3.049711,3.6887220000000003,3.741721,3.79742,4.358512999999999,4.6591949999999995,4.982956,5.300742,5.474004,5.800905,6.032426,5.807597,5.759551,6.00972,6.314051,6.739596000000001,7.091164999999999,7.533239,8.31381,8.569550999999999,8.939552,9.167821,8.849633,8.751667999999999,9.128839,9.393051,9.766747,10.135916,10.921265,11.383628,11.829098,12.368551,12.741012,13.104408,13.558382,13.900996,14.361670000000002,13.984551000000002,13.967609,14.335378,14.645230999999999,15.117760999999998,15.47398,15.753551000000002,15.720193,16.090884,16.209220000000002,15.691641,15.058245000000001,14.754192000000002,14.613942000000002,14.734316,14.44263,14.481551000000001
71-2806527,,,,0,0.30336799999999997,0.686934,1.191051,1.499139,1.7563520000000001,1.9671939999999999,2.56331,3.0429459999999997,3.37541,3.867579,3.417021,3.472721,4.033812999999999,4.334496,4.656256,4.974043,5.147304,5.474206,5.7057269999999995,5.480898000000001,5.432852,5.683021,5.987352,6.412897,6.7644660000000005,7.2065399999999995,7.98711,8.242852000000001,8.612853,8.841121000000001,8.522933,8.424969,8.802139,9.066352,9.440047999999999,9.808216999999999,10.597565,11.057929,11.503399,12.042852,12.413313,12.776708,13.230682,13.576297,14.036970000000002,13.657851999999998,13.64091,14.008679,14.318532000000001,14.791061,15.147281,15.427852,15.393494,15.763185,15.88352,15.365942,14.731546,14.427492,14.288242000000002,14.407616,14.113929999999998,14.152852
72-2806526,,,,,0,0.38356599999999996,0.887683,1.195771,1.540984,1.7688259999999998,2.6923220000000003,3.345314,3.677778,3.6692110000000002,3.2186529999999998,3.274353,3.8354449999999995,4.136128,4.352888,4.670675,4.843936,5.170838,5.402358,5.177529,5.129484,5.379653,5.683984,6.109529,6.461098000000001,6.9031720000000005,7.683742,7.939483999999999,8.309484,8.537753,8.219565,8.1216,8.498771000000001,8.762984,9.13668,9.504849,10.291197,10.75656,11.197030999999999,11.739484,12.110944,12.47534,12.929314,13.271927999999999,13.732601999999998,13.354484,13.337542000000001,13.705310999999998,14.015164000000002,14.487693,14.843913,15.123484,15.091125,15.461816,15.580151999999998,15.061573999999998,14.429177,14.126123999999999,13.982873999999999,14.103248,13.809562,13.848484
73-2806525,,,,,,0,0.504117,0.8122050000000001,1.157418,1.38526,2.3087560000000003,3.057715,3.3901790000000003,3.2856449999999997,2.8350869999999997,2.890787,3.451879,3.752562,3.969322,4.287109,4.460369999999999,4.787272,5.0187919999999995,4.793963,4.745918,4.996087,5.300418,5.725962,6.077532,6.519606,7.3001759999999996,7.555917999999999,7.925917999999999,8.154187,7.835999,7.738034,8.115205,8.379418,8.753114,9.122283,9.910631,10.369994,10.815465,11.355917999999999,11.727378,12.091774000000001,12.544748,12.888361999999999,13.349035999999998,12.970918,12.953975,13.321745000000002,13.631597,14.104126999999998,14.460347,14.739918,14.706559,15.07725,15.195585999999999,14.678007999999998,14.043610999999999,13.740557999999998,13.598308,13.718682000000001,13.429996,13.467918
74-2807112,,,,,,,0,0.320088,0.665301,0.934459,1.957639,2.706599,3.039063,2.843528,2.39297,2.44867,3.009762,3.3104449999999996,3.477206,3.7949919999999997,3.968254,4.295155,4.526676,4.301847,4.253801,4.50397,4.808301,5.233846,5.585415,6.027489,6.808059,7.063801,7.433802,7.662071000000001,7.343883,7.245918,7.623088,7.887301,8.260997,8.629166,9.418514,9.877877999999999,10.324347999999999,10.861801,11.236262,11.597657,12.051631,12.395246,12.855919,12.478800999999999,12.461859,12.829628,13.139481,13.612010999999999,13.968229999999998,14.248801,14.215442999999999,14.584133999999999,14.704469,14.185891,13.551495000000001,13.250441,13.106192,13.228565,12.937878999999999,12.974801
75-2806773,,,,,,,,0,0.345213,0.614371,1.637551,2.38651,2.7189740000000002,2.5234400000000003,2.072882,2.1285819999999998,2.689674,2.990357,3.1966919999999996,3.514478,3.6877400000000002,4.014642,4.246162,4.021333,3.9732879999999997,4.223456,4.527788,4.953332,5.304901999999999,5.746976,6.527546,6.783288000000001,7.153288000000001,7.381557000000001,7.063369000000001,6.9654039999999995,7.342575,7.606788000000001,7.980484,8.349653,9.136001,9.597364,10.040835000000001,10.583288,10.954748,11.317144,11.772117999999999,12.114732,12.577406,12.198286999999999,12.181345,12.549114,12.858967,13.331497,13.687716,13.967286999999999,13.934929,14.304620000000002,14.423956,13.906378,13.270980999999999,12.967928,12.825678,12.946052,12.654366,12.695288
76-2801854,,,,,,,,,0,0.269158,1.292338,2.041298,2.3737619999999997,2.178227,1.727669,1.7833689999999998,2.344461,2.6451439999999997,3.072905,3.3906910000000003,3.5639529999999997,3.890854,4.122375,3.8975459999999997,3.8495,4.0996690000000005,4.404,4.8295449999999995,5.181114,5.623188,6.403758,6.6595,7.029501,7.445231,7.189582000000001,7.263617,7.6407869999999996,7.905,8.278696,8.646865,9.434214,9.896577,10.341047,10.9275,11.299961,11.663357000000001,12.11833,12.461945,12.921619,12.5435,12.526558,12.894327,13.20418,13.67671,14.032929000000001,14.3135,14.281142000000001,14.649833,14.558167999999998,14.039589999999999,13.405194,13.102141,12.961891,12.838264,12.531578999999999,12.5685
77-2807443,,,,,,,,,,0,1.02318,1.77214,2.104604,2.000069,1.549512,1.6052110000000002,2.1663040000000002,2.466986,2.894747,3.212533,3.385795,3.7126959999999998,3.9442169999999996,3.719388,3.6713419999999997,3.921511,4.225842,4.651387000000001,5.002956,5.44503,6.225601,6.481342,6.851342999999999,7.267073,7.012424,7.085458999999999,7.46363,7.7268419999999995,8.100538,8.470707,9.257056,9.717419,10.164889,10.942342,11.314803,11.677199,12.130173,12.474787,12.935461,12.812658,12.795716,13.163485000000001,13.473338,13.945867999999999,14.138913,14.327342000000002,14.294984,14.53401,14.380010999999998,13.861432,13.227035999999998,12.924983000000001,12.782733,12.660107,12.354421,12.392342
78-2807444,,,,,,,,,,,0,0.7509600000000001,1.083424,1.722435,2.172993,2.3800310000000002,2.941123,3.241806,3.669567,3.9873529999999997,4.160615,4.487516,4.719037,4.494208,4.446162,4.696331,5.000662,5.426207,5.777776,6.21985,7.00042,7.256162,7.626163,8.041893,7.787244,7.861279,8.237449,8.502661999999999,8.875358,9.245527000000001,10.031875999999999,10.495239,10.937709,11.716161999999999,12.090622999999999,12.453019,12.905992,13.250607,13.71028,13.835838,13.818895999999999,14.186665,14.496518,14.969048,14.913732999999999,15.101162,15.067804,15.307829000000002,15.15383,14.637251999999998,14.002856,13.699803,13.557553,13.434926,13.127239999999999,13.165161999999999
