순번_정류장ID,73-2802155,74-2807105,75-2802127,76-2802109,77-2802072,78-2802061,79-2802077,80-2802068,81-2802032,82-2802007,83-2801989,84-2801958,85-2801947,86-2801939,87-2801934,88-2801940,89-2801951,90-2801962,91-2801979,92-2801967,93-2801973,94-2801956,95-2801945,96-2801169,97-2805307,98-2801700,99-2801706,100-2801713,101-2801703,102-2801681,103-2801666,104-2801633,105-2801192,106-2801636,107-2801604,108-2801564,109-2801518,110-2801490,111-2801458,112-2801434,113-2801399,114-2801370,115-2801341,116-2801316,117-2801297,118-2801318,119-2801325,120-2807166,121-2801351,122-2803551,123-2801331,124-2801344,125-2801357,126-2801360,127-2800384,128-2800607,129-2800618,130-2800623,131-2800631,132-2800642,133-2800664,134-2800333,135-2803555,136-2800688,137-2805582,138-2800715,139-2800729,140-2800743,141-2800755,142-2800308,143-2800317,144-2800369
73-2802155,0,0.25659299999999996,0.9341700000000001,1.037031,1.363831,1.513217,1.230801,1.226949,1.4543709999999999,1.8306209999999998,2.1484080000000003,2.321669,2.519277,2.7207169999999996,2.938932,2.9245490000000003,2.880091,2.655262,2.607217,2.857386,3.161717,3.588621,3.733282,6.530101999999999,6.693774,6.819153,7.039839,7.019717,7.1073070000000005,6.840797,6.660436,7.079866,7.328276,7.685681,7.944217,8.108367999999999,8.080103,8.270744,8.59173,8.829784,9.104455999999999,9.392982,9.651722,9.973105,10.269228,10.171336,10.171726,10.575802000000001,10.933117,11.057253,10.797295,11.143983,11.435342,11.711592,12.376497,12.591224,12.49963,12.192227,11.93045,11.617486,11.221974000000001,10.935841,11.159913000000001,11.186867,10.985081,10.809376,10.761563,11.302271000000001,11.749286999999999,11.947332000000001,11.660324000000001,11.328217
74-2807105,,0,0.679578,1.002872,1.3156709999999998,1.258624,0.976209,0.972356,1.1997790000000002,1.5760290000000001,1.8938150000000002,2.067077,2.264684,2.466124,2.68434,2.669956,2.625499,2.40067,2.352624,2.602793,2.907124,3.334028,3.478689,6.27451,6.440182,6.5655600000000005,6.785247,6.765124,6.852714999999999,6.587205,6.405843,6.825274,7.074683,7.4320889999999995,7.688624000000001,7.853775,7.826511,8.017152000000001,8.337137,8.575192,8.848863,9.13839,9.397129,9.718513,10.014636,9.917744,9.917133999999999,10.32121,10.678525,10.802660000000001,10.542702,10.888391,11.18175,11.457999000000001,12.120905,12.335631,12.244038,11.937634,11.674857000000001,11.361892999999998,10.966382000000001,10.680247999999999,10.90432,10.929274000000001,10.728488,10.552783,10.50597,11.044678,11.491695,11.689739999999999,11.404731,11.074624
75-2802127,,,0,0.323294,0.650094,0.945047,0.8425379999999999,0.838686,1.066108,1.442358,1.760145,1.9334060000000002,2.131014,2.3324540000000002,2.550669,2.536285,2.491828,2.266999,2.218954,2.4691229999999997,2.773454,3.200358,3.345018,6.140839,6.305511,6.43189,6.650575999999999,6.631454,6.719044,6.452534,6.273172,6.691603,6.940013,7.2974179999999995,7.5549539999999995,7.720103999999999,7.691839999999999,7.882480999999999,8.203467,8.441521,8.716192,9.004719,9.263459,9.584842,9.881965,9.783073,9.783463000000001,10.187539,10.544853999999999,10.668989,10.409032,10.75572,11.048079,11.323329,11.989234,12.202961,12.111367,11.804964,11.541186999999999,11.229223,10.833711,10.547578,10.771649,10.798604,10.596817999999999,10.419113000000001,10.3713,10.914008,11.359024,11.560069,11.27206,10.940954
76-2802109,,,,0,0.3268,0.621753,0.9031680000000001,0.936485,1.163907,1.540157,1.8579439999999998,2.031205,2.228813,2.430253,2.648468,2.634084,2.589627,2.364798,2.316753,2.566922,2.871253,3.298157,3.442817,6.239637999999999,6.40431,6.529689,6.749375,6.729253,6.8168429999999995,6.5513330000000005,6.370971,6.790402,7.038811999999999,7.396217,7.653753,7.818903,7.790639,7.98128,8.302266,8.54032,8.813991,9.103518,9.362258,9.682641,9.979764,9.881872,9.881262,10.286338,10.642653,10.765789,10.505831,10.853519,11.144878,11.421128,12.087033,12.298760000000001,12.208166,11.902763,11.639986,11.327022,10.931510000000001,10.645377,10.867448,10.893403,10.694617,10.516912,10.469099,11.011807000000001,11.458822999999999,11.656868,11.368859,11.038753
77-2802072,,,,,0,0.294953,0.5763689999999999,0.7856850000000001,1.013108,1.262358,1.580144,1.753406,1.951013,2.152453,2.370669,2.3562849999999997,2.3118279999999998,2.086999,2.038953,2.2891220000000003,2.593453,3.020357,3.165018,5.960839,6.125511,6.250889,6.470575,6.451453,6.5390440000000005,6.272533999999999,6.092172,6.511603,6.760012,7.117417,7.374953,7.5401039999999995,7.511839999999999,7.702481,8.023466,8.261519999999999,8.535192,8.824719,9.083458,9.403841,9.700965,9.603073,9.602462,10.007539,10.364853,10.488989,10.229030999999999,10.57572,10.867078999999999,11.144328,11.809234,12.02196,11.930366000000001,11.623963,11.361186,11.048222,10.652711,10.366577000000001,10.590649,10.616603,10.414817,10.238112,10.190299000000001,10.732007000000001,11.178024,11.377069,11.090060000000001,10.758953
78-2802061,,,,,,0,0.283416,0.49273199999999995,0.720155,1.0964049999999999,1.414191,1.587453,1.7850599999999999,1.9865,2.204716,2.190332,2.145875,1.9210459999999998,1.8730000000000002,2.123169,2.4275,2.854404,2.9990650000000003,5.794886,5.960558,6.084936,6.304623,6.2855,6.3730910000000005,6.106580999999999,5.926219000000001,6.34565,6.594059,6.951465,7.209,7.3741509999999995,7.345886999999999,7.536528,7.857513000000001,8.095568,8.369239,8.658766,8.917505,9.237888,9.535012,9.43712,9.43651,9.841586,10.198901,10.322036,10.061078,10.408767,10.700126,10.978375,11.642281,11.855007,11.764414,11.45801,11.195233,10.882269,10.486758,10.200624000000001,10.424696,10.45165,10.248864,10.072159,10.025346,10.565054,11.013071,11.211116,10.925107,10.593
79-2802077,,,,,,,0,0.210317,0.43773900000000004,0.8139890000000001,1.1317760000000001,1.305037,1.502645,1.7040849999999998,1.9223,1.9079169999999999,1.863459,1.63863,1.5905850000000001,1.840754,2.145085,2.571989,2.7166490000000003,5.5124699999999995,5.678142,5.803521,6.023207,6.003085,6.090675,5.825165,5.644803,6.063234,6.312644000000001,6.669049,6.926585,7.092735,7.064471000000001,7.254111999999999,7.575098,7.814152,8.087824000000001,8.37735,8.63509,8.956472999999999,9.253596,9.154703999999999,9.154094,9.56017,9.916485,10.039621,9.778663,10.127350999999999,10.41971,10.69496,11.361865,11.574591999999999,11.481997999999999,11.175595,10.913818,10.599853999999999,10.204342,9.919209,10.141281,10.168235000000001,9.966449,9.789744,9.741931,10.284639,10.730655,10.9307,10.641691,10.312585
80-2802068,,,,,,,,0,0.22742300000000001,0.6036729999999999,0.921459,1.0947209999999998,1.2923280000000001,1.493768,1.711984,1.6976,1.653143,1.4283139999999999,1.380268,1.6304370000000001,1.934768,2.361672,2.506333,5.302154,5.466826,5.592204,5.811891,5.792768,5.8803589999999994,5.613849,5.433487,5.852918,6.1013269999999995,6.4587330000000005,6.7162679999999995,6.881419,6.853155,7.043796,7.364781,7.602836,7.876507000000001,8.166034,8.424773,8.745157,9.04228,8.944388,8.943778,9.348854,9.706169000000001,9.829303999999999,9.570346,9.917035,10.207394,10.484643,11.150549,11.362275,11.271682,10.965278999999999,10.702501,10.389536999999999,9.994026,9.707892,9.932964,9.957919,9.757132,9.579427,9.531614999999999,10.073322000000001,10.520339,10.718384,10.432375,10.100268
81-2802032,,,,,,,,,0,0.37925,0.697037,0.8702979999999999,1.067906,1.2693459999999999,1.4875610000000001,1.473177,1.42872,1.203891,1.155846,1.406015,1.710346,2.13725,2.28191,5.078730999999999,5.243403,5.368782,5.588468,5.568346,5.655936,5.390426000000001,5.210064,5.6294949999999995,5.877905,6.23431,6.492846,6.656996,6.628732,6.820373,7.140358999999999,7.378413,7.652083999999999,7.941611,8.200351,8.520734,8.817857,8.719965,8.719355,9.125430999999999,9.481746000000001,9.605882000000001,9.344924,9.692611999999999,9.984971,10.260221000000001,10.925125999999999,11.138853,11.048259,10.741856,10.478079,10.166115,9.769603,9.48447,9.708541,9.734496,9.533710000000001,9.358005,9.308192,9.8499,10.297916,10.493961,10.207952,9.875846000000001
82-2802007,,,,,,,,,,0,0.317787,0.555048,0.752656,0.9540959999999999,1.172311,1.157928,1.051721,0.824641,0.776596,1.026765,1.3310959999999998,1.758,1.9026610000000002,4.698481,4.863153,4.988532,5.2082180000000005,5.189096,5.276686,5.010176,4.829815,5.249244999999999,5.497655,5.85506,6.113596,6.277747,6.2494819999999995,6.441123,6.761108999999999,7.000163000000001,7.272835000000001,7.562361,7.822100999999999,8.141484,8.438607000000001,8.340715,8.340105,8.745181,9.102496,9.226632,8.966674000000001,9.314362,9.605721,9.881971,10.546876,10.760603,10.668009,10.361606,10.098828999999999,9.785865,9.390353,9.10422,9.326292,9.356246,9.15146,8.976755,8.928942,9.47065,9.917666,10.116711,9.830703,9.495596
