순번_정류장ID,1-2805726,2-2805739,3-2800372,4-2805746,5-2805747,6-2806935,7-2806814,8-2806816,9-2807638,10-2806819,11-2806825,12-2807055,13-2806828,14-2806827,15-2806826,16-2806820,17-2806818,18-2806817,19-2806815,20-2806936,21-2807051,22-2805748,23-2805749,24-2800680,25-2806689,26-2800722,27-2800307,28-2800758,29-2800744,30-2800730,31-2800727,32-2800714,33-2800701,34-2800704,35-2800708,36-2800720,37-2800737,38-2800757,39-2800769,40-2800782,41-2800803,42-2800809,43-2800816,44-2800818,45-2802653,46-2802657,47-2802663,48-2802664,49-2802675,50-2802681,51-2802676,52-2802670,53-2802692,54-2802713,55-2802744,56-2802767,57-2802778,58-2802792,59-2802800,60-2802815,61-2802826,62-2802834,63-2802833,64-2802832,65-2802807,66-2807054,67-2802768,68-2802746,69-2802633,70-2802772
1-2805726,0,0.34725100000000003,0.657047,1.762706,2.2230950000000003,2.602838,3.282541,3.925298,4.355157,5.1014230000000005,6.431246,6.704628,7.002486,6.773541000000001,6.420403,5.083787999999999,4.388323000000001,3.8667300000000004,3.27446,2.528347,2.902987,3.161444,3.028625,2.677484,2.346448,1.858312,1.244787,1.6378780000000002,2.167,2.632663,2.988717,3.274227,3.82038,4.144537000000001,4.586468,4.868772,5.126366,4.866807,4.600747,4.233269,4.095154,4.450793,4.561595,4.660972,4.51504,4.757706,4.911536,5.167194,5.396765,5.565558,5.852692,6.2987470000000005,6.608060000000001,6.965346,7.3781490000000005,7.687803,8.019245,7.4985,7.455819,7.383078,6.993533,6.804828,6.605511,5.9565,5.503984,5.177137999999999,5.519243,5.2326440000000005,5.064221,4.85426
2-2805739,,0,0.311797,1.419456,1.878844,2.259587,2.939291,3.582047,4.011907,4.757172,6.086996,6.360378,6.659236,6.429291,6.077153,4.739537,4.045073,3.5214790000000002,2.9302099999999998,2.184096,2.558736,2.8171939999999998,2.684375,2.3342330000000002,2.003197,1.514062,0.8985360000000001,1.294627,1.82375,2.289412,2.6444669999999997,2.928977,3.4761300000000004,3.8012870000000003,4.241217,4.5255220000000005,4.7831150000000004,4.522556,4.256497,3.889018,3.7499029999999998,4.107543,4.216344,4.316722,4.170789,4.413455,4.567285,4.822944000000001,5.0525139999999995,5.220308,5.508441,5.955496,6.263809999999999,6.6210949999999995,7.033899000000001,7.343552000000001,7.675994,7.15525,7.112568,7.039827000000001,6.650282000000001,6.460577,6.2622599999999995,5.61225,5.159733,4.832887,5.174992,4.888394,4.71997,4.511009
3-2800372,,,0,1.10766,1.567048,1.947791,2.627494,3.270251,3.70011,4.445376,5.7752,6.048582,6.347439,6.117495,5.765356,4.427741,3.733276,3.209683,2.6184130000000003,1.8723,2.24694,2.5053970000000003,2.372579,2.022437,1.691401,1.202265,0.5877399999999999,0.9828309999999999,1.511954,1.977616,2.3326700000000002,2.617181,3.164333,3.48949,3.929421,4.213725,4.471319,4.380853,4.114794,3.7473160000000005,3.608201,3.96484,4.074642,4.175019,4.0290870000000005,4.271751999999999,4.4255830000000005,4.681241,4.910811,5.0786050000000005,5.366739,5.812793,6.123107,6.4783919999999995,6.891196000000001,7.201849,7.531292,7.011547,6.969866000000001,6.897124000000001,6.50758,6.317874,6.1195580000000005,5.469547,5.01703,4.6901839999999995,5.033289,4.746691,4.577268,4.368306
4-2805746,,,,0,0.45938900000000005,0.842132,1.521835,2.164592,2.594451,3.339717,4.6695400000000005,4.942922,5.24178,5.011836,4.659697,3.322082,2.627617,2.1040240000000003,1.5127540000000002,0.766641,1.141281,1.399738,1.991669,2.086778,1.755742,1.405982,0.827493,1.2225840000000001,1.7517060000000002,2.2173689999999997,2.572423,2.856933,3.404086,3.729243,4.169174,4.453478,4.711072,4.9249,5.195958999999999,4.853975,4.71486,5.071499,5.182301,5.281678,5.135746,5.378412,5.532242,5.7879,6.017471,6.1862639999999995,6.473398,6.921453,7.229766000000001,7.587052000000001,7.999855,8.309509,8.638950999999999,8.119206,8.076525,8.005784,7.615239,7.425534,7.227217,6.576206,6.1256900000000005,5.797844,6.138949,5.85235,5.684927,5.474966
5-2805747,,,,,0,0.382743,1.062447,1.7052029999999998,2.135063,2.880329,4.210152,4.483534,4.782392,4.552447,4.200309,2.862693,2.168229,1.6446349999999998,1.053366,0.307252,0.6818930000000001,0.94035,1.532281,1.627389,1.296354,0.946594,1.286881,1.681972,2.2110950000000003,2.676757,3.031812,3.316322,3.863475,4.188632,4.628563,4.912866999999999,5.17046,5.384288,5.655348,5.313364,5.174249,5.5318879999999995,5.64069,5.741067,5.595135,5.8378,5.991631,6.247289,6.476858999999999,6.644653,6.932786,7.379841000000001,7.687155000000001,8.046439999999999,8.459244,8.768897,9.09934,8.576595,8.535913,8.463172,8.074628,7.883922,7.685605000000001,7.035595,6.5830779999999995,6.256232,6.598337,6.311739,6.143316,5.934354
6-2806935,,,,,,0,0.679704,1.32246,1.75232,2.497585,3.827409,4.100791,4.399649,4.169704,3.8175660000000002,2.47995,1.7854860000000001,1.261892,0.8882979999999999,0.142184,0.516825,0.7752819999999999,1.367213,1.462321,1.131286,0.781526,1.6676240000000002,2.0627150000000003,2.591838,3.0575,3.4125550000000002,3.6970650000000003,4.244218,4.569375,5.009305,5.29361,5.551203,5.765031,6.036091000000001,5.694106,5.554991,5.912631,6.021432,6.12181,5.975877,6.218543,6.3723730000000005,6.628032000000001,6.857602,7.025396000000001,7.313528999999999,7.760584,8.069898,8.427183,8.839986999999999,9.14964,9.479083000000001,8.958338000000001,8.915656,8.843914999999999,8.454371,8.264664999999999,8.066348,7.4163380000000005,6.963821,6.636975,6.979080000000001,6.692482000000001,6.524058999999999,6.315097
7-2806814,,,,,,,0,0.642757,1.072616,1.817882,3.1477049999999998,3.4210879999999997,3.7199449999999996,3.4900010000000004,3.1378619999999997,1.8002470000000002,1.105782,0.5821890000000001,0.765999,0.821887,1.196528,1.454985,2.046916,2.142024,1.810989,1.4612290000000001,2.347328,2.742419,3.271541,3.737203,4.092258,4.376768,4.923921,5.249078,5.6890089999999995,5.973313,6.230906,6.444735,6.715794,6.37481,6.235695,6.593334,6.702136,6.802513,6.656581,6.899246000000001,7.053077,7.308735,7.538305,7.706099000000001,7.994233,8.440287,8.748600999999999,9.106886,9.519689999999999,9.829343,10.160786,9.641041,9.59736,9.524617999999998,9.135074000000001,8.945367999999998,8.748052000000001,8.098041,7.645524000000001,7.317678,7.659783,7.373185,7.205761999999999,6.9968
8-2806816,,,,,,,,0,0.42986,1.1751260000000001,2.5049490000000003,2.778331,3.0771889999999997,2.847244,2.4951060000000003,1.15749,0.9916209999999999,0.468027,0.651838,1.464644,1.839284,2.0977419999999998,2.689673,2.784781,2.453745,2.103986,2.990084,3.385175,3.9142980000000005,4.37996,4.735015,5.019525,5.566678,5.8918349999999995,6.331765,6.61607,6.8736630000000005,7.087491,7.358550999999999,7.017566,6.877451,7.235091000000001,7.344892,7.44527,7.2993369999999995,7.542003,7.695833,7.951492,8.181061999999999,8.348856,8.636989,9.084044,9.393358000000001,9.750643,10.162447,10.4731,10.801542,10.280797999999999,10.240116,10.167375,9.77783,9.588125,9.389808,8.739798,8.287281,7.960435,8.302539999999999,8.015941999999999,7.847517999999999,7.6385570000000005
9-2807638,,,,,,,,,0,0.745266,2.0750889999999997,2.348472,2.647329,2.417385,2.0652459999999997,0.727631,0.723521,0.8978870000000001,1.081697,1.8945029999999998,2.269144,2.5276009999999998,3.119532,3.21464,2.8836049999999998,2.533845,3.419944,3.815034,4.344157,4.809819,5.164874,5.449383999999999,5.996537,6.321694,6.761625,7.045928999999999,7.303522,7.517351,7.788410000000001,7.447425999999999,7.306311,7.66495,7.773752,7.874128999999999,7.728197,7.9708619999999994,8.124692999999999,8.380351,8.609921,8.777714999999999,9.065849,9.512903,9.820217,10.178502,10.591306,10.900959,11.233402,10.712657,10.667976,10.596233999999999,10.208689999999999,10.018984,9.819668,9.169657,8.717139999999999,8.390294,8.732399000000001,8.444801,8.276378,8.068416000000001
10-2806819,,,,,,,,,,0,1.329824,1.603206,1.902063,1.672119,1.3199809999999998,0.11079000000000001,0.7331,1.256694,1.8269630000000001,2.639769,3.01441,3.2728669999999997,3.8647980000000004,3.9599059999999997,3.6288709999999997,3.279111,4.165209,4.5603,5.089423,5.555085,5.91014,6.19465,6.741803,7.066960000000001,7.506891,7.791195,8.048788,8.262617,8.533676,8.191692,8.051577,8.409216,8.519017999999999,8.619394999999999,8.473463,8.716128,8.869959,9.125617,9.355186999999999,9.522981,9.811114,10.258169,10.565483,10.923767999999999,11.336572,11.647225,11.976668,11.456923,11.413241000000001,11.3415,10.952956,10.76325,10.564933,9.913922999999999,9.462406,9.13456,9.476664999999999,9.191067,9.021644,8.813682
