순번_정류장ID,45-2803210,46-2803361,47-2803180,48-2803295,49-2803292,50-2803649,51-2803284,52-2803290,53-2803297,54-2803310,55-2805831,56-2803190,57-2807053,58-2805813,59-2805149,60-2807040,61-2806036,62-2807341,63-2807344,64-2806484,65-2807326,66-2805694,67-2805636,68-2806053,69-2806032,70-2806025,71-2805697,72-2805699,73-2805701,74-2805638,75-2806605,76-2806538,77-2803160,78-2805975,79-2803158,80-2803654,81-2806162,82-2805635,83-2805633,84-2807037,85-2805631,86-2805677
45-2803210,0,0.305772,8.544329,8.76987,8.936638,9.229569999999999,9.517919000000001,9.420199,9.412638000000001,9.831203,9.789939,9.569638000000001,9.721309,8.938516,8.412256,8.180094,7.888487,7.203072,7.102927,7.429226,8.615895,10.521225,10.9326,11.311283999999999,11.432853999999999,11.462102999999999,11.654774,12.178661,11.968722,12.021419,12.382793,12.863665,12.846838,12.319464,12.582365,12.286119,12.004814,12.319183,11.71004,11.644164,11.976415,12.28575
46-2803361,,0,8.238557,8.464098,8.630866000000001,8.923798,9.212148,9.114427000000001,9.106866,9.525431,9.484167,9.263866,9.415536999999999,8.632744,8.106485000000001,7.874322,7.5827160000000005,6.8973,6.797156,7.123455,8.310124,10.215453,10.626828,11.005512,11.127082000000001,11.156331,11.349003,11.873889,11.66395,11.715647,12.076022,12.556894,12.541066,12.013692,12.276594000000001,11.980347,11.699043,12.013411,11.403267999999999,11.338393,11.670644,11.979978
47-2803180,,,0,0.225541,0.392309,0.685241,0.97359,0.87587,0.868309,1.286874,1.24561,1.025309,1.314638,2.0974310000000003,2.623691,2.856853,3.15846,3.832875,4.075598,4.401897,5.588566,7.493896,7.905271000000001,8.283955,8.405525,8.434774,8.627445,9.151332,8.941393,8.993089999999999,9.354464,9.836337,9.419509,8.712483,8.449582000000001,8.070789999999999,7.6481330000000005,7.3337639999999995,6.692711,6.357782,6.025531,5.532421
48-2803295,,,,0,0.166768,0.4597,0.74805,0.7967930000000001,0.7892319999999999,1.207797,1.166533,0.946232,1.2355610000000001,2.018354,2.544614,2.777776,3.079383,3.753798,3.996521,4.32282,5.509489,7.4148190000000005,7.826194,8.204877999999999,8.326448,8.355697,8.548368,9.073255,8.863316000000001,8.915013,9.276387,9.756260000000001,9.340432,8.632406,8.369505,7.990713,7.5680559999999995,7.253686999999999,6.612634,6.277705,5.946454,5.452344
49-2803292,,,,,0,0.292932,0.581281,0.9635610000000001,0.956,1.374565,1.333301,1.113,1.4023290000000002,2.185123,2.711382,2.944544,3.246151,3.9205660000000004,4.16329,4.489589,5.676258,7.581587,7.9929619999999995,8.371646,8.493216,8.522464999999999,8.715137,9.240022999999999,9.029084,9.081781,9.443156,9.924028,9.5062,8.799174,8.536273,8.157481,7.734824000000001,7.4204550000000005,6.779402,6.444474,6.112222,5.619112
50-2803649,,,,,,0,0.28835,0.7665069999999999,1.232069,1.6506330000000002,1.60937,1.389069,1.6783970000000001,2.461191,2.98745,3.220612,3.522219,4.196635,4.439358,4.765657,5.952326,7.857655,8.269031,8.647714,8.769285,8.798533,8.991205,9.515092,9.305153,9.356849,9.718224000000001,10.199096,9.783269,9.076242,8.813341000000001,8.434549,8.011892,7.6975240000000005,7.056471000000001,6.720542,6.388291000000001,5.895181
51-2803284,,,,,,,0,0.47815799999999997,0.9437190000000001,1.362284,1.32102,1.100719,1.390048,2.172841,2.6991,2.9322630000000003,3.23387,3.908285,4.151008,4.477307,5.663976,7.569306,7.980681,8.359364999999999,8.480935,8.510183999999999,8.702855,9.227742,9.016803,9.0685,9.429874,9.910747,9.494919,8.786893,8.524991,8.1452,7.722542999999999,7.408174000000001,6.767121,6.432192,6.100941000000001,5.607831
52-2803290,,,,,,,,0,0.46556099999999995,0.884126,0.8428620000000001,0.6225609999999999,0.91189,1.694684,2.220943,2.4541049999999998,2.755712,3.4301269999999997,3.672851,3.99915,5.185819,7.091148,7.502522999999999,7.881207000000001,8.002777,8.032026,8.224698,8.749584,8.538644999999999,8.590342,8.952717,9.432589,9.015761,8.308735,8.045834,7.668042,7.244385,6.930016,6.289962999999999,5.954035,5.621783,5.128673
53-2803297,,,,,,,,,0,0.41856499999999996,0.377301,0.342,0.8483290000000001,1.6311229999999999,2.157382,2.390544,2.692151,3.366566,3.60929,3.935589,5.122258,7.027587,7.438961999999999,7.817646000000001,7.939217,7.968464999999999,8.161137,8.685023,8.476085000000001,8.526781,8.888156,9.370028,8.9522,8.245174,7.982272999999999,7.6034809999999995,7.180824,6.8674550000000005,6.225402,5.890474,5.558223,5.065112999999999
54-2803310,,,,,,,,,,0,0.625866,0.729565,1.235894,2.018687,2.520947,2.754109,3.055716,3.7301309999999996,3.972854,4.299153,5.485822,7.391152000000001,7.802527,8.181211,8.302781,8.33203,8.524701,9.048588,8.839649,8.890346000000001,9.25272,9.733592999999999,9.339765,8.632739,8.369838,7.991046000000001,7.568389,7.25402,6.612967,6.278038,5.945787,5.4526769999999996
