순번_정류장ID,1-2802588,2-2802586,3-2802584,4-2802575,5-2802567,6-2802553,7-2802543,8-2802364,9-2802548,10-2802290,11-2802292,12-2802287,13-2802283,14-2802280,15-2802281,16-2802270,17-2802262,18-2802238,19-2802226,20-2802222,21-2802192,22-2802185,23-2802169,24-2802154,25-2801846,26-2802103,27-2802052,28-2801847,29-2801990,30-2801952,31-2801805,32-2801799,33-2801777,34-2801772,35-2801775,36-2801789,37-2801796,38-2800812,39-2800808,40-2800802,41-2800807,42-2804926,43-2800773,44-2800760,45-2800741,46-2800725,47-2800691,48-2800684,49-2800676,50-2800667,51-2800657,52-2800340,53-2800624,54-2800619,55-2806214,56-2806242,57-2806244,58-2801157,59-2801155,60-2801151,61-2801149,62-2801324,63-2801332,64-2801379,65-2801433,66-2801474,67-2801464,68-2801178,69-2801179,70-2801439,71-2801180,72-2801495,73-2801506,74-2801512,75-2801523,76-2801563,77-2801598,78-2801623,79-2801653,80-2801676,81-2801186,82-2801710,83-2801727,84-2801741,85-2801750,86-2801755,87-2801765
1-2802588,0,0.304679,0.520221,0.7520789999999999,1.0780809999999998,1.4236799999999998,1.748419,2.122624,1.967414,2.122974,2.322108,2.681437,2.908664,3.3961919999999997,3.807526,4.2666889999999995,4.460628,4.698556,4.931822,5.231014,6.237728,6.435765,7.069344999999999,7.48875,7.891128999999999,8.188303,8.66284,8.931489,9.239894,9.735403999999999,10.080967,10.277461,10.624042999999999,10.603677000000001,10.245574000000001,10.003385,10.071008,10.500625999999999,10.927069,11.220439,11.645562,11.980464999999999,12.26408,12.532364,12.82673,13.106714,13.507654,13.739717,14.049932,14.385867999999999,14.562868,14.851023999999999,15.396510999999999,15.675907999999998,16.137632,16.650779,16.961617,17.234866,16.953208,16.667914,16.22082,15.873316,15.719889000000002,15.357094,14.846910000000001,14.502195,14.750210000000001,14.946697,15.008354999999998,14.925512,14.379592,14.183492000000001,14.420755999999999,14.532889,14.271268,13.832489,13.667939000000002,13.416803,13.243929999999999,12.877943,12.479395,12.246503,12.000748,11.714939,11.333504,10.959755,10.585105
2-2802586,,0,0.215542,0.448399,0.774402,1.120001,1.444739,1.818944,1.873907,2.147653,2.345788,2.705117,2.932343,3.420871,3.832205,4.290368,4.400072,4.638,4.871266,5.055457,6.086172,6.284209,6.917788000000001,7.337194,7.739572,8.036747,8.512284,8.779933,9.088338,9.583848,9.92941,10.126904,10.471487,10.450121000000001,10.094018,9.852829,9.918452,10.34907,10.775513,11.068882,11.342882000000001,11.676786,11.959401,12.231685,12.52205,12.803034,13.203975,13.439038,13.745253,14.083189,14.259189000000001,14.547345000000002,15.091832,15.373229,15.834953,16.3481,16.660938,17.082309,16.801651,16.516358,16.066264,15.72176,15.568332,15.205538,14.694354,14.351639000000002,14.599653,14.79514,14.856798000000001,14.772956,14.228036,14.031935999999998,14.2692,14.381332,14.118712,13.681932999999999,13.516382,13.263245999999999,13.092374000000001,12.727387,12.326839,12.093947,11.847192,11.562383,11.182948,10.808199,10.432549
3-2802584,,,0,0.23285799999999998,0.55886,0.904459,1.230197,1.6034030000000001,1.658365,1.9698759999999997,2.1690099999999997,2.528339,2.755566,3.244094,3.6554269999999995,4.11359,4.1845300000000005,4.422458,4.655724,4.839915,5.86963,6.068667,6.702246000000001,7.121652,7.524030000000001,7.821205,8.295742,8.564391,8.872796000000001,9.369306,9.713868,9.911363,10.255945,10.234579,9.877476,9.637286999999999,9.702910000000001,10.133528,10.560971,10.851341,11.12734,11.462244,11.743859,12.014142999999999,12.307508,12.588492,12.990433,13.221495999999998,13.530710999999998,13.869647,14.044647,14.333803,14.877289999999999,15.158686999999999,15.621410999999998,16.133557999999997,16.444395999999998,16.866767000000003,16.587108999999998,16.300816,15.851722,15.507218,15.352791,14.989996,14.477812,14.136097,14.383111999999999,14.579598,14.641256,14.557414000000001,14.012494,13.816394,14.053657999999999,14.166789999999999,13.905170000000002,13.465391,13.299841,13.047704,12.875832,12.510845,12.111297,11.878405,11.63165,11.346841,10.968406,10.592657,10.218007
4-2802575,,,,0,0.326002,0.671602,0.99634,1.454421,1.8225419999999999,2.134052,2.3331869999999997,2.691516,2.919742,3.4072709999999997,3.819604,4.2767669999999995,4.348707,4.586635,4.819901,4.979058,6.009773,6.20781,6.839389,7.258795,7.661173,7.960348,8.434884,8.701533999999999,9.011939,9.507449000000001,9.560011,9.757505,10.103088,10.084722,9.724619,9.48443,9.550052,9.979671000000002,10.408114,10.699483,10.893483,11.229386,11.512002,11.781286,12.073651,12.354635,12.756575999999999,12.986639,13.298854,13.634789999999999,13.80979,14.099946,14.643432999999998,14.926829999999999,15.386554,15.8997,16.212539000000003,16.82691,16.546252,16.259957999999997,15.810865,15.467360999999999,15.312933,14.950139000000002,14.437954999999999,14.095239000000001,14.344254000000001,14.718741,14.778398999999999,14.696557,14.151637,13.955537,14.1928,14.125932999999998,13.863313,13.423534,13.260983,13.007847,12.835975,12.470988,12.07244,11.838548,11.591793,11.193983,10.813549,10.4418,10.06515
5-2802567,,,,,0,0.3456,0.670338,1.128419,1.650506,2.019016,2.21715,2.57648,2.803706,3.2922339999999997,3.703568,4.161731,4.17667,4.414599,4.647865,4.651056,5.68077,5.880808,6.513387000000001,6.932792,7.335171000000001,7.632345,8.107882,8.376531,8.683937,9.180447000000001,9.235009,9.430503,9.778085,9.75572,9.397617,9.155428,9.22205,9.653669,10.080112,10.373481,10.568481,10.903383999999999,11.184999000000001,11.455283999999999,11.747649000000001,12.029633,12.431573,12.662637,12.971851,13.308788,13.485787,13.774942999999999,14.316431,14.600828,15.062551999999998,15.573698,15.885537,16.503908,16.22025,15.933956,15.485862,15.143359,14.986931,14.622136,14.111951999999999,13.768237,14.017252,14.391739000000001,14.453397,14.369554999999998,13.824635,13.627535,13.865798000000002,13.798931,13.537310999999999,13.099532,12.932981,12.680845,12.508973,12.143985,11.745436999999999,11.514546000000001,11.26479,10.867981,10.486547,10.113798,9.738147999999999
6-2802553,,,,,,0,0.325739,0.78382,1.305906,1.6954169999999997,1.8935509999999998,2.2528799999999998,2.480107,2.968635,3.3799690000000004,3.838132,3.832071,4.069999,4.303265000000001,4.307457,5.337171,5.536208,6.169788,6.589192999999999,6.991572,7.288746000000001,7.763283,8.031932000000001,8.341337,8.835847,8.951410000000001,9.147903999999999,9.493486,9.47312,9.115017,8.872828,8.940451,9.370069,9.796512,10.090882,10.285882,10.618785,10.9034,11.172684,11.46605,11.746034,12.148974,12.379037,12.689252,13.027188,13.200188,13.491344,14.035831,14.317228,14.778951999999999,15.291098999999999,15.602938,16.216309,15.937651,15.650357000000001,15.200263,14.856759,14.705332,14.340537,13.828353,13.484638,13.732652999999999,14.047139999999999,14.108798,14.024954999999999,13.480035,13.283935000000001,13.521199,13.517332000000001,13.253711,12.815932,12.650382,12.398246,12.226372999999999,11.861386,11.461838,11.228946,10.981191,10.584382000000002,10.203947,9.830198,9.457548
7-2802543,,,,,,,0,0.458081,0.980168,1.3696780000000002,1.567813,1.927142,2.154368,2.642897,3.05423,3.512393,3.506333,3.744261,3.977527,3.980718,5.011433,5.20947,5.843049,6.262455,6.664833,6.962007000000001,7.4365440000000005,7.7051929999999995,8.013599000000001,8.509109,8.625671,8.822165,9.166748,9.147382,8.789278999999999,8.54809,8.614711999999999,9.044331,9.471774,9.763143,9.960142999999999,10.295046000000001,10.577662,10.846946,11.140311,11.421294999999999,11.824236,12.054299,12.363514,12.70145,12.87745,13.166606,13.710092999999999,13.99049,14.453214000000001,14.96536,15.278198999999999,15.891570000000002,15.609912,15.325617999999999,14.875525,14.533021,14.378592999999999,14.013798999999999,13.503615,13.158899,13.408914000000001,13.720401,13.782059,13.698217000000001,13.153297,12.957197,13.194460000000001,13.190593,12.927973,12.491194,12.325643,12.073507000000001,11.901635,11.534647999999999,11.136099,10.903208,10.655453,10.259642999999999,9.878209,9.50446,9.12981
8-2802364,,,,,,,,0,0.525087,0.9145969999999999,1.112732,1.472061,1.699287,2.187816,2.599149,3.057312,3.051252,3.2891800000000004,3.522446,3.706637,4.737352,4.935389,5.568968,5.988373999999999,6.390752,6.687925999999999,7.163463,7.432111999999999,7.740517999999999,8.236028,8.580589999999999,8.777084,9.121667,9.103301,8.743198,8.502009,8.568631,9.00025,9.425692999999999,9.718062,10.091938,10.424841,10.708457000000001,10.977741,11.272105999999999,11.55309,11.955031,12.185094,12.493309,12.833245,13.008245,13.296401000000001,13.841888,14.123285000000001,14.585009,15.096155,15.408994,15.734489000000002,15.454831,15.168536999999999,14.718444,14.374939999999999,14.220512,13.857717999999998,13.345533999999999,13.002818,13.250832999999998,13.447320000000001,13.508977999999999,13.425135999999998,12.880216,12.684116,12.921379,13.034512,12.770892,12.333113,12.167562,11.915426,11.743554,11.379567,10.979018,10.746127,10.499372,10.212562,9.834128,9.459379,9.083729
9-2802548,,,,,,,,,0,0.389511,0.588645,0.947975,1.175201,1.663729,2.075063,2.533226,2.741165,2.979094,3.212359,3.5115510000000003,4.518265,4.716302,5.349882,5.769287,6.171666,6.46884,6.943377000000001,7.212026,7.521432000000001,8.016942,8.361504,8.557998,8.90358,8.885214,8.526112,8.283922,8.350545,8.780164,9.208606,9.500976,10.454976,10.788879,11.071494,11.339779,11.634144000000001,11.915128,12.317067999999999,12.547131,12.857346000000001,13.195282,13.370282000000001,13.659438,14.204925,14.485322,14.949047,15.189193,15.504032,15.514403,15.234745000000002,14.950451000000001,14.499357,14.153854,14.000426000000001,13.637630999999999,13.126447,12.782732000000001,13.032747,13.227234,13.288892,13.205048999999999,12.660129,12.464030000000001,12.701293,12.813426,12.550805,12.113026,11.949475999999999,11.69534,11.524467999999999,11.15848,10.758932000000001,10.52604,10.279285,9.995476,9.615041,9.241292,8.866643
10-2802290,,,,,,,,,,0,0.19913499999999998,0.5584640000000001,0.78569,1.274219,1.685552,2.1437150000000003,2.3532759999999997,2.760583,3.0468490000000004,3.4898910000000005,4.673825,4.871862,5.505441,5.924847,6.327225,6.6244,7.098936,7.368586,7.676991,8.171501,8.517063,8.714557000000001,9.05914,9.038774,8.681671000000001,8.439482,8.506105,8.936722999999999,9.362166,9.655535,10.608535,10.944439,11.227053999999999,11.497338000000001,11.789703,12.071686999999999,12.473628,12.702691,13.013906,13.351842000000001,13.524842000000001,13.814998000000001,14.359485000000001,14.639882,15.102606,15.344752,15.657591,15.669962,15.389304000000001,15.103010000000001,14.655917,14.311413,14.155985000000001,13.794191,13.281007,12.938292,13.186306,13.382793,13.444451,13.360609,12.815689,12.619589,12.856852,12.968985,12.707365,12.269586,12.103035,11.850899,11.679027,11.314039999999999,10.914492,10.6816,10.435845,10.149036,9.770601,9.394852,9.022202
