순번_정류장ID,1-2800269,2-2804581,3-2804582,4-2807389,5-2804034,6-2804035,7-2804037,8-2804039,9-2804041,10-2804589,11-2804043,12-2804591,13-2804045,14-2804048,15-2804593,16-2804049,17-2804595,18-2804052,19-2804053,20-2804597,21-2804603,22-2804054,23-2804600,24-2804057,25-2800292,26-2804599,27-2804063,28-2804061,29-2804059,30-2804060,31-2804605,32-2804607,33-2804609,34-2804554,35-2804552,36-2804550,37-2804548,38-2804072,39-2804545,40-2804546,41-2804068,42-2804542,43-2804540,44-2804538,45-2804536,46-2804065,47-2800296,48-2800298,49-2804064,50-2804535,51-2804537,52-2804572,53-2804066,54-2804611,55-2804086,56-2804613,57-2804089,58-2806223,59-2804091,60-2804093,61-2804615,62-2804617,63-2804094,64-2804619,65-2804097,66-2804621,67-2804623,68-2804098,69-2804625,70-2803915,71-2806315,72-2804627,73-2803913,74-2803911,75-2803908,76-2803907,77-2807376,78-2803905,79-2803903,80-2804629,81-2806221,82-2803901,83-2803899,84-2807378,85-2807381,86-2803897,87-2806317,88-2803895,89-2803893,90-2803891,91-2806220,92-2803889,93-2803887,94-2803885,95-2803883,96-2803881,97-2803879,98-2803877,99-2803875,100-2803874,101-2803876,102-2803878,103-2803880,104-2806321,105-2806323,106-2806357,107-2804631,108-2807383,109-2803703,110-2804580,111-2804213,112-2804211,113-2804209,114-2804207,115-2804205,116-2804204,117-2806290,118-2804202,119-2806292,120-2804578,121-2806232,122-2803608,123-2803607,124-2803606,125-2806297,126-2803616,127-2803853,128-2803850,129-2803617,130-2806299,131-2803618,132-2806300,133-2803600,134-2800273,135-2803601,136-2804331,137-2803581,138-2800271,139-2805489,140-2807150,141-2804581,142-2804582,143-2800267,144-2804032
1-2800269,0,0.351315,0.64827,0.783267,0.706855,1.330458,1.5893620000000002,1.945177,2.2729779999999997,2.67198,2.968195,4.0304660000000005,5.18527,5.677914,6.138308,8.249474000000001,9.167100999999999,10.042555,11.763278999999999,11.919363,12.92382,13.355301999999998,14.641858,15.412739000000002,15.714954,16.234763,16.895445000000002,17.317145,17.608102,17.328401,17.790860000000002,18.054671,18.301128,17.945448000000003,17.483427,17.017889999999998,16.845509,16.459648,16.223575,15.834060000000001,15.664659,15.315384,15.126495000000002,14.397476999999999,13.880428,13.672428,12.907849,13.140389,13.635267,13.905085,14.395014000000002,14.761157,15.613267,16.439467999999998,17.047826999999998,17.512791,17.995737,18.566339000000003,18.817742000000003,19.370233,19.667136,20.431431,20.857758,21.111855,21.740551999999997,22.279972,22.981113,23.284409,23.764712,24.05196,24.313997,24.705719000000002,25.02586,25.478247,25.963862,26.37412,26.254471999999996,25.850935999999997,25.441348,24.659882,24.200463,23.923899,23.66666,23.451382000000002,22.326054,22.146544,21.894723000000003,21.546304,21.247763,20.801170000000003,19.352491,18.648733,18.282348000000002,17.642926,17.216453,17.232402,17.470777,17.160195,16.284827,16.298267000000003,17.153285,17.50185,17.215739000000003,15.832378,13.527033,12.310863000000001,11.494828,12.958416,12.586367999999998,12.410144,11.902999000000001,11.542850999999999,11.052058,10.680692,9.943471,9.711692999999999,9.357389999999999,8.945592999999999,8.692019,8.330305000000001,7.817978,7.489336,6.985127,6.692736,6.141287,5.821889,5.623333000000001,5.226971,4.632501,4.107816000000001,3.840407,3.5232069999999998,2.836948,2.375666,2.16494,1.9932310000000002,1.7355650000000002,1.258117,0.751252,0.37748200000000004,0.351315,0.64827,0.8276459999999999,0.192199
2-2804581,,0,0.297955,0.43295200000000006,1.0591700000000002,1.6827729999999999,1.9416759999999997,2.296491,2.625293,3.023294,3.32051,4.38178,5.537585,6.030229,6.490622,8.601789,9.519414999999999,10.394869,12.115594,12.271678,13.275135,13.707617,14.994173000000002,15.765053,16.067269,16.586078,17.24776,17.66946,17.959416,17.680716,18.143174,18.406986,18.653443,17.89723,17.436207999999997,16.968672,16.794291,16.410429,16.175356,15.785841,15.616441,15.268165,15.076276000000002,14.348258,13.832208999999999,13.625209,12.85863,13.09217,13.586048000000002,13.856866,14.343795000000002,14.709938000000001,15.561048000000001,16.391249,17.000608,17.466572,17.944518,18.518121,18.768523000000002,19.321014,19.617917000000002,20.384211999999998,20.808539,21.062635999999998,21.693333,22.229753,22.932895000000002,23.23719,23.712494,24.004741,24.264779,24.6585,24.977641000000002,25.431028,25.916643,26.323901,26.205254,25.803717000000002,25.392129999999998,24.612663,24.153244,23.87668,23.619442000000003,23.402163,22.276835000000002,22.097326000000002,21.847504999999998,21.499085,21.200544,20.753951999999998,19.305273,18.601514,18.233129,17.595708,17.169235,17.185184,17.423559,17.112976,16.235608,16.249048000000002,17.106066000000002,17.454632,17.16852,15.783159,13.479814000000001,12.263644000000001,11.44561,12.909197,12.537149000000001,12.362925,11.85378,11.493632,11.004839,10.633473,9.896252,9.664475,9.310171,8.898374,8.6448,8.283086,7.768758999999999,7.440117999999999,6.935908,6.643517999999999,6.092068,5.77267,5.574114,5.177753,4.583282,4.058597,3.7911879999999996,3.473988,2.787729,2.326447,2.1157209999999997,1.9440119999999999,1.686346,1.208898,0.702033,0.328263,0.0,0.297955,0.66304,0.543514
3-2804582,,,0,0.134997,1.122119,1.7457220000000002,2.004626,2.36044,2.688242,3.0872439999999997,3.3834589999999998,4.445729,5.600534,6.093178,6.553571,8.664738,9.582364,10.457818,12.178543,12.334627000000001,13.339084,13.770566,15.057122,15.828002,16.130218,16.650026999999998,17.310709,17.732409,18.023365,17.743665,18.206123,18.469935,18.716392000000003,18.194185,17.731164,17.264626999999997,17.092246,16.709384,16.470311,16.081796,15.912396,15.563120000000001,15.373231,14.645214000000001,14.127165,13.921165,13.154585999999998,13.387126,13.881003,14.152821,14.64275,15.007894,15.859003,16.686204999999998,17.297564,17.762527,18.243473,18.812076,19.066478,19.616969,19.913872,20.681167000000002,21.106495000000002,21.359592000000003,21.988288,22.526708,23.22985,23.533146,24.010448999999998,24.301697,24.561734,24.955455,25.273597,25.725983,26.211598000000002,26.621856,26.504209000000003,26.100673,25.691085,24.907618,24.450198999999998,24.171636,23.914397,23.699118,22.57379,22.396281,22.144460000000002,21.796039999999998,21.4955,21.050907000000002,19.600228,18.89647,18.532084,17.892663,17.46619,17.482139,17.720514,17.409932,16.535564,16.549003,17.404022,17.751587,17.465476000000002,16.082114999999998,13.776769,12.5586,11.744565,13.208151999999998,12.836105,12.65788,12.152735,11.792588,11.301794000000001,10.930429,10.193208,9.96143,9.607127,9.19333,8.941755,8.580041,8.065714999999999,7.737073,7.232863,6.940473,6.389024,6.069625,5.87107,5.474708000000001,4.880237999999999,4.355553,4.088143,3.770943,3.084684,2.623402,2.412676,2.240968,1.9833020000000001,1.505853,0.9989889999999999,0.625218,0.297955,0.0,0.365085,0.840469
4-2807389,,,,0,0.9871219999999999,1.610725,1.869629,2.225443,2.553245,2.9522470000000003,3.248462,4.310732,5.465537,5.958181,6.418575,8.529741,9.447367,10.322821000000001,12.043546000000001,12.19963,13.204087,13.635569,14.922125,15.693005,15.995220999999999,16.51503,17.175712,17.597412,17.888368,17.608667999999998,18.071127,18.334938,18.582395,18.329182,17.867160000000002,17.399624,17.228243,16.842381,16.607308,16.216793,16.047393,15.699117000000001,15.509228,14.78021,14.264160999999998,14.056161999999999,13.288583,13.524122,14.015999999999998,14.288818,14.777747,15.14489,15.995999999999999,16.824201000000002,17.43356,17.896524,18.377470000000002,18.950073,19.203475,19.751966,20.048869,20.817164000000002,21.241491,21.495588,22.126285,22.664704999999998,23.365847,23.670142000000002,24.147446,24.437693,24.697731,25.091452,25.408593,25.863979999999998,26.348595,26.756853000000003,26.639206,26.235669,25.826082,25.044615,24.585196,24.308633,24.051394000000002,23.836115,22.710787,22.531278,22.279457,21.931037,21.632497,21.185904,19.737225,19.033466,18.667081,18.02766,17.601187,17.617136,17.855511,17.544929,16.66956,16.683,17.538019,17.886584,17.600473,16.217112,13.911766,12.695597,11.879562,13.343148999999999,12.971102,12.794877,12.287732,11.927584,11.436791,11.065425,10.328205,10.096427,9.742124,9.330326,9.076752,8.713038000000001,8.200711,7.87207,7.36786,7.07547,6.52402,6.2046220000000005,6.006067,5.609705,5.015235,4.49055,4.22314,3.90594,3.219681,2.7583990000000003,2.547673,2.3759639999999997,2.118298,1.64085,1.133985,0.760215,0.43295200000000006,0.134997,0.23008800000000001,0.866534
5-2804034,,,,,0,0.623603,0.8825069999999999,1.238322,1.566123,1.965125,2.26134,3.323611,4.478415,4.9710589999999995,5.431453,7.542619,8.460246000000001,9.3357,11.056424,11.212508,12.216965,12.648447,13.935003,14.705884,15.008099,15.527907999999998,16.188589999999998,16.61029,16.901247,16.621546,17.084004999999998,17.347816,17.594273,18.652303,18.192282000000002,17.724745000000002,17.552364,17.168503,16.93143,16.540915,16.371514,16.022238,15.83235,15.104332000000001,14.587283,14.380282999999999,13.614704000000001,13.848244000000001,14.340122000000001,14.61094,15.100869,15.468012,16.318122,17.145323,17.755682,18.220646,18.701592,19.273194,19.526597,20.077088,20.373991,21.139286,21.565613,21.81871,22.447407000000002,22.987827,23.688968,23.992264000000002,24.469567,24.758815,25.020851999999998,25.414573999999998,25.733715,26.187102,26.672717,27.081975,26.963327000000003,26.559790999999997,26.148203,25.366737,24.909317,24.632754000000002,24.373515,24.158237,23.034909,22.855399,22.601578,22.255159,21.954618,21.510025,20.061346,19.357588,18.991203,18.349781,17.925307999999998,17.939257,18.180632,17.87005,16.994682,17.008122,17.86214,18.211705,17.924594,16.539233,14.233888,13.017717999999999,12.203683,13.667271,13.295223000000002,13.118998999999999,12.609853999999999,12.251706,11.758913,11.389547,10.650326,10.420548,10.064245,9.654448,9.400874,9.03916,8.524833000000001,8.196191,7.691982,7.399591,6.848142,6.5287440000000005,6.330188,5.933826,5.3393559999999995,4.814671,4.547262,4.230061,3.543803,3.082521,2.871795,2.700086,2.4424200000000003,1.9649720000000002,1.458107,1.084337,1.05817,1.122119,0.757034,0.515656
6-2804035,,,,,,0,0.258904,0.614719,0.94252,1.3415219999999999,1.637737,2.700008,3.8548120000000003,4.347456,4.80785,6.919016,7.836641999999999,8.712097,10.432821,10.588905,11.593361999999999,12.024844,13.3114,14.082281,14.384495999999999,14.904304999999999,15.564987,15.986687,16.277644,15.997943,16.460402,16.724213,16.970670000000002,18.529094,18.072436,17.604899,17.432517999999998,17.048656,17.236968,17.165518,16.996118,16.647842,16.457953,15.728935,15.210885999999999,15.003885999999998,14.239307,14.472847,14.964725,15.235543,15.726472,16.091615,16.942725,17.772926000000002,18.382285,18.844248999999998,19.326195000000002,19.898798,20.1492,20.702691,20.997594,21.763889000000002,22.189216000000002,22.444313,23.07401,23.61243,24.313572,24.618867,25.096171,25.384418,25.643456,26.038176999999997,26.358318,26.810705,27.29532,27.704578,27.584931,27.181394,26.771807,25.99134,25.531921,25.255357,24.997119,24.78184,23.656512,23.478003,23.226182,22.876762,22.578221,22.131629,20.68295,19.979191,19.612806,18.974385,18.546912,18.563861,18.802235999999997,18.490653,17.617285,17.630725,18.483743,18.832309,18.546197,17.163836,14.858491,13.641321,12.825287,14.290873999999999,13.917826000000002,13.740601999999999,13.234457,12.874309,12.383516,12.01115,11.275929,11.043152000000001,10.688848,10.277051,10.022477,9.661763,9.148436,8.819795,8.315585,8.023195,7.471744999999999,7.153347,6.954791,6.55743,5.962959,5.438274,5.170865,4.854665,4.167406,3.706124,3.4953980000000002,3.323689,3.066023,2.589575,2.0817099999999997,1.7079400000000002,1.681773,1.7457220000000002,1.3806370000000001,1.139259
7-2804037,,,,,,,0,0.355815,0.683617,1.082618,1.3788340000000001,2.441104,3.595909,4.088553,4.548946,6.660112,7.577739,8.453192999999999,10.173917999999999,10.330002,11.334458999999999,11.765941,13.052497,13.823376999999999,14.125592000000001,14.645401000000001,15.306084,15.727784,16.01874,15.739039000000002,16.201498,16.465310000000002,16.712766000000002,18.27119,17.813532000000002,17.345996,17.173614999999998,16.789753,16.978064,17.363165,17.193765,16.845489,16.6556,15.925582,15.408532999999998,15.201533,14.435954,14.667494,15.162372,15.43219,15.923119,16.289262,17.140372,17.968573000000003,18.577932,19.042896,19.523842000000002,20.094445,20.347847,20.898338,21.195241,21.961536,22.387863,22.642960000000002,23.270657,23.809077,24.509219,24.815514,25.291817,25.583064999999998,25.842102,26.234824,26.554965000000003,27.008352000000002,27.493966999999998,27.903225,27.843834,27.440298,27.03071,26.251244,25.791824,25.515261,25.258022,25.042744,23.915416,23.735906,23.486085,23.137666,22.839125,22.392532,20.941853,20.238095,19.87171,19.234288,18.807814999999998,18.823764,19.061139,18.752557,17.875189000000002,17.888629,18.743647,19.094212,18.807101,17.42174,15.118395000000001,13.902225,13.08419,14.549778,14.17573,13.999506,13.492360999999999,13.132213,12.641419,12.272053999999999,11.532833,11.303055,10.948752,10.536955,10.283381,9.919667,9.40734,9.078698,8.574489,8.282098,7.7306490000000005,7.41125,7.212695,6.816333,6.221863,5.697178,5.429769,5.1125680000000004,4.42631,3.9650279999999998,3.7543019999999996,3.582593,3.3249269999999997,2.8474779999999997,2.340614,1.9668439999999998,1.9406759999999998,2.004626,1.639541,1.3981629999999998
8-2804039,,,,,,,,0,0.327802,0.731804,1.028019,2.090289,3.245094,3.737738,4.198132,6.309298,7.226924,8.102378,9.823103,9.979187,10.983644,11.415125999999999,12.701682,13.472562,13.774778,14.294587,14.955269,15.376969,15.667925,15.388225,15.850684,16.114495,16.361952,17.919376,17.462717,16.995181,16.8228,16.438938,16.627249,17.01235,16.84195,16.493674,16.304785,15.574767000000001,15.058717999999999,14.851719000000001,14.085139999999999,14.316679,14.812557,15.083375,15.572304,15.938447,16.790557,17.617758,18.227117,18.692080999999998,19.171027,19.741629999999997,19.995032000000002,20.545523,20.843426,21.609721,22.038048999999997,22.290145000000003,22.919842000000003,23.458262,24.158404,24.4637,24.941003,25.23125,25.491288,25.886009,26.20415,26.658537,27.143152,27.551409999999997,27.829352,27.797113,27.387525,26.606058,26.146639,25.870076,25.612837,25.398557999999998,24.27123,24.091721,23.8419,23.49248,23.193939999999998,22.746347,21.297667999999998,20.594910000000002,20.227524,19.588103,19.16163,19.178579,19.417954,19.105372,18.232004,18.244443,19.100462,19.448027,19.160916,17.779555,15.472209,14.256039999999999,13.440005,14.903592000000002,14.532545,14.356320000000002,13.849175,13.489026999999998,12.998234,12.627869,11.888648,11.65687,11.302567,10.89077,10.637195,10.275481,9.763155000000001,9.434513,8.931303,8.637913000000001,8.086463,7.767065,7.568510000000001,7.172148,6.577678,6.052993,5.786583,5.4693830000000005,4.783124,4.320842,4.111116,3.9384080000000004,3.680742,3.204293,2.696429,2.322658,2.297491,2.36044,1.9953560000000001,1.7539779999999998
9-2804041,,,,,,,,,0,0.404002,0.700217,1.762488,2.9172919999999998,3.409936,3.8703300000000005,5.981496,6.899122,7.774577000000001,9.495301,9.651385000000001,10.655842,11.087324,12.37388,13.144760999999999,13.446976000000001,13.966785,14.627467000000001,15.049167,15.340124,15.060423000000002,15.522882000000001,15.786693,16.03315,17.592574,17.134916,16.667379,16.494998000000002,16.111136,16.299448,16.684548,16.514148000000002,16.165872,15.975984,15.245966000000001,14.728917000000001,14.521917000000002,13.756338000000001,13.988878,14.482756,14.755573000000002,15.244503,15.611645999999999,16.460755,17.289957,17.897316,18.364279,18.845225,19.414828,19.66923,20.220720999999998,20.514623999999998,21.282919,21.709247,21.962344,22.59204,23.12846,23.829601999999998,24.135898,24.612201000000002,24.903449,25.161486,25.555208,25.876348999999998,26.327735999999998,26.815351,27.223609000000003,27.49955,27.905085999999997,27.714326,26.932859999999998,26.476440999999998,26.197877,25.942639,25.72736,24.601032,24.420523,24.170702,23.822282,23.520741,23.075149,21.62647,20.924711,20.558326,19.916905,19.491432,19.507379999999998,19.691266,19.380684,18.505316,18.518756,19.373773999999997,19.722339,19.490717,18.105356,15.803010999999998,14.586841,13.770806,15.234394,14.862345999999999,14.686122,14.178977,13.818829000000001,13.325035999999999,12.95467,12.217449,11.985672000000001,11.633367999999999,11.221571,10.964997,10.605283,10.090956,9.762315,9.258105,8.966714999999999,8.415265,8.095867,7.897311,7.499949000000001,6.906478999999999,6.380794,6.113385,5.7961849999999995,5.110926,4.649644,4.438918,4.267208999999999,4.009543,3.5320949999999995,3.0242299999999998,2.6514599999999997,2.625293,2.688242,2.323157,2.081779
10-2804589,,,,,,,,,,0,0.296216,1.358486,2.513291,3.005935,3.466328,5.577495,6.495121,7.370575,9.0913,9.247384,10.251841,10.683323,11.969878999999999,12.740758999999999,13.042975,13.562783999999999,14.223466,14.645166,14.936122,14.656422000000001,15.118879999999999,15.382692,15.630149,17.188572,16.730914000000002,16.263378,16.090997,15.707135000000001,15.895446,16.279547,16.110147,15.760871,15.570982,14.841964,14.324914999999999,14.117915,13.353335999999999,13.584876000000001,14.078754,14.349572,14.839501,15.207644,16.056754,16.886955,17.495314,17.960278,18.441224,19.010827,19.264229,19.81472,20.111623,20.878918,21.303245,21.558342,22.188039,22.726459,23.426601,23.731896,24.2072,24.500447,24.757485,25.152206,25.471347,25.924734,26.411348999999998,26.819607,27.096549,27.499084999999997,27.908671999999996,27.333862,26.875442,26.598878999999997,26.34164,26.126362,24.999032999999997,24.819523999999998,24.568703,24.220284,23.920742999999998,23.47415,22.025471,21.321713,20.957328,20.317906,19.891433,19.907382000000002,19.288265,18.976682,18.101314000000002,18.114754,18.969772,19.318338,19.890719,18.504358,16.199013,14.982842999999999,14.166807999999998,15.632396,15.261348000000002,15.085123999999999,14.574979,14.215831,13.724037,13.353672,12.615451,12.385672999999999,12.02937,11.618573,11.363999,11.003285,10.490958000000001,10.161316000000001,9.657107,9.365716,8.813267,8.494867999999999,8.295313,7.898950999999999,7.304481,6.779796000000001,6.512387,6.196186,5.508928,5.048646,4.8379199999999996,4.666211,4.408544999999999,3.9310959999999997,3.424232,3.049462,3.024294,3.0872439999999997,2.722159,2.4807810000000003
