순번_정류장ID,1-2800269,2-2805488,3-2807373,4-2800272,5-2803582,6-2803603,7-2803602,8-2800274,9-2803847,10-2803599,11-2804712,12-2800276,13-2800277,14-2807391,15-2803925,16-2807392,17-2804772,18-2803923,19-2806339,20-2804765,21-2803921,22-2806337,23-2806394,24-2803919,25-2804592,26-2804044,27-2804590,28-2804042,29-2804040,30-2804038,31-2804036,32-2804033,33-2800268,34-2804528,35-2804527,2-2804581,3-2804582,4-2800267,5-2804034,6-2804035,7-2804037,8-2804039,9-2804041,10-2804589,11-2804043,12-2804591,13-2804762,14-2806393,15-2806336,16-2803920,17-2804766,18-2806338,19-2803922,20-2804771,21-2807393,22-2803924,23-2807390,24-2800260,25-2800275,26-2804713,27-2803598,28-2803600,29-2800273,30-2803601,31-2804331,32-2803581,33-2800271,34-2805489,35-2807150,36-2804581,37-2804582,38-2800267,39-2804032,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2804336,8-2804260,9-2807394,10-2804761,11-2804759,12-2804258,13-2804256,14-2806229,15-2806399,16-2804255,17-2804253,18-2806397,19-2804251,20-2804249,21-2804754,22-2806335,23-2804757,24-2804247,25-2804581,26-2804582,27-2800267,28-2804032,2-2804246,3-2804756,4-2806334,5-2804755,6-2804248,7-2804250,8-2806398,9-2804252,10-2804254,11-2806400,12-2806230,13-2804257,14-2804259,15-2804758,16-2804760,17-2807395,18-2804261,19-2804337,20-2807368,21-2804602,22-2803580,23-2800263,24-2800267,25-2804032,14-2806340,15-2803928,16-2806388,17-2806390,18-2803926
1-2800269,0.0,0.419283,0.773767,1.3496549999999998,1.7318779999999998,1.965875,2.139857,2.3998,2.753507,3.325432,3.528497,3.7989290000000002,4.073614,4.288978,4.538981,4.877078,5.213932,5.009753,4.670338,4.360098000000001,4.122653,3.8933519999999997,3.8883379999999996,4.139817,4.016843,2.921638,2.6406240000000003,2.275571,1.947644,1.581183,1.362624,0.615771,0.7490939999999999,0.6244810000000001,0.36603800000000003,0.351315,0.64827,0.8276459999999999,0.706855,1.330458,1.5893620000000002,1.945177,2.2729779999999997,2.67198,2.968195,4.0304660000000005,4.1373690000000005,3.8863260000000004,3.897185,4.152801,4.38938,4.698148000000001,5.0054300000000005,5.187925,4.81717,4.5305480000000005,4.262772,4.066912,3.8302339999999995,3.508039,3.325249,2.836948,2.375666,2.16494,1.9932310000000002,1.7355650000000002,1.258117,0.751252,0.37748200000000004,0.351315,0.64827,0.8276459999999999,0.192199,0.039832,0.7490939999999999,1.018311,1.329267,1.4654969999999998,1.713269,2.050909,2.1322259999999997,2.361985,2.613525,2.8868970000000003,3.3489970000000002,3.842021,4.114959,4.635818,4.287591,3.7998309999999997,3.213798,2.596073,1.991971,1.696461,1.31243,0.9159719999999999,0.570285,0.351315,0.64827,0.8276459999999999,0.192199,0.5785140000000001,0.925378,1.3285930000000001,1.7172720000000001,2.0497009999999998,2.609779,3.230568,3.8092580000000003,4.282451,4.6340010000000005,4.102949,3.791033,3.3330290000000002,2.907177,2.602989,2.354425,2.146623,2.052347,1.6794939999999998,1.452245,1.29874,1.077742,0.8276459999999999,0.192199,4.473401,4.886261,5.512159,5.854412,6.426508999999999
2-2805488,0.419283,0.0,0.354484,0.930372,1.3125950000000002,1.546592,1.7205740000000003,1.9805169999999999,2.334225,2.906149,3.109214,3.3796459999999997,3.6543309999999996,3.8696949999999997,4.1196980000000005,4.457796,4.794649,4.59047,4.251056,3.9408160000000003,3.7033699999999996,3.474069,3.4690550000000004,3.720534,4.0988739999999995,3.340921,3.059907,2.6948540000000003,2.366927,2.000466,1.781907,1.035053,1.111656,0.64323,0.384788,0.370064,0.66702,1.0321040000000001,1.1261379999999999,1.749741,2.008645,2.36446,2.6922610000000002,3.091263,3.3874779999999998,4.087251999999999,3.718086,3.467043,3.477902,3.733518,3.970097,4.278866000000001,4.586147,4.768642,4.397888,4.111265,3.843489,3.6476290000000002,3.4109510000000003,3.088756,2.905967,2.417665,1.9563830000000002,1.745657,1.573948,1.316282,0.838834,0.5460020000000001,0.172232,0.370064,0.66702,1.0321040000000001,0.611482,0.37945100000000004,1.111656,1.134594,1.44555,1.58178,1.829552,2.167192,2.248509,2.478268,2.7298080000000002,3.00318,3.465279,3.958304,4.231242,4.430568,4.082341,3.594581,3.008547,2.390823,1.786721,1.491211,1.1071799999999998,0.7107220000000001,0.365035,0.370064,0.66702,1.0321040000000001,0.611482,0.373264,0.7201270000000001,1.123343,1.512022,1.8444509999999998,2.404529,3.025318,3.6040080000000003,4.0772010000000005,4.42875,4.219232,3.9073160000000002,3.4493120000000004,3.02346,2.719272,2.470708,2.262906,2.16863,1.795777,1.5685280000000001,1.415023,1.194025,1.0321040000000001,0.611482,4.054118,4.466978,5.092876,5.435129,6.007226999999999
3-2807373,0.773767,0.354484,0.0,0.575888,0.958111,1.192108,1.36609,1.626034,1.979741,2.5516650000000003,2.75473,3.025162,3.299847,3.5152120000000004,3.765214,4.103312,4.440165,4.2359860000000005,3.896572,3.586332,3.3488860000000003,3.119585,3.1145709999999998,3.36605,3.74439,3.6964050000000004,3.4153910000000005,3.050338,2.722411,2.35595,2.137391,1.3905370000000001,1.46614,0.997714,0.739271,0.724548,1.021503,1.386588,1.481622,2.105225,2.364129,2.719943,3.047745,3.4467470000000002,3.7429620000000003,3.732768,3.3636019999999998,3.112559,3.1234189999999997,3.379034,3.6156129999999997,3.924382,4.231664,4.4141580000000005,4.043404,3.7567809999999997,3.489005,3.2931449999999995,3.056468,2.7342720000000003,2.551483,2.063181,1.601899,1.391173,1.2194639999999999,0.9617979999999999,0.48435,0.900486,0.5267149999999999,0.724548,1.021503,1.386588,0.965966,0.733935,1.46614,1.489077,1.800034,1.936264,2.184036,2.521675,2.602992,2.832752,3.084291,3.3576629999999996,3.8197629999999996,4.312787999999999,4.585726,4.785051999999999,4.436825,3.949065,3.363031,2.745307,2.141205,1.845695,1.461663,1.0652059999999999,0.7195189999999999,0.724548,1.021503,1.386588,0.965966,0.727748,1.074611,1.477827,1.8665060000000002,2.198934,2.759013,3.379801,3.9584919999999997,4.431685,4.783233999999999,4.573716,4.2618,3.8037959999999997,3.3779440000000003,3.073756,2.825192,2.6173900000000003,2.523114,2.150261,1.923011,1.769507,1.548509,1.386588,0.965966,3.6996339999999996,4.112494,4.738392,5.080645,5.652743
4-2800272,1.3496549999999998,0.930372,0.575888,0.0,0.382223,0.61622,0.7902020000000001,1.050145,1.403853,1.9757770000000001,2.178842,2.449274,2.723959,2.939323,3.189326,3.527424,3.8642769999999995,3.888874,3.54946,3.23922,3.001775,2.7724740000000003,2.76746,3.018938,3.397278,4.176483999999999,3.991279,3.6262260000000004,3.2982989999999996,2.931838,2.713279,1.966425,2.0420279999999997,1.573602,1.315159,1.3004360000000001,1.597392,1.9624759999999999,2.0575099999999997,2.6811130000000003,2.9400169999999997,3.295832,3.6236330000000003,4.022635,4.127927,3.3856559999999996,3.01649,2.765447,2.776307,3.031923,3.2685009999999997,3.5772699999999995,3.884552,3.8382699999999996,3.4675160000000003,3.180893,2.9131169999999997,2.717257,2.480579,2.158384,1.975595,1.487293,1.026011,0.815285,0.643576,0.38591,0.137238,0.598403,0.972173,1.3004360000000001,1.597392,1.9624759999999999,1.541854,1.309823,2.0420279999999997,2.064966,2.375922,2.512152,2.7599240000000003,3.097563,3.178881,3.40864,3.6601800000000004,3.9335519999999997,4.395651,4.888676,5.161614,5.36094,5.012713,4.524953,3.9389190000000003,3.321195,2.717093,2.421583,2.0375509999999997,1.6410939999999998,1.295407,1.3004360000000001,1.597392,1.9624759999999999,1.541854,1.303636,1.6504990000000002,2.053715,2.4423939999999997,2.774822,3.3349010000000003,3.95569,4.5343800000000005,5.007573000000001,5.359122,5.149604,4.837688,4.379683999999999,3.953832,3.6496440000000003,3.4010800000000003,3.193278,3.099002,2.7261490000000004,2.4989,2.345395,2.124397,1.9624759999999999,1.541854,3.123746,3.536606,4.162504,4.504757,5.076855
5-2803582,1.7318779999999998,1.3125950000000002,0.958111,0.382223,0.0,0.23399699999999998,0.407979,0.6679229999999999,1.0256299999999998,1.5975540000000001,1.800619,2.0710509999999998,2.345736,2.561101,2.8111029999999997,3.1492009999999997,3.486054,3.702903,3.931683,3.621443,3.3839980000000005,3.154697,3.149683,3.4011620000000002,3.7795019999999995,4.558707,4.373501999999999,4.008449,3.6805220000000003,3.314061,3.095502,2.347648,2.424251,1.955825,1.697382,1.682659,1.9796150000000001,2.3446990000000003,2.438733,3.063336,3.3222400000000003,3.678055,4.005856,4.404858,4.51015,3.767879,3.398713,3.14767,3.15853,3.414146,3.650724,3.959493,3.714226,3.4600470000000003,3.089293,2.80267,2.534894,2.339034,2.102357,1.780161,1.597372,1.10907,0.73301,0.522284,0.350576,0.09291,0.48076199999999997,0.980626,1.354396,1.682659,1.9796150000000001,2.3446990000000003,1.924077,1.692046,2.424251,2.447189,2.7581450000000003,2.894375,3.142147,3.4797860000000003,3.5611040000000003,3.790863,4.042403,4.315775,4.777874,5.270899,5.543837,5.743163,5.394936,4.907176,4.321142,3.703418,3.099316,2.8038060000000002,2.4197740000000003,2.023317,1.67763,1.682659,1.9796150000000001,2.3446990000000003,1.924077,1.685859,2.032722,2.435938,2.824617,3.157045,3.7171239999999997,4.3379129999999995,4.916603,5.389796,5.741345,5.531827,5.219911,4.761907,4.336055,4.031867,3.783303,3.575501,3.481225,3.108372,2.881123,2.727618,2.5066200000000003,2.3446990000000003,1.924077,2.745523,3.158383,3.7842809999999996,4.1265339999999995,4.698632
6-2803603,1.965875,1.546592,1.192108,0.61622,0.23399699999999998,0.0,0.173982,0.433925,0.791633,1.363557,1.566622,1.8370540000000002,2.111739,2.3271029999999997,2.577106,2.915204,3.2520569999999998,3.4689059999999996,3.808321,3.85544,3.6179940000000004,3.388693,3.383679,3.635158,4.013498,4.7927040000000005,4.607499,4.242446,3.9145190000000003,3.5470580000000003,3.3294989999999998,2.582645,2.658248,2.189822,1.9313790000000002,1.9166560000000001,2.213611,2.578696,2.67373,3.296333,3.5552370000000004,3.9120510000000004,4.239853,4.638855,4.744147,4.001876,3.63271,3.3816669999999998,3.392527,3.648142,3.884721,3.7875099999999997,3.480229,3.22605,2.855296,2.568673,2.300897,2.105037,1.868359,1.5461639999999999,1.363375,0.875073,0.742993,0.7562810000000001,0.584572,0.326906,0.714759,1.214623,1.588393,1.9166560000000001,2.213611,2.578696,2.158074,1.926043,2.658248,2.6811849999999997,2.992142,3.128372,3.376144,3.7137830000000003,3.7951,4.024859999999999,4.276399,4.549771,5.011871,5.504896,5.7778339999999995,5.97716,5.628933,5.141173,4.555139,3.937415,3.3333129999999995,3.037803,2.653771,2.257314,1.911627,1.9166560000000001,2.213611,2.578696,2.158074,1.9198560000000002,2.2667189999999997,2.6699349999999997,3.058614,3.3910419999999997,3.951121,4.571909,5.1506,5.623793,5.9753419999999995,5.765823999999999,5.453908,4.995904,4.570052,4.265864,4.0173,3.8094980000000005,3.7152220000000002,3.342369,3.115119,2.961615,2.740617,2.578696,2.158074,2.511526,2.924386,3.5502839999999996,3.8925370000000004,4.4646349999999995
7-2803602,2.139857,1.7205740000000003,1.36609,0.7902020000000001,0.407979,0.173982,0.0,0.259944,0.6176510000000001,1.189576,1.392641,1.663073,1.937758,2.153122,2.403125,2.741222,3.078076,3.294925,3.6343389999999998,3.944579,3.791976,3.562675,3.557661,3.80914,4.18748,4.966686,4.780481,4.4154279999999995,4.0875010000000005,3.7210400000000003,3.502481,2.755627,2.83223,2.363804,2.1053610000000003,2.090638,2.387593,2.752678,2.8467119999999997,3.4703150000000003,3.729219,4.085033,4.412835,4.811837000000001,4.918129,4.175858,3.806692,3.555649,3.5665089999999995,3.8221239999999996,3.9222980000000005,3.613529,3.306247,3.052069,2.681314,2.394692,2.126916,1.931056,1.694378,1.372183,1.189393,0.701092,0.569012,0.779738,0.758554,0.500888,0.88874,1.3886049999999999,1.762375,2.090638,2.387593,2.752678,2.332056,2.100025,2.83223,2.855167,3.166124,3.3023540000000002,3.550126,3.8877650000000004,3.9690819999999998,4.198842,4.450381,4.723753,5.185853,5.678877,5.951816,6.151142,5.8029150000000005,5.315155,4.729121,4.111397,3.5072949999999996,3.211785,2.827753,2.431296,2.085608,2.090638,2.387593,2.752678,2.332056,2.0938380000000003,2.440701,2.843916,3.232595,3.5650239999999997,4.125102,4.745891,5.324582,5.797775,6.149324,5.939806,5.62789,5.169886,4.744034,4.439846,4.191282,3.98348,3.8892029999999997,3.5163510000000002,3.289101,3.135597,2.914598,2.752678,2.332056,2.337545,2.7504049999999998,3.376303,3.718556,4.290653
8-2800274,2.3998,1.9805169999999999,1.626034,1.050145,0.6679229999999999,0.433925,0.259944,0.0,0.35770799999999997,0.929632,1.1326969999999998,1.403129,1.677814,1.8931779999999998,2.1431810000000002,2.4812790000000002,2.818132,3.034981,3.374396,3.6846360000000002,3.922081,3.8226190000000004,3.8176050000000004,4.069083999999999,4.447424,5.226629,5.040424,4.676371,4.347444,3.980983,3.7634239999999997,3.01657,3.092173,2.6237470000000003,2.3653049999999998,2.350581,2.647537,3.0126209999999998,3.107655,3.731258,3.990162,4.3459769999999995,4.672778,5.072780000000001,5.178072,4.4358010000000005,4.066636,3.8155919999999997,3.8264519999999997,3.898933,3.662354,3.353585,3.046304,2.792125,2.4213709999999997,2.134748,1.866972,1.671112,1.434434,1.112239,0.92945,0.44114799999999993,0.309068,0.519795,0.691503,0.760832,1.148684,1.648548,2.022318,2.350581,2.647537,3.0126209999999998,2.591999,2.359968,3.092173,3.115111,3.4260669999999998,3.562297,3.8100690000000004,4.147709,4.229026,4.458785,4.710325,4.983697,5.445797,5.938821,6.211759,6.411085,6.062858,5.5750980000000006,4.989064,4.37134,3.767238,3.4717279999999997,3.087697,2.691239,2.345552,2.350581,2.647537,3.0126209999999998,2.591999,2.353781,2.700644,3.10386,3.492539,3.824968,4.385046,5.005835,5.584525,6.057718,6.409267,6.199749,5.8878330000000005,5.429829,5.003977,4.699789,4.451225,4.243423,4.149147,3.776294,3.5490449999999996,3.39554,3.1745419999999998,3.0126209999999998,2.591999,2.077601,2.4904610000000003,3.116359,3.4586120000000005,4.03071
9-2803847,2.753507,2.334225,1.979741,1.403853,1.0256299999999998,0.791633,0.6176510000000001,0.35770799999999997,0.0,0.576925,0.77999,1.050422,1.325107,1.540471,1.7904740000000001,2.128571,2.465425,2.682274,3.021688,3.331928,3.569374,3.798675,4.171312,4.422791,4.801131,5.580337,5.395131,5.030079,4.702152,4.3356900000000005,4.117132,3.370278,3.445881,2.977455,2.7190119999999998,2.7042889999999997,3.001244,3.366329,3.4613620000000003,4.0849660000000005,4.343869000000001,4.6996839999999995,5.027486,5.426487,5.531779,4.789509,4.420343,4.1693,3.8018410000000005,3.5462260000000003,3.309647,3.0008779999999997,2.693596,2.439418,2.068663,1.782041,1.514265,1.3184049999999998,1.081727,0.759532,0.576742,0.419079,0.377842,0.588568,0.7602770000000001,1.017943,1.502391,2.002256,2.376026,2.7042889999999997,3.001244,3.366329,2.945707,2.713676,3.445881,3.468818,3.779775,3.916005,4.163776,4.501416000000001,4.582733,4.812492,5.064032,5.337404,5.799504,6.292528,6.565466000000001,6.764792999999999,6.416565,5.9288050000000005,5.342772,4.725047,4.120945,3.8254349999999997,3.441404,3.044946,2.699259,2.7042889999999997,3.001244,3.366329,2.945707,2.707489,3.054352,3.4575669999999996,3.846246,4.178675,4.738753,5.359542,5.938232,6.411425,6.762975,6.553456,6.2415400000000005,5.783537,5.357685,5.053496,4.804933,4.597131,4.502854,4.130001999999999,3.9027519999999996,3.749247,3.5282489999999997,3.366329,2.945707,1.724894,2.137754,2.763652,3.105905,3.6780019999999998
10-2803599,3.325432,2.906149,2.5516650000000003,1.9757770000000001,1.5975540000000001,1.363557,1.189576,0.929632,0.576925,0.0,0.203065,0.473498,0.748182,0.9745469999999999,1.2245489999999999,1.562647,1.8995009999999999,2.11635,2.455764,2.766004,3.0034490000000003,3.23275,3.803907,4.055385,4.433725,5.212931,5.493945,5.602003,5.274076,4.907614,4.689056,3.9422019999999995,4.017805,3.549379,3.290936,3.2762130000000003,3.573168,3.938253,4.0332870000000005,4.65689,4.915794,5.2716080000000005,5.59941,5.460589,5.164374,4.422103,4.052937,3.8018940000000003,3.2359169999999997,2.980301,2.743722,2.4349540000000003,2.127672,1.873493,1.502739,1.216116,0.948341,0.78719,1.023868,0.828937,0.646148,0.48848400000000003,0.949766,1.160493,1.332201,1.589867,2.0743150000000004,2.57418,2.94795,3.2762130000000003,3.573168,3.938253,3.5176309999999997,3.2856,4.017805,4.040742,4.351699,4.487929,4.735701000000001,5.07334,5.154657,5.384416000000001,5.635956,5.9093279999999995,6.371428,6.864452,7.137391,7.336717,6.9884889999999995,6.500729,5.914696,5.296971,4.69287,4.39736,4.013328,3.6168709999999997,3.271183,3.2762130000000003,3.573168,3.938253,3.5176309999999997,3.279413,3.6262760000000003,4.029491,4.41817,4.750599,5.310677,5.931466,6.510155999999999,6.9833490000000005,7.334899000000001,7.125381,6.813464,6.355461,5.929608999999999,5.62542,5.376857,5.169055,5.074778,4.701926,4.4746760000000005,4.321172,4.100173000000001,3.938253,3.5176309999999997,1.1589690000000001,1.5718299999999998,2.197727,2.539981,3.112078
