순번_정류장ID,34-2806146,35-2804303,36-2804304,37-2804307,38-2804308,39-2806209,40-2807406,41-2806211,42-2806210,43-2804311,44-2804313,45-2804738,46-2804315,47-2804316,48-2804318,49-2804321,50-2804322,51-2804797,52-2804717,53-2804193,54-2804191,55-2806153,56-2804189,57-2804641,58-2804740,59-2804743,60-2804185,61-2804183,62-2804181,63-2806375,64-2804179,65-2806149,66-2804745,67-2804177,68-2806147,69-2804174,70-2804172,71-2806207,72-2804169,73-2804655,74-2804167,75-2804165,76-2804163,77-2804152,78-2804150,79-2804148,80-2803747,81-2803748,82-2804688,83-2807370,84-2803604,85-2800266,86-2807368,87-2804602,88-2803580,89-2800263,90-2800267,91-2804032
34-2806146,0,0.7676470000000001,1.28088,1.6806619999999999,2.150801,2.4229380000000003,2.615958,2.823255,2.815741,2.802857,3.189093,3.517275,3.713342,3.994014,4.244639,4.391706,4.680272,4.976432,5.362948,5.540145,6.032430000000001,6.180276,6.5042800000000005,6.786091000000001,6.207554,6.510399,7.129057,7.586010000000001,7.921928,8.156848,8.379273,8.729951,8.949792,9.5125,8.936722,9.243442,9.985953,10.782424,11.537,11.866075,12.048442999999999,11.400336,12.2396,11.347924,12.171334,11.581438,11.214718,11.622744,12.048869,12.180983,12.495891,13.165064000000001,13.462739000000001,13.689989,13.843494,14.064492000000001,14.314588,14.951034
35-2804303,,0,0.5132329999999999,0.9130149999999999,1.384154,1.6562919999999999,1.8493110000000001,2.056608,2.049095,2.036211,2.422446,2.750628,2.9466959999999998,3.2273669999999997,3.477992,3.625059,3.913625,4.209786,4.596301,4.773498,5.265783,5.413629,5.737633,6.019444999999999,5.440908,5.743753,6.362411,6.819364,7.155281,7.390200999999999,7.612626,7.963305,8.185145,8.747853,8.172075,8.476796,9.221306,10.017777,10.772354,11.101429,11.282796000000001,10.63369,11.472953,10.581278,11.404687,10.814792,10.448071,10.856097,11.282223,11.414336,11.729244,12.398417,12.696093,12.923342,13.076847,13.297845,13.547941,14.184388
36-2804304,,,0,0.399782,0.870921,1.143059,1.336078,1.543375,1.535862,1.5229780000000002,1.909213,2.2373950000000002,2.433463,2.714134,2.964759,3.111827,3.4003919999999996,3.6965529999999998,4.084068,4.261265,4.75255,4.900396,5.2244,5.5062120000000006,4.927675,5.230519999999999,5.849178,6.306131,6.642048,6.876967999999999,7.099392999999999,7.4500720000000005,7.669911999999999,8.234621,7.656842,7.961563000000001,8.708072999999999,9.504545,10.259121,10.588196,10.768563,10.120457,10.959719999999999,10.068045,10.891454,10.301559,9.934838000000001,10.342864,10.768989999999999,10.901102999999999,11.216011,11.885183999999999,12.18286,12.410109,12.563614,12.784612,13.034708,13.671154999999999
37-2804307,,,,0,0.47113900000000003,0.743276,0.9362959999999999,1.143593,1.136079,1.1231950000000002,1.509431,1.8376130000000002,2.033681,2.314352,2.564977,2.7120439999999997,3.00061,3.2967699999999995,3.683286,3.8604830000000003,4.352768,4.500614,4.825618,5.1064300000000005,4.527892,4.830737,5.449395,5.906348,6.242266000000001,6.477186,6.699611,7.050289,7.27013,7.834838,7.257060000000001,7.56378,8.308291,9.102762,9.857338,10.186413,10.369781,9.720674,10.559938,9.668262,10.491672,9.901777000000001,9.535055999999999,9.943082,10.369207000000001,10.501321,10.816229,11.485402,11.783077,12.010327,12.163832000000001,12.384830000000001,12.634926,13.271372
38-2804308,,,,,0,0.278138,0.471157,0.678454,0.670941,0.658057,1.044292,1.372474,1.568542,1.849213,2.099838,2.246905,2.535471,2.831632,3.218147,3.395344,3.887629,4.035475,4.359479,4.641291000000001,4.989355000000001,5.2922,5.910858,6.367811,6.703728999999999,6.938649000000001,7.161073,7.511752,7.733592999999999,8.294300999999999,7.720522,8.023242999999999,8.767754,9.566225,10.318800999999999,10.647876,10.830244,10.183137,11.021401,10.129725,10.953135000000001,10.363239,9.996518,10.404544,10.83067,10.962784,11.277691,11.946864999999999,12.244539999999999,12.471789999999999,12.625294,12.846293,13.096389,13.732835000000001
39-2806209,,,,,,0,0.19302,0.400316,0.535321,0.922796,1.309031,1.637213,1.8332810000000002,2.113952,2.364577,2.511644,2.80021,3.096371,3.482886,3.660083,4.153368,4.3002139999999995,4.625218,4.90603,5.261493,5.564337999999999,6.182996,6.6399490000000005,6.975866000000001,7.210786,7.433211,7.7838899999999995,8.00573,8.568438,7.992660000000001,8.297381,9.041891,9.838362,10.590938000000001,10.920013,11.102381,10.454275,11.293538,10.401863,11.225272,10.635377,10.268656,10.676682000000001,11.102808,11.234921,11.549828999999999,12.219002,12.516678,12.743927000000001,12.897432,13.118429999999998,13.368526000000001,14.004973000000001
40-2807406,,,,,,,0,0.20729699999999998,0.342302,1.115815,1.502051,1.830232,2.0263,2.306972,2.5575959999999998,2.7046639999999997,2.99323,3.28939,3.676905,3.854103,4.346387,4.494234,4.818237,5.100048999999999,5.454512,5.757357,6.376015,6.832967999999999,7.168886,7.403805999999999,7.6262300000000005,7.976909,8.19875,8.759458,8.185678999999999,8.4884,9.234910000000001,10.031382,10.783958,11.113033,11.2964,10.647294,11.486557000000001,10.594882,11.418292,10.828396000000001,10.461675,10.869701,11.295827000000001,11.42794,11.742848,12.412022,12.709697,12.936947,13.090451,13.31145,13.561545,14.197992000000001
41-2806211,,,,,,,,0,0.135005,1.323112,1.7093470000000002,2.037529,2.233597,2.514268,2.764893,2.9119610000000002,3.200527,3.496687,3.8842019999999997,4.0614,4.552683999999999,4.700531,5.0255339999999995,5.307346,5.661809,5.964654,6.583311999999999,7.040265,7.376182000000001,7.611103,7.833527,8.184206,8.406046,8.968755,8.392975999999999,8.697697,9.440207000000001,10.238679,10.993255,11.322330000000001,11.503697,10.855591,11.693854,10.802178999999999,11.625588,11.035692999999998,10.668972,11.076998,11.503124,11.635237,11.950145,12.619318,12.916994,13.144243,13.297748,13.518745999999998,13.768842000000001,14.405289000000002
42-2806210,,,,,,,,,0,1.315598,1.701834,2.030016,2.226084,2.506755,2.75738,2.9044470000000002,3.193013,3.4891739999999998,3.875689,4.052886,4.545171,4.693017,5.017021,5.298833,5.654294999999999,5.95714,6.575798,7.032750999999999,7.368669000000001,7.603589,7.826014,8.176692,8.398533,8.961241000000001,8.385463,8.690184,9.434694,10.231164999999999,10.985741,11.314816,11.496184,10.848077,11.686341,10.794665,11.618075,11.02818,10.661458999999999,11.069485,11.495611,11.627724,11.942632000000001,12.611805,12.90948,13.136729999999998,13.290235000000001,13.511232999999999,13.761329000000002,14.397776
43-2804311,,,,,,,,,,0,0.386236,0.718418,0.914485,1.195157,1.445781,1.592849,1.881415,2.177575,2.56409,2.741288,3.233572,3.381419,3.705423,3.9872339999999995,4.602589,4.937542,5.5562,6.013153,6.349071,6.5849910000000005,6.807415,7.157094,7.378935,7.939642999999999,7.365864,7.668585,8.413096000000001,9.114567,9.869143,10.198217999999999,10.655702999999999,10.834192999999999,11.673457,10.781781,11.605191,11.015296000000001,10.648575,11.056600999999999,11.482727,11.61484,11.929748,12.598921,12.896596,13.123845999999999,13.277351000000001,13.498349,13.748445000000002,14.384892
44-2804313,,,,,,,,,,,0,0.33218200000000003,0.52825,0.808921,1.0595459999999999,1.206613,1.495179,1.7913400000000002,2.178855,2.356052,2.848337,2.9951830000000004,3.3191870000000003,3.6019989999999997,4.216353,4.551305999999999,5.169964,5.627917,5.9638349999999996,6.198755,6.42018,6.7708580000000005,6.992699000000001,7.554407,6.977628999999999,7.28435,8.02786,8.728330999999999,9.483907,9.812982,10.269468,10.920574,11.906308000000001,11.168016999999999,11.991427,11.401531,11.03481,11.442836,11.868962,12.001076,12.315983000000001,12.985157000000001,13.282832,13.510082,13.663585999999999,13.884585000000001,14.134681,14.771126999999998
45-2804738,,,,,,,,,,,,0,0.19606800000000002,0.477739,0.728364,0.875432,1.1639979999999999,1.460158,1.846673,2.024871,2.517155,2.665002,2.989005,3.2698169999999998,3.8851720000000003,4.220125,4.838783,5.295736,5.631653,5.866574,6.0899980000000005,6.440677,6.659517,7.222225999999999,6.646447,6.9521679999999995,7.6966779999999995,8.39715,9.152726,9.481800999999999,9.939286,10.588392,11.574126,11.496199,12.319609,11.729713,11.362992,11.771018,12.197144,12.329257,12.644165,13.313339000000001,13.611014,13.838264,13.991767999999999,14.212767000000001,14.462862,15.099309
46-2804315,,,,,,,,,,,,,0,0.281672,0.532297,0.6793640000000001,0.96793,1.26409,1.6506049999999999,1.828803,2.321087,2.468934,2.792938,3.074749,3.6901040000000003,4.025057,4.643715,5.100668,5.436586,5.671506,5.89393,6.244609,6.46445,7.027158,6.451379,6.7581,7.502611,8.202082,8.956658000000001,9.285733,9.743217999999999,10.393325,11.378058,11.692267,12.515676,11.925781,11.55906,11.967086,12.393212,12.525325,12.840233,13.509406,13.807082000000001,14.034331,14.187835999999999,14.408833999999999,14.658929999999998,15.295376999999998
47-2804316,,,,,,,,,,,,,,0,0.250625,0.397692,0.686258,0.982419,1.369934,1.547131,2.039416,2.187262,2.511266,2.793078,3.408432,3.743386,4.362044,4.818997,5.154914,5.389834,5.612259,5.962937999999999,6.182778,6.745486,6.169708,6.474429,7.218939,7.92041,8.674986,9.004061,9.461547,10.111653,11.096387,11.806911,12.63032,12.040425,11.673703999999999,12.08173,12.507856,12.639969,12.954877,13.62405,13.921726000000001,14.148975,14.30248,14.523477999999999,14.773573999999998,15.410020999999999
48-2804318,,,,,,,,,,,,,,,0,0.147068,0.435634,0.731794,1.119309,1.295506,1.787791,1.9356369999999998,2.259641,2.5414529999999997,3.156807,3.491761,4.110419,4.567372,4.903289,5.138209,5.360633999999999,5.711313,5.931153,6.493862,5.918083,6.222804,6.967314,7.668786,8.423362,8.752436999999999,9.209922,9.860028,10.845761999999999,11.555286,12.378695,11.7888,11.422079,11.830105,12.256231,12.388344,12.703252,13.372425,13.670101,13.89735,14.050854999999999,14.271853,14.521949,15.158396
49-2804321,,,,,,,,,,,,,,,,0,0.288566,0.584726,0.971242,1.148439,1.640724,1.78857,2.112574,2.3943849999999998,3.0097400000000003,3.344693,3.9633510000000003,4.420304,4.756222,4.991142,5.213566999999999,5.564245,5.784086,6.346794,5.771016,6.075736,6.822247,7.521717999999999,8.276294,8.605369,9.062854,9.712961,10.697694,11.408218,12.231628,11.641732000000001,11.275012,11.683038,12.109163,12.241277,12.556185000000001,13.225357999999998,13.523032999999998,13.750283,13.903788,14.124785999999999,14.374882000000001,15.011328
50-2804322,,,,,,,,,,,,,,,,,0,0.29616,0.6836760000000001,0.860873,1.353158,1.501004,1.8250080000000002,2.1068189999999998,2.7221740000000003,3.057127,3.675785,4.132738,4.468656,4.703576,4.926001,5.276679,5.496519999999999,6.061228,5.48345,5.79017,6.534681,7.234152000000001,7.988728,8.317803,8.775288,9.425395,10.410128,11.120652,11.944061999999999,11.354166000000001,10.987446,11.395472,11.821597,11.953711,12.268619000000001,12.937792,13.235467000000002,13.462717000000001,13.616222,13.83722,14.087316,14.723761999999999
51-2804797,,,,,,,,,,,,,,,,,,0,0.387515,0.564713,1.056997,1.204844,1.5288469999999998,1.810659,2.426014,2.760967,3.379625,3.836578,4.172496,4.4074160000000004,4.62984,4.980519,5.20036,5.763068,5.187289,5.49401,6.236521,6.9379919999999995,7.692568,8.021643,8.479128,9.129235000000001,10.113968,10.824492,11.647902,11.058005999999999,10.691285,11.099311,11.525437,11.657551,11.972458,12.641632000000001,12.939307000000001,13.166557000000001,13.320060999999999,13.54106,13.791155999999999,14.427601999999998
52-2804717,,,,,,,,,,,,,,,,,,,0,0.177198,0.669482,0.817329,1.141332,1.423144,2.0384990000000003,2.373452,2.99211,3.4490629999999998,3.7849800000000005,4.019901,4.242325,4.5930040000000005,4.812844,5.375553,4.799774,5.104495,5.849005,6.5853720000000004,7.339948,7.669022999999999,8.126508,8.776615,9.761348,10.436977,11.260386,10.670491,10.30377,10.711796000000001,11.137922,11.270035,11.584942999999999,12.254116,12.551791999999999,12.779041000000001,12.932546,13.153544,13.40364,14.040087
53-2804193,,,,,,,,,,,,,,,,,,,,0,0.49228500000000003,0.640131,0.9641350000000001,1.245947,1.8613009999999999,2.196254,2.814912,3.271865,3.607783,3.8427029999999998,4.065128,4.415806,4.6356470000000005,5.198355,4.622577,4.927298,5.671808,6.470279,7.222855,7.55393,8.009416,8.659522,9.644255000000001,10.259779,11.083188999999999,10.493294,10.126572999999999,10.534599,10.960725,11.092838,11.407746000000001,12.076919,12.374594,12.601844,12.755349,12.976347,13.226443,13.862889000000001
54-2804191,,,,,,,,,,,,,,,,,,,,,0,0.147847,0.47685,0.758662,1.374017,1.70897,2.327628,2.784581,3.120499,3.3554190000000004,3.577843,3.928522,4.150363,4.713071,4.135292,4.4400129999999995,5.186523,5.980995,6.737571000000001,7.064646000000001,7.522131,8.174238,9.157971,9.772495,10.595905,10.006008999999999,9.639288,10.047314,10.47344,10.605553,10.920461,11.589635000000001,11.887310000000001,12.11456,12.268064,12.489063,12.739158,13.375604999999998
55-2806153,,,,,,,,,,,,,,,,,,,,,,0,0.329004,0.610816,1.22617,1.561123,2.179781,2.636734,2.972652,3.2075720000000003,3.429997,3.780675,4.002516,4.563224,3.989446,4.294166000000001,5.038677,5.833148,6.587724000000001,6.916799,7.376285,8.024391,9.011124,9.624647999999999,10.448058,9.858163000000001,9.491442,9.899467999999999,10.325594,10.457707000000001,10.772615,11.441788,11.739463,11.966713,12.120218,12.341216000000001,12.591312,13.227757999999998
