순번_정류장ID,1-2800270,2-2800268,3-2800264,4-2807245,5-2800262,6-2807367,7-2800265,8-2803682,9-2807369,10-2804135,11-2803684,12-2803685,13-2804147,14-2804149,15-2804151,16-2804162,17-2804164,18-2804166,19-2804656,20-2804168,21-2806206,22-2804654,23-2804651,24-2804649,25-2804648,26-2804646,27-2804327,28-2804329,29-2804645,30-2804198,31-2804200
1-2800270,0,0.789926,1.059143,1.370099,1.506329,1.754101,2.04288,2.685899,3.012839,3.146703,3.581944,3.987714,4.412158,5.0184239999999996,6.085615,7.040715,8.028842,8.684975,9.160908000000001,9.477456,10.240657,10.919787,11.655377,11.972136,13.8345,14.448977,14.698034,14.931393,15.347866,15.338942999999999,15.778483
2-2800268,,0,0.270217,0.581174,0.717404,0.965176,1.253955,1.8969740000000002,2.2239139999999997,2.3577779999999997,2.7930189999999997,3.198788,3.6232330000000004,4.229499,5.29669,6.25179,7.239917,7.895049,8.371982000000001,8.68853,9.450732,10.129862,10.866452,11.182211,13.044575,13.660051999999999,13.908107999999999,14.141468,14.557941,14.550017,14.989557999999999
3-2800264,,,0,0.31295700000000004,0.449187,0.696959,0.9857379999999999,1.628757,1.955697,2.0895610000000002,2.524802,2.930572,3.3550160000000004,3.961282,5.028473,5.983573000000001,6.9717,7.627833,8.103766,8.420314,9.182514999999999,9.862645,10.599235,10.914994,12.777358,13.391835,13.639892000000001,13.873251000000002,14.289724,14.281801000000002,14.721341
4-2807245,,,,0,0.13623,0.384002,0.6767810000000001,1.3198,1.64674,1.780604,2.2158450000000003,2.6216150000000003,3.046059,3.6523260000000004,4.7195160000000005,5.674616,6.6617440000000006,7.317875999999999,7.795808999999999,8.112357000000001,8.874558,9.552688999999999,10.289278,10.606038,12.468401,13.083878,13.330935,13.565295,13.980767000000002,13.972844,14.412385
5-2800262,,,,,0,0.247772,0.540551,1.18357,1.51051,1.6443740000000002,2.079615,2.485385,2.90983,3.516096,4.583287,5.538386,6.525514,7.181646000000001,7.659578999999999,7.976127,8.737328,9.417459,10.154049,10.468808000000001,12.331171000000001,12.947648,13.195704999999998,13.428065,13.844536999999999,13.836614,14.276155
6-2807367,,,,,,0,0.292779,0.9357989999999999,1.262738,1.3966020000000001,1.831843,2.237613,2.662058,3.2683240000000002,4.335515,5.290615,6.278742,6.934874000000001,7.410807000000001,7.7283550000000005,8.489556,9.169687,9.906277000000001,10.222036,12.084399000000001,12.699876,12.947933,13.181293,13.597764999999999,13.588842000000001,14.028382999999998
7-2800265,,,,,,,0,0.643019,0.969959,1.103823,1.539064,1.944834,2.369279,2.975545,4.042736,4.997835,5.984963,6.642094999999999,7.118028,7.435575999999999,8.196777,8.876908,9.612498,9.928257,11.79162,12.406097,12.655154,12.887514,13.303985999999998,13.296063,13.735604
8-2803682,,,,,,,,0,0.32694,0.460804,0.8960450000000001,1.301815,1.726259,2.332525,3.399716,4.3548160000000005,5.341943,5.9990760000000005,6.4760089999999995,6.791557000000001,7.553758,8.232888,8.970478,9.285237,11.148601,11.763078,12.011135000000001,12.244494,12.660967,12.653044,13.092584
9-2807369,,,,,,,,,0,0.133864,0.569105,0.974875,1.399319,2.005586,3.072777,4.027876,5.015004,5.671136,6.1480690000000005,6.464617,7.226818,7.905949000000001,8.642538,8.958298,10.820661,11.436138,11.684194999999999,11.917555,12.334027,12.326103999999999,12.765645
10-2804135,,,,,,,,,,0,0.435241,0.8410110000000001,1.265455,1.871722,2.938913,3.8940120000000005,4.88214,5.537272,6.0142050000000005,6.331753,7.092954,7.772085000000001,8.509674,8.825434,10.687797,11.302274,11.550331,11.784691,12.201163000000001,12.19224,12.631781
11-2803684,,,,,,,,,,,0,0.40576999999999996,0.8312149999999999,1.437481,2.5046720000000002,3.459772,4.447899,5.103031,5.579964,5.897512,6.659713000000001,7.338844,8.074434,8.391193,10.253556,10.868033,11.11709,11.35045,11.766922000000001,11.757999,12.19754
12-2803685,,,,,,,,,,,,0,0.42544499999999996,1.031711,2.098902,3.054002,4.042129,4.697261,5.174194,5.490742,6.252943,6.932074000000001,7.669664,7.984423,9.846786,10.462264,10.71032,10.94468,11.361152,11.352229,11.79177
13-2804147,,,,,,,,,,,,,0,0.606266,1.673457,2.628557,3.6156839999999995,4.271816,4.748749,5.066298000000001,5.8274989999999995,6.506629,7.243219,7.558978,9.421342,10.036819,10.284875,10.519235,10.935708,11.352784,11.792325
14-2804149,,,,,,,,,,,,,,0,1.072191,2.027291,3.014418,3.67155,4.148483000000001,4.465032,5.227233,5.906363,6.642952999999999,6.958711999999999,8.821076,9.436553,9.684609,9.917969,10.334442,10.752517999999998,11.192059
15-2804151,,,,,,,,,,,,,,,0,0.9551,1.9422270000000001,2.598359,3.0752919999999997,3.3918410000000003,4.154042,4.833172,5.569762,5.885521,7.747885000000001,8.363362,8.611419,8.844778,9.261251,9.679327,10.118867999999999
