순번_정류장ID,51-2803704,52-2804633,53-2803707,54-2803709,55-2806218,56-2803710,57-2803712,58-2803713,59-2803717,60-2803722,61-2803724,62-2803725,63-2803753,64-2804637,65-2803726,66-2803727,67-2803729,68-2803731,69-2803733,70-2804300,71-2803738,72-2807372,73-2803736,74-2803739,75-2803700,76-2803699,77-2803697,78-2803695,79-2803693,80-2804775,81-2803741,82-2803742,83-2803743,84-2803744,85-2804666,86-2803745,87-2803746,88-2803747,89-2803748,90-2804688,91-2807370,92-2803604,93-2800266,94-2807368,95-2804602,96-2803580,97-2800263,98-2800267,99-2804032
51-2803704,0,0.503821,1.044691,1.308114,1.66998,1.801859,1.996719,2.691237,3.4683080000000004,3.8067300000000004,4.240373,4.748059,4.92082,5.156096,5.496983999999999,7.163067,7.539561999999999,7.8571800000000005,8.23448,8.685336999999999,8.99015,9.277917,9.566125999999999,9.812408999999999,9.985338,10.304851,10.638221000000001,11.091219,11.404327,11.635055,12.424644,11.724534,11.454861,10.976963,11.286181,11.944778,12.415714,13.040500999999999,12.632475,12.206349000000001,12.076236,11.761328,11.090155000000001,11.354958,11.582208,11.735712,11.956710000000001,12.206806,12.843253
52-2804633,,0,0.54087,0.804293,1.166159,1.298038,1.492898,2.187416,2.964487,3.3029089999999997,3.7365519999999997,4.244238,4.416999,4.652275,4.993163,6.659246,7.035741000000001,7.353358999999999,7.730658999999999,8.181515,8.486329,8.774096,9.062305,9.308588,9.481517,9.80103,10.1344,10.587398,10.900506,11.131234,11.920823,11.220713,10.951039999999999,10.473141,10.78236,11.440957000000001,11.911893,12.53668,12.127654,11.701528,11.571415,11.257507,10.585334,10.851137,11.078386,11.231891000000001,11.452889,11.701985,12.339432
53-2803707,,,0,0.263424,0.62529,0.757169,0.9520280000000001,1.6465459999999998,2.4236169999999997,2.7620400000000003,3.195682,3.7033690000000004,3.876129,4.111406,4.452294,6.1183760000000005,6.494872,6.8124899999999995,7.189789,7.640646,7.945459,8.233227000000001,8.521435,8.767719,8.940648,9.26016,9.593531,10.046528,10.359637,10.590365,11.379953,10.679843,10.410169999999999,9.932272,10.241489999999999,10.900088,11.371023,11.994811,11.586785,11.160658999999999,11.030545,10.715638,10.044464,10.309267,10.536517,10.690022,10.911019999999999,11.161116,11.797562
54-2803709,,,,0,0.36186599999999997,0.493745,0.688605,1.3831229999999999,2.1601939999999997,2.498616,2.932259,3.439945,3.6127059999999998,3.847982,4.18887,5.854953,6.231448,6.549066000000001,6.926366000000001,7.377223,7.682036,7.969803,8.258011999999999,8.504294999999999,8.677224,8.996737,9.330107,9.783105,10.096213,10.326941,11.116530000000001,10.41642,10.146747,9.668847999999999,9.978067,10.636664,11.1076,11.845822,11.632152,11.206026,11.075913,10.761005,10.089832000000001,10.354635,10.581884,10.735389,10.956387,11.206483,11.84293
55-2806218,,,,,0,0.131879,0.326739,1.021257,1.798328,2.13675,2.570393,3.0780790000000002,3.25084,3.4861160000000004,3.827004,5.493086,5.869582,6.1872,6.5645,7.015356,7.32017,7.607937,7.896146000000001,8.142429,8.315358,8.634871,8.968241,9.421239,9.734347,9.965075,10.754664,10.054554,9.784881,9.306982000000001,9.616201,10.274797999999999,10.745733999999999,11.483956,11.891982,11.568892,11.438778999999998,11.123871000000001,10.452698,10.717500999999999,10.944751,11.098255,11.318254,11.569349,12.205796000000001
56-2803710,,,,,,0,0.19485999999999998,0.8893780000000001,1.666449,2.004871,2.438514,2.9462,3.118961,3.3542370000000004,3.695125,5.361208,5.737703,6.055321,6.432621,6.883477,7.188291,7.476058,7.764267,8.01055,8.183479,8.502991999999999,8.836362,9.28936,9.602468,9.833196000000001,10.622785,9.922675,9.653002,9.175103,9.484322,10.142919000000001,10.613855000000001,11.352077,11.760102999999999,11.699771,11.570658,11.25575,10.584577000000001,10.84938,11.07663,11.230134,11.451132000000001,11.700228,12.337675
57-2803712,,,,,,,0,0.6945180000000001,1.471589,1.810012,2.2436540000000003,2.7513400000000003,2.924101,3.159377,3.5002660000000003,5.166348,5.5428440000000005,5.860461,6.237761,6.688617999999999,6.993431,7.281198,7.569407000000001,7.815691,7.988619,8.308132,8.641503,9.0945,9.407608999999999,9.638336,10.427925,9.727815,9.458142,8.980244,9.289462,9.94806,10.418994999999999,11.157217999999999,11.565242999999999,11.895631,11.765518,11.450610000000001,10.778437,11.044239,11.271489,11.424994,11.645992,11.895088000000001,12.531535
58-2803713,,,,,,,,0,0.777071,1.115494,1.549136,2.056822,2.2295830000000003,2.464859,2.805748,4.471830000000001,4.848326,5.165943,5.543243,5.9941,6.298913,6.58668,6.874889,7.121173,7.2941009999999995,7.613614,7.946984,8.399982000000001,8.713091,8.943817999999998,9.733407000000001,9.033297,8.763624,8.285725999999999,8.594944,9.253542,9.724477,10.462699,10.870725,11.296851,11.376999,11.062091,10.390918,10.655721,10.882971000000001,11.036475,11.257474,11.50757,12.144016
59-2803717,,,,,,,,,0,0.33842300000000003,0.772065,1.281751,1.454512,1.689788,2.030677,3.6967589999999997,4.0732550000000005,4.390872,4.768172,5.219029,5.523842,5.811609,6.099818,6.346101999999999,6.51903,6.838543,7.171914,7.624911,7.93802,8.168747,8.958336,8.258225999999999,7.988553,7.510655,7.819872999999999,8.478471,8.949406,9.687629,10.095654,10.52178,10.653894000000001,10.629199,9.958025,10.222828,10.450078,10.603583,10.824581,11.074677000000001,11.711122999999999
60-2803722,,,,,,,,,,0,0.43364300000000006,0.9433290000000001,1.11609,1.351366,1.6922540000000001,3.358336,3.734832,4.05245,4.42975,4.880605999999999,5.18542,5.473187,5.761394999999999,6.007679,6.180608,6.500121,6.833491,7.286488,7.599597,7.830325,8.619913,7.919803,7.65013,7.172232000000001,7.48145,8.140048,8.610984,9.349206,9.757232,10.183358,10.315471,10.630379,10.297448,10.562251,10.789501,10.943005,11.164003999999998,11.4141,12.050546
